"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ACEREP GROUPE INSTEP","atelier  pédagogique personnalisé",133000,46550,"FONDS SOCIAL EUROPEEN","RHONE-ALPES","Multilocalisation","Programme opérationnel national Fonds social européen","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"ACEV","Encadrement technique du chantier d'insertion espaces verts ACEV 2008",19959,9979.5,"FONDS SOCIAL EUROPEEN","RHONE-ALPES","ISERE / GRENOBLE / DOMENE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACFAL Formation","Accompagnement social et professionnel - suivi du parcours d'insertion",67200,33600,"FONDS SOCIAL EUROPEEN","RHONE-ALPES","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACFAL Formation","Atelier de Pédagogie Personnalisée de Lyon 1er et de ses antennees des Monts du Forez et de Valence-",143500,71750,"FONDS SOCIAL EUROPEEN","RHONE-ALPES","Multilocalisation","Programme opérationnel national Fonds social européen","72","Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
"ACHROMA","Certificat d'aptitude professionnelle peintre et applicateur de revetement",4708.2,1615.93,"FONDS SOCIAL EUROPEEN","RHONE-ALPES","LOIRE / ROANNE / PERREUX / LE COTEAU","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ACP -Accompagner aux Changements Professionnels","Formation de professionnels de l'agglomération grenobloise à une méthodologie d'accompagnement autour de la démarche ZOOM",6080,3040,"FONDS SOCIAL EUROPEEN",,,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACP -Accompagner aux Changements Professionnels","Formation de professionnels de l'agglomération grenobloise à une méthodologie d'accompagnement autour de la démarche ZOOM",8800,3150,"FONDS SOCIAL EUROPEEN",,,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTIBAT","Action de formation ",33276,33276,"FONDS SOCIAL EUROPEEN","RHONE-ALPES","ISERE / GRENOBLE / EYBENS / EYBENS","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Action'elles","Soutien à la création et au développement d'entreprises par les femmes",26900,10900,"FONDS SOCIAL EUROPEEN","RHONE-ALPES",,"Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"ADASEA de l'Ardèche","Accompagnement de la transmission et création des entreprises rurales (2009-2010)",163584,73613,"FONDS SOCIAL EUROPEEN","RHONE-ALPES","ARDECHE","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Adecco Pôle Emploi","2007 Prise de Confiance, dynamisation et acquisition de savoir-être afin d'initier des démarches d'insertion positives",16257.52,16257.52,"FONDS SOCIAL EUROPEEN","RHONE-ALPES","LOIRE / SAINT-ETIENNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
