"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ALICANTE Sarl","Etude de faisabilité pour le transfert d'un logiciel de gestion du temps passé hospitalier à usage des groupements et établissements de santé, en mode Saas.","97,425 €","24,000 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Allevard Rejna Autosuspensions","FSI Allevard Rejna Autosuspensions: investissement innovant dans la suspension automobile","2,962,000 €","200,000 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"8","Autres investissements en entreprises"
"Alliances pour la Responsabilité Sociale et Environnementale","World Forum Lille- Forum Mondial de l'économie responsable","315,079 €","49,000 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"ALOATEC","Faisabilité de la diffusion à plus grande échelle des technologies ALOATEC dédiées à l'environnement et à la thermovision","100,000 €","25,000 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ALSTOM","Opération de démonstration   diminution des rejets de composés organiques volatils ( COV )","2,790,000 €","697,500 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"ALTOO","Développement d'un système de protection amovible contre les risques d'inondation ou de débordement","255,500 €","67,500 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"AQUARESE INDUSTRIE","Etudes et réalisations dans les domaines de l'Ultra Haute Pression Diesel et du Décochage Fonderie","219,540 €","60,000 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ARBS : Association Rotarienne des Bibliothèques Scolaires","Mise en place d'un ERP pour la gestion des prêts et des achats de livres scolaires","1,044,684 €","522,342 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"ARCELOR (ex. SOLLAC ATLANTIQUE)","réduction des rejets atmosphériques de la chaîne d'agglomération 2","655,000 €","98,250 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"ARCHIMED","e-marriane : solution de GRC et business model adapté au marché des collectivités locales","1,029,699 €","225,000 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ARCHIMED","Lybfly : portail sectoriel web 2.0 communautaire avec une offre culturelle en ligne pour professionnels et particuliers ainsi que les services en ligne associés","874,198 €","185,000 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"ARC INTERNATIONAL","Acquisition d'un filtre dépoussiéreur traitant également les oxydes d'azote","1,259,500 €","377,850 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"ARC INTERNATIONAL","ARC INTERNATIONAL - Demiver - projet de R&D labellisé pôle MAUD","537,116 €","202,615 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"ARTIFICIAL SOLUTIONS FRANCE","Développemnt d'applications web basées sur le traitement de l'intéraction utilisateur en langage naturel, pour la réalisation d'agents intelligents destinés au e-commerce","624,504 €","200,000 €","FEDER ","NORD-PAS-DE-CALAIS","NORD-PAS-DE-CALAIS",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
