"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ETABLISSEMENT FRANCAIS DU SANG PAYS DE LA LOIRE","Plate-forme de production de vecteurs viraux de thérapie génique à usage clinique - Phase 3 (travaux et équipements)",2057873.35,495222.69,"FEDER ","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE / NANTES / SAINT-HERBLAIN / SAINT-HERBLAIN","Programme opérationnel FEDER - 2007/2013","2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"EURL Laurent CHUPIN","Installation de panneaux solaires photovoltaïques",38194.73,7638.95,"FEDER ","PAYS DE LA LOIRE","MAINE-ET-LOIRE / CHOLET / CHEMILLE / LA CHAPELLE-ROUSSELIN","Programme opérationnel FEDER - 2007/2013","40","Energie renouvelable: én. solaire"
"FAFSEA","CIF DES SALARIES DE LA PRODUCTION AGRICOLE",1130000,508500,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"FAFSEA","Subvention Globale FAFSEA 2008 - 2009",788000,355070,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE",,"Programme opérationnel national Fonds social européen",,
"FAF TT","Sécuriser les parcours des intérimaires en région Pays de la Loire",901000,405450,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"FAMILLES RURALES Association d'Entraide Familiale","Action innovante de remobilisation pour l'emploi des femmes bénéficiaires du RSA en milieu rural",79843.1,38775,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","SARTHE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Fédération de Loire Atlantique des Maisons Familiales Rurales ","Mise en oeuvre du projet de Centre de Formation d'apprentis en 2007-2008 - MFR 44",65432.11,29444.45,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Fédération de Loire Atlantique des Maisons Familiales Rurales ","Mise en oeuvre du projet de Centre de Formation d'apprentis en 2009 - MFR 44",128208,57693.6,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Fédération Départementale des Maisons Familiales Rurales de Maine et Loire ","Mise en oeuvre du projet de Centre de formation d'apprentis en 2007-2008 - MFR 49-72",80946.56,36425.95,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","Multilocalisation","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Fédération Départementale des Maisons Familiales Rurales de Maine et Loire ","Mise en oeuvre du projet de Centre de formation d'apprentis en 2009 - MFR 49-72",63969.06,28786.08,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","Multilocalisation","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Fédération des Maisons de Quartier de Saint-Nazaire - FMQ","F.M.Q. Pôle mobilité",51095.3,18280,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE / SAINT-NAZAIRE / SAINT-NAZAIRE / SAINT-NAZAIRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Fédération des Maisons de Quartier de Saint-Nazaire - FMQ","FMQ Pôle mobilité",50070,20500,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE / SAINT-NAZAIRE / SAINT-NAZAIRE / SAINT-NAZAIRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Fédération des Maisons de Quartier de Saint-Nazaire - FMQ","FMQ Promouv'",24073,3108,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","LOIRE-ATLANTIQUE / SAINT-NAZAIRE / SAINT-NAZAIRE / SAINT-NAZAIRE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Fédération des Maisons familiales rurales de la Mayenne","Mise en oeuvre du projet de Centre de formation d'apprentis en 2007-2008 - MFR 53",79282.42,35677.09,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","MAYENNE","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Fédération des Maisons familiales rurales de la Mayenne","Mise en oeuvre du projet de Centre de formation d'apprentis en 2009 - MFR 53",41346,18605.7,"FONDS SOCIAL EUROPEEN","PAYS DE LA LOIRE","MAYENNE","Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
