"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ETHYPHARM","Création d'un centre européen de R&D et implantation de technologies innovantes sur le site ETHYPHARM de Grand Quevilly","4,444,000 €","1,037,100 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"EVAWAY","Développement d'une nouvelle plateforme internet de géolocalisation et géocomparaison dédiée au marché du tourisme, et services associés","229,000 €","40,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"EVEREST TEAM","MISE EN PLACE D'UN GIE SUR LE TECHNOPOLE DU MADRILLET","613,770 €","270,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"Fédération du Bâtiment Haute-Normandie - FFB","Adapter les compétences des entreprises aux enjeux du développement durable","574,670 €","206,881 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"FIMALIN","STRUCTURATION DE LA FILIERE LIN TECHNIQUE","540,240 €","194,490 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,,
"GAEC de la Licorne","Mise en place d'une unité de méthanisation","827,695 €","101,078 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"GRANDDE","PROMOTION DU DEVELOPPEMENT DURABLE EN ENTREPRISE","1,482,837 €","276,548 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"GRANDDE","Prospection et valorisation des trophées du Développement Durable - Concours de l'Innovation","30,000 €","10,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"IFRAM","Développement d'un poste de patine innovant adapté à l'artisanat pour réaliser les traitements de surfaces d'oeuvres métalliques","51,375 €","15,412 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"IFRAM","Organisation du 3ème salon européen des Métiers d'Art des Métaux  Les Fèvres 2007 ","87,750 €","14,633 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"IFRAM","Soutien aux actions du pôle d'innovation pour l'artisanat des métaux","678,850 €","128,435 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"IFRAM","Soutien aux actions du pôle d'innovation sur l'artisanat des métaux","213,504 €","29,767 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"IKOS Environnement","Pôle d'Excellence Rurale Ecoparc du Pays de Bray : construction du méthaniseur d'effluents liquides Capik","2,448,563 €","414,713 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,,
"INGENIOUS","Création d'un Espace Public Numérique","43,067 €","19,454 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"INSA DE ROUEN","Centre de combustion avancée pour l'aéronautique du futur (C-CAAF)","3,212,654 €","1,500,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"INSA DE ROUEN","Innovations synthétiques pour la découverte et l'élaboration de nouveaux médicaments - MEDI","944,430 €","416,996 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"INSA DE ROUEN","PROJET PLACID-EIDA : effet des impuretés sur la dégradation des alcanolamines","87,000 €","43,500 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Institut de recherche en systèmes électroniques embarqués (IRSEEM)","O2M PHASE 2 (OUTILS DE MODELISATION ET DE CONCEPTION MECATRONIQUE)","443,386 €","221,693 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"Institut de recherche en systèmes électroniques embarqués (IRSEEM)","PUMAS - Plate-forme Universelle de Mobilité Avancée et Soutenable","200,000 €","100,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"L'ESSOR FRANCAIS ELECTRONIQUE (EFE)","Conception de nouvelles parties sensibles de capteurs de pression et des sous-ensembles électroniques de traitement du signal associés, dans le but d'obtenir des performances acrrues et d'en faciliter l'industrialisation.","320,050 €","70,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"Logistique Seine-Normandie","Actions de communication 2008 LSN","441,293 €","93,775 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Logistique Seine-Normandie","ACTIONS DE COMMUNICATIONS 2009","396,094 €","64,667 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Logistique Seine-Normandie","CARTOGRAPHIE DE LA RECHERCHE LOGISTIQUE","54,000 €","21,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Logistique Seine-Normandie","FONCTIONNEMENT/ANIMATION DU POLE DE COMPETITIVITE","821,800 €","220,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Logistique Seine-Normandie","fonctionnement du pôle 2008","593,833 €","79,333 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Logistique Seine-Normandie","FONCTIONNEMENT FILIERE LOGISTIQUE","411,000 €","80,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Logistique Seine-Normandie","LES ASSISES REGIONALES DE LA LOGISTIQUE","95,294 €","27,912 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Logistique Seine-Normandie","PROJET CALAS - SUPPORT VISUEL DE COMMUNICATION","72,000 €","12,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"MEDEF DES HAUTES FALAISES","ACCENT 2010","344,406 €","134,203 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"MEDEF DES HAUTES FALAISES","ACCENT : accompagnement des entrepreneurs","569,410 €","219,200 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"MOTUS","Développement d'un outil informatisé de diagnostic des problèmes de langage chez l'adolescent.","142,550 €","30,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"MOV'EO","ANIMATION SUR LE TERRITOIRE HAUT-NORMAND DU POLE DE COMPETITIVITE MOV'EO","206,700 €","57,850 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"MOV'EO","FINANCEMENT DU COMITE REGIONAL HAUTE-NORMANDIE POUR L'ANNEE 2010","221,200 €","50,400 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"MOV'EO","FINANCEMENT DU POLE MOVEO POUR 2009","645,712 €","114,810 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"NEOCORETECH","Développement  d'une infrastructure logicielle complète de virtualisation de PC.","1,060,040 €","180,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"NORMALAB RANCE","Développement d'ne gamme d'appareils de test pétrolier (distillation automatique, Pensky Martens, pénétromètre) avec mise en oeuvre d'une nouvelle technologie de pilotage électronique.","310,500 €","40,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"Normandie Aeroespace","ACCOMPAGNEMENT POUR L'EVOLUTION STRATEGIQUE DES PMI NORMANDES SUR LA FILIERE DE MARCHE AERONAUTIQUE - ACAMAS","338,050 €","126,435 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Normandie Aeroespace","LE BOURGET 2009","306,936 €","38,500 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Normandie Aeroespace","RENFORCEMENT DE L'ANIMATION DE L'AXE R&T DE NORMANDIE AEROESPACE","80,000 €","16,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"1","Activités R&DT dans centres de recherche"
"NOVATICE TECHNOLOGIES","Développement d'un support de services en ligne pour la gestion à distance de parcs informatiques hétérogènes et multisites, en direction notamment des établissements d'enseignements et des collectivités territoriales.","588,116 €","100,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"office public aménagement et construction 76","Amélioration de la performance énergétique de 35 bâtiments dans le cadre de la réorganisation urbaine de la Cité Verte à Canteleu","15,461,108 €","3,500,000 €","FEDER ","HAUTE-NORMANDIE","HAUTE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
