"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Association Intermédiaire STEFI","Accompagnement vers l'emploi - 2009","111,426 €","30,000 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Le Passe Muraille","Chantier d'Insertion Métiers du tertiaire","225,389 €","109,878 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association MAS DE CARLES","Chantier d'insertion  Activités agricoles label Bio et entretien de l'espace naturel ","200,400 €","26,875 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Offres et demandes","Pôle Accueil Insertion Ricochets","75,069 €","32,516 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION PASSERELLES CHANTIERS","Chantier d'insertion Bâtiments les Aigrelles de Mauguio : 2009/05","227,692 €","34,477 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION PASSERELLES CHANTIERS","Chantier préqualifiant éco construction Maison du Gardien Lodève","240,740 €","67,916 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association VIA VOLTAIRE","Permancence d'écoute psychologique (PEPS) : 2009/18","15,000 €","15,000 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association VIA VOLTAIRE","Permanence d'écoute psychologique (PEPS) : 2008/19","15,000 €","15,000 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"BE2A","Plateforme Bâtiment et Travaux Publics - 2008","71,160 €","35,580 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CAPDIFE","Chantier d'insertion le Jardin Solidaire de Valergues : 2008/03","215,679 €","48,242 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CAPDIFE","Chantier d'insertion le jardin solidaire de Valergues : 2009/03","274,554 €","60,367 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CAPDIFE","Chantier d'insertion Réhabilitation Espaces Verts de la Grande Motte : 2009/04","271,314 €","53,000 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CAPDIFE","Chantier d'insertion  réhabilitation Point Zéro La Grande Motte : 2008/04","210,641 €","47,920 €","FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CAPEB 34","Passeport vers l'artisanat du bâtiment","1,143 €",602 €,"FONDS SOCIAL EUROPEEN","LANGUEDOC-ROUSSILLON","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
