"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ADCAM","Centre d'Intelligence Juridique Economique et Technique CIJET 2007",63190.53,37914.32,"FEDER ","REUNION",,"PO FEDER 2007-2013 - ILE DE LA REUNION","15","Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME"
"ADCAM","Centre d'Intelligence Juridique Economique et Technique CIJET 2008",69997.5,41998.5,"FEDER ","REUNION",,"PO FEDER 2007-2013 - ILE DE LA REUNION","15","Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME"
"ADCAM","Centre d'intelligence juridique économique et technique CIJET- programme 2009",70000,42000,"FEDER ","REUNION",,"PO FEDER 2007-2013 - ILE DE LA REUNION","15","Autres mesures pour améliorer l'accès et l'utilisation efficace des TIC par les PME"
"ADI  (AGENCE  D'INSERTION DE LA REUNION)","Formation et Accompagnement professionnelle durable des bénéficiaires des minima sociaux et des contrats aidés 2008",2571428.57,1800000,"FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADI  (AGENCE  D'INSERTION DE LA REUNION)","Programme d'actions d'accompagnement et de formation 2007",1428570,1000000,"FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADIE: Association pour le Droit à l'Initiative Economique","Crédit solidaire et aide à la création et au premier dévéloppement de très petites entreprises - Programme 2008",369404.49,258583.14,"FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","68","Aide au travail indépendant et à la création d'entreprise"
"AER REUNION","Acquisition de matériels de production",37444.5,8986.68,"FEDER ","REUNION","REUNION","PO FEDER 2007-2013 - ILE DE LA REUNION","8","Autres investissements en entreprises"
"AFPAR","PROGRAMME ACTIVITES AFPAR 2008",33573155.19,13824240.37,"FONDS SOCIAL EUROPEEN","REUNION",,"PO FSE 2007-2013 - ILE DE LA REUNION","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPAR","Programme de formations 2007",29660336.59,12213079.77,"FONDS SOCIAL EUROPEEN","REUNION",,"PO FSE 2007-2013 - ILE DE LA REUNION","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"AGENCE DE DEVELOPPEMENT DE LA REUNION","Programme d'actions 2008",762245,457347,"FEDER ","REUNION","REUNION / SAINT-DENIS / SAINT-DENIS 1ER CANTON","PO FEDER 2007-2013 - ILE DE LA REUNION","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"AGENCE DE DEVELOPPEMENT DE LA REUNION","Programme d'actions de l'AD Réunion pour l'exercice 2009",762245,457347,"FEDER ","REUNION","REUNION / SAINT-DENIS / SAINT-DENIS / SAINT-DENIS","PO FEDER 2007-2013 - ILE DE LA REUNION","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"agence de développement de la Réunion","Programme d'actions 2007",762245,457347,"FEDER ","REUNION",,"PO FEDER 2007-2013 - ILE DE LA REUNION","8","Autres investissements en entreprises"
"AGENCE POUR L'INTEGRATION DE L'EGALITE DES CHANCES ENTRE LES HOMMES ET LES FEMME","Chance Egal - Programme 2008",122910,86037,"FONDS SOCIAL EUROPEEN","REUNION",,"PO FSE 2007-2013 - ILE DE LA REUNION","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"AGENCE POUR L'INTEGRATION DE L'EGALITE DES CHANCES ENTRE LES HOMMES ET LES FEMME","CHANCE EGAL - Programme 2009",129375,90562.5,"FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"AGIDESU","PLIE DU PORT 2008",113781.18,79646.83,"FONDS SOCIAL EUROPEEN","REUNION","REUNION / SAINT-DENIS / SAINT-DENIS / LE PORT","PO FSE 2007-2013 - ILE DE LA REUNION","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ALIE (Association Locale d'Insertion par l'Economique)","PLIE SAINT DENIS 2008",187344.81,131141.36,"FONDS SOCIAL EUROPEEN","REUNION","REUNION / SAINT-DENIS / SAINT-DENIS / SAINT-DENIS","PO FSE 2007-2013 - ILE DE LA REUNION","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ALOHA DEVELOPPEMENT","Création d'une société de recyclage de cartouches d'imprimantes",46935.4,16896.74,"FEDER ","REUNION","REUNION / SAINT-PAUL / SAINT-PAUL 1ER CANTON","PO FEDER 2007-2013 - ILE DE LA REUNION","44","Gestion des déchets ménagers et industriels"
"AMOUR DE FLEURS","Aide aux investissements des entreprises industrielles et artisanales",6984,,"FEDER ","REUNION",,"PO FEDER 2007-2013 - ILE DE LA REUNION","8","Autres investissements en entreprises"
"ANPE REUNION","PLIE SAINT DENIS 2008",83014.43,58110.1,"FONDS SOCIAL EUROPEEN","REUNION","REUNION / SAINT-DENIS / SAINT-DENIS / SAINT-DENIS","PO FSE 2007-2013 - ILE DE LA REUNION","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ANT","Mobilité ANT",5294367,3706035,"FONDS SOCIAL EUROPEEN","REUNION",,"PO FSE 2007-2013 - ILE DE LA REUNION","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ANT","Mobilité ANT - Programme 2008",6314285.71,4420000,"FONDS SOCIAL EUROPEEN","REUNION","REUNION","PO FSE 2007-2013 - ILE DE LA REUNION","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ANTENNE REUNION","Conseil en stratégie",15000,,"FEDER ","REUNION","REUNION / SAINT-DENIS / SAINT-DENIS / SAINT-DENIS","PO FEDER 2007-2013 - ILE DE LA REUNION","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ANTENNE REUNION","Evolution du réseau et du cur informatique",236292.28,70887.68,"FEDER ","REUNION",,"PO FEDER 2007-2013 - ILE DE LA REUNION","8","Autres investissements en entreprises"
"ARCHIV'2000","Acquisition de matériels de numérisation",409589.7,73726.15,"FEDER ","REUNION","REUNION / SAINT-DENIS / SAINTE-MARIE / SAINTE-MARIE","PO FEDER 2007-2013 - ILE DE LA REUNION","8","Autres investissements en entreprises"
"ARDA (Association Réunionnaise pour le Développement de l'Aquaculture)","Observation des flux migratoires des populations de poissons et de macrocrustacés diadromes de La Réunion",217594,130556,"FEDER ","REUNION",,"PO FEDER 2007-2013 - ILE DE LA REUNION","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"ARDA (Association Réunionnaise pour le Développement de l'Aquaculture)","Optimisation et sécurisation du système de production aquacole en cage offshore implanté en baie de St Paul",100000,60000,"FEDER ","REUNION","REUNION / SAINT-PAUL / SAINT-PAUL / SAINT-PAUL","PO FEDER 2007-2013 - ILE DE LA REUNION","3","Transfert de technologie et amélioration des réseaux de coopération..."
"ARFOBAT","EDEC 2009",646430,362000.8,"FONDS SOCIAL EUROPEEN","REUNION",,"PO FSE 2007-2013 - ILE DE LA REUNION","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
