"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ABBEI","Aide aux postes dans les entreprises d'insertion - 2008 - AVENANT N° 1",154896,51367.5,"FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","SEINE-MARITIME","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ABBEI","Aide aux postes dans les entreprises d'insertion 2009",164577,82288,"FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","SEINE-MARITIME / ROUEN / SAINT-ETIENNE-DU-ROUVRAY","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTIF INSERTION","CHANTIER D'INSERTION ATELIER COUTURE",151286.1,55400,"FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","SEINE-MARITIME / LE HAVRE / FECAMP / FECAMP","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTIF INSERTION","CHANTIER D'INSERTION CHEMINS FAISANT",171105.78,56800,"FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","SEINE-MARITIME / LE HAVRE / FECAMP / FECAMP","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTIF INSERTION","CHANTIER D'INSERTION PATRIMOINE BATI 1 ET 2",237890.41,88000,"FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","SEINE-MARITIME / LE HAVRE / FECAMP / FECAMP","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADCE - Association Des Chercheurs d'Emploi","Aide aux postes dans les entreprises d'insertion - 2008",77448,32405,"FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A. D. S. INSERTION (SOLIDARITE INSERTION)","ATELIER CHANTIER INSERTION",154365,77182.5,"FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE / EVREUX / SAINT-ANDRE-DE-L'EURE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A. D. S. INSERTION (SOLIDARITE INSERTION)","ATELIER CHANTIER INSERTION ",154365,77182.5,"FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","EURE / EVREUX / SAINT-ANDRE-DE-L'EURE / SAINT-ANDRE-DE-L'EURE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Agence de l'Environnement et de la Maîtrise de l'Energie (ADEME)","Programme d'animation, de suivi et de valorisation de bâtiment basse consommation à destination des professionnels - PREBAT",1208782.02,725269.21,"FEDER ","HAUTE-NORMANDIE",,"Objectif  compétitivité régionale et emploi  2007-2013","43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Agence pour le Développement des Emplois de Proximité - ADEP","Chantier d'insertion  emploi de proximité  2009-2010",138543,27077,"FONDS SOCIAL EUROPEEN","HAUTE-NORMANDIE","SEINE-MARITIME / ROUEN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
