"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ACTION FORMATION81","08 OBJECTIF EMPLOI",8500,8500,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN / ALBI","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTION PLENITUDE","08 ACCOMPAGNEMENT INDIVIDUEL RENFORCE 2008",21000,18000,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN / ALBI / CARMAUX","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTION PLENITUDE","08 CAE Confiance en soi 2008",4478,4478,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN / ALBI / CARMAUX","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTION PLENITUDE","ACCOMPAGNEMENT INDIVIDUEL RENFORCE 2007",3000,1500,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN / ALBI / CARMAUX","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTIV-RENOV","Aide aux postes d'insertion en entreprise d'insertion",77448,29043,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN-ET-GARONNE / MONTAUBAN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACTIV-RENOV","Aide aux postes d'insertion en entreprise d'insertion",77448,29043,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","TARN-ET-GARONNE / MONTAUBAN / MONTAUBAN / MONTAUBAN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A.D.A.S.E.A.","CONGES DE FORMATION POUR RECLASSEMENT 2007",13573.59,6108.05,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ADASEA de l'Aveyron","Animation territoriale et conseil technique pour la gestion des zones humides aveyronnaises",46626,13988,"FEDER ","MIDI-PYRENEES","AVEYRON","FEDER Compétitivité Régionale et Emploi","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"ADASEA de l'Aveyron","Valorisation pastorale et pédagogique de la tourbière communale des Founs à Arvieu (Aveyron)",18726,5618,"FEDER ","MIDI-PYRENEES","AVEYRON / RODEZ / CASSAGNES-BEGONHES / ARVIEU","FEDER Compétitivité Régionale et Emploi","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"ADASEA du Gers","Animation territoriale pour la gestion des zones humides 2007 - 2012 - cellule d'assistance techniqu",143550,21532.5,"FEDER ","MIDI-PYRENEES","GERS","FEDER Compétitivité Régionale et Emploi","51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"ADASEA du Lot","ACTIONS DU PLAN DE FORMATION 2007",3691.45,1661.15,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ADASEA du Lot","ACTIONS DU PLAN DE FORMATION 2008",10988,4944.6,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ADE","PROJET COLLECTIF PASSEPORT FORMATION 2007",9100,4095,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE / TOULOUSE / TOULOUSE / TOULOUSE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ADEBAG (Association des Entreprises du Bassin Adour Garonne)","Programme d'information et d'animation d'un réseau d'entreprises sur la ressource en eau",155088,46526,"FEDER ","MIDI-PYRENEES",,"FEDER Compétitivité Régionale et Emploi","54","Autres mesures pour protéger l'environnement et prévenir les risques"
"Adecco Parcours et Emploi","Accompagnement à la recherche active d'emploi : prospection sur le secteur marchand et proposition d'offre d'emploi en CDI ou CDD de plus de 6 mois adpatées aux profils des bénéficiaires",193619.89,107336.52,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Adecco Parcours et Emploi","Accompagnement à la recherche active d'emploi : prospection sur le secteur marchand et proposition d'offres d'emploi en contrats intérimaires adaptées aux profils des bénéficiaires",22284,12353.52,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES","HAUTE-GARONNE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADEFPAT","Formation-développement",536030,241060,"FONDS SOCIAL EUROPEEN","MIDI-PYRENEES",,"Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
