"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Société ACOME","Installation d'une chaufferie bois.","971,000 €","177,713 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"41","Energie renouvelable: biomasse"
"Société ACOME","LIN Technique Normand (LINT)","580,906 €","346,594 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"Société Normande de Volaille (S.N.V.)","Extension du site industriel SNV Les Fourmis et développement du site SNV Pont Morin à la Chapelle d'Andaine.","7,034,500 €","350,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"8","Autres investissements en entreprises"
"Syndicat Intercommunal d'Energies et d'Equipement du Calvados","Mise en oeuvre d'un Conseil en Energie Partagé (CEP) 2008/2010","215,387 €","57,500 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Syndicat Intercommunal pour le Développement du Territoire du Perche Ornais","Animation touristique du Pays du Perche Ornais - 2009.","57,100 €","11,420 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"81","Mécanismes pour améliorer la conception des politiques et des programmes, le suivi et l'évaluation ..."
"Syndicat Intercommunal pour le Développement du Territoire du Perche Ornais","Ingénierie Tourisme Durable.","27,936 €","5,458 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"81","Mécanismes pour améliorer la conception des politiques et des programmes, le suivi et l'évaluation ..."
"Syndicat Mixte Baie du Mont-Saint-Michel","Poursuite du grand projet de rétablissement du caractère maritime du Mont-Saint-Michel","33,437,000 €","10,031,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"56","Protection et valorisation du patrimoine naturel"
"Syndicat Mixte d'Aménagement et d'Urbanisme de l'Agglomération Caennaise ","Animation d'un COT (Contrat d'Objectif Territorial) 2008-2010.","126,529 €","37,959 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Syndicat Mixte des Espaces Littoraux de la Manche (SYMEL 50)","Mise en place d'un logiciel d'information géographique","39,901 €","15,960 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"12","Technologies de l'information et la communication (RTE-TIC)"
"Syndicat Mixte des Espaces Littoraux de la Manche (SYMEL 50)","Programme d'études naturalistes","31,280 €","5,220 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Syndicat Mixte des Espaces Littoraux de la Manche (SYMEL 50)","Programme d'études naturalistes 2010","23,984 €","5,200 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Syndicat Mixte des Espaces Littoraux de la Manche (SYMEL 50)","Programme d'études naturalistes année 2009","21,500 €","3,225 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Syndicat Mixte de Val de Vire (SMVV)","Animation touristique du Pays Saint-Lois - 2009.","100,288 €","20,058 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"81","Mécanismes pour améliorer la conception des politiques et des programmes, le suivi et l'évaluation ..."
"Syndicat Mixte de Val de Vire (SMVV)","Développement touristique du Pays St-Lois.","99,644 €","19,242 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"81","Mécanismes pour améliorer la conception des politiques et des programmes, le suivi et l'évaluation ..."
"Syndicat Mixte du Pays de Coutances","Gestion intégrée des zones côtières sur la côte des Havres 2008 ","61,085 €","30,543 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"81","Mécanismes pour améliorer la conception des politiques et des programmes, le suivi et l'évaluation ..."
"Syndicat Mixte du Point-Fort","Unité de méthanisation à Cavigny","875,422 €","262,626 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"41","Energie renouvelable: biomasse"
"Syndicat mixte pour la mise en valeur et l'entretien de l'ancienne ligne de chemein de fer de Condé ","Aménagement de la voie verte Condé sur Huisne/Alençon (études et ouvrages d'art).","1,647,425 €","658,970 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"54","Autres mesures pour protéger l'environnement et prévenir les risques"
"Syndicat Mixte Régional des Ports de Caen-Ouistreham et de Cherbourg","Carénage et verrouillage du vantail amont de l'écluse Est de Ouistreham","750,575 €","225,173 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"30","Ports"
"Syndicat Mixte Régional des Ports de Caen-Ouistreham et de Cherbourg","Création d'un cercle d'évitage sur le canal de Caen-Ouistream","1,431,735 €","435,517 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"30","Ports"
"Syndicat Mixte Régional des Ports de Caen-Ouistreham et de Cherbourg","Port de Cherbourg - Quai des Mielles - Aménagement d'un poste de chargement vrac","729,188 €","225,317 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"30","Ports"
"Syndicat Mixte Régional des Ports de Caen-Ouistreham et de Cherbourg","Remplacement mécanisme de rotation - Pont de Colombelles","990,851 €","297,255 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"30","Ports"
"SYNERGIA Agence de développement économique Caen la Mer","Concours  Entreprises de l'Innovation, l'esprit d'entreprise au féminin et au masculin ","120,559 €","12,917 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"SYNERGIA Agence de développement économique Caen la Mer","NORLANDA - Pépinière d'entreprises nautiques","582,833 €","233,133 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"SYNERGIA Agence de développement économique Caen la Mer","PLUG N' WORK - Pépinière d'entreprise","778,855 €","311,542 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"TARTEFRAIS SA","Création de la ligne  pâte à choux ","3,650,000 €","500,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"8","Autres investissements en entreprises"
"TEILLAGE VANDECANDELAERE","Lin Technique Normand","4,810,229 €","3,585,885 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"THE MONTECITO GROUP","Faisabilité pour le développement de nouveaux services de shopping sur internet et mobile, notamment sur l'extension du navigateur, impliquant le recrutement d'un docteur en informatique.","69,000 €","30,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"THE MONTECITO GROUP","Faisabilité pour le développement d'un nouveau service de shopping sur internet et mobile, impliquant le recrutement d'un docteur en systèmes d'information.","70,030 €","35,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"TRAVYL","Faisabilité pour la mise en adéquation des formulations produits notamment avec la règlementation REACH, impliquant le recrutement d'un technicien supérieur.","35,235 €","17,000 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Université de Caen ","Acquisition d'un diffractomètre à Rayons X rapide","198,067 €","79,200 €","FEDER ","BASSE-NORMANDIE","BASSE-NORMANDIE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
