"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ARCADOUR","L'aide aux postes d'une entreprise d'insertion - 2007",33884,,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ARDEAR LIMOUSIN","programme: indépendance énergétique et alimentaire sur les exploitations agricoles ",35000,14000,"FEDER ","LIMOUSIN",,"Compétitivité régionale - FEDER - Limousin",,
"AREF BTP LIMOUSIN","Professionnalisation des salariés du BTP en Limousin",374750,168638,"FONDS SOCIAL EUROPEEN","LIMOUSIN",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AROLIM-l'USH du Limousin","Sensibilisation des organismes HLM au développement durable",90000,29250,"FEDER ","LIMOUSIN",,"Compétitivité régionale - FEDER - Limousin","54","Autres mesures pour protéger l'environnement et prévenir les risques"
"ARROLIMOUSIN","Investissements immobiliers",458789,57348.62,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin",,
"AS'COM INGENIERIE","Recrutements d'un cadre et d'un second",68428,17107,"FEDER ","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES / LIMOGES","Compétitivité régionale - FEDER - Limousin",,
"ASFO DEVELOPPEMENT LIMOUSIN","Conduite de nacelle (PEMP) et CACES R386 : formation individuelle de 6 bénéficiaires",3635.84,1817.84,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASFO DEVELOPPEMENT LIMOUSIN","Fonds Local Formation 2009 : Conduite de chariots élévateurs et CACES R389 Catégories 3 et 5",295,295,"FONDS SOCIAL EUROPEEN","LIMOUSIN","CORREZE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association ARENE","Boutique Club Emploi",6150,4500,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association ARENE","Club Emploi 2008",110605,13500,"FONDS SOCIAL EUROPEEN","LIMOUSIN","HAUTE-VIENNE / LIMOGES / LIMOGES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
