"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ARMINES ","Filage à chaud Etude de l'endommagement","178,651 €",,"FEDER ","BOURGOGNE","BOURGOGNE",,"1","Activités R&DT dans centres de recherche"
"Arts et Métiers ParisTech","Cluny 2010 - volet GUNZO","2,194,000 €","969,000 €","FEDER ","BOURGOGNE","BOURGOGNE",,"1","Activités R&DT dans centres de recherche"
"Arts et Métiers ParisTech","espace multisite métallurgique bourgogne ","370,365 €","180,000 €","FEDER ","BOURGOGNE","BOURGOGNE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Association ARBORESCENCE","Nature dans ta ville (NDTV) de janvier 2010 à janvier 2013","144,708 €","72,354 €","FEDER ","BOURGOGNE","BOURGOGNE",,"63","Conception et diffusion de modes d'organisation du travail innovateurs et plus productifs"
"ASSOCIATION CHARLES DE FOUCAULD","Installationd'une chaufferie bois avec réseau de chaleur et un hangar de stockage","253,394 €","126,697 €","FEDER ","BOURGOGNE","BOURGOGNE",,"41","Energie renouvelable: biomasse"
"Association COMITE NORD PLANTS DE POMMES DE TERRE","QUALIVIVANT  ","749,357 €",,"FEDER ","BOURGOGNE","BOURGOGNE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
"Association Icaunaise d'Hygiène Populaire","Chaufferie bois pour serres horticoles et atelier","364,500 €","144,730 €","FEDER ","BOURGOGNE","BOURGOGNE",,"41","Energie renouvelable: biomasse"
"Association Les Petits Frères des Pauvres","Installation d'une chaufferie bois déchiqueté avec réseau de chaleur à Pothières (21)","461,020 €","230,510 €","FEDER ","BOURGOGNE","BOURGOGNE",,"41","Energie renouvelable: biomasse"
"ASSOCIATION MISSION NUMERIQUE DU PAYS NIVERNAIS-MORVAN","Cyber base de la mission numérique du pays nivernais morvan","204,040 €","81,616 €","FEDER ","BOURGOGNE","BOURGOGNE",,"14","Services et applications pour les PME (commerce électronique, éducation et formation, mise en réseau, etc.)"
"Association Nièvre Initiatives Locales (N.I.L.)","Accompagnement financier des porteurs de projet 2008","73,570 €","15,000 €","FEDER ","BOURGOGNE","BOURGOGNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association Nièvre Initiatives Locales (N.I.L.)","Accompagnement financier des porteurs de projets 2009","101,449 €","20,000 €","FEDER ","BOURGOGNE","BOURGOGNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association Nièvre Initiatives Locales (N.I.L.)","Fonds de prêts 2008","648,000 €","20,000 €","FEDER ","BOURGOGNE","BOURGOGNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association Nièvre Initiatives Locales (N.I.L.)","Fonds de prêts 2009","667,000 €","20,000 €","FEDER ","BOURGOGNE","BOURGOGNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association pour la Production et la Valorisarisation de l'Electricité Solaire - APEVES","Installation d'un générateur photovoltaïque raccordée au réseau de  27 720 Wc","143,523 €","71,760 €","FEDER ","BOURGOGNE","BOURGOGNE",,"40","Energie renouvelable: én. solaire"
"BARLET FRERES","Installation d'une chaufferie bois","145,000 €","23,200 €","FEDER ","BOURGOGNE","BOURGOGNE",,"41","Energie renouvelable: biomasse"
"BEST","DEVELOPPEMENT D'UN NOUVEAU SERVICE EN LIGNE DESTINE AUX DONNEURS D'ORDRE DE BEST POUR OPTIMISER LA COMPETITIVITE.","195,311 €","48,000 €","FEDER ","BOURGOGNE","BOURGOGNE",,"7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
