"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"AET","2009 - Réalisation d'actions d'insertion sociale et/ou professionnelle au profit des bénéficiaires du RMI-RSA",201232.8,100616.4,"FONDS SOCIAL EUROPEEN","CENTRE","EURE-ET-LOIR / DREUX / DREUX-SUD / VERNOUILLET","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AET","Aide aux postes en entreprises d'insertion 2008",1321034,174258,"FONDS SOCIAL EUROPEEN","CENTRE","EURE-ET-LOIR / CHARTRES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AET","Développement des postes d'insertion",319500,125700,"FONDS SOCIAL EUROPEEN","CENTRE","EURE-ET-LOIR","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AFNOR - Association Française de Normalisation","Développer l'Eco-innovation dans les PME/PMI de la région Centre",220846,81673,"FEDER ","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","PO-FEDER","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"AFNOR - Association Française de Normalisation","Production au plus juste (Lean Sigma)",428380,171000,"FEDER ","CENTRE","LOIRET / ORLEANS / ORLEANS / ORLEANS","PO-FEDER","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"A.FOR.PRO.BA de l'Indre (CFA du Bâtiment de l'indre)","PROJET D'ETABLISSEMENT 2008 (CFA BTP 36)",151412,68134,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"A.FOR.PRO.BA de l'Indre (CFA du Bâtiment de l'indre)","PROJET D'ETABLISSEMENT 2009 (CFA BTP 36)",199060,89570,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"A.FOR.PRO.BA. de l'Indre-et-Loire (CFA du Bâtiment de l'Indre-et-Loire)","PROJET D'ETABLISSEMENT 2008 (CFA du Bâtiment d'Indre-et-Loire)",143518,54659,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"A.FOR.PRO.BA. de l'Indre-et-Loire (CFA du Bâtiment de l'Indre-et-Loire)","PROJET D'ETABLISSEMENT 2009 (CFA BTP 37)",201155,90515,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"A.FOR.PRO.BA de Loir-et-Cher (CFA du Bâtiment de Loir-et-Cher)","PROJET D'ETABLISSEMENT 2008 (CFA BTP de Loir-et-Cher)",304189,115676,"FONDS SOCIAL EUROPEEN","CENTRE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
