"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"CRITT AGRO ALIMENTAIRE","Association CRITT AGRO ALIMENTAIRE (2008) -innovation transfert de technologie et performance indus. RRI",206000,100000,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","VAUCLUSE / AVIGNON","Programme Opérationnel FEDER","3","Transfert de technologie et amélioration des réseaux de coopération..."
"CRITT AGRO ALIMENTAIRE","PROGRAMME 2009 RESEAU REGIONAL DE L INNOVATION",226200,100000,"FEDER ","PROVENCE-ALPES-COTE D´AZUR","VAUCLUSE / AVIGNON","Programme Opérationnel FEDER",,
"CRITT AGRO ALIMENTAIRE","Programme régional de développement de l'éco-conception dans les IAA - AP 2009 - Volet 1",175300,52590,"FEDER ","PROVENCE-ALPES-COTE D´AZUR",,"Programme Opérationnel FEDER",,
"CRITT Chimie Plastiques Matériaux","Programme d'actions animation 2008 - PRIDES NOVACHIM",465103,80000,"FEDER ","PROVENCE-ALPES-COTE D´AZUR",,"Programme Opérationnel FEDER","3","Transfert de technologie et amélioration des réseaux de coopération..."
"CT2M","programme 2009 reseau regional de l innovation",72000,36000,"FEDER ","PROVENCE-ALPES-COTE D´AZUR",,"Programme Opérationnel FEDER","3","Transfert de technologie et amélioration des réseaux de coopération..."
"CT2M","RRI 2008 - Participation aux actions 2008 du CT2M",62438,31220,"FEDER ","PROVENCE-ALPES-COTE D´AZUR",,"Programme Opérationnel FEDER","3","Transfert de technologie et amélioration des réseaux de coopération..."
"DIALOGUES","Chantier d'insertion - Epicerie sociale ",99929.84,10929.84,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","ALPES-MARITIMES / NICE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Direction Régionale Association nationale pour la Formation Professionnelle des Adultes","Agir pour l'emploi des femmes et la mixité des métiers sur la zone d'emploi de l'Ouest de l'Etang de Berre",448648,224324,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR","Multilocalisation","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"Direction Régionale Association nationale pour la Formation Professionnelle des Adultes","Analyse des évolutions des compétences, aptitudes et besoins en matière d'emploi et de formation dans les métiers en tension",909928,454964,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Direction Régionale Association nationale pour la Formation Professionnelle des Adultes","DISPOSITIF DE FORMATION AUX METIERS DU BATIMENT ET DES TRAVAUX PUBLICS POUR REPONDRE AUX BESOINS DE QUALIFICATION DES CHANTIERS ITER",1897511,947511,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
