"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"R ET G LEFEVRE","Plan de formation de l'entreprise","6,816 €","2,726 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / BRIEY / AUDUN-LE-ROMAN / BEUVILLERS","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"HOMEGAL","Accompagnement des porteuses et porteurs de projets","141,199 €","50,355 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / BRIEY / BRIEY / JOEUF","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"EMMIC CONTROLE","FRIFE","34,203 €","10,261 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / BRIEY / CONFLANS-EN-JARNISY / LABRY","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"CCI  54","Atelier femmes créatrices de l'agglomération de Longwy","49,165 €","22,282 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / BRIEY / LONGWY","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Mission locale de Longwy","accompagnement renforcé 2008","94,739 €","33,560 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / BRIEY / LONGWY","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Mission locale de Longwy","accompagnement renforcé des jeunes","132,677 €","33,560 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / BRIEY / LONGWY","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Mission locale de Longwy","accompagnement renforcé des jeunes de 16 à 25 ans","93,060 €","33,560 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / BRIEY / LONGWY","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Mission locale de Longwy","développement d'un réseau de parrainage","52,282 €","21,282 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / BRIEY / LONGWY","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Mission locale de Longwy","développement d'un réseau de parrainage vers l'emploi","59,546 €","21,200 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / BRIEY / LONGWY","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"CCI  54","atelier femmes créatrices longwy","49,165 €","22,282 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / BRIEY / LONGWY / LONGWY","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CCI  54","Ecole de la Deuxième Chance (E2C) - Transfrontalière Pays Haut","364,858 €","182,064 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / BRIEY / LONGWY / LONGWY","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CENTRE D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES ","L'EMPLOI TRANSFRONTALIER","15,000 €","7,500 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / BRIEY / LONGWY / LONGWY","Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"ADCTL","chantiers d'insertion PDI CG 54","80,280 €","32,677 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association de Développement Local et dIinsertion Sociale et Professionnelle de la Communautéde Communes du Lunévillois","Accompagnement  des  CAV-CAE dans leurs parcours d'insertion en ACI  Métiers liés à l'environnement ","63,840 €","31,920 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"FR Services","chantier d'insertion PDI 54","67,556 €","31,076 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Mission locale de luneville","accompagnement renforcé 2008","199,725 €","33,000 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Mission locale de luneville","accompagnement renforcé des jeunes","193,190 €","33,000 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE","Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Mission locale de luneville","Réseau de parrainage de jeunes dans le Lunévillois","18,431 €","8,862 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"SA COANUS ","Plan de formation de l'entreprise ","4,466 €","1,786 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / BLAMONT / IGNEY","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Association de Développement Local et dIinsertion Sociale et Professionnelle de la Communautéde Communes du Lunévillois","LU-Chantier Métiers de l'Environnement","368,227 €","64,350 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / LUNEVILLE / LUNEVILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association de Développement Local et dIinsertion Sociale et Professionnelle de la Communautéde Communes du Lunévillois","LU-Plateforme mobilité Auto Ecole Ass.","42,500 €","14,500 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / LUNEVILLE / LUNEVILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Entr'aide chomeurs","LU-Accompagnement transversal Correspondant de Parcours","46,000 €","40,000 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / LUNEVILLE / LUNEVILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Entr'aide chomeurs","LU-Placement à l'emploi AEC 2009","28,500 €","15,000 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / LUNEVILLE / LUNEVILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association INsertion Emploi Solidarité","LU-Chantier insertion Zol A + B & Lothar","611,993 €","84,200 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / LUNEVILLE / LUNEVILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Association Solidarité pour l'Insertion des Chômeurs ","LU-Chantier d'insertion Maraichage et cueillette","226,887 €","19,000 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / LUNEVILLE / LUNEVILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"FR Services","LU-Chantiers d'insertion  collectifs lunévillois ","119,937 €","20,000 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / LUNEVILLE / LUNEVILLE","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ILM AGENCEMENTS","Plan de formation de l'entreprise","21,927 €","8,771 €","FONDS SOCIAL EUROPEEN","LORRAINE","MEURTHE-ET-MOSELLE / LUNEVILLE / LUNEVILLE / LUNEVILLE","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
