"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Association Le Clos Du Nid","Installation d'une chaufferie automatique au bois pour la Maison d'Accueil spécialisée  l'Aubrac  à St Germain du Teil ","654,184 €","163,546 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"41","Energie renouvelable: biomasse"
"Association Le Clos Du Nid","Installation d'une chaufferie automatique au bois pour le Foyer de Vie  Horizon  à St Germain du Teil","504,184 €","126,046 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"41","Energie renouvelable: biomasse"
"Association 'Les Lutins Cévenols'","Iinstallation d'une chaufferie automatique au bois pour le centre de Pleine Nature","250,632 €","44,335 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"41","Energie renouvelable: biomasse"
"ASSOCIATION LIEUX RESSOURCES DE MONTPELLIER","Soutien aux personnes en situation de précarité et plus particulièrement celle percevant les minima sociaux","82,996 €","41,498 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"12","Technologies de l'information et la communication (RTE-TIC)"
"ASSOCIATION LOZERIENNE DE LUTTE CONTRE LES FLEAUX SOCIAUX","Installation dune chaudière automatique à bois déchiqueté et dune installation solaire thermique pour le C.E.M.et le C.R.F de Montrodat","2,174,645 €","625,588 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"40","Energie renouvelable: én. solaire"
"ASSOCIATION LOZERIENNE DE LUTTE CONTRE LES FLEAUX SOCIAUX","Installation dune chaudière automatique à bois déchiqueté et dune installation solaire thermique pour le C.E.M.et le C.R.F de Montrodat","2,174,645 €","625,588 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"41","Energie renouvelable: biomasse"
"Association MAIEUTICA BASSIN DE THAU","Compétitivité et performances : innovation sans frontières","142,529 €","57,012 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association MAIEUTICA Bâtiment","Compétitivité et performance : innovation sans frontières","131,009 €","52,404 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association MAIEUTICA Industrie","Compétitivité et performance : innovation sans frontières","165,569 €","66,228 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association NOUAS","recyclage de matériels informatiques comme vecteur d'insertion socio-professionnelle et moyen de lutte contre la fracture numérque dans les quartiers populaires","120,000 €","60,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"12","Technologies de l'information et la communication (RTE-TIC)"
"ASSOCIATION Q@LI-MEDITERRANEE","Association Q@LI-MEDiterrannée / Financement de l'animation du pôle - Année 2009","356,500 €","80,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ASSOCIATION ROUSSILLONNAISE D'ACTION SOCIALE","Installation photovoltaïque raccordée au réseau et intégrée au bâti de 45.88 kWc sur la halle des sports de l'ITEP Peyrebrune","346,499 €","57,350 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"40","Energie renouvelable: én. solaire"
"ASSOCIATION VERSEAU","CLUSTER EAU - Plan d'action 2009","246,185 €","65,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ATELIER AUBARET","Installation photovoltaïque de 49.68 kWc sur un bâtiment industriel","289,730 €","24,840 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"40","Energie renouvelable: én. solaire"
"ATOLE SA","Achat d'un terrain et construction d'un bâtiment sur la ZI Via Domitia à Castries (34)","1,256,543 €","150,000 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"8","Autres investissements en entreprises"
"AUDIO SUD","AFT / Projet d'étude et de développement d'une balise folttante autonome amplifiée équipée d'un haut parleur subaquatique","48,771 €","12,192 €","FEDER ","LANGUEDOC-ROUSSILLON","LANGUEDOC-ROUSSILLON",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
