"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"S.I.C.S.M (SYNDICAT INTERCOMMUNAL DU CENTRE ET DU SUD DE LA MARTINIQUE)","Réhabilitation de la station d'épuration de l'Anse Marette (3-îlets)","1,000,000 €","138,153 €","FEDER ","MARTINIQUE","MARTINIQUE",,"46","Traitement de l'eau (eaux usées)"
"S.I.C.S.M (SYNDICAT INTERCOMMUNAL DU CENTRE ET DU SUD DE LA MARTINIQUE)","Transfert des Eaux Usées vers la nouvelle station du Marin","2,800,000 €","640,000 €","FEDER ","MARTINIQUE","MARTINIQUE",,"46","Traitement de l'eau (eaux usées)"
"SMEM (Syndicat Mixte d'électricité de la Martinique","OPERATIONS D'INSTALLATION DE CENTRALES PV DE PRODUCTION D'ELECTRICITE CONNECTEES AU RESEAU","5,642,267 €","1,065,715 €","FEDER ","MARTINIQUE","MARTINIQUE",,"40","Energie renouvelable: én. solaire"
"SNC G5J INDUSTRIES","Programme d'extension d'usine - Adjonction d'une ligne de dosage et de mélange","3,194,508 €","638,902 €","FEDER ","MARTINIQUE","MARTINIQUE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"SNC G8T INDUSTRIES","Usine de fabrication de dalles, de sols et de pierres de parement","1,446,050 €","320,000 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"SNC KANEL 500","Modernisation de la production de la société ROYAUME DU BOUDIN","915,364 €","253,496 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"SOCARA","Acquisition d'un système de gestion commerciale liée aux NTIC","88,960 €","44,480 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"SOCARA","AIDE AU FRET 2008 Approvisionnement en bouteilles, capsules et aromes","76,458 €","38,229 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"SOCARIZ","AIDE AU FRET 2008  Approvisionnement en emballages ","15,355 €","7,678 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"SOCIETE ANTILLAISE DE GESTION ET D'EXPLOITATION- HÔTEL FREGATE BLEUE","EXTENSION DE L'HÔTEL FREGATE BLEUE","416,885 €","100,053 €","FEDER ","MARTINIQUE","MARTINIQUE",,"57","Autres outils d'amélioration des services touristiques"
"SOCIETE ANTILLAISE DE MIROITERIE (SAMIR)","AIDE AU FRET 2008  Approvisionnements en matières premières : produits verres, miroir, plexiglas et aluminium ","89,000 €","44,500 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"SOCIETE CARIBEENNE DE PALETTISATION (SOCAPAL)","AIDE AU FRET 2008  Approvisionnement en bois scie et pigment acqueux ","63,282 €","31,641 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"SOCIETE D'ART GRAPHIQUE","AIDE AU FRET 2008 : Approvisionnements en consommables encres, papier, carton","146,803 €","73,402 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"SOCIETE DE CONSTRUCTION DE MENUISERIES INDUSTRIELLES (SOCOMI)","AIDE AU FRET 2008  Approvisionnement profilés, tôles, verres, vitrages,miroirs, etc. ","340,000 €","170,000 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"SOCIETE D'EMBOUTEILLAGE DE L'EAU MINERALE DIDIER","AIDE AU FRET 2008  Approvisionnement granules PVC, préformes et sable ","99,731 €","49,866 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"SOCIETE DES PEINTURES DU MARIN AZUREL","AIDE AU FRET 2008 : Approvisionnement en emballages, pigment, charges, liant, adjuvants, solvants","222,982 €","111,491 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"Société de Transformation Acier Béton (S.T.A.B.)","AIDE AU FRET 2008  Approvisionnement en matières premières : fil machine et barres en acier ","567,388 €","283,694 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"SOCIETE MARTINIQUAISE DES EAUX DE SOURCE (SO.M.E.S.)","AIDE AU FRET 2008  Approvisionnement préformes, bouchons, concentrés,étiquettes et films ","388,341 €","194,171 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"SOCIETE MARTINIQUAISE DES EAUX DE SOURCE (SO.M.E.S.)","Projet de raccordement et d'embouteillage de la source Yang-Ting","1,484,200 €","221,194 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"SOCIETE NOUVELLE DES YAOURTS LITTEE (S.N.Y.L.)","AIDE AU FRET 2008  Approvisionnement poudre de lait, arômes, pulpe de fruits et concentrés de jus de fruits ","235,624 €","117,812 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"SOPROGLACES","AIDE AU FRET 2008 : Approvisionnement en lait, sucre, beurre et matière grasse végétale, pulpe et pate de fruit, aromes","260,612 €","130,306 €","FEDER ","MARTINIQUE","MARTINIQUE",,"82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"SYNDICAT INTERCOMMUNAUX DU CENTRE ET DU SUD DE LA MARTINIQUE S.I.C.S.M","Optimisation de la serre solaire de la station d'épuration de Marin/Sainte-Anne","604,368 €","278,009 €","FEDER ","MARTINIQUE","MARTINIQUE",,,
"VILLE DE RIVIERE SALEE","RECONSTRUCTION DE L'ECOLE DE FOND MASSON","3,356,050 €","1,037,130 €","FEDER ","MARTINIQUE","MARTINIQUE",,"53","Prévention des risques (...)"
