"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"IMPRIMERIE BREMOND","PRESSE NUMERIQUE - HP INDIGO 5500","6,024 €","2,590 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"IMPRIMERIE CARACTERE","CTP KODAK","16,733 €","7,195 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"IMPRIMERIE COTTET","DREAMWEAVER CREATION DE SITE","2,863 €",973 €,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"IMPRIMERIE COTTET","MAITRISE DE LA QUALITE D'IMPRESSION","2,779 €",993 €,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"IMPRIMERIE DE RUDDER","FACONNAGE","9,036 €","3,885 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"IMPRIMERIE DE RUDDER","GESTION FINANCIERE","1,366 €",295 €,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"IMPRIMERIE DE RUDDER","LOGICIEL DEVIS ECOFFI","11,144 €","4,792 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"IMPRIMERIE DE RUDDER","MANAGEMENT DE L'ENVIRONNEMENT","5,135 €","2,208 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"IMPRIMERIE DE RUDDER","PERFECTIONNEMENT GESTION COMPTABILITE","1,961 €",843 €,"FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"IMPRIMERIE DE RUDDER","PERFECTIONNEMENT PAYE/RELANCE COMPTABILITE","6,743 €","2,771 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"IMPRIMERIE DE RUDDER","TRAITEMENT PAGE PDF","4,278 €","1,839 €","FONDS SOCIAL EUROPEEN","PROVENCE-ALPES-COTE D´AZUR",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
