"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"CENTRE DE COOPERATION INTERNATIONAL EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT - CIRAD","VALEIXBIOTROP","1,449,369 €","1,029,052 €","FEDER ","GUADELOUPE","GUADELOUPE",,"1","Activités R&DT dans centres de recherche"
"CENTRE HOSPITALIER DE BASSE-TERRE","2 ème Tranche du nouvel hôpital de BASSE-TERRE - Construction du bâtiment des médecines- Mise aux normes para-sismiques","7,532,924 €","3,766,462 €","FEDER ","GUADELOUPE","GUADELOUPE",,"76","Infrastructures pour la santé"
"CENTRE HOSPITALIER UNIVERSITAIRE (CHU) POINTE-A-PITRE / ABYMES","Création de la plateforme commune de Biologie Moléculaire au CHU Pointe-à-Pitre / Abymes","257,128 €","182,561 €","FEDER ","GUADELOUPE","GUADELOUPE",,"1","Activités R&DT dans centres de recherche"
"Chabin's Café","Travaux d'aménagement et d'équipement du bar-restaurant le Chabin's Café à Marigot","97,082 €","62,958 €","FEDER ","GUADELOUPE","GUADELOUPE",,,
"CHAMBRE DE COMMERCE DE BASSE-TERRE","Evolution de la solution Base de données économiques LINEAL vers applications Proconsulix EIRsys et Acquisition de matériel informatique","58,127 €","37,201 €","FEDER ","GUADELOUPE","GUADELOUPE",,"10","Infrastructures téléphoniques (y compris réseaux haut débit)"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","Aérogare  Régional Caraïbes  - Circulations  piétonnes vers les parkings régionaux","2,140,000 €","1,070,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,"29","Aéroports"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","CAMPAGNE D'INFORMATION ECONOMIQUE DECENTRALISEE DANS LES COMMUNES","41,860 €","31,395 €","FEDER ","GUADELOUPE","GUADELOUPE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","Carrefour des technologies de l'information et de la communication 2008","218,000 €","139,520 €","FEDER ","GUADELOUPE","GUADELOUPE",,"14","Services et applications pour les PME (commerce électronique, éducation et formation, mise en réseau, etc.)"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","Construction d'un ascenseur panoramique","730,000 €","365,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,"29","Aéroports"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","Création d'un portail Internet de services aux entreprises","188,400 €","65,940 €","FEDER ","GUADELOUPE","GUADELOUPE",,"14","Services et applications pour les PME (commerce électronique, éducation et formation, mise en réseau, etc.)"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","Dispositif d'accompagnement des entreprises de proximité hors agglomération pointoise Points Multi-Services (PMS) ","71,839 €","45,977 €","FEDER ","GUADELOUPE","GUADELOUPE",,"10","Infrastructures téléphoniques (y compris réseaux haut débit)"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","Hall d'enregistrement déporté -Espace croisière","1,040,000 €","520,000 €","FEDER ","GUADELOUPE","GUADELOUPE",,"29","Aéroports"
