"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"ASSOCIATION ANIMATION VAUCLUSIENNE EDUCATIVE ET CULTURELLE (A.V.E.C.)","MONDES - ASTIC","60,800 €","21,280 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"11","Technologies de l'information et la communication (...)"
"ASSOCIATION ANIMATION VAUCLUSIENNE EDUCATIVE ET CULTURELLE (A.V.E.C.)","MONDES - ASTIC","60,800 €","21,280 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"Association Arnavant","renforcer et étendre le réseau d'entreprise d'Arnavant autour d'actions en faveur de l'emploi et de l'entreprenariat local","26,708 €","13,354 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"ASSOCIATION ATELIER BLEU DU CAP DE L AIGLE - CPIE COTE PROVENCALE","ECOREM","226,032 €","103,705 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"Association A.T.H.R.E (Art Tradition Histoire Recherche Environnement)","Innovation touristique en milieur rural :  Partage de vie à l'Abbaye ","187,000 €","57,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"57","Autres outils d'amélioration des services touristiques"
"ASSOCIATION BABYSMART","Programme d'animation 2008 PRIDES SCS","77,000 €","24,700 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ASSOCIATION BABYSMART","Programme d'animation 2009","211,096 €","71,279 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association Bâtiments Durables Méditerranéens","Programme 2009 d'animation et d'ingénierie de projet PRIDES BDM","625,994 €","196,500 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association Bâtiments Durables Méditerranéens","Programme d'animations 2008 du PRIDES B.D.M.","120,756 €","24,209 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association Bois et Construction ","Essai de recherche au LEPIR II comportement au feu d'un nouvel élément de facade ","52,417 €","20,770 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association Bois et Construction ","Programme 2009 d'animation et d'ingénierie de projet PRIDES  Filière bois et construction ","137,500 €","35,500 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association Bois et Construction ","Vitrine des produits et des savoir faire des entreprises de la filiere bois construction en PACA ","105,253 €","42,101 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association CAPENERGIES","animation 2009 du pole capenergie","936,728 €","110,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association CAPENERGIES","Gouvernance Capenergies 2008 - développer et mettre à disposition des moyens et outils pour faciliter l'émergence de projets innovants","275,000 €","110,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"Association CAPENERGIES","Gouvernance Capenergies 2008 - développer et mettre à disposition des moyens et outils pour faciliter l'émergence de projets innovants","275,000 €","110,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association CIMO & TO (dit  Le Chantier )","Acquisition d'équipements scéniques","84,073 €","37,833 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"Association  CLUB DES ENTREPRENEURS DU PAYS DE GRASSE","mise en oeuvre opérationnelle d'un référentiel d'engagement RSE pour filière PASS en PACA ","132,000 €","45,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association COSMED","Programme 2009 d'animation et d'ingénierie de projets PRIDES PASS","178,800 €","25,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"Association COSMED","Programme d'actions 2008 - PRIDES PASS","120,620 €","14,310 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Association Culturelle Sociale et Sportive du QUEYRAS","Les Nouvelles Technologies Eco² Citoyennes ","64,285 €","22,500 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"11","Technologies de l'information et la communication (...)"
"Association de gestion de l'incubateur Multimédia","programme 2009 reseau régional de l'innovation RRI","290,658 €","145,329 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association de gestion de l'incubateur Multimédia","Programme d'accompagnement des entreprises innovantes dans le domaine des TIC et leurs usages innovants. ","400,700 €","196,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association de prefiguration de l'incubateur inter-universitaire de l'académie d'Aix-Marseille Incubateur IMPULSE","L'Incubateur - Développement de l'innovation et de l'information 2008  - RRI","193,213 €","96,468 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association de prefiguration de l'incubateur inter-universitaire de l'académie d'Aix-Marseille Incubateur IMPULSE","PROGRAMME 2009 RESEAU REGIONAL DE L INNOVATION","279,000 €","121,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"Association des Entrepreneurs en Zone Franche","Soutien aux actions 2008-2009 : course des trois chances","24,000 €","12,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"Association Ecuirie Korrigân","Innovation touristique en milieu rural :  Magie équestre à Forcalquier ","82,000 €","24,600 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"57","Autres outils d'amélioration des services touristiques"
"Association ERINI","Projet de plate forme partenariale de chimie analytique à Grasse","1,900,784 €","730,440 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Association Fées d'hiver","pays SUD - centre d'arts contemporains et d'arts numériques projet 2009/2010","126,250 €","34,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"Association GESPER","Mise en oeuvre de stratégies d'économies d'eau à la source en Région PACA","88,860 €","26,088 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"Association Grand Luminy","Pépinière biotechnologique Grand Luminy RRI 2009 ","315,318 €","79,378 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association Grand Luminy","RRI 2008 - Fonctionnement 2008 de la pépinière technologique de Luminy","257,208 €","32,554 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association Logis des Jeunes de Provence","CONNEC-TIC","64,024 €","22,408 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
"Association Micropacks","CIMPACA 2009-2011 phase consolidation année 2009 plate-forme R&D innovation des pôles de compétitivité","491,000 €","245,500 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Association Migrateurs Rhône Méditerranée","Coût de mise en oeuvre de l'état des lieux de la circulation piscicole et des potentialités écologiques sur la Drôme et l'Isère","14,900 €","7,450 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"54","Autres mesures pour protéger l'environnement et prévenir les risques"
"Association Migrateurs Rhône Méditerranée","Coût de mise en oeuvre du suivi de la reproduction et des jeunes stades d'aloses sur le bassin Rhône","100,402 €","27,611 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Association Migrateurs Rhône Méditerranée","Coût de mise en oeuvre du suivi des pêcheries d'aloses du bassin Rhône-Méditérannée","13,700 €","3,768 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Association PEGASE PACA","Cahier des charges de la plateforme NumAIRic","150,000 €","41,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Association PEGASE PACA","DEVELOPPEMENT D'ACTIONS D'ANIMATION DU POLE PEGASE - PRIDES 2008","898,000 €","100,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association PEGASE PACA","Programme 2009 d'animation et d'ingénierie de projet","1,129,000 €","125,000 €","FEDER ","PROVENCE-ALPES-COTE D´AZUR","PROVENCE-ALPES-COTE D´AZUR",,,
