"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Association de Gestion et Comptabilité de Guyane (AGCG)","Plan de formation continue des salariés 30 novembre 2009 au 31 août 2010","22,028 €","17,622 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"Association de la Maison Familiale Rurale du Littoral Ouest","Mise en place des formations MFR années 2008-2009.","783,401 €","225,263 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"Association Educative ROZO","redynamisation individuelle","147,208 €","87,708 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE",,
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","Classe préparatoire aux concours d'entrée aux écoles sociales","48,297 €","31,948 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","Classes préparatoires aux concours d'entrée aux écoles sanitaires et sociales","68,955 €","43,166 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","FILIERE SOCIALE","205,623 €","147,378 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","FORMATION AIDE MEDICO-PSYCOLOGIQUE","61,338 €","42,869 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","FORMATION ASSISTANT DE SERVICE SOCIAL Année1","146,245 €","105,694 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","FORMATION EDUCATEUR DE JEUNES ENFANTS","74,366 €","52,640 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","Formation en éducation spécialisée","256,732 €","182,859 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","FORMATIONS EN EDUCATION SPECIALISEE","227,170 €","159,833 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"ASSOCIATION GUYANAISE DE FORMATION EN TRAVAIL SOCIAL (AGFTS)","Formations socio-éducatives aide medico-psychologique et auxiliaire de vie sociale. Niveau V.","156,224 €","110,328 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"BOUTIQUE DE GESTION","Dispositif de détermination du projet professionnel (lot9) Boutique de gestion.","18,857 €","14,143 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"BOUTIQUE DE GESTION","Session préparatoire au certificat à la gestion associative. Apatou (Lot 11).","9,458 €","7,094 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"BOUTIQUE DE GESTION","Session préparatoire au certificat à la gestion associative. Awala-Yalimapo (Lot 12).","10,615 €","7,961 €","FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
