"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"AFPBTP","CFA BATIMENT 52 - Mesures qualite apprentissage 2008",237641,87927,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"AGEFOS PME CHAMPAGNE ARDENNE","AGEFOS PME accompagnement-suivi-gestion - 2008",126668,31667,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","Aide à domicile - 2008",65896,26358.4,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME CHAMPAGNE ARDENNE","AIDE A DOMICILE ET EMPLOIS FAMILIAUX - 2009",135893,54357,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME CHAMPAGNE ARDENNE","ANTICIP'PME - 2009",64310,26872,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","Assistance technique FSE - 2008",13230,9261,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","85","Préparation, mise en oeuvre, suivi et inspection "
"AGEFOS PME CHAMPAGNE ARDENNE","Cité Cap - 2008",111935,33000,"FONDS SOCIAL EUROPEEN",,,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AGEFOS PME CHAMPAGNE ARDENNE","EGALITE PROFESSIONNELLE - 2008",36276,8706,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"AGEFOS PME CHAMPAGNE ARDENNE","Evaluation accord cadre EDEC-FSE - 2008",15000,4500,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","GED'ACT (Gestion des âges et amélioration des conditions de travail) - 2008",175400,70160,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","67","Mesures encourageant le vieillissement actif et la prolongation de la vie active"
"AGEFOS PME CHAMPAGNE ARDENNE","Passeport pour l'avenir - 2008",395392,118618,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME CHAMPAGNE ARDENNE","PASSEPORT POUR L'AVENIR - 2009",387000,105806,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME CHAMPAGNE ARDENNE","PEPINIERE FARMAN REIMS - 2009",10000,3000,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","MARNE / REIMS / REIMS / REIMS","Programme opérationnel national Fonds social européen","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGEFOS PME CHAMPAGNE ARDENNE","PERFO COMPETENCES 08 - 2008",66384,16172,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","PERFO COMPETENCES 52 - 2008",58808,14702,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","PERFO COMPETENCES BAR SUR AUBE - 2008",49510,12337,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","AUBE / BAR-SUR-AUBE","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","PERFO COMPETENCES EPERNAY - 2008",73325,18331,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE",,"Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","PERFORMANCE COMPETENCES 52 - 2009",10000,3000,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","HAUTE-MARNE","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"AGEFOS PME CHAMPAGNE ARDENNE","PERFORMANCE COMPETENCES BSA - 2009",27000,7560,"FONDS SOCIAL EUROPEEN","CHAMPAGNE-ARDENNE","AUBE / BAR-SUR-AUBE","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
