"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"OSEO GARANTIE REGIONS","RENFORCEMENT DU FONDS DE GARANTIE CHAMPAGNE-ARDENNE","2,800,000 €","700,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"8","Autres investissements en entreprises"
"PACKAGING VALLEY","Animation de la filière emballage-conditionnement 2008","631,137 €","162,982 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"PACKAGING VALLEY","Animation de la Filière Emballage Conditionnement 2009","180,100 €","77,550 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"PACKAGING VALLEY","Animation de la filière emballage conditionnement 2010","184,800 €","82,400 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Peugeot Citroën Automobiles SA","PMP+","86,178 €","17,236 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"PH DERU","Nurserie de veaux d'élevage","142,779 €","42,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"PI3C","Consilium Memoria","72,711 €","14,542 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"POLE D'EXCELLENCE AUTOMOBILE","Structuration de la filière équipement pour la sous traitance automobile 2009","724,000 €","294,500 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"POLE D'EXCELLENCE AUTOMOBILE","Structuration de la filière équipement pour la sous-traitance automobile 2010","594,500 €","246,040 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Pôle Industries et Agro-Ressources","Programme Régional Innovation Végétale Mettez des agros-ressources dans votre entreprise","294,954 €","72,477 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Pôle Industries et Agro-Ressources","Vegereach et annuaire des bio produits","67,554 €","32,527 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"REGIES SERVICES","Préapprentissage du code de la route et de la conduite","57,554 €","28,777 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"61","Projets intégrés de réhabilitation urbaine et rurale"
"Reims Aviation Industries","Quickfab","33,340 €","4,667 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"REIMS AVIATION INDUSTRIES","Eléments d'aéronefs","615,184 €","90,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"REIMS EVENEMENTS","Organisation du salon SABINE 2008","302,294 €","30,345 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"SAS BONGRAIN GERARD","Chaufferie bois","1,466,846 €","220,027 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"41","Energie renouvelable: biomasse"
"SEDIS","LUBRIMIM","47,410 €","6,638 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"SEMCHA","Aménagement du Parc d'Activités de Référence de Recy / St Martin à Recy - 2ème tranche","2,515,921 €","201,574 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"27","Transport multimodal (RTE-T)"
"SEMCHA","Pépinière Technologique Mont Bernard","1,110,600 €","473,359 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"8","Autres investissements en entreprises"
"SERV ENTREPRISE 52","Plan de progrès pour les fondeurs haut-marnais 3ème phase","292,400 €","87,860 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"SGAR SGAR","2010 Communication diverses","109,700 €","109,700 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"86","Evaluation et études; information et communication"
"SGAR SGAR","2010 Communication EVENEMENTIEL 2010","6,000 €","6,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"86","Evaluation et études; information et communication"
"SGAR SGAR","2010 Communication EVENEMENTIEL 2011","60,000 €","60,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"86","Evaluation et études; information et communication"
"SGAR SGAR","2010 Communication FILM REPORTAGE","1,300 €","1,300 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"86","Evaluation et études; information et communication"
"SGAR SGAR","2010 Communication FRANCE3","120,000 €","120,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"86","Evaluation et études; information et communication"
"SGAR SGAR","2010 Communication PLAQUETTE COMMUNICATION ENVIRONNEMENTALE","3,000 €","3,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"86","Evaluation et études; information et communication"
"SGAR SGAR","Anné 2010 : Organisation de réunions diverses - cellule Europe","2,500 €","2,500 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2008 - 2009 : D2H : Appui expertise candidature appel à projet urbain PO FEDER en Champagne-Ardenne","23,134 €","23,134 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2008 - 2009 : VIZIAGO : Fourniture d'une solution informatique pour réalisaton du tableau de bord d'indicateurs d'alerte commun au PO FEDER - FSE - CPER","70,474 €","52,856 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2009 : ADAGE Environnement : Sensibilisation et formation des services instructeurs projets européens priorité transversale  développement durable ","10,884 €","10,884 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2009 : Animation de communication et publicité du programme et des projets soutenus","118,962 €","118,962 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"86","Evaluation et études; information et communication"
"SGAR SGAR","Année 2009 : consommations courantes","7,500 €","7,500 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2009 : Formation","9,426 €","9,426 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2009 : Frais courants","2,536 €","2,536 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2009 : Frais de déplacement cellule Europe","2,581 €","2,581 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2009 : I SOLUTIO : Sensibilisation et formation des services instructeurs TIC","17,916 €","8,958 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2009 : Organisation de comité de suivi",616 €,616 €,"FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2009 : Organisation des comités - réunions",719 €,719 €,"FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2009 : Rémunération personnnel titulaire et contractuel des services","375,328 €","144,244 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2009 : VIAREGIO - formation des agents sur la mise en oeuvre du programme : instruction - suivi indicateurs","3,300 €","3,300 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2010 : ADECCO cellule Europe","20,000 €","20,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2010 : Consommation courante - cellule Europe","40,400 €","40,400 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2010 : Formation - cellule Europe","10,000 €","10,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2010 : Frais courants - cellule Europe","10,300 €","10,300 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2010 : Frais de déplacement - cellule Europe","6,000 €","6,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Année 2010 : rémunérations cellule Europe","684,894 €","289,109 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Assistance technique 2008 - Animation de communication et de publicité du programme et des projets soutenus","297,228 €","297,228 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"86","Evaluation et études; information et communication"
"SGAR SGAR","Assistance technique 2008 - frais de fonctionnement liés à la gestion, au suivi et au pilotage du programme","9,636 €","9,636 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SGAR SGAR","Assistance technique 2008 - organisation des comités de suivi - programmation, ...","5,420 €",0 €,"FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"SIAGI - SOCIETE INTERPROFESSIONNELLE ARTISANALE DE GARANTIE D'INVESTISSEMENTS","RENFORCEMENT DU FONDS REGIONAL DE GARANTIE SIAGI REGION CHAMPAGNE-ARDENNE","600,000 €","300,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"8","Autres investissements en entreprises"
"SIVU GESTION ET AMELIORATION DES ECOULEMENTS FLUVIAUX CHARLEVILLE MEZIERES WARCQ","AMENAGEMENT DE LA MEUSE A CHARLEVILLE-MEZIERES-WARCQ / TRANCHE DE TRAVAUX CONDITIONNELS","5,720,000 €","2,860,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"53","Prévention des risques (...)"
"SMARBA - SYNDICAT MIXTE POUR L'AMENAGEMENT RURAL DU BASSIN D'ARMANCE","Animation du Plan Climat Local du Pays d'Armance (année 1)","47,134 €","14,140 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"49","Atténuation et adaptation au changement climatique"
"SOLIANCE","PUFAS","59,312 €","11,862 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"SOULAINES TOURISME ENVIRONNEMENT","OBSERVATOIRE DES AMPHIBIENS ET REPTILES DE CHAMPAGNE ARDENNE : PROGRAMME DE TRAVAIL 2009","74,230 €","22,269 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,,
"SOULAINES TOURISME ENVIRONNEMENT","Observatoire des insectes patrimoniaux de Champagne-Ardenne 2009","26,900 €","8,070 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,,
"SYNDICAT D'AMENAGEMENT DE LA VALLEE DE LA SEINE DANS L'AGGLOMERATION TROYENNE","RECONSTRUCTION DU GOUFFRE DES CHARMILLES","1,278,904 €","403,123 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"53","Prévention des risques (...)"
"Syndicat intercommunal d'aménagement et d'entretien de l'Ource et ses dérivations","Aménagement de l'ource à Essoyes","211,112 €","56,816 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"54","Autres mesures pour protéger l'environnement et prévenir les risques"
"SYNDICAT MIXTE D'AMENAGEMENT TOURISTIQUE DU LAC DU DER CHANTECOQ","Travaux préparatoires pour l'accueil d'une résidence de tourisme au port de Nuisement, Commune de Sainte-Marie-du-Lac","311,536 €","77,884 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"57","Autres outils d'amélioration des services touristiques"
"SYNDICAT MIXTE D'AMENAG. ET DE GESTION DU PARC NATUREL DE LA FORET D'ORIENT","EDITIONS SCIENTIFIQUES ET PEDAGOGIQUES 2008","12,500 €","3,750 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"SYNDICAT MIXTE D'AMENAG. ET DE GESTION DU PARC NATUREL DE LA FORET D'ORIENT","Etude du statut et des habitats de la loutre d'Europe dans le Parc","41,000 €","8,200 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"SYNDICAT MIXTE D'AMENAG. ET DE GESTION DU PARC NATUREL DE LA FORET D'ORIENT","GESTION DE LA RESERVE NATURELLE NATIONALE DE LA FORET D'ORIENT PROGRAMME 2008","142,500 €","42,750 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"SYNDICAT MIXTE D'AMENAG. ET DE GESTION DU PARC NATUREL DE LA FORET D'ORIENT","mise en oeuvre des suivis ecologiques, de travaux de gestion et acquisition d'equipemements - parc naturel regional de la forêt d'orient","16,500 €","4,950 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"SYNDICAT MIXTE D'AMENAG. ET DE GESTION DU PARC NATUREL DE LA FORET D'ORIENT","Mise en oeuvre du plan de gestion de la Réserve Naturelle Nationale de la Forêt d'Orient en 2009","162,500 €","49,375 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,,
"SYNDICAT MIXTE D'AMENAG. ET DE GESTION DU PARC NATUREL DE LA FORET D'ORIENT","RESERVE NATURELLE NATIONALE DE LA FORET D'ORIENT / TRAVAUX DE GESTION ET D'ENTRETIEN, ANIMATION ET INFORMATION DU PUBLIC 2007","110,496 €","13,855 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"SYNDICAT MIXTE D'AMENAG. ET DE GESTION DU PARC NATUREL DE LA FORET D'ORIENT","RESERVE NATURELLE NATIONALE DE LA FORET D'ORIENT - TX D'INVESTISSEMENT 2007","22,705 €","6,812 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"SYNDICAT MIXTE DU PARC NATUREL REGIONAL DE LA MONTAGNE DE REIMS","Mise en place du Plan Climat Energie sur le territoire du PNR de la Montagne de Reims","46,397 €","13,919 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"49","Atténuation et adaptation au changement climatique"
"SYSCERA FRANCE","Structure métallique destinée à l'injection de béton léger","533,546 €","120,000 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"UFP INTERNATIONAL","Implantation d'une plateforme logisitique dans le parc logistique de l'Aube","13,200,000 €","634,800 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"8","Autres investissements en entreprises"
"UFP INTERNATIONAL","Implantation d'une plateforme logisitique dans le parc logistique de l'Aube-LIXXBAIL","3,436,657 €","165,200 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"8","Autres investissements en entreprises"
"UIC CHAMPAGNE-ARDENNE","Objectif Reach Champagne-Ardenne","128,684 €","48,705 €","FEDER ","CHAMPAGNE-ARDENNE","CHAMPAGNE-ARDENNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
