"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"CENTRE REGIONAL D'ETUDE ET DE PROMOTION DU PATRIMOINE NATUREL","Médiathèque collaborative régionale de géosciences à Crozon","80,000 €","19,000 €","FEDER ","BRETAGNE","BRETAGNE",,"13","Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
"Chambre de Métiers et de l'Artisanat des Côtes d'Armor","0925C0213 - Construction et animation du futur centre d'information et d'exposition sur le bâtiment : Bâtipole","1,751,410 €","541,240 €","FEDER ","BRETAGNE","BRETAGNE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"CIELE","0925C0444-Réalisation de journées forums  Energie  le 24 octobre 2009","32,107 €","16,054 €","FEDER ","BRETAGNE","BRETAGNE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"CLE - AGENCE LOCALE DE L'ENERGIE DU PAYS DE RENNES","0925C0443 - Sensibilisation des usagers et des gestionnaires des bâtiments communaux dans le cadre de la campagne Display","96,770 €","33,770 €","FEDER ","BRETAGNE","BRETAGNE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"COLLECTE ENVIRONNEMENT +","0925C0042 - Création d'une activité de collecte de multi déchets (agricoles et artisanaux) et de fabrication de produits dérivés","168,380 €","33,676 €","FEDER ","BRETAGNE","BRETAGNE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"Communauté de Communes de Concarneau Cornouaille","0925C0840 - Chaufferie bois pour la nouvelle piscine de Rosporden","223,453 €","33,518 €","FEDER ","BRETAGNE","BRETAGNE",,"41","Energie renouvelable: biomasse"
"Communauté de Communes de la Région de Pleyben","0825C0564 - BBC - Construction de la Maison de l'Enfance et des Loisirs de Pleyben","1,192,011 €","17,200 €","FEDER ","BRETAGNE","BRETAGNE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Communauté de Communes de la Région de Pleyben","0925C0225-Construction de la Maison de l'Enfance et des Loisirs de Pleyben","264,788 €","11,592 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"Communauté de Communes du Pays de Châteaugiron","0925C0695 - Construction d'une chaufferie bois pour l'espace aquatique intercommunal et l'école maternelle à CHATEAUGIRON","346,560 €","51,984 €","FEDER ","BRETAGNE","BRETAGNE",,"41","Energie renouvelable: biomasse"
"Communauté de Communes du Pays de Redon","0825C0570 - BBC - Centre Multi Accueil de Redon","1,087,133 €","12,168 €","FEDER ","BRETAGNE","BRETAGNE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Communauté de Communes du Pays de Redon","0925C0361 - Installation de panneaux photovoltaïques dans le cadre de la réalisation d'un Multi-Accueil à Redon","110,073 €","11,385 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"Communauté de communes du Pays d'Iroise","0825C0573 - Installation d'une chaufferie bois au siège de la Communauté de Communes du Pays d'Iroise","272,500 €","40,875 €","FEDER ","BRETAGNE","BRETAGNE",,"41","Energie renouvelable: biomasse"
"Commune d'Auray","0825C0449 - Construction d'une chaufferie bois et d'un réseau de chaleur pour différents équipements publics","587,000 €","88,050 €","FEDER ","BRETAGNE","BRETAGNE",,"41","Energie renouvelable: biomasse"
"Commune de HENANBIHEN","0925C0881 - BBC - Réhabilitation de l'école publique","198,407 €","16,245 €","FEDER ","BRETAGNE","BRETAGNE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"COMMUNE DE LE GOURAY","0925C0141 - Installation solaire photovoltaïque sur la plate-forme bois énergie de la commune","86,780 €","17,710 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"Commune de Loc-Maria-Plouzané","0925C0266- Installation de panneaux solaires photovoltaïques dans le cadre de la construction d'un pôle enfance","119,942 €","13,800 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"Commune de LOPERHET","0925C0783 - Installation de panneaux solaires photovoltaïques sur l'extension du groupe scolaire Eric Tabarly à LOPERHET","103,302 €","15,495 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"Commune de Merléac","0825C0566 - Bâtiment basse consommation - Ecole et restaurant scolaire","1,586,000 €","20,540 €","FEDER ","BRETAGNE","BRETAGNE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Commune de Pacé","0925C0071 - Installation de panneaux solaires photovoltaïques sur l'extension de la station d'épuration","134,125 €","13,800 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"COMMUNE de PLEVENON","Mission d'accompagnement et étude pour l'élaboration d'un projet global de gestion du territoire sur le Cap Fréhel","59,975 €","29,988 €","FEDER ","BRETAGNE","BRETAGNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"commune de Pleyber-Christ","0925C0694 - Investissement chaufferie bois","305,100 €","45,765 €","FEDER ","BRETAGNE","BRETAGNE",,"42","Energie renouvelable: én. hydroélectrique, géothermique et autre"
"commune de PLOBANNALEC-LESCONIL","Le Ster de LESCONIL et ses abords - Etude hydro-sédimentaire complémentaire afin de valider l'option opérationnelle retenue","34,469 €","17,234 €","FEDER ","BRETAGNE","BRETAGNE",,"56","Protection et valorisation du patrimoine naturel"
"Commune de Plourhan","0825c0575 Investissement chaufferie bois avec réseau de chaleur","179,300 €","26,895 €","FEDER ","BRETAGNE","BRETAGNE",,"41","Energie renouvelable: biomasse"
"Commune de TREFLAOUENAN","Etude préalable pour la réhabilitation du lit du Guillec- moulin de Kerguidu-Commune de TREFLAOUENAN","16,426 €","6,570 €","FEDER ","BRETAGNE","BRETAGNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Conseil Général des Côtes d'Armor","Dpt 22 : Mise en oeuvre du Schéma Départemental de Télécommunications à Haut Débit","16,800,000 €","6,000,000 €","FEDER ","BRETAGNE","BRETAGNE",,"11","Technologies de l'information et la communication (...)"
"Conseil Général d'Ille-et-Vilaine","0825C0505 - Investissement chaufferie bois collège de La Mézière dans le cadre du PBEB 2007-2013","116,365 €","34,910 €","FEDER ","BRETAGNE","BRETAGNE",,"41","Energie renouvelable: biomasse"
"Conseil Général d'Ille-et-Vilaine","Amélioration des liaisons ferroviaires Rennes-Brest et Rennes-Quimper: Etudes de projet relatives à la suppression des passages à niveau sur la TF1 de la ligne Rennes - Brest","497,800 €","224,110 €","FEDER ","BRETAGNE","BRETAGNE",,"16","Rail"
"Conseil Général d'Ille-et-Vilaine","Rennes-Brest  Tranche fonctionnelle 1  Suppression Passages à niveau  Phase Réalisation - dep 35","15,534,400 €","6,993,587 €","FEDER ","BRETAGNE","BRETAGNE",,"16","Rail"
"Conseil Général du Finistère","0925C0227 - Elaboration  d'un diagnostic pour la maîtrise des dépenses énergétiques dans les bâtiments départementaux","217,400 €","108,700 €","FEDER ","BRETAGNE","BRETAGNE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Conseil Général du Morbihan","Rennes-Quimper  Tranche fonctionnelle 2  Suppression Passages à niveau  Phase Réalisation - CG 56","8,208,000 €","3,695,242 €","FEDER ","BRETAGNE","BRETAGNE",,"16","Rail"
"Conseil Régional de Bretagne","Assistance technique - Rémunération des personnels - Années 2008, 2009 et 2010","800,000 €","800,000 €","FEDER ","BRETAGNE","BRETAGNE",,"85","Préparation, mise en oeuvre, suivi et inspection "
"Conseil Régional de Bretagne","Port de BREST - Recalibrage des accès maritimes - Etudes préalables","200,669 €","90,301 €","FEDER ","BRETAGNE","BRETAGNE",,"30","Ports"
"Conseil Régional de Bretagne","Port de commerce de Lorient - Amélioration de la capacité d'accueil - Travaux de dragage - déroctage - Phase 2","1,397,795 €","629,008 €","FEDER ","BRETAGNE","BRETAGNE",,"30","Ports"
"COOPEDOM","0925C0077 - INVESTISSEMENT CHAUFFERIE BOIS","1,654,370 €","124,078 €","FEDER ","BRETAGNE","BRETAGNE",,"41","Energie renouvelable: biomasse"
"CRCI - Chambre Régionale de Commerce et d'Industrie de Bretagne","0925C0936 - Plan d'actions et d'accompagnement régional des entreprises du tourisme en matière de gestion environnementale","378,500 €","189,250 €","FEDER ","BRETAGNE","BRETAGNE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"CRCI - Chambre Régionale de Commerce et d'Industrie de Bretagne","Etude des potentialités et conditions de redéploiement pérenne du fret ferroviaire en Bretagne","65,780 €","19,900 €","FEDER ","BRETAGNE","BRETAGNE",,"86","Evaluation et études; information et communication"
"CRCI - Chambre Régionale de Commerce et d'Industrie de Bretagne","Performance Bretagne PSA Peugeot Citröen 2009 (FEDER)","463,274 €","138,982 €","FEDER ","BRETAGNE","BRETAGNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"CRCI - Chambre Régionale de Commerce et d'Industrie de Bretagne","Performance Bretagne PSA Peugeot Citröen 2010","477,774 €","143,332 €","FEDER ","BRETAGNE","BRETAGNE",,,
"CRCI - Chambre Régionale de Commerce et d'Industrie de Bretagne","Performance Bretagne Ressources Humaines Plus ","378,550 €","113,000 €","FEDER ","BRETAGNE","BRETAGNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"CRCI - Chambre Régionale de Commerce et d'Industrie de Bretagne","Performance Bretagne Ressources Humaines Plus 2010","277,370 €","83,210 €","FEDER ","BRETAGNE","BRETAGNE",,,
"Direction Régionale de l'Equipement","Mise en place d'une plate-forme d'échange et de visualisation de données GEOBRETAGNE","1,400,000 €","700,000 €","FEDER ","BRETAGNE","BRETAGNE",,"14","Services et applications pour les PME (commerce électronique, éducation et formation, mise en réseau, etc.)"
"EARL CHAUSSEC","0925C0451 - Installation de panneaux solaires photovoltaïques sur un hangar agricole","190,712 €","9,000 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"EARL DE GOAS AR NOT","0925C0244 - Installation solaire photovoltaïque sur un bâtiment agricole","178,673 €","15,000 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"EARL de Kernonen","0925C0098-Installation solaire photovoltaïque sur un bâtiment agricole","182,088 €","15,000 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"EARL de la Ferme de Lintever","0925C0031-Installation de panneaux solaires photovoltaiques sur un hangar de stockage","198,783 €","12,000 €","FEDER ","BRETAGNE","BRETAGNE",,"34","Electricité (RTE-E)"
"EARL DE LA GRANDE ISLE","0825C0501-Installation solaire photovoltaïque sur un hangar agricole","85,227 €","9,180 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"EARL PRIME CADO","0825C0589-Installation de panneaux solaires photovoltaïques sur l'exploitation","203,854 €","12,000 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"EARL RESTIF Jean-Marc","0925C0641 - Installation solaire photovoltaïque sur un bâtiment agricole","193,908 €","15,000 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"EARL ROCAMBOLE","0825C0504-Installation de panneaux solaires photovoltaïques sur le salle de réunion des  Jardins Biologiques ","62,879 €","6,187 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"EARL Thomas","0925C0805 - Installation de panneaux photovoltaïques sur un hangar agricole","263,946 €","39,592 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"École Nationale d'Ingénieurs de Brest","GRID-ALIEN : Couplage au réseau électrique terrestre par les méthodes ALIEN ","31,879 €","12,751 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"École Nationale d'Ingénieurs de Brest","PONANT - RESO","465,000 €","195,000 €","FEDER ","BRETAGNE","BRETAGNE",,"1","Activités R&DT dans centres de recherche"
"EHPAD MAISON D'ACCUEIL DU GRAND JARDIN","0825C0560 - Installation photovoltaïque sur la construction d'une maison de retraite sur le site de La Mare","279,884 €","41,983 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"ENS CACHAN ANTENNE DE BRETAGNE","Projet d'investissement et d'équipement de la plateforma BUGV : Bretagne Usinage Grande Vitesse","625,000 €","200,000 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ENSCR (Ecole Nationale Supérieure de Chimie de Rennes)","Catalyseurs recyclables pour l'agrochimie","90,871 €","36,085 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ESAT DE GLOMEL","0825C0588 - Installation solaire photovoltaïque sur un atelier","154,453 €","18,400 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"Espace des Sciences","Culture Scientifique et Technique - Pôle régional de création et diffusion - Acquisition d'Equipements","760,000 €","380,000 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Fédération du Finistère pour la pêche et la protection du milieu aquatique","Construction d'une passe à poissons sur le barrage du moulin du Fao à PLONEOUR-LANVERN","25,632 €","10,000 €","FEDER ","BRETAGNE","BRETAGNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Fédération du Finistère pour la pêche et la protection du milieu aquatique","Etude hydraulique préalable à la restauration de la libre circulation au barrage de la Mothe à Quimperlé et Trémeven","18,350 €","7,340 €","FEDER ","BRETAGNE","BRETAGNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"GAEC de GUIMBERT","0925C0450 - Installation de panneaux photovoltaïques sur un bâtiment à fourrage","173,000 €","15,000 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"GAEC DES FROMENTS","0925C0145-Installation de panneaux solaires photovoltaïquessur un hangar agricole","187,354 €","15,000 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"GDF - SUEZ ENERGIE SERVICES - COFELY","0925C0357 - Réalisation d'une chaufferie biomasse à l'école Legatellois - Le Goffic à St Malo","285,420 €","42,813 €","FEDER ","BRETAGNE","BRETAGNE",,"41","Energie renouvelable: biomasse"
"GEOTEXIA","0825C0316 - Installation collective de co-méthanisation de déchets organiques en mélange","14,361,000 €","1,284,292 €","FEDER ","BRETAGNE","BRETAGNE",,"41","Energie renouvelable: biomasse"
"GIP BRETAGNE ENVIRONNEMENT","2008 - Développement d'outils de valorisation des données environnementales concernant la Bretagne : plateforme web et livre de synthèse","157,000 €","60,000 €","FEDER ","BRETAGNE","BRETAGNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"GIP BRETAGNE ENVIRONNEMENT","2009 - OBPNB - Rédaction de contenus pour le site de Bretagne  Environnement concernant les espèces invasives marines en Bretagne ","50,000 €","20,000 €","FEDER ","BRETAGNE","BRETAGNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"GIP BRETAGNE ENVIRONNEMENT","2009 - Rédaction de contenus et développement d'outils de valorisation des données environnementales concernant la Bretagne","157,000 €","60,000 €","FEDER ","BRETAGNE","BRETAGNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Hôpital Victor Roussin","0825c0557 Investissement chaufferie bois pour la maison de retraite de l'hôpital","255,600 €","38,340 €","FEDER ","BRETAGNE","BRETAGNE",,"41","Energie renouvelable: biomasse"
"IFREMER","Europôle Mer  IFREMER - Centre Régional d'Expertise Scientifique et Technique ARGO ","1,815,000 €","720,000 €","FEDER ","BRETAGNE","BRETAGNE",,"1","Activités R&DT dans centres de recherche"
"IFREMER","Europôle Mer IFREMER - PCIM","2,478,754 €","1,060,000 €","FEDER ","BRETAGNE","BRETAGNE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"INRA Le Rheu (Institut National de Recherches Agronomiques)","Biologie appliquée à l'agronomie - GDR FA2D - Pôle lait et oeuf","215,000 €","80,000 €","FEDER ","BRETAGNE","BRETAGNE",,"1","Activités R&DT dans centres de recherche"
"INRA Le Rheu (Institut National de Recherches Agronomiques)","Biologie appliquée à la santé - Piscines à truites","1,200,000 €","472,000 €","FEDER ","BRETAGNE","BRETAGNE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"INRA Le Rheu (Institut National de Recherches Agronomiques)","BPCGO - Auto-assemblage, purification et caractérisation des assemblages","114,485 €","49,500 €","FEDER ","BRETAGNE","BRETAGNE",,"1","Activités R&DT dans centres de recherche"
"INRA Le Rheu (Institut National de Recherches Agronomiques)","Détection et quantification à haut débit du tréhalose à l'aide d'un biosenseur bactérien pour des applications en agroalimentaire, agriculture, pharmaceutique, cosmétique et médecine ","47,273 €","18,910 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"INRIA (Institut National de Recherche en Informatique et Automatique)","Entimid, une passerelle logiciel et matériel hautement configurable pour faciliter le maintien à domicile de personnes dépendantes.","63,895 €","25,558 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"INRIA (Institut National de Recherche en Informatique et Automatique)","Invent'Ist - BASICLAB","400,836 €","150,000 €","FEDER ","BRETAGNE","BRETAGNE",,"1","Activités R&DT dans centres de recherche"
"INSA (Institut National des Sciences Appliquées)","Modélisation d'applications multimédia pré-parallélisées pour les systèmes multiprocesseurs embarqués ","57,512 €","22,506 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"INSA (Institut National des Sciences Appliquées)","PONANT - FOTON","725,000 €","260,000 €","FEDER ","BRETAGNE","BRETAGNE",,"1","Activités R&DT dans centres de recherche"
"Institut Maupertuis","Mesure de défauts, générés par les lasers de puissance sur tôle mince, à l'aide d'un capteur innovant.","250,900 €","74,860 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Institut Maupertuis","Plate forme procédés de soudage innovants pour valorisation applications innovantes, transfert et diffusion de technologies appliquées","999,840 €","319,949 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Institut Régional des Matériaux Avancés","Acquisition de nouveaux équipements et remplacement d'équipements obsolètes","777,974 €","248,952 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Institut technique de développement des produits de la mer (ID MER)","Appui technique à la filière des produits de la mer","894,983 €","286,393 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Institut technique de développement des produits de la mer (ID MER)","ETUDE DE LA VALORISATION DE CO-PRODUITS DE LA PECHERIE BRETONNE : Etude de la faisabilité technico-économique de l'extraction/purification de phospholipides marins à partir de poissons pélagiques (sardines, maquereaux) ","100,000 €","37,500 €","FEDER ","BRETAGNE","BRETAGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"JAN Yves","0925C0449 - Installation solaire photovoltaïque sur un bâtiment agricole","179,081 €","15,000 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"LA FEUILLE D'ERABLE","0925C0941 - Collecte sélective et valorisation des cageots","99,562 €","49,780 €","FEDER ","BRETAGNE","BRETAGNE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"Lannion Trégor Agglomération","0825C0565 - BBC - Espace de Broglie - Réhabilitation des bâtiments A et B","660,125 €","71,400 €","FEDER ","BRETAGNE","BRETAGNE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"LORIENT HABITAT","0925C0603 - Construction d'une chaufferie bois quartier Kerguillette à Lorient","715,663 €","179,050 €","FEDER ","BRETAGNE","BRETAGNE",,"41","Energie renouvelable: biomasse"
"L'Univers du Poète Ferrailleur","0925C0249-Installation solaire photovoltaïque sur un musée à Lizio","39,215 €","6,938 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"LYCEE ANNE DE BRETAGNE","0925C0483 Investissement chaufferie bois","100,834 €","30,250 €","FEDER ","BRETAGNE","BRETAGNE",,"42","Energie renouvelable: én. hydroélectrique, géothermique et autre"
"Maison de l'Europe de Rennes et Haute Bretagne","Exposition itinérante sur les réalisations cofinancées par les fonds structurels européens","14,099 €","14,099 €","FEDER ","BRETAGNE","BRETAGNE",,"86","Evaluation et études; information et communication"
"PARC NATUREL REGIONAL D'ARMORIQUE","Mise en oeuvre hors contrat Natura 2000 de travaux exceptionnels de génie écologique sur les sites  Monts d'Arrée centre et est  et  Forêt du Cranou - Ménez Meur  ","52,395 €","26,197 €","FEDER ","BRETAGNE","BRETAGNE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Quimper Communauté","0925C0092-Elaboration d'un schéma directeur deux roues","49,325 €","17,264 €","FEDER ","BRETAGNE","BRETAGNE",,"24","Pistes cyclables"
"RECTORAT","Création d'une plateforme technologique à l'Institut National des Sciences Appliquées de Rennes","4,517,000 €","1,200,000 €","FEDER ","BRETAGNE","BRETAGNE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
