"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"CEGESPA","AMENAGEMENT ET EQUIPEMENT D'UN SPA",232684.87,116342.43,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / SAINT-FRANCOIS / SAINT-FRANCOIS","Programme Opérationnel FEDER 2007-2013",,
"CEI BA  SA","Accompagnement des migrations technologiques et des conduites au changement - Formation 2008",208161,124896.6,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"CEI BA  SA","Développement de services innovants, bénéficiant de transfert de technologie visant à la sécurisation des activités portuaires : ADEMAR - PROTIS",1076770,689132.8,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / BAIE-MAHAULT / BAIE-MAHAULT","Programme Opérationnel FEDER 2007-2013",,
"CELLULE EUROPE","AUDIT FONDS DOM GUADELOUPE",40000,40000,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013",,
"CELLULE EUROPE","Bilan de la mise en oeuvre des critères d'éco-conditionnalité sur les années 2007, 2008 et 2009 du programme FEDER 2007-2013",20000,20000,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013",,
"CELLULE EUROPE","BUDGET 01 FEDER",1502300,1231886,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / BASSE-TERRE / BASSE-TERRE","Programme Opérationnel FEDER 2007-2013","82","Compensation des surcoûts liés au déficit d'accessibilité et à la fragmentation territoriale"
"CENTRE DE COORPERATION INTERNATIONAL EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT - CIRAD","AGROECOTROP",477549,339059.79,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013","1","Activités R&DT dans centres de recherche"
"CENTRE DE COORPERATION INTERNATIONAL EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT - CIRAD","CARAMBA",682411,498160,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013","1","Activités R&DT dans centres de recherche"
"CENTRE DE COORPERATION INTERNATIONAL EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT - CIRAD","Gestion des risques en santé animale et végétale",1127000,795820,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013","1","Activités R&DT dans centres de recherche"
"CENTRE DE COORPERATION INTERNATIONAL EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT - CIRAD","VALEIXBIOTROP",1449369,1029052,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013","1","Activités R&DT dans centres de recherche"
"CENTRE HOSPITALIER UNIVERSITAIRE (CHU) POINTE-A-PITRE / ABYMES","Création de la plateforme commune de Biologie Moléculaire au CHU Pointe-à-Pitre / Abymes",257128,182561,"FEDER ","GUADELOUPE",,"Programme Opérationnel FEDER 2007-2013","1","Activités R&DT dans centres de recherche"
"CENTRE INTERPROFESSIONNEL DE SANTE AU TRAVAIL (CIST) ","PLAN DE FORMATION 2008",113377,90702,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","62","Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés..."
"CENTRE LES HIBISCUS AGA-NDG","LUTTE CONTRE L'ILLETTRISME 2008 - 2009",165000,99000,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / GRAND-BOURG / GRAND-BOURG","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Centre Régional Information Jeunesse Guadeloupe ( CRIJ Guadeloupe)","Accueil - Information - Orientation du public jeune 2008_2009",365426,209053,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE","Programme Opérationnel FSE 2007-2013","65","Modernisation et renforcement des institutions du marché du travail"
"CFA DE L'OGEC JEAN BELLOC","LUTTE CONTRE L'ILLETTRISME 2008 - 2009",82500,49500,"FONDS SOCIAL EUROPEEN","GUADELOUPE","GUADELOUPE / BASSE-TERRE / GOURBEYRE / GOURBEYRE","Programme Opérationnel FSE 2007-2013","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CHAMBRE DE COMMERCE DE BASSE-TERRE","Evolution de la solution Base de données économiques LINEAL vers applications Proconsulix EIRsys et Acquisition de matériel informatique",58127,37201,"FEDER ","GUADELOUPE","GUADELOUPE / BASSE-TERRE / BASSE-TERRE / BASSE-TERRE","Programme Opérationnel FEDER 2007-2013","10","Infrastructures téléphoniques (y compris réseaux haut débit)"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE POINTE -A-PITRE","Aérogare  Régional Caraïbes  - Circulations  piétonnes vers les parkings régionaux",2140000,1070000,"FEDER ","GUADELOUPE","GUADELOUPE / POINTE-A-PITRE / POINTE-A-PITRE / LES ABYMES","Programme Opérationnel FEDER 2007-2013","29","Aéroports"
