"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"Association SIGMA FORMATION","Atelier de pédagogie personnalisée de Ghisonaccia",38070,19000,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ASSOCIATION U FIUM'ALTU","AAP Animation - P@M de Folelli",32493.07,,"FEDER ","CORSE","HAUTE-CORSE / BASTIA / VESCOVATO / PENTA-DI-CASINCA","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"ATELIER PERMANENT D'INITIATION A L'ENVIRONNEMENT","Chantier insertion jardinage",209900,,"FONDS SOCIAL EUROPEEN","CORSE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"BARENER","Installation de panneaux photovoltaïques raccordés au réseau sur la toiture d'un hangar agricole",101333,20520,"FEDER ","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO / AJACCIO","PO  FEDER Corse 2007-2013","40","Energie renouvelable: én. solaire"
"BEISSY Jean Guy","Installation de panneaux photovoltaïques raccordés au réseau en toiture d'un bâtiment de l'exploitation",113582,18620,"FEDER ","CORSE","HAUTE-CORSE / CORTE / PRUNELLI-DI-FIUMORBO / VENTISERI","PO  FEDER Corse 2007-2013","42","Energie renouvelable: én. hydroélectrique, géothermique et autre"
"BEISSY Jean Guy","Installation photovoltaïque raccordée au réseau en toiture d'un bâtiment de l'exploitation",47702,11730,"FEDER ","CORSE","HAUTE-CORSE / CORTE / PRUNELLI-DI-FIUMORBO / VENTISERI","PO  FEDER Corse 2007-2013","40","Energie renouvelable: én. solaire"
"BORGO MATERIEL LOCATION","INSTALLATION PHOTOVOLTAIQUE RACCORDEE AU RESEAU EN TOITURE DE DEUX BATIMENTS",335397,44055,"FEDER ","CORSE","HAUTE-CORSE / BASTIA / BORGO / BORGO","PO  FEDER Corse 2007-2013","40","Energie renouvelable: én. solaire"
"BOUTIQUE DE GESTION ILE CONSEIL","Couveuse d'entreprise à l'essai",15000,15000,"FONDS SOCIAL EUROPEEN","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"BOUTIQUE DE GESTION ILE CONSEIL","Couveuse d'entreprise à l'essai",15000,15000,"FONDS SOCIAL EUROPEEN","CORSE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"BOUTIQUE DE GESTION ILE CONSEIL","Renforcement du dispositif de création d'entreprise",21552,21552,"FONDS SOCIAL EUROPEEN","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"BOUTIQUE DE GESTION ILE CONSEIL","Renforcement du dispositif de création d'entreprise",21552,21552,"FONDS SOCIAL EUROPEEN","CORSE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CAPA","Réalisation d'une orthophotographie du territoire communautaire",41806.02,20903.01,"FEDER ","CORSE","Multilocalisation","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"CCI DE BASTIA ","AAP Animation - CCI 2B",29880.52,,"FEDER ","CORSE","HAUTE-CORSE","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"CCI DE BASTIA ","Dispositif d'appropriation et modalités de mise en oeuvre du développement durable par le secteur entrepreneurial",450000,225000,"FEDER ","CORSE",,"PO  FEDER Corse 2007-2013","40","Energie renouvelable: én. solaire"
"CCSTI A Meridiana","DIFFUSION DE LA CULTURE SCIENTIFIQUE, TECHNIQUE ET INDUSTRIELLE EN REGION CORSE (2009) dont le but est de favoriser l'accès au plus grand nombre à la connaissance des sciences et techniques sur la base des 4 axes définis dans les postes de dépenses ",317500,150000,"FEDER ","CORSE",,"PO  FEDER Corse 2007-2013","59","Développement d'infrastructures culturelles"
"Centre AFPA","plateforme insertionelle découverte des métiers",72966,36483,"FONDS SOCIAL EUROPEEN","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Centre AFPA","Plateforme insertionnelle de découvertes des métiers",72864,36432,"FONDS SOCIAL EUROPEEN","CORSE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Centre AFPA","Préparation et accompagnement à la recherche d'un contrat de travail",33526,12404,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","65","Modernisation et renforcement des institutions du marché du travail"
"Centre Culturel Laurent Casanova","AAP Animation - P@M de Sartene",15454,,"FEDER ","CORSE","CORSE-DU-SUD / SARTENE / SARTENE / SARTENE","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"Centre d'Information des Droits des Femmes et de la Famille","Accueil et accompagnement social et professionnel public féminin",6509,6509,"FONDS SOCIAL EUROPEEN","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Centre d'Information des Droits des Femmes et de la Famille","Accueil et accompagnement social et professionnel public féminin",6509,6509,"FONDS SOCIAL EUROPEEN","CORSE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Centre Régional Information Jeunesse de Corse","AAP Animation - P@M du CRIJ Ajaccio",15838.6,,"FEDER ","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO / AJACCIO","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"Centre Régional Information Jeunesse de Corse","AAP Animation - P@M du CRIJ Bastia",18493.59,,"FEDER ","CORSE","HAUTE-CORSE / BASTIA / BASTIA / BASTIA","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"Centre Régional Information Jeunesse de Corse","Objectif emploi methode de coatching",10388,3227,"FONDS SOCIAL EUROPEEN","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Centre U Borgu","AAP Animation - Centre U Borgu",9248,,"FEDER ","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO / AJACCIO","PO  FEDER Corse 2007-2013","11","Technologies de l'information et la communication (...)"
"CHAMBRE DE METIERS DE HAUTE-CORSE","Formation continue des actifs de l'artisanat",155780,75000,"FONDS SOCIAL EUROPEEN","CORSE","HAUTE-CORSE","Programme opérationnel national Fonds social européen","64","Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
"CHAMBRE DE METIERS DE LA CORSE DU SUD","2009 accueil et accompagnement professionnel",15717,15717,"FONDS SOCIAL EUROPEEN","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CHAMBRE DE METIERS DE LA CORSE DU SUD","Accueil et accompagnement social et professionnel",15611,14400,"FONDS SOCIAL EUROPEEN","CORSE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CHAMBRE DE METIERS DE LA CORSE DU SUD","Dispositif visant à la sécurisation des parcours professionnels",71806,35903,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CHAMBRE DE METIERS DE LA CORSE DU SUD","RENFORCEMENT DU DISPOSITIF DE CREATION D'ENTREPRISE",12332,12332,"FONDS SOCIAL EUROPEEN","CORSE","CORSE-DU-SUD / AJACCIO / AJACCIO","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CHAMBRE DE METIERS DE LA CORSE DU SUD","Renforcement du dispositif de création d'entreprise",14723,12290,"FONDS SOCIAL EUROPEEN","CORSE","Multilocalisation","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CHERUBIN Pascale","Installation de panneaux photovoltaïques raccordés au réseau en toiture d'un hangar agricole",84000,15120,"FEDER ","CORSE","HAUTE-CORSE / CORTE / MOITA-VERDE / ALERIA","PO  FEDER Corse 2007-2013","40","Energie renouvelable: én. solaire"
"Clos Colombu","Installation de panneaux photovoltaïques raccordés au réseau en toiture sur une partie du bâtiment",585000,164250,"FEDER ","CORSE","HAUTE-CORSE / CALVI / CALVI / LUMIO","PO  FEDER Corse 2007-2013","40","Energie renouvelable: én. solaire"
"COLLECTIVITE TERRITORIALE DE CORSE","AFPA Ajaccio 08/SFP/MA/020  Parcours insertionnels handicapés",51810,26423.1,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"COLLECTIVITE TERRITORIALE DE CORSE","ALPHA 08/SFP/MA/027 Diplôme d'animateur socio-culturel (BP JEPS)",48308.37,24637.27,"FONDS SOCIAL EUROPEEN","CORSE",,"Programme opérationnel national Fonds social européen","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
