"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"HEALTHGRID","Organisation du 3ème Forum des utilisateurs de grilles de calculs scientifiques (projet européen EGE","77,532 €","25,818 €","FEDER ","AUVERGNE","AUVERGNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ICARE","Création d'un système d'information numérique pour la gestion dynamique des données expérimentales de l'entreprise ICARE - AAP Bioinformatique","72,853 €","20,000 €","FEDER ","AUVERGNE","AUVERGNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"IMAXIO","Création d'une plate-forme de génotypage et séquençage à haut débit en Auvergne","464,614 €","69,692 €","FEDER ","AUVERGNE","AUVERGNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"IMAXIO","Développement et validation d'un test moléculaire pour l'étude de gènes de prédispositon héréditaire au cancer du sein BRCAI et BRCA2.","221,701 €","88,000 €","FEDER ","AUVERGNE","AUVERGNE",,"7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"INRA","Système d'Information et d'Analyse de Génomes de Pathogènes (SIAGe-Pathogènes)","520,336 €","91,500 €","FEDER ","AUVERGNE","AUVERGNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Institut Français de Mécanique Avancée (IFMA)","Bourse innovation - thèse - Développement des méthodes probabilistes pour la cotation fonctionnelle en vue d'un outil métier","72,800 €","32,550 €","FEDER ","AUVERGNE","AUVERGNE",,"1","Activités R&DT dans centres de recherche"
"Institut Français de Mécanique Avancée (IFMA)","Soutien à la plate-forme de transfert de technologie Méc@prod (investissements - année 2009)","278,426 €","111,370 €","FEDER ","AUVERGNE","AUVERGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Institut National de la Recherche Agronomique","Actualisation des documents de communication du Centre INRA de Clermont-Ferrand _ Theix","26,137 €","8,625 €","FEDER ","AUVERGNE","AUVERGNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Institut National de la Recherche Agronomique","Bourse doctorale pour T3A (action 2, volet 2)  Modélisation de l'élaboration de la performance de reproduction des vaches allaitantes ","68,408 €","24,726 €","FEDER ","AUVERGNE","AUVERGNE",,"1","Activités R&DT dans centres de recherche"
"Institut National de la Recherche Agronomique","Bourse innovation -thèse- Modélisation de voies métaboliques et de leurs régulations transcriptionnelles","60,726 €","22,331 €","FEDER ","AUVERGNE","AUVERGNE",,"1","Activités R&DT dans centres de recherche"
"Institut National de la Recherche Agronomique","Bourse Post-doctorale 2008 T3A - Volet 2 Action 3","41,000 €","12,800 €","FEDER ","AUVERGNE","AUVERGNE",,"1","Activités R&DT dans centres de recherche"
"Institut National de la Recherche Agronomique","Bourse post-doctorale dans le cadre du projet SANTÉ (action 1 : Nutrition et Cancer)","50,000 €","20,000 €","FEDER ","AUVERGNE","AUVERGNE",,"1","Activités R&DT dans centres de recherche"
"Institut National de la Recherche Agronomique","Bourses thèse 2008 T3A - volet 3 action 3","60,000 €","15,000 €","FEDER ","AUVERGNE","AUVERGNE",,"1","Activités R&DT dans centres de recherche"
"Institut National de la Recherche Agronomique","Environnement 2007","90,506 €","32,709 €","FEDER ","AUVERGNE","AUVERGNE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Institut National de la Recherche Agronomique","Environnement 2008 - Bourse post-doctorale - Action de recherche n°5","42,000 €","13,600 €","FEDER ","AUVERGNE","AUVERGNE",,"1","Activités R&DT dans centres de recherche"
"Institut National de la Recherche Agronomique","Environnement 2008 (équipements)","34,587 €","10,065 €","FEDER ","AUVERGNE","AUVERGNE",,"1","Activités R&DT dans centres de recherche"
"Institut National de la Recherche Agronomique","INNOVAPOLE 2008 (équipements)","24,832 €","10,442 €","FEDER ","AUVERGNE","AUVERGNE",,"1","Activités R&DT dans centres de recherche"
"Institut National de la Recherche Agronomique","Innov@pôle 2007","55,255 €","23,018 €","FEDER ","AUVERGNE","AUVERGNE",,"1","Activités R&DT dans centres de recherche"
