Liste des organismes bénéficiaires du Volet national du Fonds social européen en France,,,,,,,,,
"Nota bene : ces données concernent les projets pour lesquels le concours des Fonds européens a été approuvé en comité de programmation
A l'Ouest des Dents,E-Learning / Visio formation,"458,331 €","252,071 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,13,"Services et applications pour les citoyens (santé, gouvernement, formation en ligne, participation de tous à la société de l'information, etc.)"
A l'Ouest des Dents,E-Learning / Visio formation,"458,331 €","252,071 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,62,Développement de systèmes et stratégies d'apprentissage tout au long de la vie dans les entreprises; formation et services aux employés...
A l'Ouest des Dents,E-Learning / Visio formation,"458,331 €","252,071 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,72,"Élaboration, introduction et mise en oeuvre de réformes dans les systèmes d'éducation et de formation..."
A l'Ouest des Dents,E-Learning / Visio formation,"458,331 €","252,071 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
Alpes de lumière,Formation aux nouveaux métiers du patrimoine et insertion sociale professionnelle de personnes à bas niveau de qualification,"68,986 €","37,942 €",FONDS SOCIAL EUROPEEN,PROVENCE-ALPES-COTE D´AZUR,,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Alpes de lumière,Formation aux nouveaux métiers du patrimoine et insertion sociale professionnelle de personnes à bas niveau de qualification,"68,986 €","37,942 €",FONDS SOCIAL EUROPEEN,PROVENCE-ALPES-COTE D´AZUR,,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
Alsace Active,"Développement et intégration dans l'économie locale des entreprenariats d'insertion, d'utilité sociale et de solidarité","207,925 €","40,000 €",FONDS SOCIAL EUROPEEN,ALSACE,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
Amicale du nid,"L'accès à l'emploi, un enjeu individuel et collectif : comprendre - prévenir - former - accompagner","152,626 €","83,631 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Amicale du nid,"L'accès à l'emploi, un enjeu individuel et collectif : comprendre - prévenir - former - accompagner","152,626 €","83,631 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
Aquitaine Active,"Développement et intégration dans l'économie locale des entreprenariats d'insertion, d'utilité sociale et de solidarité","207,879 €","40,000 €",FONDS SOCIAL EUROPEEN,AQUITAINE,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
ARETE,AGEFIT (Flexible instruments and tools for age proof organisations),"123,167 €","67,000 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,67,Mesures encourageant le vieillissement actif et la prolongation de la vie active
ARETE,AGEFIT (Flexible instruments and tools for age proof organisations),"123,167 €","67,000 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
ASMOUNE,Entreprendre Quand Même,"56,006 €","34,150 €",FONDS SOCIAL EUROPEEN,Multiregion,Multilocalisation,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
