"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","FILIERE AGENT ADMINISTRATIF - NIVEAU V",105371,79029,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","FILIERE ELECTRONIQUE - niveau IV et III",135988,101991,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","Filière Information A - Niveau IV et III",126734,95050,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","Filière Informatique B- Niveau IV et III",132819,99614,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","FILIERE SECRETARIAT-NIVEAU IV et III 2008/2009",116496,87372,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / KOUROU / KOUROU","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","Mécanique auto - Niveau V",93668,70251,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","Module qualifiant agent de fabrication ensemble métallique Niveau V",71425,53569,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / KOUROU / KOUROU","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","PEINTRE EN BATIMENT - NIVEAU V",97843,73382,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / KOUROU / KOUROU","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AFPA GUYANE (ASS. FORMATION PROF.ADULTES)","PREPA BATIMENT",107539,80654,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / KOUROU / KOUROU","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGENCE LASER TOPOGRAPHIE AEROPORTE - ALTOA","Acquisition de matériels de topographie laser à haute précision",592376.75,369000,"FEDER ","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FEDER GUYANE 2007-2013","8","Autres investissements en entreprises"
"Agence Nationale pour l'Insertion et la promotion des Travailleurs d'Outre-mer (A.N.T )","A N T  - Formation en mobilité 2007",1111500,500000,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"Agence Régionale d'Information sur la Validation des Acquis et pour le Dév. Emp.","Mise en oeuvre de la validation des acquis de l'expérience VAE 2008",297087,197087,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE","PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"Agence Régionale d'Information sur la Validation des Acquis et pour le Dév. Emp.","Mise en oeuvre de la validation des acquis de l'Expérience VAE 2009",302857,202857,"FONDS SOCIAL EUROPEEN","GUYANE",,"PO FSE GUYANE","73","Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie..."
"AGIR ENVIRONNEMENT","Acquisition de matériels d'inspection photographique de réseaux",119354.2,75298.8,"FEDER ","GUYANE","GUYANE / CAYENNE / REMIRE-MONTJOLY / REMIRE-MONTJOLY","PO FEDER GUYANE 2007-2013","8","Autres investissements en entreprises"
"ALYSE GUYANE","Activité de capital risque",708862,117425,"FEDER ","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FEDER GUYANE 2007-2013",,
"ALYSE GUYANE","Financement d'audits dans les entreprises",67211,16803,"FEDER ","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FEDER GUYANE 2007-2013",,
"A N P E Guyane ","ANPE MOBILISATION VERS L'EMPLOI 2007",88875,66656,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FSE GUYANE","66","Mise en oeuvre de mesures actives et préventives sur le marché de l'emploi"
"APADAG","dispositif emploi formation",139225.5,93281.1,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / CAYENNE / CAYENNE","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A.PRO.S.E.P.","APROSEP ACI entretien,aménagement et  animation de la Crique MORTHIUM 2007",180522,126737,"FONDS SOCIAL EUROPEEN","GUYANE","GUYANE / CAYENNE / MATOURY / MATOURY","PO FSE GUYANE","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
