"name_des_begunstigten","bezeichnung_des_vorhabens","jahr_der_bewilligung","jahr_der_abschliessenden_restzahlung","gewahrte_betrage","gezahlte_gesamtbetrage"
"Autohaus Immoor GmbH Citrﾚen Vertragshﾊndler","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachlagerist",2007,2009,,2500
"Autohaus Osterhoff OHG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kraftfahrzeugmechatroniker",2007,2009,,2500
"Autohaus Reinhard Lehnhoff","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kraftfahrzeugmechatroniker",2007,2009,,2500
"Autohaus Rﾟdebusch GmbH & Co KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Automobilkaufmann",2007,2009,,2500
"Autohaus Rﾟdebusch GmbH & Co KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kaufmann im Einzelhandel",2007,2009,,2500
"Autohaus Rﾟdebusch GmbH & Co KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kraftfahrzeugmechatroniker",2007,2009,,2500
"Autohaus Rﾟdebusch GmbH & Co KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kraftfahrzeugmechatroniker",2007,2009,,2500
"Autohaus Trebeljahr GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
KFZ-Mechatroniker",2007,2009,,2500
"Autopark Henseleit GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen - KfZ
Mechatroniker",2007,2008,,2500
"Autoservice Krause","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kraftfahrzeugmechatroniker",2007,2009,,2500
"Autoservice Lammers","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kraftfahrzeugmechatroniker",2007,2009,,2500
"Bﾊckerei - Konditorei Th. Bruns","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachverkﾊuferin im Lebensmittelhandwerk",2007,2008,,2500
"Bﾊckerei Arnold Haats","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊcker",2007,2009,,2500
"Bﾊckerei Bernhard Bruns","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊckereifachverkﾊuferin",2007,2009,,2500
"Bﾊckerei Gerold de Beer","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊckereifachverkﾊuferin",2007,2009,,2500
"Bﾊckerei Helge Koch","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊcker",2007,2008,,2500
"Bﾊckerei Helge Koch","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊckereifachverkﾊuferin",2007,2008,,2500
"Bﾊckerei Helge Koch","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊckereifachverkﾊuferin",2007,2009,,2500
"Bﾊckerei Helmut Risse","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊcker",2007,2008,,2500
"Bﾊckerei Hﾟholt","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Konditorin",2007,2009,,2500
"Bﾊckerei Ingo Amelung","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊckereifachverkﾊuferin",2007,2009,,2500
"Bﾊckerei Klatte","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊcker",2007,2008,,2500
"Bﾊckerei Marquardt","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊckereifachverkﾊuferin",2007,2008,,2500
"Bﾊckerei Schiermeyer GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊcker",2007,2009,,2500
"Bﾊckerei und Cafﾎ Burrichter","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊcker",2007,2009,,2500
"Bﾊckerei Vogelpohl","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊcker",2007,2009,,2500
"Bﾊckerei Vogelpohl","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Konditorin",2007,2009,,2500
"Backhaus Dirk Grﾚneweg","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾊcker",2007,2009,,2500
"BARD Emden Energy GmbH & Co. KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kauffrau fﾟr Bﾟrokommunikation",2007,2009,,2500
"Baugeschﾊft Georg Sliwinski","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Hochbaufacharbeiter",2007,2009,,2500
"Bauunternehmen GmbH Ludwig Adams","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Maurer",2007,2009,,2500
"Bauunternehmen Martin Wﾚsten","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Maurer",2007,2009,,2500
"Behrens Dachbau GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Dachdecker",2007,2009,,2500
"Behrens Damen und Herren Friseur","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Friseurin",2007,2009,,2500
"BEKA Hotels GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Hotelfachfrau",2008,2009,,2500
"Bernhard Olbrich Elektroinstallation- und Industrieanlagen
GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker Fachrichtung Energie- und Gebﾊudetechnik",2007,2009,,2500
"Bessel Kommunikations-Systeme","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Informationselektroniker",2007,2009,,2500
"BGM","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Veranstaltungskaufmann",2007,2009,,2500
"Blumenstube Walsen","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Floristin",2007,2008,,2500
"Boetker GmbH & Co. KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachkraft fﾟr Lagerlogistik",2007,2008,,2500
"Bosch-Service Dieter Volkmann","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kfz-Mechatroniker",2007,2009,,2500
"Brandes & Speckesser GmbH & Co.KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Zweiradmechaniker",2007,2008,,2500
"Burger Aurich GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachmann fﾟr Systemgastronomie",2007,2009,,2500
"Bﾟro Albers GmbH & Co.KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kaufmann im Einzelhandel",2007,2008,,2500
"BUSS GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Feinwerkmechaniker",2007,2009,,2500
"Bﾟthe Metallbau","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Metallbauer",2007,2009,,2500
"Cabanillas & Wrobel OHG Joey�s Pizza Service","F�rderung von zus�tzlichen betrieblichen Ausbildungspl�tzen -
Kauffrau fﾟr Bﾟrokommunikation",2008,2009,,2500
"Cafﾎ Bar Restaurant Riva","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachkraft im Gastgewerbe",2007,2009,,2500
"Cafe Olﾎ","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachkraft fﾟr Gastronomie",2007,2008,,2500
"Cafe Pension Wahlde","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachkraft im Gastgewerbe",2007,2009,,2500
"Cafﾎ Restaurant Felsenkeller","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Koch",2007,2009,,2500
"Carl Schlﾟter Getrﾊnkefachgroﾧhandel","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Servicefahrer",2007,2009,,2500
"Carlino Osteria Enoteca","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Restaurantfachfrau",2007,2009,,2500
"Casarino e.K.","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachkraft im Gastgewerbe",2007,2008,,2500
"Cascade-Computer GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachinformatiker fﾟr Systemintegration",2007,2008,,2500
"Central Immobilien","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Immobilienkauffrau",2007,2009,,2500
"C.-H. Janssen GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker Fachrichtung Energie- und Gebﾊudetechnik",2007,2009,,2500
"Christian Langer","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Anlagenmechaniker fﾟr Heizung, Sanitﾊr und Klimatechnik",2007,2009,,2500
"Christoph & Oschmann GmbH & Co KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kaufmann im Einzelhandel",2007,2009,,2500
"Clemens Meyer","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kraftfahrzeugservicemechaniker",2007,2008,,2500
"CMC-Wolfsburg","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen - Kaufmann im Einzelhandel",2007,2008,,2500
"Cosmophone","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kaufmann im Einzelhandel",2007,2009,,2500
"C-R-T Car-Repair-Tuning","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
KFZ-Mechatroniker",2007,2009,,2500
"Dachdeckerei Lepper","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Dachdecker",2007,2008,,2500
"Dachdeckerei Ralf Wilts","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Dachdecker",2007,2009,,2500
"Dachdeckerei und Klempnerei Rudolph","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Dachdecker",2007,2008,,2500
"Dachdeckermeister Stefan Winter GmbH & Co. KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Dachdecker",2007,2009,,2500
"Dahlhaus Massive Mﾚbel fﾟr junge Leute","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Holzmechaniker",2007,2008,,2500
"Das Backhaus in der Weststadt","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachverkﾊuferin im Nahrungsmittelgewerbe",2008,2009,,2500
"Das Ofenhaus Colnrade","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kauffrau im Groﾧ- und Auﾧenhandel",2007,2008,,2500
"Das Ofenhaus Colnrade","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kauffrau im Groﾧ- und Auﾧenhandel",2007,2008,,2500
"Detlef Siemens","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker",2007,2009,,2500
"Deutsche WindGuard GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Mechatronikerin",2007,2009,,2500
"D&F Dach und Fassade GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Dachdecker",2007,2009,,2500
"Die Friseure!","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Friseurin",2007,2008,,2500
"Dominique Kreitz","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Verkﾊuferin",2007,2008,,2500
"Dornbusch Leer Handelsgesellschaft mbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kauffrau im Einzelhandel",2007,2009,,2500
"Dornbusch Leer Handelsgesellschaft mbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kauffrau im Einzelhandel",2007,2009,,2500
"Dr. Claudia Schlag","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Tierarzthelferin",2007,2009,,2500
"Dr. Hans-Hermann Liepe & Dr. Stefan Liepe -
Gemeinschaftspraxis","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Zahnmedizinische Fachangestellte",2007,2009,,2500
"Dr. Henning Pahl","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen - Zahnmedizinische Fachangestellte",2007,2008,,2500
"Dr. Lﾟhs Tierarztpraxis","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Tiermedizinische Fachangestellte",2007,2009,,2500
"Dr. Marc Graeber","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
zahnmedizinischen Fachangestellten",2008,2009,,2500
"Dr. med. Jﾚrg Amoulong","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Medizinischen Fachangestellten",2007,2008,,2500
"Dr. Rainer Nickelsen","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Zahnmedizinische Fachangestellte",2007,2008,,2500
"Druck Zuck - Medienwerkstatt","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Mediengestalterin",2007,2009,,2500
"E. Rottinghaus GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Ausbaufacharbeiter",2007,2009,,2500
"E. Yalman Immobilien & Bautrﾊger","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾟrokauffrau",2008,2009,,2500
"EDACON Informationssysteme A. David Dr. R. David GbR","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachinformatiker, Software-Entwicklung,",2007,2009,,2500
"Edeka aktiv markt","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Verkﾊuferin",2007,2009,,2500
"EHF Ingenieurberatung","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bauzeichner Ingenieurbau",2007,2009,,2500
"Eiscafﾎ - Pizzeria Dolce Vita","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachkraft im Gastgewerbe",2008,2009,,2500
"Eleganz Bildungsplattform e.V.","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kauffrau fﾟr Bﾟrokommunikation",2007,2009,,2500
"Elektro Baumann GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker -Energie-und Gebﾊudetechnik-",2007,2009,,2500
"Elektro Evers","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektronikerin, Fachrichtung Energie- und Gebﾊudetechnik",2007,2009,,2500
"Elektro Hammer","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker",2007,2009,,2500
"Elektro Henry","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker",2007,2009,,2500
"Elektro Hoppe","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Anlagenmechaniker",2007,2008,,2500
"Elektro Klima Heizung Sanitﾊr Bernd Hoppe","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker fﾟr Energie- und Gebﾊudetechnik",2007,2009,,2500
"Elektro Radtke GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾟrokaufmann",2007,2009,,2500
"Elektro Radtke GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker/ Energie- und Gebﾊudetechnik",2007,2009,,2500
"Elektro Renken","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker/Energie- und Gebﾊudewirtschaft",2007,2009,,2500
"Elektro Schﾚnbach","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Informationselektroniker",2007,2008,,2500
"Elektroinstallateurmeister Heinrich Wieferich","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker",2007,2009,,2500
"Elektro-Schoolmann","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker, Fachrichtung Energie- und Gebﾊudetechnik",2007,2009,,2500
"Elektro-Technik Ernst Ullrich","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroinstallateur",2007,2009,,2500
"Elektro-Technik Ernst Ullrich","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Eletroinstallateur",2007,2009,,2500
"Energiewerkstatt GmbH & Co. KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kauffrau fﾟr Bﾟrokommunikation",2007,2009,,2500
"EP: Johanns, Inh. Eckhard Johanns","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Informationselektroniker- Gerﾊte-und Systemtechnik",2007,2009,,2500
"EP:Holzenkamp Inh. Thomas Holzenkamp","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Einzelhandelskaufmann",2007,2009,,2500
"EP:Holzenkamp Inh. Thomas Holzenkamp","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kauffrau im Einzelhandel",2007,2008,,2500
"Euro Store & Dollar Kiosk","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Verkﾊuferin",2007,2009,,2500
"EuroDrive Fahrschulen","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kauffrau fﾟr Bﾟrokommunikation",2007,2009,,2500
"Fa. Helmut Eilhardt","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Maler und Lackierer",2007,2009,,2500
"Fahrschule Parvis Unternehmen fﾟr Bildung","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾟrokauffrau",2007,2009,,2500
"Farbenfachmarkt Sandomir GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kaufmann im Einzelhandel",2007,2009,,2500
"Feddersen Automobile GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kfz-Mechatroniker",2007,2009,,2500
"Feinkost + Partyservice Gabriel","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Einzelhandelskauffrau",2007,2009,,2500
"Felsenkeller Coppenbrﾟgge GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Koch",2007,2009,,2500
"Felsenkeller Coppenbrﾟgge GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Koch",2007,2009,,2500
"FEPA Wohnbau Apen GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Maurer",2007,2009,,2500
"Fernsehmeister Wolfgang Hildebrand","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Informationselektroniker",2007,2009,,2500
