name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,jahr_der_abschliessenden_restzahlung,gewahrte_betrage,gezahlte_gesamtbetrage
ipa Gesellschaft für praxisbezogene Ausbildung mbH,"Integration von schwervermittelbaren Jugendlichen und jungen
Erwachsenen",2008,2009,,115576.08
Thomas Lieberenz,"Förderung von Auszubildenden aus Insolvenzbetrieben - SHK-
Anlagenmechaniker",2008,2009,,2517.13
Alwin Uphoff Garten- und Landschaftsbau,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Landschaftsgärtner",2007,2009,,2500
Apel Dachtechnik Inh. Carsten Apel,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Dachdecker",2007,2008,,2500
August Bremer,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kauffrau im Einzelhandel",2007,2009,,2500
Ausstellungshaus Hitzacker,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Köchin",2007,2008,,2500
Autohaus Peter Harnisch,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kfz-Mechatroniker",2007,2009,,2500
Autohaus Viktor Bönig e.K. Allrad Center,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Automobilkauffrau",2007,2009,,2500
Autoservice Center Neubauer,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Kfz-Mechatroniker",2007,2008,,2500
Bäckerei Enrico Illing,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bäckereifachverkäuferin",2007,2009,,2500
Bäckerei Hans Allermann,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Bäcker",2007,2009,,2500
Bäckerei-Konditorei Geppert,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Fachverkäuferin im Bäckereifachgeschäft",2008,2009,,2500
Bäder Behmer GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Anlagemechaniker",2007,2009,,2500
Bahrenburg Haustechnik GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Elektroniker - Energie und Gebäudetechnik",2007,2009,,2500
Baugrundlabor Lüneburg GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Baustoffprüferin",2007,2009,,2500
Bergmann Lebensmittelvertriebs GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Verkäuferin",2007,2009,,2500
Blumen Kuhlmann,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Floristin",2007,2009,,2500
Blumenhaus Gundlach,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Floristin",2007,2008,,2500
Bowling No 1 GmbH,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Restaurantfachfrau",2007,2009,,2500
Brasserie am Schloss,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Koch",2008,2009,,2500
Cafe Schraders,"Förderung von zusätzlichen betrieblichen Ausbildungsplätzen -
Koch",2007,2009,,2500
