Type,Name des Begünstigten,Bezeichnung des Vorhabens,jahr_der_bewilligung,Gewährte Beträge,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
Standardvorhaben,agens e. V.,(250820022B) Datenerfasser/in - erheber/in; Teamleiter/in (Berlin Nord),2008,1266160
Standardvorhaben,agens e. V.,(250820023B) Befrager/in; Teamleiter/in,2008,1280960
Standardvorhaben,agens e. V.,(250820024B) Datenerfasser/in; Datenerheber/in; Teamleiter/in (Berlin Sﾟd),2008,1268800
Standardvorhaben,Kulturring in Berlin e. V.,(250820030B) Teamassistenten Bibliothek/Veranstaltungen,2008,224778.24
Standardvorhaben,"trias Gesellschaft fﾟr Arbeit, Gesundheit und Soziales",(250820040A) Projektkoordinator,2008,79022.52
Standardvorhaben,"trias Gesellschaft fﾟr Arbeit, Gesundheit und Soziales mbH",(250820041A) Einsatzkoordinator,2008,212217.84
Standardvorhaben,"trias Gesellschaft fﾟr Arbeit, Gesundheit und Soziales mbH",(250820042A) Servicemitarbeiter/innen,2008,3456028.8
Standardvorhaben,"trias Gesellschaft fﾟr Arbeit, Gesundheit und Soziales mbH","(250820050A) Projektkoordinator ""Kinderfee""",2008,79022.52
Standardvorhaben,"Trias Gesellschaft fﾟr Arbeit, Gesundheit und Soziales mbH","(250820051A) Einsatzkoordinator ""Kinderfee""",2008,141478.56
Standardvorhaben,"trias Gesellschaft fﾟr Arbeit, Gesundheit und Soziales mbH","(250820052A) Servicemitarbeiter ""Kinderfee"" ",2008,740577.6
Standardvorhaben,"trias Gesellschaft fﾟr Arbeit, Gesundheit und Soziales",(250820060A) Projektkoordinator /SenAktiv),2008,79022.52
Standardvorhaben,"trias Gesellschaft fﾟr Arbeit, Gesundheit und Soziales",(250820061A) Einsatzkoordinator (SenAktiv),2008,141478.56
Standardvorhaben,"trias Gesellschaft fﾟr Arbeit, Gesundheit und Soziales mbH","(250820062A) Servicemitarbeiter ""SenAktiv""",2008,2900595.6
Standardvorhaben,"trias Gesellschaft fﾟr Arbeit, Gesundheit und Soziales",(250820070A) Brﾟckenschlag,2008,79022.52
Standardvorhaben,"trias Gesellschaft fﾟr Arbeit, Gesundheit und Soziales",(250820071A) Brﾟckenschlag,2008,141478.56
Standardvorhaben,"trias Gesellschaft fﾟr Arbeit, Gesundheit und Soziales mbH","(250820072A) Servicemitarbeiter ""Brﾟckenschlag""",2008,1357725.6
Standardvorhaben,bbw Berufsvorbereitungs- und Ausbildungsgesellschaft mbH,"(250820080B) MA im Projekt ""Fahrgastbetreuung im ﾅPNV""",2008,15323400
Standardvorhaben,pro futura e.V.,(250820090A) Mitarbeiter fﾟr soziale Kontakte zur Verbesserung der Perspektive ﾊlterer Menschen in Berlin Mitte,2008,487728
Standardvorhaben,pro futura e. V.,(250820091B) Koordinator fﾟr Akquise und Auﾧenkontakte,2008,69570
Standardvorhaben,pro futura e. V.,(250820092B) Organisator fﾟr interne Arbeitsablﾊufe,2008,69570
Standardvorhaben,pro futura e.V.,(250820093A) Mitarbeiter fﾟr soziale Kontakte zur Verbesserung der Perspektiven ﾊlterer Menschen in Berlin Neukﾚlln,2008,487728
Standardvorhaben,pro futura e.V.,(250820094A) Mitarbeiter fﾟr soziale Kontakte zur Verbesserung der Perspektiven ﾊlterer Menschen in Berlin Friedrichshain-Kreuzberg,2008,487728
Standardvorhaben,pro futura e.V.,(250820095A) Mitarbeiter fﾟr soziale Kontakte zur Verbesserung der Perspektiven ﾊlterer Menschen in Berlin Pankow,2008,487728
Standardvorhaben,pro futura e. V.,(250820096B) Koordinator fﾟr Akquise und Auﾧenkontakte,2008,69570
Standardvorhaben,pro futura e. V. ,(250820097B) Koordinator fﾟr Akquise und Auﾧenkontakte in Berlin Pankow,2008,69570
Standardvorhaben,pro futura e. V.,(250820098B) Organisator fﾟr interne Arbeitsablﾊufe,2008,69570
Standardvorhaben,pro futura e. V. ,(250820099B) Organisator fﾟr interne Arbeitsablﾊufe,2008,69570
Standardvorhaben,Tﾟrkisch - Deutsches Zentrum e.V.,"(250820100B) Integrationslotsen Umwelterziehung, -bildung",2008,309817
Standardvorhaben,Tuerkisch-Deutsches-Zentrum e.V.,(250820101B) Projektkoordinator fﾟr Elternbegleitung,2008,92876.4
Standardvorhaben,Tﾟrkisch - Deutsches Zentrum e.V.,"(250820102B) Integrationslotsen ""Gesundheit, Ernﾊhrung und Bewegung""",2008,308091
Standardvorhaben,Tﾟrkisch-Deutsches Zentrum e. V.,(250820103B) Koordinator Integrationslotsen,2008,91586.45
Standardvorhaben,Tﾟrkisch-Deutsches Zentrum e. V.,(250820104A) Integrationslotsen,2008,615319
Standardvorhaben,Tﾟrkisch-Deitsches Zentrum e. V.,(250820105A) Elternbegleiter,2008,611867
Standardvorhaben,Tﾟrkisch-Deutsches Zentrum e. V.,(250820106A) Koordinator Elternbegleitung,2008,92876.4
Standardvorhaben,KUBUS e. V.,(250820110A) Mitarbeiter im Kiezprojekt,2008,7489324.08
Standardvorhaben,Fﾚrderband e. V. Kulturinitiative Berlin,"(250820120B) Kulturmanager, Kulturarbeiter",2008,6413452.2
Standardvorhaben,Fﾚrderband e. V. Kulturinitiative Berlin,"(250820121B) Kulturmanager, Kulturarbeiter",2008,6645074.4
Standardvorhaben,Fﾚrderband e. V.,"(250820122B) Kulturmanager/in, Kulturarbeiter/in",2008,6567112.8
Standardvorhaben,ASIG e. V.,(250820130A) Praxisbeleiter/innen,2008,6096600
Standardvorhaben,tandem gBQGmbH,(250820140A) Assistenten in Schulstationen,2008,3048300
Standardvorhaben,Arabische Elternunion e. V.,"(250820150A) Integrationslotsen, Elternlotsen",2008,1223150
Standardvorhaben,Sozial-kulturelle Netzwerke casa e. V.,(250820160A) PC Kurse Stadtteilzentrum ,2008,43200
Standardvorhaben,"Regionale Arbeitsstelle fﾟr Bildung, Integration und Demokratie e. V.",(250820170A) Rucksack - Sprachfﾟrderer,2008,798336
Standardvorhaben,Tﾟrkischer Unternehmer- und Handwerker e. V. Berlin,(250820190B) Beratungsassistenten,2008,176904
Standardvorhaben,Polnischer Sozialrat e. V.,(250820200A) Integrationslotsen,2008,325710
Standardvorhaben,"""Kiek in"" e. V. Berlin",(250820230B) Mitarbeiter im Nachbarschaftshaus zur Unterstﾟtzung der Beratungsfachkraft,2008,43992
Standardvorhaben,"""Kiek in"" e. V. ",(250820231B) Empfangsmitarbeiterin im Nachbarschaftshaus,2008,47592
Standardvorhaben,Club Dialog e. V.,"(250820240A) Arbeitsplﾊtze im Projekt ""Dezentrale Elternakademie"" als Sozialpﾊdagogen, Erzieher, Sozialarbeiter und Gesundheitsberufe",2008,861520
Standardvorhaben,Club Dialog e. V.,(250820241B) Koordination / ﾅffentlichkeitsarbeit ,2008,182880
Standardvorhaben,Arbeiterwohlfahrt Kreisverband Friedrichshain-Kreuzberg e. V.,(250820250B) Elternbegleiterinnen,2008,122400
Standardvorhaben,SOZIALWERK des demokratischen Frauenverbandes (Dachverband) e. V.,(250820260A) Mitarbeiterin in einer Nachbarschafts- und Begegnungsstﾊtte ,2008,43200
Standardvorhaben,Albatros e.V.,(250820330B) Datenerheber,2008,760617
Standardvorhaben,Albatros e. V. ,(250820336B) MA ﾅffentlichkeitsarbeit / telefonische Auskunft,2008,339026
Standardvorhaben,Opera Socialis gGmbH,(250820340A) Computerhelfer/in,2008,154800
Standardvorhaben,Nachbarschaftsheim Schﾚneberg e. V.,"(250820351C) MA Frieda, MA Gartenprojekt",2008,103680
Standardvorhaben,Verband fﾟr interkulturelle Arbeit Reginalverband Berlin/Brandenburg,(250820380A) Integrationslotsen,2008,478540
Standardvorhaben,Verband fﾟr interkulturelle Arbeit (VIA) Regionalverband Berlin/Brandenburg e. V.,(250820382A) Mitarbeiter Beratung/Information und Projektleitung,2008,1707030
Standardvorhaben,agens e. V.,"(250820460B) Datenerheber/in, Datenerfasser/in, Teamleiter",2008,3546720
Standardvorhaben,agens e. V.,(250820461B) Datenverarbeiter/in; Teamleiter/in,2008,591120
Standardvorhaben,Faden e. V.,"(250833015C) Intensivpflegemaﾧnahmen auf stﾊdtischen Kinderspielplﾊtzen, Grﾟnflﾊchen und Auﾧenanlagen ",2008,172800
Standardvorhaben,Arbeitsfﾚrderungs-Zentrum im Lande Bremen GmbH,(250833021A) Administrative Aufgaben fﾟr Schulassistenten,2008,432000
Standardvorhaben,Arbeitsfﾚrdeungs-Zentrum im Lande Bremen GmbH,(250833025A) Unterstﾟtzung Umweltprojekt,2008,86400
Standardvorhaben,Arbeitsfﾚrderungs-Zentrum im Lande Bremen GmbH,(250833026B) Sozialhelfer in Stadtteil- & Freizeittreffs Bremerhaven,2008,129600
Standardvorhaben,Bremerhavener Beschﾊftigungsgesellschaft,(250833030C) Gala-Helfer,2008,70501.68
Standardvorhaben,"Bremerhavener Beschﾊftigungsgesellschaft ""Unterweser"" mbH",(250833031C) Pfelge- und Verschﾚnerungsarbeiten auf Sportplﾊtzen,2008,463212.06
Standardvorhaben,Soziale Hilfe e. V.,(250834030B) Unterstﾟtzung und Beratung im Kleiderladen,2008,28800
Standardvorhaben,Sozialgruppe Kassel e. V.,(250834090B) Verwaltungsmitarbeiter fﾟr Recherchen & Systemverbesserungen ,2009,14400
Standardvorhaben,Lernziel e. V.,(50820270A) Integrationslotsen,2008,364391.28
Standardvorhaben,Ausbildungsring Auslﾊndischer Unternehmer e.V. - AAU,2. Phase:  Mittelfrﾊnkisches Ausbildungs-Netzwerk MAN,2009,151183.99
Standardvorhaben,Handwerkskammer Koblenz,2. Phase: ProBeEins,2008,142175
Standardvorhaben,Arbeitsfﾟrderungs-Zentrum im Lande Bremen GmbH,250833020A Administrative Aufgaben fﾟr Schulassistenten,2008,43200
Standardvorhaben,Arbeitsfﾟrderungs-Zentrum im Lande Bremen GmbH,250833022A Verwaltungskraft,2008,43200,
Standardvorhaben,Arbeitsfﾟrderungs-Zentrum im Lande Bremen GmbH,250833023B Verwaltungskraft,2008,43200,
Standardvorhaben,Arbeitsfﾟrderungs-Zentrum im Lande Bremen GmbH,250833024A Schuldnerberater,2008,43200,
Standardvorhaben,"Bremerhavener Beschﾊftigungsgesellschaft ""Unterweser"" BBU mbH (250833033B)",250833033B Hausmeistergehilfe an stﾊdt. Schulen,2008,33083.84,
Standardvorhaben,"Bremerhavener Beschﾊftigungsgesellschaft ""Unterweser""BBU mbH",250833035B Hausmeisterhelfer,2008,33084.43,
Standardvorhaben,"Kind & Kegel e. V,","250834040B Kﾟchentﾊtigkeit im Rahmen des Projekts ""Jetzt kochen wir""",2008,21600,
Standardvorhaben,Hochschule Bremen,3DL - Entwicklung und Betrieb von DSS Decision Support Systems,2008,49811.59,49674.06
Standardvorhaben,Technische Universitﾊt Berlin,3d-Prﾊsentations- und Handelsportal,2008,77600,
Standardvorhaben,Norddeutsche Gesellschaft fﾟr Diakonie e.V.,A.F.A. Neumﾟnster = Ausbildung fﾟr Alle in Neumﾟnster und Umgebung,2009,275912,235658.82
