aktion,zuwendungsempfanger,projekt,beginn,ende,projektvolumen,fund_type,uri
B 1,BI Beruf und Integration Elbinseln gGmbH (gGmbH),Selbstverantwortlich in die berufl. Zukunft,01.01.08,31.12.10,1.078.038,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 2,Biber - Team Hamburg GmbH (GmbH),Bausteine im Dialogmarketing,01.08.08,31.07.10,427.653,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 3,Bildungswerk der Wirtschaft Hamburg e.V. (e.V.),PE hoch drei,01.01.08,31.12.10,577.819,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 5,Bürgschaftsgemeinschaft Hamburg GmbH (GmbH),BG-Start!,01.01.08,31.12.10,1.859.471,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 5,Bürgschaftsgemeinschaft Hamburg GmbH (GmbH),Gründernetzwerk+,01.02.08,30.04.09,189.103,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 3,"DibS, Dienstleistungen zur beruflichen Eingliederung Schwerbehinderter GmbH (GmbH)",INES Integration durch Quali schwerbehinderter M.,01.01.08,31.12.09,698.241,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 6,einfal Akademie GmbH (GmbH),Dia-Log Eimsbüttel,01.03.09,28.02.11,255.944,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 4,einfal GmbH (GmbH),Hamburger Diversity Netzwerk,01.03.09,28.02.11,160.546,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 5,einfal GmbH (GmbH),Hamburger Vermittlungspool,01.03.08,28.02.10,378.089,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 1,einfal GmbH (GmbH),Interkulturelle Aufstiegsqualifizierung zum GPA,01.03.09,28.02.11,557.236,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,einfal GmbH (GmbH),Job Login,01.01.08,31.12.10,447.323,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 4,einfal GmbH (GmbH),Job Point Hamburg,01.01.08,31.12.09,196.530,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 5,Evers & Jung GmbH (GmbH),Firmenhilfe,15.01.08,31.12.10,467.632,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 3,Fortbildungsakademie der Wirtschaft FAW gGmbH (gGmbH),BIHA Beratungsinitiative und Integration HH,01.01.08,31.12.10,816.115,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
B 1,Großstadt-Mission Jugendhilfe gGmbH (gGmbH),Beruflich aktiv mit Roma und Sinti,01.01.10,31.12.11,395.040,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
C 4,GSM Training & Integration GmbH (GmbH),Come in,01.03.09,31.08.10,1.472.158,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
A 4,Hamburg Innovation GmbH (GmbH),Netzwerk Hamburger Career Services,01.01.10,31.12.11,498.656,ESF,http://www.esf-hamburg.de/contentblob/1379164/data/liste-gefoerderter-projekte.pdf
