name_der_begunstigten,vorhaben,zeitraum_der_bewilligung,amount,fund_type,uri
"WIAF (St. Wendeler Initiative für Arbeit und Familie) gGmbH, Welvertstraße 8, 66606","St.WendelQualifizierung, Beschäftigung, Integration von ALG-II- BezieherInnen",01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"WIAF (St. Wendeler Initiative für Arbeit und Familie) gGmbH, Welvertstraße 8, 66606 St.Wendel",Perspektiven für Jugendliche U 25,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"ABL-Imsbach gGmbH, Hofgut Imsbach, 66636 Tholey BeQu Beschäftigungs- und Qualifzierungsgesellschaft des Landkreises Merzig, Bahnhofstr. 27, 66663 Merzig Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB GmbH, Untertürkheimer Str. 27, 66117 Saarbrücken",Beschäftigung und Qualifizierung Landschaftspflegehof Imsbach Jugendkoordinator Landkreis Merzig- Wadern Stadion plus - Qualifizierung und Beschäftigung,01.01.-31.12.2008 01.01.-31.12.2008 01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"VASS Gemeinnützige Beschäftigungs- und Qualifizierungsgesellschaft mbH, Hermannstraße 152, 66538 Neunkirchen",Beschäftigung und Qualifizierung im Bereich Tourismus und Umweltschutz,01.01.2008 - 30.06.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Volkshochschule Regionalverband Saarbrücken, Altes Rathaus Schloßplatz, 66119 Saarbrücken Erwerbslosenselbsthilfe Püttlingen e.V., Zur Berghalde 10, 66346 Püttlingen",Jump Plus Qualifizierung und Beschäftigung Jugend für Zukunft Qualifizierung und Beschäftigung,01.01.-31.12.2008 01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Beschäftigungsinitiative Merzig e.V., Brauerstraße 5, 66663 Merzig Caritasverband für die Region Saar-Hochwald e.V., Torstr. 24, 66663 Merzig",Landschaftspflege und sanfter Tourismus Berufliche Integration von Zugewanderten Landkreis Merzig,01.01.-31.12.2008 01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Caritasverband für die Region Saar-Hochwald e.V., Lisdorfer Str. 13, 66740 Saarlouis Caritasverband für Saarbrücken und Umgebung e.V., Johannisstr. 2, 66111 Saarbrücken Mittendrin Sozial gGmbH, Hohlstraße 36, 66538 Neunkirchen",Berufliche Integration von Zugewanderten Saarlouis Berufliche Integration von Zugewanderten Saarbrücken Soziale Kompetenz - Dienstleistung - Arbeit,01.01.-31.12.2008 01.01.-31.12.2008 01.01.2008 - 30.06.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB GmbH, Untertürkheimer Str. 27, 66117 Saarbrücken",Stadion plus - Qualifizierung und Beschäftigung,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Katholische Erwachsenenbildung gGmbH - Arbeit, Bildung, Zukunft, Friedrich-Ebert- Straße 14, 66763 Dillingen/Saar",Beschäftigungs- und Qualifizierungsprojekt Ensdorf-Saarwellingen,01.01.2008 - 30.09.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Pädagogisch-Soziale Aktionsgemeinschaft e.V. - PÄDSAK, Rubensstraße 64, 66119 Saarbrücken Deutsches Rotes Kreuz Landesverband Saarland, Wilhelm-Heinirch-Straße 9, 66117 Saarbrücken Arbeit und Qualifizierung im Saar-Pfalz-Kreis gGmbH, Am Forum 1, 66424 Homburg",Hauswirtschaftsprojekt und Altenhilfe Berufliche Integration von Zuwanderern in Saarbrücken Burg Kirkel Qualifizierung und Beschäftigung,01.01.-31.12.2008 01.01.-31.12.2008 01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"EABD-proWork, Futterstraße 3, 66111 Saarbrücken",Yo Young office,04.02.2008 - 23.08.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"St. Wendeler Initiative für Arbeit und Familie gGmbH, Welvertstraße 8, 66606 St. Wendel",Beschäftigung und Basisqualifizierung im archäologischen Bereich,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"DIFA e.V. Kostüme & Co., Saarlouiser Straße 3, 66763 Dillingen",Frauenbeschäftigungs- und Qualifizieurngsprojekt Kostüme & Co.,01.08.2008 - 31.07.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Ausbildungszentrum Burbach gGmbH, Ernst- Abbe-Straße 10, 66115 Saarbrücken",Perspektiven für die Jugend,01.09.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Neue Arbeit Saar gGmbH, Bertha-von-Suttner-Straße 1, 66123 Saarbrücken",Projekt Denkmalschutz (Gefährdetenhilfe),01.07.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Ausbildungszentrum Burbach gGmbH, Ernst- Abbe-Straße 10, 66115 Saarbrücken",Jugendwerkstatt Blieskastel und Werkstatt St. Ingbert,01.04.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Volkshochschule Dillingen e.V., Franz-Méguin-Str. 6c, 66763 Dillingen",Beschäftigung und Qualifizierung Römerpark 2008/2009,19.05.2008 - 18.05.2009,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Gemeinnützige Gesellschaft für Arbeitslosenberatung und Beschäftigung mbH, Auf der Scheib 13, 66115 Saarbrücken",Qualifizierung für Arbeit - Gebrauchtwarenahus Brebach,01.07.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Ausbildungszentrum Burbach gGmbH, Ernst- Abbe-Straße 10, 66115 Saarbrücken",Qualifizierung Beschäftigung Jakobspilgerweg Stadtverband Saarbrücken,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Neue Arbeit Saar gGmbH, Bertha-von-Suttner-Straße 1, 66123 Saarbrücken",Soziale Betreuung der § 16a Kräfte - NAS,15.07.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Gemeinnützige kommunale Gesellschaft für Beschäftigung und Qualifizierung St. Ingbert mbH, Annastr . 30, 66386 St Ingbert",Qualifizierung Beschäftigung Umwelt und Renaturierung,25.03.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"SOS-Kinderdorf e.V. - Zentrum für Jung und Alt, Seilerstraße 6, 66111 Saarbrücken",Beschäftigung Qualifizierung von Jugendlichen Bereich Kinderbetreuung,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Arbeit und Qualifizierung im Saar-Pfalz-Kreis gGmbH, Am Forum 1, 66424 Homburg",Qualifizierung Beschäftigung Alte Schmelz St. Ingbert,01.01.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Saarpfalz Kreis, Am Forum 1, 66424 Homburg","Koordinierungsstelle Frau & Beruf - Coaching, Mentoring, Beratung",15.02.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
"Caritasverband für Saarbrücken und Umgebung e.V., Johannisstr. 2, 66111 Saarbrücken",WÖLKCHEN Qualifizierungs- und Beschäftigungsprojekt für Frauen,01.07.2008 - 31.12.2008,0,ESF,http://www.saarland.de/dokumente/thema_strukturfondsfoerderung/Beguenstigtenverzeichnis_ESF_SAARLAND1109.pdf
