begunstigter,projekt,datum_erstbewilligung,bewilligung_offentlicher_mittel,gesamtauszahlungsbetrag_abgeschlossener_projekte,fund_type,currency,uri
a & d Schulungszentrum GmbH,Modulare Weiterbildung im Garten- und Landschaftsbau 7,20.02.2008,"12.605,50","12.605,50",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung Grundkurs Schneidern 2 (MAE),25.03.2008,"17.520,43","17.520,43",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Englisch für den Beruf Grundkurs 4 (MAE),25.03.2008,"27.234,13","27.234,13",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung EDV/Internet 5,31.03.2008,"34.954,30","34.954,30",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung im Garten- und Landschaftsbau 8,16.04.2008,"32.333,91","32.333,91",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung EDV/Internet 6 (MAE),02.06.2008,"9.903,08","9.903,08",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung im Garten- und Landschaftsbau 9,26.06.2008,"30.878,52","30.878,52",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung im Garten- und Landschaftsbau 10,18.08.2008,"29.316,96","29.316,96",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung im Garten- und Landschaftsbau 11,27.10.2008,"31.984,19","31.984,19",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung im Garten- und Landschaftsbau 12,17.11.2008,"33.462,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
ABBV GmbH,Basisqualifizierung für den Pflegebereich,03.11.2008,"44.194,90",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
ABT gGmbH,Projektmanagement i. internat. Geschäftsverkehr (TWB 2/08),01.10.2008,"230.400,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
ABT gGmbH,Modulare EDV-Basisqualifikat. f. Beschäftigte in AGH 2008/09,01.10.2008,"64.633,92",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
ABT gGmbH,Fremdsprachliche Qualifizierung f.Beschäftigte in AGH 2008/09,13.10.2008,"54.783,13",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
ABT gGmbH,Z&B-Qualifizierung Alten- und Krankenpflege 2008/09,20.10.2008,"59.829,14",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
ABT gGmbH,Assistent/in in der Alten- und Krankenpflege (IMA 2008/09),24.11.2008,"72.819,17",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
ADQ Aktionszentrum für Dienstleistung und Qualifiz,BIB - Mobile Beratung für Jugendliche in Marzahn-Hellersdorf,16.06.2008,"84.715,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,Reinigungspass Unterhalts-u.Spezialreinigung f. TN i.Zusatzjobs,01.04.2008,"24.636,70","24.636,70",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,Pflegebasiskurs für Teilnehmer/-innen in Zusatzjobs,15.04.2008,"14.122,75","14.122,75",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,EDV-Qualifikation für Teilnehmer/-innen in Zusatzjobs,05.05.2008,"34.514,30","34.514,30",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,Gerontopsychiatrische Pflegekraft für TN in Zusatzjobs,13.05.2008,"31.301,15","31.301,15",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,Security Training (IHK) für Teilnehmende in Zusatzjobs,27.06.2008,"35.601,85","35.601,85",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,Advanced ECDL/Multimedia für Teilnehmende in Zusatzjobs,30.06.2008,"23.137,32","23.137,32",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,Security Training (IHK) für Teilnehmende in Zusatzjobs,04.08.2008,"65.835,09","65.835,09",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,EDV-Grundqualifikation mit Start-ECDL f. Teilnehmende i. Zusatzjobs,01.10.2008,"25.524,72",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,Pflegebasiskurs für Teilnehmende in Zusatzjobs,01.10.2008,"21.095,10",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,Reinigungspass für Teilnehmende in Zusatzjobs,01.08.2008,"34.697,03","34.697,03",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,Reinigungspass für Teilnehmende in Zusatzjobs,01.10.2008,"34.732,80",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,Gerontopsychiatrische Pflegekraft für TN in Zusatzjobs,27.10.2008,"23.078,40",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,EDV-Qualifikation für Teilnehmer/-innen in Zusatzjobs,01.12.2008,"38.202,24",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AFW GmbH,Security Training (IHK) für Teilnehmende in Zusatzjobs,20.10.2008,"57.249,28",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Pädagogik,07.01.2008,"25.417,93","25.417,93",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Hausmeister,07.01.2008,"15.591,03","15.591,03",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Office Grundlagen,07.01.2008,"22.082,79","22.082,79",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Linux Grundlagen,07.01.2008,"9.126,13","9.126,13",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Pädagogik 11.02.-14.03.2008,11.02.2008,"31.629,68",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Hausmeister Grundlagen 25.02.-01.04.2008,25.02.2008,"27.056,94",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Office Grundlagen 17.03.2008-18.04.2008,17.03.2008,"17.304,68","17.304,68",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Pädagogik 25.03.2008-24.04.2008,25.03.2008,"9.737,27","9.737,27",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Hausmeister Grundlagen 02.04.2008 - 07.05.2008,02.04.2008,"23.751,02","23.751,02",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Hausmeister Grundlagen 05.05.2008 - 09.06.2008 (MAE),05.05.2008,"21.488,33","21.488,33",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Pädagogik 09.06.-11.07.2008,09.06.2008,"28.226,01","28.226,01",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Office Grundlagen 12.06.2008-11.07.2008,12.06.2008,"24.492,63",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Linux Grundlagen 14.07.08 - 15.08.08,14.07.2008,"20.472,00","20.472,00",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Hausmeister Grundlagen 14.07.2008 - 15.08.2008,14.07.2008,"21.826,74","21.826,74",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Linux Aministration LPI 1 14.07.08 - 29.08.08,14.07.2008,"38.009,05",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Office Grundlagen 18.08.2008-19.09.2008,18.08.2008,"23.053,87",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Hausmeister Grundlagen 18.08.2008 - 19.09.2008,18.08.2008,"23.124,98",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Hausmeister Grundlagen 22.09.2008 - 27.10.2008,22.09.2008,"16.561,92","16.561,92",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Office Grundlagen 22.09.2008-27.10.2008,22.09.2008,"27.125,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
AiZ,Pädagogische Grundlagen f. die Arbeit mit Kindern 22.09.-27.10,22.09.2008,"24.433,82","24.433,82",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akademie Berlin-Schmöckwitz,Berufliche Grundbildung für gastgewerbliche Berufe,01.01.2008,"46.680,00","46.680,00",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akademie für Berufsförderung und Umschulung gGmbH,Grundlagen Flurförderzeugausbildung (Gabelstaplerpass),25.02.2008,"30.848,74","30.848,74",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akademie für Berufsförderung und Umschulung gGmbH,Grundlagen im gewerblich-techn. Bereich,10.03.2008,"14.079,71","14.079,71",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akademie für Berufsförderung und Umschulung gGmbH,Kassenpass/Verkaufstraining,01.04.2008,"28.128,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akademie für Berufsförderung und Umschulung gGmbH,Grundlagen GaLaBau,17.03.2008,"12.162,85","12.162,85",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akademie für Berufsförderung und Umschulung gGmbH,Grundlagen Grafikgestaltung + Bildbearbeitung,10.03.2008,"19.152,04","19.152,04",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akademie für Berufsförderung und Umschulung gGmbH,Handel + Marketing 2008,05.05.2008,"10.604,24","10.604,24",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akademie für Berufsförderung und Umschulung gGmbH,Grundlagen GaLaBau,16.06.2008,"43.200,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akademie für Berufsförderung und Umschulung gGmbH,Grundlagen EDV,05.05.2008,"57.600,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akademie für Berufsförderung und Umschulung gGmbH,Deutsch als Fremdsprache (MAE),15.05.2008,"36.577,81","36.577,81",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akademie für Berufsförderung und Umschulung gGmbH,Grundlagen EDV,01.09.2008,"14.400,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akademie für Berufsförderung und Umschulung gGmbH,Grundlagen Flurförderzeugausbildung (Gabelstaplerpass),01.10.2008,"10.800,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Akelei e.V.,Zukunftsplanung für Frauen im Existenzgründungsbereich,01.01.2008,"227.920,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Albatros e.V.,BZM psychosoziale Begleitung,01.11.2007,"40.132,26","40.132,26",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Albatros gGmbH,Integrationslotsinnen als Unterstützung und Erweiterung der Migrationsarbeit in Reinickendorf,17.04.2008,"355.404,96",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Alice-Salomon-Fachhochschule,Karriereplanung,01.08.2008,"360.757,78",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
A.M.M. Aktionszentrum Multi Media GmbH,"""Nutzen""",13.05.2008,"49.816,67",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
A.M.M. Aktionszentrum Multi Media GmbH,"PC-Technik, ECDL und Verkauf",09.06.2008,"19.344,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Antistalinistische Aktion Normannenstraße e. V.,BZM-Besucherbetreuung/Hilfestellung für behinderte Besucher,01.11.2007,"19.168,49","19.168,49",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeit Sofort,21169 Ausbildung in Sicht 1/08,25.02.2008,"36.648,88","36.648,88",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeit Sofort,21170 Ausbildungsförderung von Jugendlichen mit Migrationshintergrund - Ausbildung in Sicht 2/08,25.02.2008,"27.750,79","27.750,79",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeit Sofort,21171 Ausbildungsförderung von Jugendlichen mit Migrationshintergrund - Ausbildung in Sicht 3/08,25.03.2008,"28.342,77","28.342,77",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeit Sofort,22283 Integration durch Sprachförderung (IdS) - 9/08,01.10.2008,"56.000,05",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeit Sofort,22284 Integration durch Sprachförderung (IdS) - 10/08,01.10.2008,"56.000,05",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeit Sofort,22294 Integration durch Sprachförderung (IdS) - 11/08,03.11.2008,"56.000,05",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeit Sofort,22295 Integration durch Sprachförderung (IdS) - 12/08,03.11.2008,"56.000,05",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeit Sofort,22298 Integration durch Sprachförderung (IdS) - 13/08,01.12.2008,"56.000,05",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeit Sofort,22299 Integration durch Sprachförderung (IdS) - 14/08,01.12.2008,"56.000,05",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeit und Bildung e.V.,TRIDEM II,01.01.2008,"4.801.500,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeit und Bildung e.V.,KUMULUS Bildungsberatung,01.08.2008,"1.198.027,31",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeit und Bildung e.V.,IQB - Integration durch Qualifizierung in den Beruf - AiS,20.10.2008,"41.902,34",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
"arbeit,bildung,wohnen e.V.",abw Frauenladen,01.01.2008,"273.120,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeiterwohlfahrt Kreisverband Friedrichshain-Kreuzberg e. V.,IH - Niedrigschwellige Familienbildung,01.11.2008,"91.711,26",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeitsfördergsgesell.i.Industreistandort,BZM- Stadtteilarbeit Lichtenberg,15.11.2007,"20.017,27","20.017,27",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeitsfördergsgesell.i.Industreistandort,BZM- Stadtteilarbeit Weitlingkiez,01.12.2007,"20.018,15","20.018,15",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Arbeitsfördergsgesell.i.Industreistandort,BZM- Stadtteilarbeit Stadtbild Agentur,15.12.2007,"21.406,16","21.406,16",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
ARBLI GmbH,BZM -Stadthaus,01.11.2007,"19.898,84","19.898,84",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
ARBLI GmbH,PC-Grundlagen in russischer und deutscher Sprache,02.09.2008,"17.440,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Artur Speer Akademie,Verkaufstraining mit Kassenpass,26.05.2008,"64.364,54",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
