begunstigter,projekt,datum_erstbewilligung,bewilligung_offentlicher_mittel,gesamtauszahlungsbetrag_abgeschlossener_projekte,fund_type,currency,uri
Deutsch-Praxis Berlin,Deutsch für den Beruf VI/08,01.10.2008,"21.687,82","21.687,82",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Diakonisches Werk Berlin Stadtmitte.e.V.,Treffpunkt für Senior/innen und Migrant/innen,01.04.2008,"231.340,40",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DIDACTICA priv. kfm. Berufsbildungs GmbH,Fremdsprachenkorrespondentin Englisch IHK,28.01.2008,"61.392,63",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DIDACTICA priv. kfm. Berufsbildungs GmbH,Fremdsprachenkorrespondent/in Englisch Modul Medienoperating,18.02.2008,"59.779,47",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DIDACTICA priv. kfm. Berufsbildungs GmbH,22242 Medienoperator/in,19.05.2008,"56.476,93","56.476,93",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DIDACTICA priv. kfm. Berufsbildungs GmbH,22267-Fremdsprachenkorrespondentin Englisch IHK,18.08.2008,"61.392,56",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DIDACTICA priv. kfm. Berufsbildungs GmbH,Business Communications,18.08.2008,"58.779,61",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DIDACTICA priv. kfm. Berufsbildungs GmbH,Business Communications,24.11.2008,"53.921,26",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Die Hilfsbereitschaft e.V.,BE-Berliner Freiwilligenbörse,28.01.2008,"39.457,72",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Die Hilfsbereitschaft e.V.,"BE-Beratungs-Initiative ""Organisieren - vermitteln - tätig sein""",01.10.2008,"9.751,70",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Die Wille gGmbH,Drop In,01.01.2008,"2.394.262,72",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
Die Wille gGmbH,ECO-PC Berlin,01.01.2008,"1.123.373,10",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,Jobfit 2008,01.04.2008,"90.202,11","90.202,11",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
DUDEN PAETEC GmbH,Integrationsprojekt Betreuung Schwerbehinderter IPS Treptow/Köpenick,31.03.2008,"34.699,60","34.699,60",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
