"Prioritätsachse","Begünstigte","Maßnahmebezeichnung","Jahr der Bewilligung","Gewahrte Betrage","Bei Abschluss des Vorhabens gezahlte Gesamtbetrage"
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Berufliche Fachqualifikation pneumatische Steuerungen, Trennen/Umformen, MAG, WIG, Hartlöten, elektronische Baugruppen als Maßnahme für die Ausbildung zum Konstruktionsmechaniker/Ausrüstungstechnik",2008,2200.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Berufliche Fachqualifikation pneumatische/elektropneumatische/hydraulische Steuerungen, SPS als Maßnahmen für die Ausbildung zum Elektroniker für Geräte und Systeme",2008,580.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Berufliche Fachqualifikation WIG, Hartlöten, Pneumatik als Maßnahme für die Ausbildung zum Konstruktionsmechaniker/Ausrüstungstechnik",2008,1520.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation WIG, maschinelle/manuelle Werkstoffbearbeitung, CNC, technische Kommunikation",2008,1160.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation Bauelemente der Elektronik, Elektropneumatische Schaltungstechnik",2008,,380.00
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation Trennen/Umformen, CNC, Fügen",2008,580.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation WIG, MAG, Gasschweißen, manuelle Werkstoffbearbeitung",2008,2340.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation maschinelle/manuelle Werkstoffbearbeitung, CNC, technische Kommunikation, pneumatische/hydraulische Steuerungen, MAG, Hartlöten, Lichtbogenhandschweißen",2008,6900.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Kernqualifikation Metall/Elektro",2008,3400.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation manuelle/maschinelle Werkstoffbearbeitung, WIG",2008,980.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation pneumatische Steuerungen, CNC, Hartlöten, WIG",2008,660.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation MAG, maschinelle Werkstoffbearbeitung, pneumatische/elektropneumatische Steuerungen, elektrische Anschlüsse",2008,2940.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation pneumatische Steuerungen, CNC, elektropneumatische Schaltungstechnik",2008,500.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation elektropneumatische Schaltungstechnik",2008,,200.00
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation pneumatische Steuerung, SPS, Steuerungstechnik, WIG, MAG, elektropneumatische Schaltungstechnik",2008,1080.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation maschinelle Werkstoffbearbeitung hydraulische/pneumatische Steuerungen, MAG, WIG",2008,880.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation elektropneumatische Schaltungstechnik, mechatronische Systeme, SPS, Steuerungstechnik",2008,560.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation pneumatische Steuerungen, CNC, Hartlöten, WIG",2008,680.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation maschinelle/manuelle Werkstoffbearbeitung, Hartlöten, Lichtbogenhandschweißen, Herstellen elektrischer Anschlüsse",2008,1220.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation WIG, MAG, Gasschweißen, CNC, hydraulische/elektropneumatische Steuerungen",2008,960.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation SPS, Mikroprozessortechnik, Regelungstechnik, Leistungselektronik, digitale Meßverfahren",2008,1560.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation Lichtbogenhandschweißen, Gasschweißen, WIG, MAG, Hartlöten, Pneumatik",2008,2760.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation Mikroprozessortechnik, SPS, Versorgungsschaltungen, digitale Meßverfahren, Regelungstechnik, Leistungselektronik",2008,2160.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation Mikroprozessortechnik, NF-Verstärkertechnik, SPS, digitale Meßverfahren, Regelungstechnik",2008,780.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation Lichtbogenhandschweißen, MAG, WIG, manuelle Werkstoffbearbeitung",2008,780.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation Lichtbogenhandschweißen, WIG",2008,400.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation Mikroprozessortechnik, Europäischer Installationsbus, digitale und analoge Schaltungstechnik",2008,300.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation MAG, manuelle und maschinelle Werkstoffbearbeitung",2008,1960.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung - Kernqualifikation Grundlagen Marketing, Beratung und Verkauf",2008,2250.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation Mikroprozessortechnik, digitale und analoge Schaltungstechnik, Europäischer Installationsbus",2008,400.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung - Kernqualifikation Grundlagen Marketing, Beratung und Verkauf",2008,2400.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung - Fachqualifikation SPS, Mikroprozessortechnik",2008,200.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung - Kernqualifikation Metall",2008,3100.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation SPS, mechatronische Systeme, elektropneumatische Schaltungstechnik, steuerungstechnische Versorgungsschaltungen",2008,1120.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation technische Kommunikation, CNC",2008,200.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation Herstellen von Misch- und Mixgetränken, Verarbeiten von Wild- und Schlachtfleisch",2008,140.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Fachqualifikation Vor- und Zubereiten von Schlacht- und Wildfleisch",2008,180.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation WIG, CNC, hydraulische und pneumatische Steuerungen",2008,680.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation MAG, Hartlöten, WIG",2008,760.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation CNC, technische Kommunikation, MAG, Herstellung elektrischer Anschlüsse",2008,1160.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation CNC, technische Kommunikation, hydraulische, elektropneumatische und pneumatische Steuerungen",2008,1720.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation technische Kommunikation, hydraulische und pneumatische Steuerungen, CNC, WIG, MAG",2008,980.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation digitale und analoge Schaltungstechnik",2008,300.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation digitale und analoge Schaltungstechnik, Europäischer Installationsbus, Mikroprozessortechnik",2008,500.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation CNC, Pneumatik",2008,400.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation digitale und analoge Schaltungstechnik, Europäischer Installationsbus",2008,400.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation Lichtbogenhandschweißen, SPS",2008,300.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation CNC-Drehen-Fräsen",2008,200.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation elektrische und elektronische Bauelemente",2008,200.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation pneumatische Steuerungen, hydraulische Steuerungen, elektropneumatische Steuerungen",2008,3600.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation Gästekorrespondenz, Marketing",2008,180.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation SPS, Leistungselektronik, Regelungstechnik, Steuerungstechnik",2008,580.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation CNC-Drehen, Fräsen, Technik",2008,300.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation CNC-Technik, maschinelle Werkstoffbearbeitung",2008,300.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation WIG, MAG, Lichtbogenhandschweißen, elektropneumatische Schaltungstechnik",2008,500.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation Mikroprozessortechnik, NF-Verstärkertechnik, Europäischer Installationsbus, Operationsv.",2008,360.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Kernqualifikation Elektro",2008,2800.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation MAG, Hartlöten",2008,300.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation manuelle/maschinelle Werkstoffbearbeitung, Pneumatik",2008,200.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Kernqualifikation manuelle Werkstoffbearbeitung, maschinelle Werkstoffbearbeitung",2008,14160.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation Mikroprozessortechnik, Europäischer Installationsbus",2008,300.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation Grundlagen Elektronik, digitale Schaltungstechnik, MAG, WIG, Trennen/Umformen",2008,1560.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation manuelle und maschinelle Werkstoffbearbeitung",2008,240.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation Rechnungswesen, Informationsverarbeitung, WISO, Bürowirtschaft",2008,,150.00
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation Lichtbogenhandschweißen, Gasschweißen",2008,380.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation manuelle/maschinelle Werkstoffbearbeitung",2008,240.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation Blechbearbeitung, WIG, MAG",2008,300.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation Sensorik, SPS",2008,360.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation digitale Meßverfahren, SPS, Mikroprozessortechnik, Regelungstechnik, Versorgungsschaltungen",2008,460.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation manuelle/maschinelle Werkstoffbearbeitung",2008,600.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation MAG Schutzgasschweißen",2008,300.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation manuelle/maschinelle Werkstoffbearbeitung",2008,200.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation manuelle/maschinelle Werkstoffbearbeitung",2008,200.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation manuelle/maschinelle Werkstoffbearbeitung",2008,,400.00
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation manuelle/maschinelle Werkstoffbearbeitung",2008,200.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation manuelle Werkstoffbearbeitung, WIG, MAG",2008,300.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Kernqualifikation Trennen/Umformen, Lichtbogenhandschweißen, MAG",2008,600.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Kernqualifikation Umformen, elektronische Schaltungsunterlagen, Spannung-Strom-Widerstand-Berechnen",2008,520.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation hydraulische und elektropneumatische Steuerungen, SPS, digitale Schaltungstechnik, Grundlagen der Elektronik",2008,2640.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation pneumatische Steuerungen, maschinelle Werkstoffbearbeitung",2008,300.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation Metallbearbeitung",2008,100.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation Hartlöten, Herstellen elektrischer Anschlüsse, Installation elektronischer Baugruppen, elektropneumatische Schaltungstechnik",2008,500.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation Rechnungswesen, WISO, Entgeltrechnung, Informationsverarbeitung",2008,315.00,
"B","Ausbildungsverbund Teltow e. V.- Bildungszentrum der IHK Potsdam","Verbundausbildung, Fachqualifikation kaufmännische Steuerung, Kontrolle, Einsatz Warenwirtschaftssysteme",2008,1500.00,
"B","Ausbildungsverbund Teltow e.V.","Ausbildung zur Fachkraft im Gastgewerbe",2008,60642.00,
"B","Ausbildungsverbund Teltow e.V.","Ausbildungsplatzprogramm-Ost 2008                     Kooperatives Modell  ",2008,296160.04,
"B","Ausbildungsverbund Teltow e.V.","Ausbildungsplatzprogramm-Ost 2008                     Kooperatives Modell ",2008,3540974.48,
"B","Ausbildungsverbund Teltow e.V.","Ausbildungsplatzprogramm-Ost 2008                     Kooperatives Modell ",2008,1648625.88,
"B","Ausbildungsverbund Teltow e.V.","Ausbildungsplatzprogramm-Ost 2008                     Kooperatives Modell  ",2008,4901116.49,
"B","Ausbildungsverbund Teltow e.V.","Ausbildungsplatzprogramm-Ost 2008                     Kooperatives Modell  ",2008,331984.00,
"B","Ausbildungszentrum Heizung-Klima-Sanitär Berlin und Brandenburg e.V.","Verbundausbildung, Grundausbildung Metall/Elektro für Mechatroniker für Kältetechnik",2008,1500.00,
"B","Autohaus Schmidt ","Verbundausbildung, Installation von Systemen und Anlagen, Installation von Bauteilen und Baugruppen, Thermisches Trennen, Maschinelles Bearbeiten",2008,2000.00,
"B","AWO LV Brandenburg e.V. ","Projekt Freiwilliges Soziales Jahr",2008,55803.50,
"B","AWO Regionalverband Brandenburg Süd e.V.","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2008,419796.00,
"B","AWO SANO gGmbH Sozialakademie Potsdam","Qualifizierung Fachkräfte Eltern-Kind-Zentren",2008,20347.35,
"B","AWO SANO gGmbH Sozialakademie Potsdam","Berufliche Weiterbildung von Fachkräften in Eltern-Kind-Zentren",2008,22774.95,
"B","AWO SANO gGmbH Sozialakademie Potsdam","Qualifizierung für Beschäftigte in der Jugendhilfe - Professionalisierung in der Familienbildung",2008,27752.59,
"B","B.E.S. GmbH","Verbundausbildung 2. Ausbildungsjahr",2008,36000.00,
"B","B.E.S. GmbH","Verbundausbildung 1. Ausbildungsjahr: manuelles und maschinelles Spanen, Trennen, Umformen und Fügen",2008,38400.00,
"B","B.E.S. GmbH","Verbundausbildung 1. Ausbildungsjahr: Einführung in die Elektrotechnik und Werkstoffbearbeitung, Projekt Werkstoff",2008,2800.00,
"B","BAZ Selbelang e.V.","Erstausbildung zum Altenpfleger/zur Altenpflegerin",2008,193752.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Grundausbildung Mechatroniker im 1. Ausbildungsjahr",2008,48620.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Grundausbildung Mechatroniker, Metall, Elektrotechnik im 1. Ausbildungsjahr",2008,46900.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Fachausbildung Mechatroniker und Elektroniker im 2. Ausbildungsjahr",2008,17760.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Grundlagenbildung Industriekaufleute (1. Ausbildungsjahr)",2008,750.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Fachausbildung Mechatroniker mit ZQ Mikrotechnologie",2008,23520.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Fachausbildung Maschinen- und Anlagenführer im 2. Ausbildungsjahr",2008,,400.00
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Fachausbildung Elektroniker Betriebstechnik im 2. Ausbildungsjahr",2008,5820.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Verbundausbildung, Grundausbildung Zerspanungsmechaniker im 1. Ausbildungsjahr",2008,,280.00
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Verbundausbildung, Grundausbildung Mechatroniker im 1. Ausbildungsjahr",2008,2560.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Verbundausbildung, Fachausbildung Mechatroniker und Elektroniker im 4. Ausbildungsjahr",2008,10000.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Verbundausbildung, Fachausbildung Konstruktionsmechaniker im 4. Ausbildungsjahr",2008,1800.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Verbundausbildung, Fachausbildung Mechatroniker im 2. Ausbildungsjahr",2008,1060.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Verbundausbildung, Fachausbildung Elektroanlagenmonteur im 3. Ausbildungsjahr",2008,1520.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Verbundausbildung, Maschinenausbildung Konstruktionsmechaniker",2008,1000.00,
"B","bbw Bildungszentrum Frankfurt (Oder) GmbH","Innovative Kooperative Verbundausbildung",2008,613380.00,
"B","Beelitzer Verkehrs- und Servicegesellschaft mbH","Verbundausbildung, Führerscheinausbildung zur Klasse D",2008,2440.00,
"B","Berliner Institut für Frühpädagogik e.V. ","Beschäftigte in Jugendhilfe/Sozialpädagogische Fortbildung ",2008,56950.43,
"B","Berliner Institut für Frühpädagogik e.V. ","Beschäftigte in Jugendhilfe/Sozialpädagogische Fortbildung ",2008,43314.41,
"B","Berliner Institut für Frühpädagogik e.V. ","Qualifizierung für Beschäftigte in der Jugendhilfe",2008,54986.69,
"B","Berliner Institut für Frühpädagogik e.V. ","Qualifizierung für Beschäftigte in der Jugendhilfe",2008,41820.81,
"B","Berliner Institut für Frühpädagogik e.V. ","Berufspraktische Qualifizierung arbeitsloser Männer zum Erzieher in Kindertagesstätten",2008,296541.20,
"B","Berufliches Bildungszentrum der Wirtschaft Wittenberge","Verbundausbildung Längenprüftechnik, Grundlagen Metall – Manuelles Spanen – Grundlagen Metallbearbeitung, Technische Kommunikation, Maschinelles Spanen, Hart- und Weichlöten mit der Flamme, Lichtbogenschweißen, Grundlagen der Elektrotechnik, Gasschweißen, Schutzmaßnahmen I usw.
",2008,47940.00,
"B","Berufliches Bildungszentrum der Wirtschaft Wittenberge","Brennschneiden, Aufbau und Prüfung von drahtgebundenen Steuerungen, Hart- und Weichlöten mit der Flamme, Lichtbogenschweißen, Sensorik, Schutzmaßnahmen II, Inbetriebnahme elektrischer Anlagen, Gasschweißen, Aufbau und Prüfen von elektropneumatischen und hydraulischen Steuerungen, Aufbauen und Prüfen, lichtdrahtgebundener Steuerungen, Prüfungsvorbereitung, Grundlagen SPS, Installieren und Testen von Hard- und Softwarekomponenten usw.
",2008,26880.00,
"B","Berufliches Bildungszentrum der Wirtschaft Wittenberge","Elektropneumatik, Technische Kommunikation, Leistungselektronik, SPS-Ablaufsteuerungen, Schutzmaßnahmen III / Geräte und Maschinen, Antriebstechnik/Elektrische Maschinen, Aufbau, Programmieren und Inbetriebnahme von Produktionssystemen, Grundlagen der Regelungstechnik usw.
",2008,28500.00,
"B","Berufliches Bildungszentrum der Wirtschaft Wittenberge","Verbundausbildung Montage/Demontage, Bussysteme, Prüfungsvorbereitung, Lagertechnik, WIG-Schweißen mit TÜV-Prüfung, MAG-Schweißen mit TÜV-Prüfung
",2008,6240.00,
"B","Berufliches Bildungszentrum der Wirtschaft Wittenberge","Längenprüftechnik, Montieren und Installieren von elektrischen Betriebsmitteln, Fehlersuche in elektrischen Anlagen, Bearbeiten mechanischer Bauteile und Baugruppen, Schaltungstechnik und Bauelemente, Einsatz und Handhabung von Werkzeugmaschinen usw. 
",2008,4140.00,
"B","Berufliches Bildungszentrum der Wirtschaft Wittenberge","Verbundausbildung Längenprüftechnik, Grundlagen Metall – Manuelles Spanen Maschinelles Spanen, Hart- und Weichlöten mit der Flamme, Grundlagen der Elektrotechnik, Schutzmaßnahmen I usw. 
",2008,2760.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Umsetzung der Ziele des regionalen Teilprojektes ""Initiative Oberschule"" in den Schulamtsbereichen Eberswalde und Frankfurt/Oder",2008,1606634.67,
"B","Berufsbildungsverein Eberswalde e.V. ","Verbundausbildung, Arbeiten am Empfang, Anfragen und Angebote bearbeiten, Beratungs-Verkaufsgespräche führen, Korrespondenz führen, Bearbeiten von Reklamationen, Geschäftsvorgänge, Betriebswirtschaft, Marketing und Arbeitsorganisation",2008,29680.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Verbundausbildung, TSM, Herstellen und Zusammenbauen von Teilen, Herstellen und Anwendungen von Vorrichten",2008,1800.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Verbundausbildung, Arbeitssicherheit, Unfallverhütung, Lesen, Anwenden und Erstellen von technischen Unterlagen, Prüfen, Messen, Lehren, Fügen, Löten, Maschinelles Spanen und Umformen, Maschinelles Bearbeiten, Manuelles und maschinelles Umformen von Blechen und Profilen, Schweißen, Elektrotechnik, Prüfen, Behandeln und Schützen von Oberflächen, Transportieren von Bauteilen und Baugruppen, Montieren und Demontieren von Bauteilen und Baugruppen",2008,4800.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Verbundausbildung, Rechnungswesen, Personalwesen, Wirtschafts- und Sozialkunde",2008,210.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Verbundausbildung, Rechnungswesen, Personalwesen, Wirtschafts- und Sozialkunde",2008,240.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Verbundausbildung, Rechnungswesen, Personalwesen, Wirtschafts- und Sozialkunde",2008,210.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Verbundausbildung, TSM, Grundlehrgang",2008,1000.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Verbundausbildung, TSM - Herstellen und Zusammenbauen von Teilen, Herstellen und Anwenden von Vorrichtungen",2008,3000.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Verbundausbildung, TSM - Einrichten, Bedienen und Warten von Maschinen, Kalkulieren und Fachspezifisches Rechnen",2008,1800.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Verbundausbildung, TSM Grundlehrgang",2008,1000.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Verbundausbildung, TSM - Einrichten, Bedienen und Warten von Maschinen, Kalkulieren und Fachspezifisches Rechnen",2008,1800.00,
"B","Berufsbildungsverein Eberswalde e.V. ","Verbundausbildung, Grundlagen der Elektrotechnik, Mess-, Steuerungs- und Regelungstechnik",2008,1000.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung, Grundlagen der Metallbearbeitung, Grundlagen der Elektrotechnik",2008,1920.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung, Metallgrundausbildung Metallbearbeitung/Elektrik, Steuer- und Regelungstechnik",2008,2280.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung, Metallgrundausbildung 1. Lehrjahr Drehen/Fräsen, 2. Lehrjahr CNC-Technik, 3. Lehrjahr Prüfungsvorbereitung",2008,2820.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung , Metallgrundausbildung Elektrik, Steuer- und Regelungstechnik",2008,4000.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung, Metallbearbeitung",2008,380.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung, Metallbearbeitung",2008,900.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung, Metallbearbeitung, konventionelles Drehen/Fräsen, CNC-Technik, Prüfungsvorbereitung",2008,5080.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung, Metallbearbeitung, konventionelles Drehen/Fräsen, CNC-Technik, Prüfungsvorbereitung",2008,2720.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung, Metallbearbeitung, CNC-Technik",2008,1360.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung, Metallbearbeitung, Anlagenbau",2008,1640.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung, Metallbearbeitung, Anlagenbau",2008,4920.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung, Berufliche Fachbildung Industriekaufleute, Prüfungsvorbereitung",2008,1170.00,
"B","Berufsbildungsverein Prenzlau e.V. ","Verbundausbildung, Zusatzqualifizierung: Erlangen einer Prüfbescheinigung im WIG-Schweißverfahren",2008,1920.00,
