"Prioritätsachse","Begünstigte","Maßnahmebezeichnung","Jahr der Bewilligung","Gewahrte Betrage","Bei Abschluss des Vorhabens gezahlte Gesamtbetrage"
"A","Blechform A + C Brandenburg GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Inventor Individualschulung",2008,3990.00,
"A","Braintronic Software-Entwicklungsgesellschaft mbH","Qualifizierung in kleinen und mittleren Unternehmen, Kommunikation und Selbstmanagement",2008,2352.00,
"A","C&C Immobilien und Projektentwicklungsgesellschaft mbH","Qualifizierung in kleinen und mittleren Unternehmen - Lehrgang Geprüfte Immobilienmaklerin",2008,1134.00,
"A","CNC-Präzisionsfertigung Ojinski GmbH ","Weiterbildung in kleinen und mittleren Unternehmen - Qualifizierung im CNC-Bereich",2008,1120.00,
"A","CNC-Präzisionsfertigung Ojinski GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Qualifizierung im CNC-Bereich",2008,2520.00,
"A","COMplus GmbH & Co.KG ","Qualifizierung in kleinen und mittleren Unternehmen - Ausbildungslehrgang AEVO",2008,402.50,
"A","Computer-Anwendungs-Service Wolff ","Qualifizierung in kleinen und mittleren Unternehmen - Schulung Prozessabläufen: WindowsVista, ACB, Typo 3, NFS Manager, Paint Shop, Excel-Anwendungen",2008,30485.00,
"A","Derdack GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Durchführung von MSCE (Microsoft Certified Engineer) und MSCD (Microsoft Certified Developer) Lehrgängen. ",2008,3000.00,
"A","Dipl. Med. Carmen Schulz ","Qualifizierung in kleinen und mittleren Unternehmen - berufsbegleitendes Weiterbildungsseminar",2008,1248.79,
"A","Planungsbüro Dipl.-Ing. Steffen Kurzmann ","Qualifizierung in kleinen und mittleren Unternehmen - Schulung AutoCAD Civil 3D",2008,1596.00,
"A","DTF GmbH ","Qualifizierung in kleinen und mittleren Unternehmen, Qualitätsmanagement",2008,7952.00,
"A","ELEKTRO-Fachhandel Gottschalk ","Qualifizierung in kleinen und mittleren Unternehmen - Schulung Administration von MS Windows Server 200",2008,1540.00,
"A","Emerald Irish Pork GmbH ","Qualifizierung in kleinen und mittleren Unternehmen, Ausbildung von Ausbildern ",2008,714.00,
"A","Fenster und Türen Wittstock GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Weiterbildung Qualitätsmanagement EDV",2008,7234.50,
"A","FIMAG Finsterwalder Maschinen- und Anlagenbau GmbH","Qualifizierung in kleinen und mittleren Unternehmen, Business English",2008,3290.00,
"A","Fleischerei Gebhardt ","Qualifizierung in kleinen und mittleren Unternehmen - Verkaufstraining und neue Ideen: Modul I: Imbiss- und Verzehr im Fachgeschäft, Modul II: Mit frischen Ideen zu mehr Umsatz, Modul III: Verkaufstraining intensiv",2008,4532.22,
"A","Fleischerei Kadach ","Qualifizierung in kleinen und mittleren Unternehmen - Mitarbeiterführung und Motivation, Betriebliches Rechnungswesen, Innovationsumsetzung",2008,20051.71,
"A","Förderverein Akademie 2. Lebenshälfte im Land Brandenburg e.V.","INNOPUNKT-Projekt: ""Ältere - Erfahrung trifft Herausforderung"" - Mit dem Projekt Campus BARUM 50+ wird das kreative Potential älterer Arbeitsloser und ihre Beschäftigungsfähigkeit gefördert. ",2008,432623.25,
"A","Förderverein Akademie 2. Lebenshälfte im Land Brandenburg e.V.","INNOPUNKT-Projekt: ""Ältere - Erfahrung trifft Herausforderung"" - Das Projekt: Bildung mit BISS soll Potenziale beruflicher Handlungskompetenzen älterer Beschäftigter (50+) aktivieren und ihre beruflichen Entwicklungsmöglichkeiten erschließen. ",2008,382449.45,
"A","Forentax AG","Qualifizierung in kleinen und mittleren Unternehmen - Schulung für die Prüfung zum CISA (Certified Information Systems Auditor) - eine weltweit anerkannte Zertifizierung im Bereich Revision, Kontrolle und Sicherheit von Informationssystemen",2008,1820.00,
"A","Gabriele Teichmann ","Qualifizierung in kleinen und mittleren Unternehmen - Tape-Kurs, Manuelle Therapie, Manuelle Therapie für Kinder, Schlingentischtherapie",2008,1470.70,
"A","Gasthof Scharfenberger Krug ","Qualifizierung in kleinen und mittleren Unternehmen - Rationalisierung Verwaltung durch Einsatz EDV - Kommunikation mittels Internet",2008,4368.00,
"A","Glas- und Industriereinigung Zimmermann GmbH & Co.KG","Qualifizierung in kleinen und mittleren Unternehmen - Ausbildung Schädlingsbekämpfer und Desinfektor",2008,5075.00,
"A","GRP Gebäudereinigung Potsdam GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Rechnungswesen und Projektmanagement",2008,9758.00,
"A","HABETREU Brandenburg Steuerberatungsgesellschaft mbH","Qualifizierung in kleinen und mittleren Unternehmen - hier nach neuesten Gesetzesvorlagen, Steuerrecht, Betriebsprüfung, Lohnsteuer",2008,4444.06,
"A","Haupt Hotelbetriebs GmbH Holiday Inn Berlin Schönefeld Airport","Qualifizierung in kleinen und mittleren Unternehmen, Qualifizierung im Umgang mit Hotelsoftware",2008,8820.00,
"A","Heizungs- u. Installationsbetrieb Waldemar Schmidt","Qualifizierung in kleinen und mittleren Unternehmen - MS-Office, Aufbau und Pflege Website",2008,4167.80,
"A","HLS Howainski GmbH ","Qualifizierung in kleinen und mittleren Unternehmen, Seminarfolge zum Bauvertragsrecht",2008,798.00,
"A","Hoffmann Herzberger Stahlbau GmbH","Qualifizierung in kleinen und mittleren Unternehmen - Arbeitssicherheitssysteme, Betriebsorganisation/Innovation",2008,7350.00,
"A","Hotel ambiente Bad Wilsnack","Qualifizierung in kleinen und mittleren Unternehmen, Mitarbeiterschulung zur Verbesserung der Führungstätigkeit, Konfliktbeherrschung",2008,23100.00,
"A","Hotel Röbler Tor ","Qualifizierung in kleinen und mittleren Unternehmen - EDV-Qualifikation",2008,6006.00,
"A","Industrieservice Zimpel ","Qualifizierung in kleinen und mittleren Unternehmen, EDV-Produktionsplanung",2008,3458.00,
"A","Innovationswerksatt Umweltprodukt GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Business-English, Bau/Pflege Website",2008,3121.30,
"A","IPSC Industrie-Planung Schwedt Consult GmbH","Qualifizierung in kleinen und mittleren Unternehmen - Personalreferent, bocad-Software, SCIA-Software",2008,5437.60,
"A","IPSC Industrie-Planung Schwedt Consult GmbH","Qualifizierung in kleinen und mittleren Unternehmen - bocad Grundschulung Stahl II fachspezifische Hersteller",2008,3150.00,
"A","iq consult e.V. ","Qualifizierungs-, Beratungs- und Coachingangebote zur Stärkung kulturwirtschaftlicher Potenziale von Künstlern/Künstlerinnen und Kulturschaffenden",2008,147564.00,
"A","iq consult e.V. ","Qualifizierungs-, Beratungs- und Coachingangebote zur Stärkung kulturwirtschaftlicher Potenziale von Künstlern/Künstlerinnen und Kulturschaffenden",2008,191999.99,
"A","K&R Baugesellschaft mbH ","Qualifizierung in kleinen und mittleren Unternehmen - sprachliche Weiterbildung",2008,2453.23,
"A","Kagelmann Bau GmbH & Co. KG ","Qualifizierung in kleinen und mittleren Unternehmen - Weiterbildung Betonprüfer",2008,3171.00,
"A","Keramik Manufaktur Dornbusch GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Typo3 Webshop",2008,5955.60,
"A","KGS Kreitlow ","Qualifizierung in kleinen und mittleren Unternehmen - Kaufmännische Weiterbildung",2008,8400.00,
"A","Kosmetiksalon Wehner ","Qualifizierung in kleinen und mittleren Unternehmen - Haarschnitte, Haarentfernung Beauty, Fussreflexzonenmassage",2008,2962.40,
"A","KOWA - Verein zur Förderung der Kooperation von Wissenschaft und Arbeitswelt e. V.","INNOPUNKT-Projekt: ""Ältere - Erfahrung trifft Herausforderung"" - 
 „erfahren – kreativ – teamorientiert “ Unterstützung von 40 älteren erwerbslosen Akademiker/innen bei der Integration in den Arbeitsmarkt",2008,388760.28,
"A","Lndesagentur für Struktur und Arbeit Brandenburg GmbH","Servicestelle: ""Arbeitswelt, Mutterschutz und Elternzeit""",2008,447309.00,
"A","Logopädische Praxis Gerlind Dietrich","Qualifizierung in kleinen und mittleren Unternehmen - Therapie LRS, Stimmtherapie Neurohabilitation",2008,3769.50,
"A","Marion Köhler ","Qualifizierung in kleinen und mittleren Unternehmen -  Akupunktur für Tiere",2008,1270.00,
"A","matino gmbh ","Qualifizierung in kleinen und mittleren Unternehmen - Solid Works, Sachkunde Flurförderzeuge und Hebewerkzeuge, MS Project, Revision DIN ISO 9001 ÄB: Solid Works entfällt",2008,4816.00,
"A","MAYER Kanal- und Rohrreinigung GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Verkaufs- und Führungskräftetraining",2008,3920.00,
"A","Metallbau u. Service J. Kreier ","Qualifizierung in kleinen und mittleren Unternehmen - QS Stahlbau",2008,2173.92,
"A","Metalltec GmbH Maschinenbau ","Qualifizierung in kleinen und mittleren Unternehmen - Schulung EPLAN , Autodesk Inventor, MS Office",2008,37401.10,
"A","MX.Composys Ltd ","Qualifizierung in kleinen und mittleren Unternehmen - Qualitätsmanagement",2008,5124.00,
"A","Nanosolar GmbH ","Qualifizierung in kleinen und mittleren Unternehmen -  Weiterbildung in den Bereichen Laserschutzbeauftragter, Englisch lower intermediate, Fortgeschrittene Roboterprogrammierung, Service Robotermechanik, Service Roboterelektrik,  Anwendung Englisch-Specialized/technical/ Englisch - CIP Crash Kurs",2008,23035.20,
"A","Neudorfer Fleischerei GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Betriebliches Rechnungswesen, Ernährung, Küche im Mittelmeerraum, Partyservice, Maßnahmen und Verbesserung der Umsatzergebnisse, Reklamation, Umsatzsteigerung, Zusatzverkauf",2008,16663.92,
"A","NEUER GARTEN GalaBau GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Sachverständiger GALA-Bau und Agrarwirtschaft",2008,1295.00,
"A","Neumarkt Fleischerei GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Maßnahmen zur Stabilisierung der Umsatzergebnisse, Naturgewürze für Wurstwaren usw. ",2008,24780.67,
