"Type","Name des Begünstigten","Bezeichnung des Vorhabens","Jahr der Bewilligung / Jahr der Restzahlung","Gewährte Beträge","Bei Abschluss des Vorhabens gezahlte Gesamtbeträge"
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845028B) MA fﾟr die Vorbereitung des Einsatzes und Wartung von Werkzeugen und Arbeitsgerﾊten fﾟr den Einsatz in Projekten auf dem 2. Arbeitsmarkt , ... ",2008,"43.344,00  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845029B) MA auf dem Hofgut Bisdamnitz fﾟr zusﾊtzliche Betreuung und Information mit dem Ziel der Prﾊsentation und Erhaltung regionaler Geschichte ",2008,"43.344,00  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845030B) Verbesserung der touristischen Infrastruktur im Umfeld der Stadt Sassnitz",2008,"130.032,00  EUR",
"Standardvorhaben","Bildungs- und besch�ftigungsgesellschaft R�gen mbH","(250845031B) Verbesserung der touristischen Infrastruktur in drei Gemeinden des Amtes M�nchgut",2008,"86.688,00  EUR",
"Standardvorhaben","Bildungs- und Besch�ftigungsgesellschaft R�gen mbH","(250845032B) Verbesserung der touristischen Infrastruktur im Amtsbereich Westr�",2008,"433.440,00  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845033B) Verbesserung dertouristischen Infrastruktur im AMtsbereich Bergen",2008,"520.128,00  EUR",
"Standardvorhaben","Bildungs- und Besch�ftigungsgesellschaft R�gen mbH","(250845034C) MA f�r zus�tzliche T�tigkeiten zur Verbesserung der touristischen Infrastruktur sowie zur Erhaltung von Natur und Umwelt im Umfeld des Amtes M�nchgut ",2008,"43.344,00  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845035B) MA zur Unterstuetzung der Schuldnerberatungsstelle der Caritas Vorpommern in Bergen auf Ruegen",2008,"43.344,00  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845036B) MA zur Unterstﾟtzung des Stadtmuseums Bergen ",2008,"43.344,00  EUR",
"Standardvorhaben","Bildungs- und Besch�ftigungsgesellschaft R�gen mbH","(250845037B) MA zur Unterst�tzung der Tourismusinformation der Stadt Bergen auf R�",2008,"43.344,00  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845038B) MA zur Unterstﾟtzung des breitensportlichen Angebots, insb. fﾟr Kinder und Jugendliche, des SC Empor Sassnitz ",2008,"43.344,00  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845040B) zus. Besucherinformation, -lenkung und -betreuung in Zusammenarbeit mit dem LK Rﾟgen und dem Rﾟgener Personennahverkehr (Buswegbegleiter)",2008,"68.400,00  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845042A) zus. Freizeitangebote in der Schule Bergen",2008,"86.688,00  EUR",
"Standardvorhaben","Bildungs- und Besch�ftigungsgesellschaft R�gen mbH","(250845043B) MA zur Unterst�tzung der Erhaltung und Pr�sentation der Museumsm�hle Patzig ",2008,"43.390,80  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845044B) MA zur Unterstuetzung der Ruegener Tafel ",2008,"43.390,80  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845045B) MA zur Unterstﾟtzung der ehrenamtlichen Arbeit des Rﾟgener Kunstvereins in der Galerie des Landkreises ",2008,"43.390,80  EUR",
"Standardvorhaben","Bildungs- und Besch�ftigungsgesellschaft R�gen mbH","(250845046B) MA zur Dokumentation und Vorbereitung einer �ffentlichen Pr�sentation R�gener Baugeschichte ",2008,"43.390,80  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845047B) Buswegbegleiter",2008,"86.781,60  EUR",
"Standardvorhaben","Bildungs- und Bescch�ftigungsgesellschaft R�gen mbH","(250845048) Soziale und anleitende Betreuung f�r besonders benachteiligte Langzeitarbeitslose",2008,"173.563,20  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845049A) zusﾊtzliche Sozial- und Freizeitbetreuungsangebote sowie Schulweg- und Schulbusbegleitung fﾟr Hortkinder in Sassnitz und Putbus",2008,"30.600,00  EUR",
"Standardvorhaben","AWO-Soziale Dienste Rﾟgen gGmbH","(250845050A) Unterstﾟtzung in den Kita-Einrichtungen",2008,"172.770,00  EUR",
"Standardvorhaben","AWO - Soziale Dienste Rﾟgen gGmbH","(250845051B) Anleiter / Koordinator ",2008,"29.994,00  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845052B) Unterstﾟtzung der Kleiderkammer des DRK KV Rﾟgen e. V.",2008,"30.600,00  EUR",
"Standardvorhaben","UmWeltSchule R�gen e. V.","(250845061C) MA zur Unterst�tzung der Erziehung zu �kologischer Nachhaltigkeit mit dem Schwerpunkt im Bereich der Schulgarten- und Schulhofgestaltung der Umweltschule R�",2008,"30.600,00  EUR",
"Standardvorhaben","Bildungs- und Besch�ftigungsgesellschaft R�gen mbH","(250845071A) MA zur Unterst�tzung des R�gener Frauen- und M�dchentreffs ",2008,"43.390,80  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845072A) MA fuer zusaetzliche soziale Betreuung von Kindern und Jugendlichen im Bereich der Stadt Sassnitz ",2008,"43.390,80  EUR",
"Standardvorhaben","Bildungs- und Beschﾊftigungsgesellschaft Rﾟgen mbH","(250845073B) MA zur Unterstﾟtzung des Vereins Prora Zentrum e. V. bei Tﾊtigkeiten im Bereich der Besucherbetreuung und -information sowie bei Ausstellungen ",2008,"43.390,80  EUR",
"Standardvorhaben","Zukunftswerkstatt Schwerin e. V.","(250846022A) Unterst�tzung in der Begegnungsst�tte Warnitz",2008,"79.742,16  EUR",
"Standardvorhaben","Zukunftswerkstatt Schwerin e. V.","(250846024B) Unterst�tzung auf den Spielpl�tzen der Stadt Schwerin",2008,"159.484,32  EUR",
"Standardvorhaben","URANIA Schwerin e. V.","(250846040B) MA Vorbereitung/Durchfﾟhrung von Bildungsangeboten ",2008,"43.200,00  EUR",
"Standardvorhaben","Demokratischer Frauenbund e. V.","(250846050A) MA Begegnungsst�tte ",2008,"43.200,00  EUR",
"Standardvorhaben","Demokratischer Frauenbund e. V.","(250846051A) MA Kreativzentrum ",2008,"43.200,00  EUR",
"Standardvorhaben","Demokratischer Frauenbund e. V.","(250846052B) MA soziale Arbeit im Frauenzentrum Schwerin ",2009,"43.200,00  EUR",
"Standardvorhaben","Tr�gerverein Planung & Technik Schwerin e. V.","(250846080B) Natur- und Umweltschutzprojekt",2008,"43.236,36  EUR",
"Standardvorhaben","Tr�gerverein Planung & Technik Schwerin e. V.","(250846081B) ""Aktion saubere Stadt""",2008,"172.945,44  EUR",
"Standardvorhaben","Tr�gerverein Planung Technik Schwerin e. V.","(250846082B) Dokumentation Stadtbiotope",2008,"43.236,36  EUR",
"Standardvorhaben","Tr�gerverein Plannung & Technik Schwerin e. V.","(250846083B) Dokumentation Biotopschutz",2008,"86.472,72  EUR",
"Standardvorhaben","Trﾊgerverein Planung & Technik Schwerin e. V.","(250846084B) MA Netzwerk Integration ",2008,"34.113,25  EUR",
"Standardvorhaben","Trﾊgerverband Planung und Technik Schwerin e. V.","(250846086A) Sozialbetreuer ",2009,"34.113,50  EUR",
"Standardvorhaben","Tr�gerverein Planung & Technik Schwerin e. V.","(250846089B) Organisationshelfer im Stadtteiltreff",2008,"102.341,75  EUR",
"Standardvorhaben","Trﾊgerverein Planung & Technik Schwerin e. V.","(250846130B) Unterstﾟtzung im Konservatorium ",2008,"30.513,25  EUR",
"Standardvorhaben","Tr�gerverein Planung & Technik Schwerin e. V.","(250846131B) Helfer im Gorodki-Park",2008,"129.709,08  EUR",
"Standardvorhaben","tr�gerverein Planung & Technik Schwerin e. V.","(250846132B) Aufsicht im Schleswig-Holstein-Haus",2008,"86.472,72  EUR",
"Standardvorhaben","Trﾊgerverein Planung & Technik Schwerin e. V.","(250846133B) Archivierungshelfer im Volkskundemuseum ",2008,"34.113,25  EUR",
"Standardvorhaben","Volkssolidarit�t Grimmen-Stralsund e. V.","(250847010A) Seniorenbetreuer",2008,"37.836,00  EUR",
"Standardvorhaben","Stralsunder Innovation Consult GmbH","(250847021B) Kunstunterweiser ",2008,"38.952,00  EUR",
"Standardvorhaben","Stralsunder Innovation Consult GmbH","(250847022B) MA Gestaltung Erlebnisgarten ",2008,"38.700,00  EUR",
"Standardvorhaben","Stralsunder Innovation Consult GmbH","(250847023B) Helfer touristische Infrastruktur ",2008,"37.692,00  EUR",
"Standardvorhaben","Perform(d)ance e. V.","(250847030B) Veranstaltungshelfer ",2008,"33.300,00  EUR",
"Standardvorhaben","Arbeiter-Samariter-Bund, RV Nord-Ost e. V.","(250847041A) Senioren- und Behindertenbetreuer ",2008,"37.152,00  EUR",
"Standardvorhaben","Arbeiter-Samariter-Bund e. V.","(250847042A) Betreuer Kranker und Behinderter ",2008,"31.104,00  EUR",
"Standardvorhaben","Deutsches Rotes Kreuz, Kreisverband Stralsund e. V.","(250847051A) Mitarbeiter Sozialstation ",2008,"33.812,90  EUR",
"Standardvorhaben","Montessori-Arbeitskreis Stralsund e. V.","(250847060B) MA Aufsicht und Projekt ""Gesunde Ern�hrung"" ",2008,"33.912,00  EUR",
"Standardvorhaben","Caritas Altenhilfe gGmbH, Seniorenzentrum St. Josef","(250847070A) Unterstﾟtzung offene Altenarbeit",2008,"39.144,09  EUR",
"Standardvorhaben","F�rderverein Freiwillige Feuerwehr","(250847080B) Helfer Jugend- und �ffentlichkeitsarbeit",2008,"37.008,00  EUR",
"Standardvorhaben","Internationaler Bund e. V., Verbund Nord","(250847090A) Kinderbegleiter",2008,"33.588,00  EUR",
"Standardvorhaben","Organisation zur Arbeitsfﾚrderung und Strukturentwicklung Pasewalk GmbH","(250848000B) Koordinator grenznaher Gemeinden",2008,"34.200,00  EUR",
"Standardvorhaben","Organisation zur Arbeitsfﾚrderung und Strukturentwicklung Pasewalk GmbH","(250848001B) Helfer Tourismus",2008,"34.200,00  EUR",
"Standardvorhaben","Organisation zur Arbeitsfﾚrderung und Strukturentwicklung Pasewalk GmbH","(250848002B) Helfer Sportfﾚrderung",2008,"30.600,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848003B) MA zur Unterstﾟtzung des breitensportlichen und kulturellen Angebots in der Gem. Blankensee",2008,"30.600,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848004B) Verbesserung der touristischen Infrastrukturin der Gemeinde Rothenklempenow",2008,"43.344,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848005A) zus. Angebote der Jugend- und Seniorenbetreuung in Radewitz",2008,"42.910,56  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848006B) Verbesserung der touristischen, kulturellen und sportlichen Angebote in der Gemeinde Krackow",2008,"128.731,68  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848007A) Unterstuetzung der Betreuung des Jugendclubs und Durchfuehrung von Seniorennachmittagen in der Gemeinde Krackow",2008,"42.910,56  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848010B) Unterstﾟtzung von Angeboten des Breitensports, insbesondere fﾟr Kinder- und Jugendliche in der Ueckersporthalle",2008,"43.344,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848011B) Unterst�tzung von Angeboten des �KUTZ und des Breitensports in der Ueckersporthalle",2008,"43.344,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848012B) Unterst. von Angeboten des Kulturforums Historisches U der Stadt Pasewalk",2008,"43.344,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848014B) Vorbereitung und Durchfuehrung von Veranstaltungen im Eisenbahnerlebniszentrum Pasewalk",2008,"28.209,20  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848015B) Unterstuetzung der Koordination im Eisenbahnerlebniszentrum in Pasewalk",2008,"34.200,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848016B) Unterstﾟtzung bei der Vorbereitung von kulturellen und sportlichen Veranstaltungen sowie Wohnumfeldverbesserung und Arbeit auf dem Strochenpflegehof in der Gemeinde Papendorf",2008,"43.344,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848017B) Verbesserung des Wohnumfelds in der Gemeinde Schoenewalde, sowie zus. tourist. und kultureller Angebote",2008,"43.344,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848018A) Betreuungsangebote fﾟr Kinder und Jugendliche sowie Umsetzung von zus. Projekten der Wissensvermittlung im Bereich ev. Pfarramt Penkun",2008,"34.020,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848019B) Verbesserung der kulturellen, sportlichen und touristischen Angebote in der Gemeinde Krugsdorf",2008,"43.344,00  EUR",
"Standardvorhaben","Arbeitslosenverband Deutschland Kreisverband Uecker-Randow e. V.","(250848020B) Hauswart Badeanstalt ""Am L�cknitzer See""",2008,"34.200,00  EUR",
"Standardvorhaben","Arbeitslosenverband Deutschland Kreisverband Uecker-Randow e. V.","(250848021B) Sozialhelfer fﾟr den kulturellen Bereich",2008,"102.600,00  EUR",
"Standardvorhaben","Ukranenland Historische Werkst�tte e. V.","(250848030B) Museumsmitarbeiter",2008,"187.200,00  EUR",
"Standardvorhaben","Fremdenverkehrsverein ""M�nkebude am Stettiner Haff"" e. V.","(250848040B) Helfer im Museum ""Fischerstube""",2008,"28.034,25  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848050B) Unterst�tzung beim Aufbau und der Anleitung zus. Kinder- und Jugendsportgruppen in den Pasewalker Fu�ballvereinen ""sV-Pommern"" und ""PFV""",2008,"43.344,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848051B) Verbesserung der kulturellen, sportlichen und touristischen Angebote in der Gemeinde Grambow",2008,"43.344,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848052A) Realisierung zus. Freizeitangebote f�r Kinder- und Jugendliche (Jugendclub) sowie �ltere Menschen (Seniorennachmittag) in der Gemeinde Grambow",2008,"43.344,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848053B) Unterstuetzung Europaregion Pomerania",2008,"30.600,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848054C) Gemeindehelfer",2008,"42.910,56  EUR",
"Standardvorhaben","OAS Pasewalk GmbH Betriebsst�tte Torgelow","(250848061C) Verbesserung der touristischen, kulturellen und sportlichen Angebote",2008,"43.344,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH Betriebsst�tte Torgelow","(250848062B) Unterst�tzung  Organisation und Durchf�hrung von kulturellen und sportlichen Veranstaltungen",2008,"43.344,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH Betriebsst�tte Torgelow","(250848063B) Koordinator",2008,"34.200,00  EUR",
"Standardvorhaben","OAS Pasewalk GmbH","(250848064B) Hortbetreuung beim Deutschen Roten Kreuz",2008,"34.200,00  EUR",
"Standardvorhaben","Verein zur Fﾚrderung der Beschﾊftigungsinitiative Strasburg e. V.","(250848070B) Koordinierung Tourismus",2008,"46.182,24  EUR",
"Standardvorhaben","Caritasverband fﾟr das Erzbistum Berlin e. V.","(250848080A) Unterstﾟtzung in der Schuldnerberatung/Budgetberatung",2008,"34.200,00  EUR",
"Standardvorhaben","Volkssolidarit�t Kreisverband Uecker-Randow e. V.","(250848090B) Seniorenbetreuer",2008,"60.840,00  EUR",
"Standardvorhaben","Arbeiterwohlfahrt KV Uecker-Randow e. V.","(250848100A) MA Kleiderkammer",2009,"39.600,00  EUR",
"Standardvorhaben","Wohnungsgesellschaft mbH der Hansestadt Wismar","(250849010A) soziale Quartierbetreuung",2008,"79.200,00  EUR",
"Standardvorhaben","Diakonisches Werk der evangelisch-lutherischen Landeskirche Sachsens im Kirchenbezirk Annaberg e. V.","(250856170A) Projekte Wohnungslose, sozial Schwache und psychisch Kranke",2008,"130.320,00  EUR",
"Standardvorhaben","Hammerbund Frohnau e. V.","(250856360B) Museumsmitarbeiter",2008,"86.400,00  EUR",
"Standardvorhaben","Gemeindeverwaltung Raschau-Markersbach","(250857000B) Helfer im Bereich Tourismus und Kultur ",2008,"44.278,50  EUR",
"Standardvorhaben","Deutscher Kinderschutzbund KV Aue-Schwarzenberg e. V.","(250857021A) Jugendbetreuer im Kinder- und Jugendzentrum ",2008,"42.000,00  EUR",
"Standardvorhaben","Stadt Grﾟnhain-Beierfeld","(250857030B) Unterstﾟtzung bei der Betreuung im Besucherbergwerk",2008,"86.400,00  EUR",
"Standardvorhaben","Stadt Grﾟnhain-Beierfeld","(250857031B) Projekt Kulturfundus",2008,"86.400,00  EUR",
"Standardvorhaben","Stadt Grﾟnhain-Beierfeld","(250857032B) Projekt Hallenbad ",2008,"43.200,00  EUR",
"Standardvorhaben","Fremdenverkehrsverein ""Schlematal"" e. V.","(250857050B) Bﾟrohilfskraft",2008,"39.960,00  EUR",
"Standardvorhaben","S�chsisches Schmalspurbahn-Museum Rittersgr�n e. V.","(250857070B) B�rohilfe",2008,"39.584,88  EUR",
"Standardvorhaben","Stadtverwaltung Aue","(250857090B) Recherchen f�r Stadtchronisten durchf�hren ",2008,"38.160,00  EUR",
"Standardvorhaben","Stadtverwaltung Aue","(250857091B) Erfassung aller Exponate, Vor- und Nachbereitung von Sonderausstellungen, Vorbereitung von regionalen H�hepunkten ",2008,"45.335,52  EUR",
"Standardvorhaben","Stadtverwaltung Aue","(250857094B) Mitarbeiter im Archiv ",2008,"45.335,52  EUR",
"Standardvorhaben","Stadtverwaltung Aue","(250857095A) Schulsozialarbeit ",2008,"45.335,52  EUR",
"Standardvorhaben","Verein zur Fﾚrderung des Brauchtums Erzgebirge e. V.","(250857130B) Touristikhelfer",2008,"38.160,00  EUR",
"Standardvorhaben","Verein zur F�rderung des bergm�nnischen und kulturellen Brauchtums Erzgebierge e.V.","(250857131B) Tourismusanalyse ",2008,"38.160,00  EUR",
"Standardvorhaben","Ev. Schulveein Schneeberg e. V.","(250857140A) Betreuung in der Grundschule ",2008,"39.960,00  EUR",
"Standardvorhaben","Diakonisches Werk Aue-Schwarzenberg e. V.","(250857151A) Freizeitgestaltung fﾟr Heimbewohner ",2008,"39.951,20  EUR",
"Standardvorhaben","Diakonisches Werk Aue/Schwarzenberg e.V.","(250857152A) Freizeitgestaltung fﾟr Heimbewohner",2008,"79.904,40  EUR",
"Standardvorhaben","Verein zur Wiederer�ffnung und Entwicklung Kur- und Heilbad Schlema e. V.","(250857160B) Museumshelfer im Museum Uranbergbau ",2008,"39.960,00  EUR",
"Standardvorhaben","Heimatverein Silberw�sche Antonsthal","(250857170B) Vereinshelfer ",2008,"37.740,00  EUR",
"Standardvorhaben","Sﾊchsisches Gemeinschaftsdiakonissenhaus ""Zion"" e.V.","(250857190A) zusﾊtzliche Betreuung der pflegebedﾟrftigen Heimbewohner",2008,"76.202,25  EUR",
"Standardvorhaben","Sﾊchsisches Gemeinschaftsdiakonissenhaus ""Zion"" e. V.","(250857191C) zusﾊtzliche Pflege der Auﾧenanlagen",2008,"38.100,12  EUR",
"Standardvorhaben","CVJM Schneeberg-Neust�dtel","(250857220A) Mitarbeiter in zus�tzlicher offener Kinder- und Jugendarbeit",2008,"153.600,00  EUR",
"Standardvorhaben","Aktion Eine Welt Aue","(250857230B) Bildungsreferent",2008,"79.920,00  EUR",
"Standardvorhaben","WSE Wirtschafts-Service Erzgebirge GmbH","(250857240B) Vereinshelfer in der Stadt Lauter ",2008,"39.960,00  EUR",
"Standardvorhaben","WSE Wirtschafts-Service-Erzgebirge GmbH","(250857242B) KiTa Betreuung Schneeberg ",2008,"38.850,00  EUR",
"Standardvorhaben","WSE Wirtschafts-Service-Erzgebirge GmbH","(250857243B) Projekt Hortgarten ",2008,"39.960,00  EUR",
"Standardvorhaben","WSE Wirtschafts-Service Erzgebirge GmbH","(250857244A) Au�erschulische Betreuungshelfer",2008,"38.160,00  EUR",
"Standardvorhaben","Verein der Freunde und Fﾚrderer der Schule fﾟr geistig Behinderte Schwarzenberg e. V.","(250857321A) Fahrer Behindertentransport ",2008,"39.564,00  EUR",
"Standardvorhaben","Bergmannsblasorchester Kurbad Schlema e. V.","(250857330B) Jugendbetreuer/Handwerkliche Hilfskraft",2008,"119.880,00  EUR",
"Standardvorhaben","Auer Beschﾊftigungsinititative e. V.","(250857340B) Projektmanager ",2008,"39.960,00  EUR",
"Standardvorhaben","WSE Wirtschafts-Service Erzgebirge GmbH","(250857351A) Betreuer ",2008,"39.960,00  EUR",
"Standardvorhaben","WSE Wirtschafts-Service Erzgebirge GmbH","(250857352B) Mitarbeiter Bibliothek ",2008,"39.960,00  EUR",
"Standardvorhaben","WSE Wirtschafts-Service Erzgebirge GmbH","(250857354B) Umfelderhaltung ",2008,"39.960,00  EUR",
"Standardvorhaben","WSE Wirtschaft-Service-Erzgebirge GmbH","(250857355B) Unterst�tzung Freibad L��nitz und Erzgebirgshalle ",2008,"38.160,00  EUR",
"Standardvorhaben","WSE Wirtschafts-Service Erzgebirge GmbH","(250857356B) Umfelderhaltung",2008,"39.960,00  EUR",
"Standardvorhaben","WSE Wirtschafts-Service Erzgebirge GmbH","(250857357B) Datenerfassung Straﾧenbeleuchtung",2008,"38.160,00  EUR",
"Standardvorhaben","WSE Wirtschafts-Service Erzgebirge GmbH","(250857358B) Projektvorbereitung Bachnutzung leer stehender Gebﾊude",2008,"39.960,00  EUR",
"Standardvorhaben","WSE Wirtschafts-Service-Erzgebirge GmbH","(250857359B) Datenerfassung ",2008,"39.960,00  EUR",
"Standardvorhaben","Landfrauenortsverein Westerzgebirge e. V.","(250857360B) Organisationsmitarbeiter",2008,"76.320,00  EUR",
"Standardvorhaben","Arbeitskreis Seniorenbegleitung e. V.","(250857380A) Seniorenbegleitung",2008,"42.120,00  EUR",
"Standardvorhaben","Menschen mit Handicap Kurfﾟrst Johann Georg e. V.","(250857410A) Sozialbetreuer",2008,"42.120,00  EUR",
"Standardvorhaben","Musikschule Johanngeorgenstadt e. V.","(250857420B) Technischer Assistent",2008,"14.040,00  EUR",
"Standardvorhaben","Stadtverwaltung Johanngeorgenstadt","(250857430A) Schﾟlerlotse",2008,"44.740,08  EUR",
"Standardvorhaben","Stadtverwaltung Johanngeorgenstadt","(250857431B) Koordinator",2008,"44.740,08  EUR",
"Standardvorhaben","Outdoor Team Westerzgebirge Freizeit und Erlebnis e. V.","(250857440B) Organisations-technischer Mitarbeiter",2008,"40.320,00  EUR",
"Standardvorhaben","Soziale Dienste Johanngeorgenstadt und Umgebung gGmbH","(250857500A) Seniorenbegleitung",2008,"37.100,00  EUR",
"Standardvorhaben","Blinde- und Sehbehinderten-Verband Sachsen e. V.","(250857520A) Betreuung Blinder- und Sehbehinderter",2008,"39.960,00  EUR",
"Standardvorhaben","Kreisjugendring Erzgebirge e. V.","(250857531B) Betreuung EC Jugendkeller Zschorlau ",2008,"41.400,00  EUR",
"Standardvorhaben","Altenpflegeheim ""Gut Gleesberg"" gGmbH","(250857550A) Betreuung Demenzkranker",2008,"39.960,00  EUR",
"Standardvorhaben","WSE GmbH","(250857560B) Stadtbildversch�nerung Schneeberg",2008,"159.840,00  EUR",
"Standardvorhaben","WSE Wirtschaft-Service-Erzgebirge","(250857561A) Betreuer Juze Bernsbach ",2008,"38.160,00  EUR",
"Standardvorhaben","WSE Wirtschafts-Service-Erzgebirge GmbH","(250857562B) Nachbau hist. bergbaulicher Anlagen ",2008,"39.960,00  EUR",
"Standardvorhaben","Stadtverwaltung Wei�enberg","(250858001A) Unterst�tzung der Kinderbetreuung",2008,"172.800,00  EUR",
"Standardvorhaben","Zweckverband K�rse-Therme Kirschau","(250858010B) Hausmeisterhelfer ",2008,"37.440,00  EUR",
"Standardvorhaben","Volkssolidarit�t Kreisverband Bautzen e. V.","(250858020A) Helferinnen Seniorenbegegnungsst�tte",2008,"156.960,00  EUR",
"Standardvorhaben","Volkssolidarit�t Kreisverband Bautzen e. V.","(250858021A) Helfer Seniorenwohnanlage",2008,"39.240,00  EUR",
"Standardvorhaben","Volkssolidarit�t Kreisverband Bautzen e. V.","(250858022B) Mitgliederarbeit",2008,"78.480,00  EUR",
"Standardvorhaben","Volkssolidarit�t Kreisverband Bautzen e. V.","(250858023A) Helfer in der Kindertagesst�tte",2008,"301.340,00  EUR",
"Standardvorhaben","Volkssolidarit�t Kreisverband Bautzen e.V.","(250858024A) Mitarbeiter im Seniorenreisedienst ",2008,"39.240,00  EUR",
"Standardvorhaben","Volkssolidarit�t Kreisverband Bautzen e. V.","(250858025A) Helfer/Herferin in der Kurzzeitpflege",2008,"74.880,00  EUR",
"Standardvorhaben","Tr�gerverein Naturschutzstation Schloss Neschwitz e.V.","(250858030B) Mitarbeiter Umweltbildungsarbeit ",2008,"37.440,00  EUR",
"Standardvorhaben","Volkssolidarit�t Kreisverband Bautzen e.V.","(250858053A) Seniorenbegegnungsst�tte Lutherpark ",2008,"37.440,00  EUR",
"Standardvorhaben","Gemeinde Gﾚda","(250858060B) Umwelt- und Naturschutz",2008,"86.400,00  EUR",
"Standardvorhaben","Gemeinde Gﾚda","(250858061B) Bibliotheks- und ﾅffentlichkeitsarbeit",2008,"86.400,00  EUR",
"Standardvorhaben","Neue Lebensformen e.V.","(250858070C) Umweltpflege; Natur- und Landschaftsschutz",2008,"196.200,00  EUR",
"Standardvorhaben","Gemeindeverwaltung Malschwitz","(250858080C) Landschaftspflege Radwander- u. Wanderwege",2008,"129.600,00  EUR",
"Standardvorhaben","Gemeinde Doberschau-Gau�ig","(250858090C) Versch�nerung der Gemeinde Doberschau-Gau�ig",2008,"91.488,24  EUR",
"Standardvorhaben","Fﾚrderwerk Land- und Forstwirtschaft Sachsen e.V.","(250858100B) Bﾟro-Mitarbeiter ",2008,"39.240,00  EUR",
"Standardvorhaben","Fﾚrderwerk Land- und Forstwirtschaft Sachsen e.V.","(250858101B) Hilfskraft Objektbetreuung Schulungswerkstaetten",2008,"39.240,00  EUR",
"Standardvorhaben","Fﾚrderwerk Land- und Forstwirtschaft Sachsen e.V.","(250858102B) Mitarbeiter im Biotop ",2008,"39.240,00  EUR",
"Standardvorhaben","Fﾚrderwerk Land- und Forstwirtschaft Sachsen e.V.","(250858106B) Begleiter von Projektteilnehmern ",2008,"41.400,00  EUR",
"Standardvorhaben","Fﾚrderkreis ""Jugendblasorchester Bautzen"" e.V.","(250858120B) Betreuung Jugendblasorchester ",2008,"41.220,00  EUR",
"Standardvorhaben","Gemeinde Rammenau","(250858130B) Unterstﾟtzung bei der Vorbereitung u. Durchfﾟhrung v. Veranstaltungen, Heimatfesten u. Ausstellungen",2008,"91.637,28  EUR",
"Standardvorhaben","Gemeinde Rammenau","(250858131C) Gemeindehelfer",2008,"91.637,28  EUR",
"Standardvorhaben","Kﾚnigswarthaer Sportverein 1990 e. V.","(250858150B) Helfer im Sportverein",2008,"119.880,00  EUR",
"Standardvorhaben","Evangelischer Schulverein im Landkreis Bautzen e.V.","(250858160A) Leitung und Organisation des Schulclubs ",2008,"37.440,00  EUR",
"Standardvorhaben","Evangelischer Schulverein im Landkreis Bautzen e. V.","(250858161A) Unterstﾟtzung bei der Betreuung der Schﾟler",2008,"37.440,00  EUR",
