name_des_begunstigten,bezeichnung_des_vorhabens,jahr_bewilligung,jahr_der_abschliessenden_zahlung,gewahrte_betrage,ausgezahlter_betrag_bei_projektabschluss
Brandenburgische Technische Universität Cottbus,"Verbundvorhaben: Mobilisierung des innovativen Gründungspotenzials von Studentinnen 
im Technologiebereich durch Gründungsseminare,  Teilvorhaben: Qualitative 
Untersuchung der Wirkung von Gründungsseminaren",2007,,13180,
Ludwig-Maximilians-Universität München,"Verbundvorhaben: Mobilisierung des innovativen Gründungspotenzials von Studentinnen 
im Technologiebereich durch Gründungsseminare, Teilvorhaben: Großzahlige empirische 
Untersuchung der Wirkung von Gründungsseminaren",2007,,14960,
"Hochschule Wismar University of Technology, Business and Design","Verbundvorhaben: P8 - Erfolgreich ist weiblich! - Power für Gründerinnen; Teilvorhaben: 
Modellhafte Erprobung an einer kleinen ostdeutschen Hochschule",2007,,84935,
Technische Universität Dortmund,"Kinder und Kinderlosigkeit im wissenschaftlichen Karriereverlauf. Auswertung der 
Personaldaten des akademischen Personals an Universitäten und an Fachhochschulen",2007,,115289.4,
Wissenschaftszentrum Berlin für Sozialforschung gGmbH,"Gemeinsam Karriere machen - Realisierungsbedingungen für Doppelkarrieren in 
Akademikerpartnerschaften",2007,,62952,
Technische Universität Dortmund,"Raum-zeitliche Mobilitätsanforderungen als Hemmnis beruflicher Karrieren von Frauen in 
Wirtschaft und Wissenschaft - Strategien zu ihrer Überwindung",2007,,96477.6,
Kompetenzzentrum Technik-Diversity-Chancengleichheit e.V.,"Verbundvorhaben taste MINT: Entwicklung und Erprobung eines Potenzialassessments 
für Mathematik, Informatik, Naturwissenschaften und Technik für Abiturientinnen, 
Landesverband der Freien Berufe Thüringen e.V.,Ausbildungsförderung bei Freien Berufen in Mittelthüringen,2007,,171006.84
PolymerMat e. V. Kunststoffcluster Thüringen,Förderung der Ausbildung im Kunststoffcluster Thüringen - FAKT,2007,,165204
Berufsfortbildungswerk GmbH (bfw),Zielorientierte Ausbildungsplatzentwicklung für Unternehmen in der Altenpflege - ZAidA,2007,,258331
Bildungsverbund Handwerk der Altmark e.V.,"Ausbildungsinitiative ""Erneuerbare Energien"" - ein Stendaler Kooperationprojekt mit 
Handwerk und Industrie",2007,,237708.7
Bildungsverbund Haustechnik Sachsen-Anhalt e.V.,"AKTIVE Ausbildung in der Haustechnik: kompetent, trendgerecht, innovativ und voller 
Entwicklungschancen",2007,,285232
Ausbildungsverbund der Wirtschaftsregion Braunschweig/Magdeburg e.V.,"Service-Center für kleine und mittlere Unternehmen der Bau- und Dienstleistungsbranche 
(Gesamtkonzept)",2007,,240680.65
IT-College Putbus gGmbH,"Azubi for IT - Ausbildungsplatzentwicklung und -betreuung für die IT-Branche auf Rügen 
und in Mecklenburg-Vorpommern",2007,,219866
bsw Bildungswerk der Sächsischen Wirtschaft gGmbH,"ANO.tex Ausbildungsinitiative der Textil- und Bekleidungsindustrie in Sachsen und 
Thüringen",2007,,286954
"TÜV Rheinland Akademie GmbH - Regionalbereich Ost - Niederlassung 
Lauchhammer",Innovatives regionales Ausbildungsnetzwerk,2007,,298254
Freie Universität Berlin,"Verbundprojekt: Ganztagsorganisation im Grundschulbereich: Welche 
Unterstützungsleistung bieten Ganztagsangebote für Kinder nichtdeutscher 
Herkunftssprache und für Kinder aus bildunsgfernen Schichten (mit Sprachrückständen)?",2007,,89301
Universität Potsdam,"Verbundprojekt: Ganztagsorganisation im Grundschulbereich: Welche 
Unterstützungsleistung bieten Ganztagsangebote für Kinder nichtdeutscher 
Herkunftssprache und für Kinder aus bildunsgfernen Schichten (mit Sprachrückständen)?",2007,,83979
Deutsches Jugendinstitut e.V.,"Weiterführung des Projektes ""Datenbank Schule & Partner – schulische 
Kooperationspraxis auf einen Klick"" - Ziel 1 ",2007,,118303.41
Deutsches Jugendinstitut e.V.,Lokale Bildungslandschaften in Kooperation von Ganztagsschule und Jugendhilfe,2007,,225791.19
"isw Institut für Strukturpolitik und Wirtschaftsförderung gemeinnützige 
Gesellschaft mbH","Verbundprojekt: Flexible Learning in der beruflichen Aus- und Weiterbildung im 
Einzelhandel - Teilvorhaben: Wissenschaftliche Begleitung und Evaluation",2007,,78018
Bildungszentrum Handel und Dienstleistungen Thüringen gGmbH,"Verbundprojekt: Flexible Learning in der beruflichen Aus- und Weiterbildung im 
Einzelhandel - Teilvorhaben: Entwicklung und Erprobung von E-Learning-Modulen in 
Hessen sowie Erprobung eines Qualifizierungskonzeptes für das Bildungspersonal",2007,,52541
Institut für Sicherheitstechnik/Schiffssicherheit e.V.,"Verbundprojekt: Entwicklung von e-Learning-basierten, komplexen Weiterbildungskursen 
für die Qualifizierung von Tankschiff-Besatzungen - Teilvorhaben: Umsetzung des Tanker-
Einführungs-Kurses und der Tanker-Fortbildungskurse als Blended-Learning Kurse",2007,,246473,
"Hochschule Wismar University of Technology, Business and Design","Verbundprojekt: Entwicklung von e-Learning-basierten, komplexen Weiterbildungskursen 
für die Qualifizierung 
von Tankschiff-Besatzungen - Teilvorhaben",2007,,59670,
Universität Rostock,EXIST-Gründerstipendium,2007,,39000,
Technische Universität Dresden,EXIST-Gründerstipendium,2007,,84000,
Hochschule für Technik und Wirtschaft Dresden (FH),EXIST-Gründerstipendium,2007,,82000,
Technische Universität Dresden,EXIST-Gründerstipendium,2007,,39000,
Technische Universität Dresden,EXIST-Gründerstipendium,2007,,76000,
Burg Giebichenstein Hochschule für Kunst und Design Halle,EXIST-Gründerstipendium,2007,,85600,
Martin-Luther-Universität Halle-Wittenberg,EXIST-Gründerstipendium,2007,,60400,
Friedrich-Schiller-Universität Jena,EXIST-Gründerstipendium,2007,,98500,
Friedrich-Schiller-Universität Jena - Medizinische Fakultät,EXIST-Gründerstipendium,2007,,80800,
Universität Potsdam,EXIST-Gründungskultur ,2007,,587554,
"IBF Institut für Berufsforschung und Unternehmensplanung Medien e.V. 
Potsdam-Babelsberg",EXIST-Gründungskultur ,2007,,503482,
Ernst-Moritz-Arndt-Universität Greifswald,EXIST-Gründungskultur ,2007,,957424,
Fachhochschule Jena,EXIST-Gründungskultur ,2007,,562264,
Kreditanstalt für Wiederaufbau,Gründercoaching in Deutschland (187 Coachings),2007,2008,882325.4,882325.4
Kreditanstalt für Wiederaufbau,Gründercoaching in Deutschland (134 Coachings),2007,,603000,
Name des Begünstigten,Bezeichnung des Vorhabens,"Jahr der 
Bewilligung","Jahr der 
abschließen-
den Zahlung","Gewährte
Beträge
(in EUR)","Bei Abschluss
des Vorhabens
gezahlte Beträge"
Technische Universität Berlin,"Verbundvorhaben: P8 - Erfolgreich ist weiblich! - Power für Gründerinnen; Teilvorhaben: 
Projektkoordination, Entwicklung und modellhafte Erprobung",2007,,840072,
Universität Stuttgart,"Verbundvorhaben: P8 - Erfolgreich ist weiblich! - Power für Gründerinnen; Teilvorhaben: 
modellhafte Erprobung",2007,,71727,
Universität Augsburg,"Verbundvorhaben EntrepreneurESSE - Dem unternehmerischen Habitus auf der Spur, 
Teilvorhaben: Familiale Voraussetzungen von Gründungserfolg",2007,,238984,
Hochschule Fulda,"Verbundvorhaben EntrepreneurESSE - Dem unternehmerischen Habitus auf der Spur, 
Teilvorhaben: Habitusreflexive Beratung im Gründungsprozess",2007,,269904,
Fachhochschule des Mittelstandes (FHM) gGmbH in Nordrhein-Westfalen,"Analyse, Entwicklung und Erprobung von genderorientierten Qualifizierungs- und 
Transfermaßnahmen für Multiplikatoren/-innen im Handwerk",2007,,244856,
Bergische Universität Wuppertal,"Verbundvorhaben: ""Gründerinnen in der Chemiebranche"", Teilvorhaben des IGIF: 
""Strukturen und ökonomische Rahmenbedingungen für Gründungen durch Frauen in der 
Chemiebranche""",2007,,203920,
"Rhein-Ruhr-Institut für Sozialforschung und Politikberatung e.V. (RISP) an 
der Universität Duisburg-Essen","Verbundvorhaben: ""Gründerinnen in der Chemiebranche"", Teilvorhaben des RISP 
""Individuelle Wege von Frauen und ihr mikrosoziales Umfeld""",2007,,397567,
"JOBLAB & DIVERSITY, Franco Calchera","Entwicklung, Erprobung und Implementierung eines niedrigschwelligen multimedialen und 
dynamischen Planspiels für Mädchen zur Nutzung im Internet zum Thema 
""Möglichkeiten und Chancen einer beruflichen Selbständigkeit"".",2007,,232973,
Brandenburgische Technische Universität Cottbus,"Verbundvorhaben: Mobilisierung des innovativen Gründungspotenzials von Studentinnen 
im Technologiebereich durch Gründungsseminare,  Teilvorhaben: Qualitative 
Untersuchung der 
Wirkung von Gründungsseminaren",2007,,52720,
Ludwig-Maximilians-Universität München,"Verbundvorhaben: Mobilisierung des innovativen Gründungspotenzials von Studentinnen 
im Technologiebereich durch Gründungsseminare, Teilvorhaben: Großzahlige empirische 
Untersuchung der Wirkung von Gründungsseminaren",2007,,59840,
F 3 Marketingagentur,Gründerinnen in der Kreativwirtschaft: Analyse - Workshopreihe - Ausstellung,2007,,199871,
Universität Hamburg,"Frauen in der Spitzenforschung (Eine Untersuchung zur Umsetzung der 
Chancengleichheit von Frauen und Männern in den drei Förderlinien der  
Exzellenzinitiative des Bundes und der Länder)",2007,,945567,
Deutsches Jugendinstitut e.V.,"Karriereverläufe von Frauen: Paardynamiken und institutionelle Rahmungen in der ""Rush-
Hour of Life"".",2007,,442807,
Wissenschaftszentrum Berlin für Sozialforschung gGmbH,"Gemeinsam Karriere machen - Realisierungsbedingungen für Doppelkarrieren in 
Akademikerpartnerschaften",2007,,251808,
Technische Universität Dortmund,"Raum-zeitliche Mobilitätsanforderungen als Hemmnis beruflicher Karrieren von Frauen in 
Wirtschaft und Wissenschaft - Strategien zu ihrer Überwindung",2007,,225114.4
Technische Universität Berlin,"Berufsorientierung im Unterhaltungsformat: Aufbau eines Innovation-Lab zur 
Popularisierung naturwissenschaftlich-technischer Berufe und weiblicher 
Berufsrollenvorbilder durch Spielfilme und Serien.",2007,,754495
Europäische Akademie für Frauen in Politik und Wirtschaft Berlin e.V.,"Women@Technology - Ein Projekt zur Förderung von Gender-Diversity in 
Innovationsprozessen deutscher Unternehmen",2007,,453856
Technische Universität München,"Spurensuche! Genderspezifische Entscheidungswege in Natur- und 
Ingenieurwissenschaften hinein und mögliche Ursachen für das Verlassen dieser Fächer 
an den TU9-Universitäten",2007,,143688
Kompetenzzentrum Technik-Diversity-Chancengleichheit e.V.,"Verbundvorhaben taste MINT: Entwicklung und Erprobung eines Potenzialassessments 
für Mathematik, Informatik, Naturwissenschaften und Technik für Abiturientinnen, 
Teilvorhaben Kompetenzzentrum: Öffentlichkeitsarbeit",2007,,90930.4
Life - Lerninitiative Frauen entwickeln Ökotechnik e.V.,"Verbundvorhaben taste MINT: Entwicklung und Erprobung eines Potenzialassessments 
für Mathematik, Informatik, Naturwissenschaften und Technik für Abiturientinnen, 
Teilvorhaben Life: Entwicklung, Erprobung, Transfer",2007,,404888.8
Technische Universität Dortmund,Kinder und Kinderlosigkeit im wissenschaftlichen Karriereverlauf. Auswertung der Personaldaten des akademischen Personals an Universita_ten und an Fachhochschulen,2007,,269008.6
Sprungbrett Dienstleistungen gGmbH,NABE - Neue Ausbildungsplätze in Hamburg-Bergedorf.,2007,,196040
DAA Deutsche Angestellten-Akademie GmbH,Connect - Innovation durch Kooperation,2007,,280867
"Berufliche Ausbildung und Qualifizierung Jugendlicher und Erwachsener - 
Verein BAJ e.V.","NetLog TS - Ausbildungsnetzwerk für Logistik, Transport und Service",2007,,284512.15
RAG BILDUNG GmbH,BIG - Ausbildungsoffensive Essen,2007,,174483.2
Forschungszentrum Jülich GmbH,"I T A S  -  Innovation-Transfer-Aktion-Synergie in der InformationsTechnologie und der 
Automobil- und Schienentechnik",2007,,300000
Stadt Mannheim,"Ausbildung ! - Kleine und mittlere Unternehmen stärken, Ausbildung verbessern",2007,,285275
Handwerkskammer des Saarlandes,FAW-NAS: Für Ausbildung werben - Neue Ausbildungsplätze schaffen.,2007,,193002
Volkshochschule Göttingen e.V.,REGIONALE - Beratungs- und Koordinierungsstelle für Ausbildung,2007,,299964
Norddeutsche Gesellschaft für Diakonie e.V.,A.F.A. Neumünster = Ausbildung für Alle in Neumünster und Umgebung,2007,,275912
"Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB 
(bfw)","Ausbildungsmanagement Altenpflege in Stuttgart und in der Region ""Gewinnung und 
Unterstützung von  Einrichtungen in der stationären und ambulanten (Alten)Pflege für die 
Ausbildung""",2007,,167008
Arbeitsgemeinschaft selbstständiger Migranten e.V.,Weitblick,2007,,264954
Biotopia Arbeitsförderungsbetriebe Mannheim gGmbH,RegioNet: Flexible Ausbildung in der Metropolregion Rhein-Neckar,2007,,299785
"Rhein-Ruhr-Institut für Sozialforschung und Politikberatung e.V. (RISP) an 
der Universität Duisburg-Essen",Ausbilden im Stadtteil (AiS),2007,,295674
Bruderhaus Diakonie Stiftung Gustav Werner und Haus am Berg,BASIS - Berufliche Ausbildung sichern und stiften,2007,,277904
Berufsbildungswerk Waiblingen gGmbH,Ausbildungsoffensive Esslingen,2007,,196896
Zukunft für Kinder e. V.,"Gründung der Strahlemann-Stiftung – die Unternehmerstiftung; Wir schaffen Zukunft mit 
AusBildung",2007,,241537.6
Samtgemeinde Lüchow,Ausbildungsnetz Lüchow-Dannenberg,2007,,252358.1
"WFG - Wirtschaftsförderungsgesellschaft des Landkreises Emmendingen 
mbH",Ausbildungsoffensive Landkreis Emmendingen,2007,,282126.12
Region Hannover,Ausbildung fördern - Chancen und Perspektiven in der Region Hannover,2007,,286693.6
"Internationaler Bund (IB) - Freier Träger der Jugend-, Sozial- und 
Bildungsarbeit e.V.",Regionaler Ansatz: Schulische Ausbildung & Kammerabschluss.,2007,,236167.85
"Vogelsberg Consult Gesellschaft für Regionalentwicklung und 
Wirtschaftsförderung mbH","Dual mit System - Projekt zur Generierung zusätzlicher Ausbildungsplätze im ländlichen 
Raum sowie zur Sicherung des beruflichen Bildungsstandortes Vogelsberg durch 
innovative Berufsorientierung.",2007,,296168
gfw - Gesellschaft für Wirtschaftsförderung im Kreis Warendorf mbH,Initiative für Ausbildungsstellen und Fachkräftenachwuchs im Kreis Warendorf,2007,,243589
"Pfefferwerk Stadtkultur gGmbH - Gemeinnützige Gesellschaft zur 
Förderung von Stadtkultur","Gewinnung von zusätzlichen betrieblichen Ausbildungsplätzen durch das Netzwerk 
KreativAusbildung.",2007,,287017
Grone-Schule Berlin GmbH -Gemeinnützig-,Reinickendorf: Top in Ausbildung,2007,,293943
Bildungszentrum der Wirtschaft im Unterwesergebiet e.V.,Zentraler Ausbildungsservice PLUS,2007,,231335.25
Ausbildungszentrum-Bau in Hamburg Gesellschaft m.b.H.,MAzuBau - Mehr Azubis für die Hamburger Bauwirtschaft,2007,,229254
VAO Verbundausbildung Ostfriesland e.V.,Dienstleistungs- und maritimes Netzwerk der Verbundausbildung (DIMA),2007,,287454
Bergischer Verein zur Förderung der Ausbildung e. V.,Bergische Initiative Pro Ausbildung Plus,2007,,301678.8
Jugend in Arbeit e.V.,MoRE - Mobil für mehr Ausbildung im Kreis Recklinghausen,2007,,227935
Verein Deutscher Gießereifachleute e.V. (VDG),Ausbildungsperspektive Gießereibranche,2007,,253065
Forschungsverbund Berlin e.V.,Ausbildungsnetzwerk Hochtechnologien Berlin,2007,,286460
Institut für Sozialforschung und Sozialwirtschaft e.V. (ISO),"Verbundprojekt: Lebenslang gesund arbeiten - demografieorientierte 
Präventionskonzepte (LEGESA), Teilvorhaben Konzeptionelle Gestaltung von 
präventionsgerechten Erwerbsbiographien für die Investitionsgüterindustrie",2007,,404873
Universität Duisburg-Essen,"Verbundprojekt: Demografischer Wandel und Prävention in der IT-Branche (DiWa-IT), 
Teilvorhaben Arbeitslebensphasengerechtes Präventionsmanagement",2007,,528553
Jacobs University Bremen gGmbH,"Verbundprojekt: Technologieinnovation, Arbeitsorganisation, Qualifizierung, Prävention - 
systematisches Handlungskonzept für Produktivität und Gesundheit (TAQP), 
Teilvorhaben Prävention in altersgemischten Belegschaften - Umsetzung, Akzeptanz, 
Transfer",2007,,752240
Deutsche Gesetzliche Unfallversicherung e. V. (DGUV),"Verbundprojekt: Technologieinnovation, Arbeitsorganisation, Qualifizierung, Pra_vention - systematisches Handlungskonzept fu_r Produktivita_t und Gesundheit (TAQP), Teilvorhaben Pra_vention in altersgemischten Belegschaften - Umsetzung, Akzeptanz,
Transfer",2007,,776629
"Rhein-Ruhr-Institut für Sozialforschung und Politikberatung e.V. (RISP) an 
der Universität Duisburg-Essen","Verbundprojekt: Präventiver Gesundheitsschutz in der IT-Branche, Teilvorhaben 
Voraussetzungen für die Implementation von Prävention in der IT-Branche",2007,,270000
"Berufsfortbildungswerk Gemeinnützige Bildungseinrichtung des DGB 
GmbH (bfw)","Verbundprojekt: Präventiver Gesundheitsschutz in der IT-Branche (ITG), Teilvorhaben 
Entwicklung und Erprobung von Präventionskonzepten für die IT-Branche",2007,,270406
Technische Universität Dortmund,"Verbundprojekt: PRAGDIS - Präventiver Arbeits- und Gesundheitsschutz in 
diskontinuierlichen Erwerbsverläufen, Teilvorhaben Entwicklung neuer Konzepte und 
Methoden betrieblicher und individueller Gesundheitsprävention für Beschäftigte der 
Wissensökonomie",2007,,871165
Ludwig-Maximilians-Universität München,"Verbundprojekt: PRAGDIS - Präventiver Arbeits- und Gesundheitsschutz in 
diskontinuierlichen Erwerbsverläufen, Teilvorhaben 
Entwicklung neuerer Konzepte individueller und betrieblicher Gesundheitsprävention für 
Beschäftigte in der Wissensökonomie",2007,,320526
Team Gesundheit Gesellschaft für Gesundheitsmanagement mbH,"Verbundprojekt: PRAGDIS - Präventiver Arbeits- und Gesundheitsschutz in 
diskontinuierlichen Erwerbsabläufen, Teilvorhaben Praxisgerechter Einsatz innovativer 
Konzepte der Gesundheitsprävention für diskontinuierlich Beschäftigte in der 
Wissensökonomie",2007,,197939
core business development GmbH,"Verbundprojekt: PräKoNet - Präventionskompetenz durch gezielte Vernetzung der 
Akteure, Teilvorhaben Ganzheitliche Innovationsstrategien in den ITK-Unternehmen 
durch Integration der betrieblichen Gesundheitsförderung",2007,,735445
Universität zu Köln,"Verbundprojekt: PräKoNet - Präventionskompetenz durch gezielte Vernetzung der 
Akteure, Teilvorhaben Diagnose der Präventionsreife der ITK-Unternehmen, 
Implementierung und Evaluierung der eingeführten Maßnahmen",2007,,432460
Universität Duisburg-Essen,"Verbundprojekt: PräKoNet - Präventionskompetenz durch gezielte Vernetzung der 
Akteure, Teilvorhaben Entwicklung und Auswertung von öknomischen Bewertungen der 
Maßnahmen der Gesundheitsförderung in der ITK-Branche und Erarbeitung von 
Benchmark",2007,,277029
Fachhochschule für Technik und Wirtschaft Berlin (FHTW),"Netzwerkentwicklung für innovatives Gesundheitsmanagement - Modellhafte Entwicklung 
und Erprobung von Methoden zur Gestaltung von neuartigen 
Gesundheitsdienstleistungen in der Region mit dem Schwerpunkt auf KMU - Netzwerk 
InnoGeMa",2007,,940000
Universität Bremen,"Verbundprojekt: PRÄWIN - Prävention in Unternehmen der Wissensökonomie, 
Teilvorhaben Salutogenetisches Gesundheitsmanagement und nachhaltige 
Arbeitsqualität",2007,,469941
PIXELPARK AG,"Verbundprojekt: PRÄWIN - Prävention in der Wissensökonomie, Teilvorhaben Integration 
von Aspekten des präventiven Arbeits- und Gesundheitsschutzes in Aufbau- und 
Ablaufstrukturen von IT-Unternehmen",2007,,211347
Laupenmühlen Druck GmbH & Co. KG,"Verbundprojekt: PRÄWIN - Prävention in Unternehmen der Wissensökonomie, 
Teilvorhaben Prävention in virtuellen Arbeitsstrukturen und Geschäftsprozessen der 
Medien-/IT-Branche",2007,,168202
Peperoni Mobile & Internet Software GmbH,"Verbundprojekt: PRÄWIN - Prävention in Unternehmen der Wissensökonomie, 
Teilvorhaben Präventiver Arbeits- und Gesundheitsschutz in der Projektarbeit",2007,,144543
Hamburger Stadtentwässerung,"MeGA - Menschen- und alter(n)gerechte Gestaltung der Arbeit - Gestaltung des 
demographischen Wandels in einem Unternehmen der Abwasserbranche",2007,,534783.8
Carl von Ossietzky Universität Oldenburg,"Verbundprojekt: Berater - Ratlos in eigener Sache? Innovative Konzepte der Personal- 
und Organisationsentwicklung in Beratungsunternehmen (IPOB), Teilvorhaben 
Ambiguität, Nicht-Wissen und Fehlerkulturen in Beratungsorganisationen",2007,,266743
Katholische Universität Eichstätt-Ingolstadt,"Verbundprojekt: Berater - Ratlos in eigener Sache? Innovative Konzepte der Personal- 
und Organisationsentwicklung in Beratungsunternehmen (IPOB), Teilvorhaben Work-Life-
Balance in Beratungsorganisationen",2007,,175098
Universität Regensburg,"Verbundprojekt: Berater - Ratlos in eigener Sache? Innovative Konzepte der Personal- 
und Organisationsentwicklung in Beratungsunternehmen (IPOB), Teilvorhaben Personelle 
und interkulturelle Diversität in Beratungsorganisationen",2007,,180088
Technische Universität Berlin,"Verbundprojekt: SIBIB - Strategien zur Steigerung der Innovationsfähigkeit auf Basis 
individueller Barrierenerlebnisse, Teilvorhaben WAB - Wissenschaftliche Analyse von 
Innovationsbarrieren",2007,,421451
Robert Bosch GmbH,"Verbundprojekt: SIBIB - Strategien zur Steigerung der Innovationsfähigkeit auf Basis 
individueller Barrierenerlebnisse, Teilvorhaben Entwicklung von Personal und 
Organisationsmaßnahmen",2007,,491400
Steinbruchs-Berufsgenossenschaft,"Verbundprojekt: Neue Präventionsallianzen für mehr Gesundheit in KMU der 
Baustoffindustrie (NeuPraG), Teilvorhaben Netzwerke, Anreize und Transfer",2007,,564800
Institut für Betriebliche Gesundheitsförderung BGF GmbH,"Verbundprojekt: Neue Präventionsallianzen für mehr Gesundheit in KMU der 
Baustoffindustrie (NeuPraG), Teilvorhaben Qualifizierung, Innovation, 
Kompetenzentwicklung",2007,,145172
Carl von Ossietzky Universität Oldenburg,"Verbundprojekt: Integriertes Kompetenzmanagement (IKM), Teilvorhaben 
Personalentwicklung und individuelle Kompetenzen",2007,,219783
"Zentrum für angewandte Weiterbildungsforschung - Institut für 
ökonomische Bildung e.V.","Verbundprojekt: Integriertes Kompetenzmanagement (IKM), Teilvorhaben Diversity 
Management als Grundlage für Innovationskompetenz",2007,,186900
Frankfurt School of Finance & Management,"Verbundprojekt: Integriertes Kompetenzmanagement (IKM), Teilvorhaben 
Organisationsentwicklung und Unternehmenskompetenzen",2007,,291058
Universität Duisburg-Essen,"Verbundprojekt: Kompetenzentwicklung und Prozessunterstützung in 'Open Innovation'-
Netzwerken der IT-Branche durch Wissensmodellierung und Analyse (KoPIWA), 
Teilvorhaben Kompetenzmodellierung und Dynamisierung von Kompetenzprofilen",2007,,670115
PIXELPARK AG,"Verbundprojekt: Kompetenzentwicklung und Prozessunterstützung in 'Open Innovation'-
Netzwerken der IT-Branche durch Wissensmodellierung und Analyse (KoPIWA), 
Teilvorhaben Kompetenzmanagement im Open-Innovation Feld Neue Webtechnologien",2007,,184157
Mobile Communication and Service SH GmbH,"Verbundprojekt: Kompetenzentwicklung und Prozessunterstützung in 'Open Innovation'-
Netzwerken der IT-Branche durch Wissensmodellierung und Analyse (KoPIWA), 
Teilvorhaben Kompetenzmanagement im Open-Innovation Feld Neue mobile 
Anwendungen",2007,,183528
Technische Universität München,"Verbundprojekt: Kompetenzentwicklung und Prozessunterstützung in 'Open Innovation'-
Netzwerken der IT-Branche durch Wissensmodellierung und Analyse (KoPIWA), 
Teilvorhaben Awareness- und Ontologie-Dienste in Open-Innovation Plattformen",2007,,189486
"Eberhard-Karls-Universität Tübingen - Institut für Soziologie, 
Arbeitsbereich Industrielle Entwicklung und Methodenlehre","Die Wirkungen tariflicher Regelungen auf die betriebliche Weiterbildung am Beispiel des 
TVöD",2007,,589063
Rheinisch-Westfälische Technische Hochschule Aachen,IMO-Internationales Monitoring,2007,,3888715
Deutsches Jugendinstitut e.V.,"Weiterführung des Projektes ""Datenbank Schule & Partner – schulische 
Kooperationspraxis auf einen Klick"" - Ziel 3 ",2007,,260267.5
Deutsches Jugendinstitut e.V.,Lokale Bildungslandschaften in Kooperation von Ganztagsschule und Jugendhilfe (Ziel 3),2007,,544686.17
Universität Bremen,"Studie zur Struktur und Nutzung erweiterter Angebote in Ganztagsschulen am Beispiel 
der musisch-kulturellen Bildung",2007,,214131.5
