name_des_begunstigten,bezeichnung_des_vorhabens,jahr_bewilligung,jahr_der_abschliessenden_zahlung,gewahrte_betrage,ausgezahlter_betrag_bei_projektabschluss
Brandenburgische Technische Universität Cottbus,"Verbundvorhaben: Mobilisierung des innovativen Gründungspotenzials von Studentinnen 
im Technologiebereich durch Gründungsseminare,  Teilvorhaben: Qualitative 
Untersuchung der Wirkung von Gründungsseminaren",2007,,13180,
Ludwig-Maximilians-Universität München,"Verbundvorhaben: Mobilisierung des innovativen Gründungspotenzials von Studentinnen 
im Technologiebereich durch Gründungsseminare, Teilvorhaben: Großzahlige empirische 
Untersuchung der Wirkung von Gründungsseminaren",2007,,14960,
"Hochschule Wismar University of Technology, Business and Design","Verbundvorhaben: P8 - Erfolgreich ist weiblich! - Power für Gründerinnen; Teilvorhaben: 
Modellhafte Erprobung an einer kleinen ostdeutschen Hochschule",2007,,84935,
Technische Universität Dortmund,"Kinder und Kinderlosigkeit im wissenschaftlichen Karriereverlauf. Auswertung der 
Personaldaten des akademischen Personals an Universitäten und an Fachhochschulen",2007,,115289.4,
Wissenschaftszentrum Berlin für Sozialforschung gGmbH,"Gemeinsam Karriere machen - Realisierungsbedingungen für Doppelkarrieren in 
Akademikerpartnerschaften",2007,,62952,
Technische Universität Dortmund,"Raum-zeitliche Mobilitätsanforderungen als Hemmnis beruflicher Karrieren von Frauen in 
Wirtschaft und Wissenschaft - Strategien zu ihrer Überwindung",2007,,96477.6,
Kompetenzzentrum Technik-Diversity-Chancengleichheit e.V.,"Verbundvorhaben taste MINT: Entwicklung und Erprobung eines Potenzialassessments 
für Mathematik, Informatik, Naturwissenschaften und Technik für Abiturientinnen, 
Teilvorhaben Kompetenzzentrum: Öffentlichkeitsarbeit",2007,,22732.6,
Life - Lerninitiative Frauen entwickeln Ökotechnik e.V.,"Verbundvorhaben taste MINT: Entwicklung und Erprobung eines Potenzialassessments 
für Mathematik, Informatik, Naturwissenschaften und Technik für Abiturientinnen, 
Teilvorhaben Life: Entwicklung, Erprobung, Transfer",2007,,101222.2,
Schweriner Bildungswerkstatt e.V.,"REHATOUR - Reaktivierung der betrieblichen Ausbildung von Hauswirtschafterinnen und 
Hauswirtschaftern in der  Gesundheitswirtschaft und im Tourismus im zukünftigen 
Westkreis von Mecklenburg- Vorpommern",2007,,158177,
Technologie- und Berufsbildungszentrum Eisenach gGmbH,ZuWAKs - Zukunft im Wartburgkreis sichern   ,2007,,252750,
Bildungsinstitut Pscherer gGmbH,"Ausbildungsinitiative ""Pro - AZUBI - Vogtland""",2007,,281801,
Industrie- und Handelskammer zu Schwerin,Westmecklenburger Ausbildungsnetzwerk Ernährungsindustrie (WmAE) ,2007,,207532.51,
"Internationales Zentrum für Innovation, Qualifizierung und 
Gewerbeförderung e.V.",REGINA - REGionale Innovationsinitiative für Nachhaltige Ausbildung Nordharz ,2007,,299286,
"Sächsische Bildungsgesellschaft für Umweltschutz und Chemieberufe 
Dresden mbH - SBG","Ausbildungscluster Sachsen für Hochtechnologie, Naturwissenschaft und Umwelttechnik",2007,,289917,
"Berufsförderungswerk e.V. des Bauindustrieverbandes Berlin-
Brandenburg e.V.",Ausbildungsoffensive BAB,2007,,206443.33,
Kreishandwerkerschaft Schwerin,"HANDIS-Handwerksorientierte berufliche Integration jugendlicher Spätaussiedler in 
Westmecklenburg",2007,,129991.35
