ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung_restzahlung, gewahrte_betrage , bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage 
63,"Gemeindevorstand der Gemeinde Willingen, Willingen (Upland)",Erweiterung und funktionsgerechte Umgestaltung des Veranstaltungszentrums,2008,"3,058,000.00", -   
64,"Gerhard Klapp Cosmetics, Hessisch Lichtenau",Erweiterung einer Betriebsst�tte in der Stadt Hessisch Lichtenau,2008,"681,600.00", -   
65,"GOAB GmbH, Offenbach am Main",VerbundWerk - Kooperationsf�rderung,2008,"62,450.00", -   
66,"GOAB GmbH, Offenbach am Main",Beschaffung von Ausstattung f�r den Ausbildungsbereich Metall,2009,"17,961.00", -   
67,"HA Hessen Agentur GmbH, Wiesbaden",F�rderung modellhafter Forschungs- und Entwicklungsprojekte,2008,"8,097,600.00", -   
68,"HA Hessen Agentur GmbH, Wiesbaden",TTN-Hessen 2. Halbjahr 2008,2008,"663,000.00", -   
69,"HA Hessen Agentur GmbH, Wiesbaden","Aufbau des Clusters ""Integrierte Bioindustrie""",2008,"517,218.00", -   
70,"HA Hessen Agentur GmbH, Wiesbaden","Hessen Agentur GmbH �berarbeitung der Brosch�re ""ich mache mich selbst�ndig"" u. weit",2008, -   ,"17,968.00"
71,"HA Hessen Agentur GmbH, Wiesbaden",Clusterwettbewerb - Begleitung der Umsetzung der pr�mierten Konzepte in 2009,2009,"60,293.00", -   
72,"HA Hessen Agentur GmbH, Wiesbaden","Modellhafte Forschungs- und Entwicklungsprojekte insbesondere in der
Automobilzulieferindustrie",2009,"7,519,700.00", -   
73,"HA Hessen Agentur GmbH, Wiesbaden",TechnologieTransferNetzwerk Hessen 2009,2009,"775,600.00", -   
74,"HA Hessen Agentur GmbH, Wiesbaden","Sonderf�rd. von Marketingproj. im zentralen tourist. Marketing  f�r die Reiseziele in Hessen
im In- und Ausland im Jahr 2009",2009,"1,261,800.00", -   
75,"HA Hessen Agentur GmbH, Wiesbaden",Hessischer Mittelstandsbericht 2009,2009,"84,718.00", -   
76,"HA Hessen Agentur GmbH, Wiesbaden",TechnologieTransferNetzwerk Hessen 2010,2010,"773,100.00", -   
77,"Handwerkskammer Rhein-Main, Frankfurt am Main",Technologietransfer-Stelle,2008,"33,000.00", -   
78,"Handwerkskammer Rhein-Main, Frankfurt am Main",Technologie- und Wissenstransfer,2009,"91,000.00", -   
79,"Handwerkskammer Wiesbaden, Wiesbaden",Sonderberatungsstellen der hessischen Handwerkskammern,2008,"1,238,400.00", -   
80,"Henschel Antriebstechnik GmbH, Kassel",Einstellung eines Innovationsassistenten in 34127 Kassel,2008,"30,000.00", -   
