ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung_restzahlung, gewahrte_betrage , bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage 
175,"Magistrat der Stadt Kassel, Kassel",F�rderung der Kulturwirtschaft in Kassel,2009,"43,000.00", -   
176,"Magistrat der Stadt Kassel, Kassel","Modernisierung und Erg�nzung der IuK-Ausstattung der beruflichen Schulen der Stadt
Kassel",2009,"46,800.00", -   
177,"Magistrat der Stadt Lampertheim, Lampertheim","Studie ""Strategische Gewerbefl�chenentwicklung in der Region Hes schisches Ried""",2009,"30,500.00", -   
178,"Magistrat der Stadt Lindenfels, Lindenfels",Beschaffung von musealen Einrichtungsgegenst�nden,2008,"63,000.00", -   
179,"Magistrat der Stadt Maintal, Maintal","Errichtung des Existenzgr�nderzentrums ""Do-It-Yourself B�ro""",2007,"114,442.89", -   
180,"Magistrat der Stadt Neckarsteinach, Neckarsteinach","Konzeption und Einrichtung des GEOPARK-Eingangstor S�D als re- gionales touristisches
Portal (Info- u. Erlebniszentrum)",2008,"179,800.00", -   
181,"Magistrat der Stadt Offenbach am Main, Offenbach am Main","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen der Stadt
Offenbach am Main",2008,"40,000.00", -   
182,"Magistrat der Stadt Offenbach, Offenbach am Main",Kreativwirtschaft und Stadtentwicklung,2009,"155,300.00", -   
183,"Magistrat der Stadt Schotten, Schotten","Erstellung eines Entwicklungskonzeptes ""Vulkan Vogelsberg""",2008,"113,100.00", -   
184,"Magistrat der Stadt Spangenberg, Spangenberg","�berregionaler Ausbau des ARS NATURA in den Gemarkungen Spangenberg,
Rotenburg/F., Alheim",2008,"57,320.00", -   
185,"Magistrat der Stadt Wiesbaden Amt f�r Wirtschaft und
Liegenschaften, Wiesbaden",F�rderung der Kreativwirtschaft,2009,"64,000.00", -   
186,"Magistrat der Stadt Wiesbaden Schulamt, Wiesbaden","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen in der
Landeshauptstadt Wiesbaden",2008,"216,600.00", -   
187,"Magistrat der Stadt Wiesbaden Schulamt, Wiesbaden","Modernisierung und Erg�nzung der IuK-Ausstattung der beruflichen Schulen der Stadt
Wiesbaden",2009,"146,600.00", -   
188,"Magistrat der Stadt Wolfhagen, Wolfhagen",Erschlie�ung von Gewerbefl�chen in der ehemaligen Pommernkaserne - I. BA,2007,"776,800.00", -   
189,"Magistrat der Universit�tsstadt Marburg Fachdienst Schule,
Marburg","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen der
Universit�tsstadt Marburg",2008,"502,000.00", -   
190,"Main-Kinzig-Kreis -Der Kreisausschu�-, Gelnhausen","Modernisierung und Erg�nzung der IuK-Ausstattung der berulfichen Schulen des Main-
Kinzig-Kreises",2009,"108,100.00", -   
191,"Main-Kinzig-Kreis Service-B�rse-Spessart, Gelnhausen","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen des Main-Kinzig-
Kreises",2008,"80,000.00", -   
192,"METAKUS GmbH, Baunatal",METAKUS Anwendungszentrum Metallformgebung,2008,"305,400.00", -   
193,"METAKUS GmbH, Baunatal",Planungskonzept und Gesch�ftsplan f�r AWZ Kunstofftechnik,2008,"28,000.00", -   
194,Mittelhessenfonds GmbH,Mittelhessenfonds,2008, -   ,"10,000,000.00"
195,"Morton Extrusionstechnik GmbH, Abtsteinach","Errichtung einer Betriebsst�tte in der Gemeinde Abtsteinach, Im Steinb�hl 5",2008,"2,375,400.00", -   
196,Petra Peffermann,Biomasseheizung m. Stirling BHKW,2008,"17,300.00", -   
197,"Pfau Medizinische-Instrumente GmbH, Wanfried",Erweiterung einer Betriebsst�tte in Wanfried,2007,"535,059.00", -   
198,"Phantastische Bibliothek, Wetzlar","Umwidmung Geb�ude Turmstr. 20, Wertzlar, in eine Bibliothek als Kultur-, Bidlungs- u.Wissenschaftszentrum (2. BA)",2007, -   ,"60,200.00"
201,"Philipps-Universit�t Marburg Der Pr�sident, Marburg","Einrichtung einer betrieblichen Kinderbetreuungseinrichtung, Philipps- Universit�t Marburg",2009,"300,000.00", -   
202,"Prognos AG, Berlin",Vorbereitung und Unterst�tzung der Clusterwettbewerbe in Hessen,2007, -   ,"82,407.50"
203,"provadis School of International Management and Technology
AG, Frankfurt",Cluster Chemie und Pharma Rhein Main - Initiierungsphase,2009,"25,000.00", -   
204,"Reformhaus-Fachakademie, Oberursel",Technologietransfer-Stelle,2008,"15,000.00", -   
205,"Reformhaus-Fachakademie, Oberursel",Technologie-Transfer und Innovationsnetzwerkbildung,2009,"30,000.00", -   
206,"Region Vogelsberg Touristik GmbH, Schotten","Road-Show Vogelsberg/Hessen, ""Marketingaktion zur Bewerbung des Aktiv-, Gesundheits-
und Erholungstourismus""",2010,"63,900.00", -   
207,"Regionalmanagement Nordhessen GmbH, Kassel",Cluster Mobilit�tswirtschaft - Verstetigungsphase,2007,"350,000.00", -   
208,"Regionalmanagement Nordhessen GmbH, Kassel","Cluster ""Tourismusoffensive Nordhessen"" - Fortsetzungsphase",2008,"521,200.00", -   
209,"Regionalmanagement Nordhessen GmbH, Kassel","Destination NordHessen, Konzeption und Umsetzung des Themenkomplexes ""M�rchenland
der Br�der Grimm""",2008,"438,000.00", -   
210,"Regionalmanagement Nordhessen GmbH, Kassel","Gr�ndungswettbewerb ""promotion Nordhessen"" 2008",2008,"400,000.00", -   
211,"Regionalmanagement Nordhessen GmbH, Kassel","Marketingma�nahmen zur Positionierung der Destination NordHessen in internationalen
M�rkten (Auslandsinit. Niederlande/D�nemark)",2008,"365,000.00", -   
212,"Regionalmanagement Nordhessen GmbH, Kassel",Standortmarketing Nordhessen 2008-2009,2008,"431,000.00", -   
213,"Regionalmanagement Nordhessen GmbH, Kassel",Magazin aus der Mitte Schwerpunkt Wandern,2008,"57,000.00", -   
214,"Regionalmanagement Nordhessen GmbH, Kassel","Cluster ""Gesundheitsregion Nordhessen""",2009,"300,000.00", -   
215,"Regionalmanagement Nordhessen GmbH, Kassel",Fertigungsprozessoptimierung als Instrument zur St�rkung des Mittelstandes,2009,"84,500.00", -   
216,"Regionalmanagement Nordhessen GmbH, Kassel",promotion Nordhessen - Vom Businessplanwettbewerb zur Gr�nderregion,2009,"200,000.00", -   
217,"Regionalpark Ballungsraum Rhein-Main GmbH, Fl�rsheim am
Main","Erstellung einer touristischen Konzeptstudie ""Erlebniswelt Regionalpark Rhein Main""",2008,"48,200.00", -   
218,"rEnerGo GmbH, Erbach",CLEO - Cluster Erneuerbare Energien Odenwald,2009,"337,000.00", -   
219,"RKW Hessen GmbH, Eschborn","RKW Hessen GmbH Vertrag vom 09.04.2008 Aktualisierung der Internetseite
www.existenzgr�ndung-hessen.de",2008, -   ,"4,046.00"
220,"RKW Hessen GmbH, Eschborn",RKW Hessen zur Durchf�hrung des 7. Hess. Unternehmerinnentages in R�sselsheim,2008, -   ,"37,366.00"
221,"RKW Hessen GmbH, Eschborn",Existenzgr�ndungs- und Umsetzungsberatungen,2008, -   ,"668,589.50"
222,"RKW Hessen GmbH, Eschborn",ML 1.2 RKW Hessen GmbH Technologieberatungen 2. HJ 2008,2008, -   ,"119,820.00"
223,"RKW Hessen GmbH, Eschborn","RKW Hessen GmbH ML 1.2 ""umwelt-tech"" Beratungen",2008, -   ,"113,400.00"
224,"RKW Hessen GmbH, Eschborn",RKW Hessen GmbH Vertrag vom 12.08.2008 Hess. Mittelstandstag 2008,2008, -   ,"24,349.00"
225,"RKW Hessen GmbH, Eschborn",Beratungsprogramm f�r Hessen-PIUS,2009,"113,000.00", -   
226,"RKW Hessen GmbH, Eschborn",Coaching f�r Unternehmen aus der Kulturwirtschaft,2009,"65,000.00", -   
227,"RKW Hessen GmbH, Eschborn",RKW Hessen GmbH Existenzgr�ndungs und Unternehmensberatungen 2009,2009,"1,683,000.00", -   
228,"RKW Hessen GmbH, Eschborn",Technologietransfer und Innovationsnetzbildung,2009,"228,000.00", -   
229,"RKW Hessen GmbH, Eschborn","Umsetzungsberatung u. Anpassung d. Service- u. Managementprozes- se im modernen KfZ
-Service - Operatives Gesch�ft, Strategie II -",2009,"73,300.00", -   
230,"RKW Hessen GmbH, Eschborn",Wettbewerbsvorsprung durch effiziente Produktions- und Logistik- prozesse,2009,"48,700.00", -   
231,"RKW Hessen GmbH, Eschborn",Aktualisierung des Internetauftritts www.existenzgruendung-hessen.de,2009, -   ,"4,046.00"
233,"RKW Hessen GmbH, Eschborn",Hessischer Mittelstandstag 2009 Wege aus der Krise-heute die Weichen f�r morgen stellen,2009, -   ,"29,988.00"
234,"RKW Hessen GmbH, Eschborn",Krisen- und Sanierungsberatung,2009,"100,000.00", -   
235,"RKW Hessen GmbH, Eschborn",Beratungsprogramm Hessen-PIUS 2010,2010,"299,400.00", -   
236,"RKW Hessen GmbH, Eschborn",Technologietransfer und Innovationsnetzbildung,2010,"285,000.00", -   
237,"Sonnen-Systeme Projektgesellschaft mbH, Alheim-Heinebach",Erweiterung einer Betriebsst�tte in 36211 Alheim-Heinebach,2008,"433,600.00", -   
238,"Standortmarketing GbR, Fulda",Engineering-High-Tech-Cluster (EHC) Fulda Initiierungsphase,2008,"27,000.00", -   
239,"Tanja Siebert Vermietung + Verpachtung (BSU), Meinhard",Erweiterung einer Betriebsst�tte in der Gemeinde Meinhard,2008,"225,000.00", -   
240,"Technische Universit�t Darmstadt, Darmstadt",Errichtung einer betrieblichen Kinderbetreuungseinrichtung,2009,"600,000.00", -   
241,"Technische Universit�t Darmstadt Fachgebiet Multimedia
Kommunikation, Darmstadt",Start up Factory,2008,"454,600.00", -   
242,"Technische Universit�t Darmstadt FB 20, Telekooperation,
Darmstadt","Aufbau des Spritzguss-Cluster: Werkzeug- und Formenbau f�r die kunststoffverarbeitende
Industrie -  Initiierungsphase",2008,"25,000.00", -   
243,"Technische Universit�t Darmstadt Patentinformationszentrum
der Universtit�ts- und Landesbibliothek Darmstadt, Darmstadt","Technologietransfer im Bereich Patent- u. Markeninformation Patentinformationszentrum
Darmstadt",2008,"112,600.00", -   
244,"Technische Universit�t Darmstadt Patentinformationszentrum
der Universtit�ts- und Landesbibliothek Darmstadt, Darmstadt",Verbesserung Technologietransfer im Bereich Patent- und Markeninformation,2009,"216,000.00", -   
245,"Technologieberatungsstelle beim DGB Hessen e.V., Frankfurt
am Main",Proaktive Bew�ltigung des Wandels,2008,"93,000.00", -   
246,"Technologieberatungsstelle beim DGB Hessen e.V., Frankfurt
am Main",Proaktive Bew�ltigung des Wandels,2009,"221,000.00", -   
247,"TIGZ Technologie-, Innovations- und Gr�nder/innen-Zentrum
GmbH, Ginsheim-Gustavsburg",Werkstatt f�r Kultur- und Kreativwirtschaft,2009,"120,000.00", -   
248,"TransMIT Gesellschaft f�r Technologietransfer mbH, Gie�en",Clustermanagement Medizinwirtschaft,2007,"490,000.00", -   
249,"TransMIT Gesellschaft f�r Technologietransfer mbH, Gie�en",Technologietransfer und Existenzgr�ndungen aus TransMIT-Zentren,2008, -   ,"76,200.00"
250,"TransMIT Gesellschaft f�r Technologietransfer mbH, Gie�en",Technolgietransfer und Innovationsnetzwerkbildung 2009,2009,"278,800.00", -   
251,"UHD-Unternehmensberatung Hessen f�r Handel und
Dienstleistung GmbH, Frankfurt am Main",Betriebsberatungen,2008, -   ,"42,320.00"
252,"UHD-Unternehmensberatung Hessen f�r Handel und
Dienstleistung GmbH, Frankfurt am Main",Betriebsberatung Einzelhandel,2009,"80,000.00", -   
253,"UniKasselTransfer GmbH, Kassel",Inkubator UniKassel,2008,"259,200.00", -   
254,Universit�t Kassel,"Entwicklung und Erprobung des Konzeptes zur Weiterbildung im Bereich ""Energieeffizienz
in Unternehmen""",2009,"251,600.00", -   
255,"Universit�t Kassel Der Pr�sident, Kassel",Verbesserung des Technologietransfers im Bereich Patent- und Markeninformation,2008,"53,700.00", -   
256,"Universit�t Kassel Der Pr�sident, Kassel",Technologietransfer mit Schwerpunkt Strategische Partnerschaften,2008,"419,900.00", -   
257,"Universit�t Kassel Der Pr�sident, Kassel",Verbesserung Technologietransfer  im Bereich Patent- und Markeninformation,2009,"90,000.00", -   
258,"Valls Besitz GmbH (BSG) Rovalma GmbH (BTG), Berlin",Errichtung einer Betriebsst�tte in Hessisch Lichtenau,2009,"5,000,000.00", -   
259,"Verband der berufsbildenden Schulen der Stadt Hanau und des
Main-Kinzig-Kreises, Hanau","Modernisierung und Erg�nzung der IuK-Ausstattung beruflicher Schulen der Stadt Hanau
und des Main-Kinzig-Kreises",2008,"89,100.00", -   
260,"Verein fu_r Sozialpolitik, Bildung und Berufsfo_rderung e.V., Kassel",Ausstattungsinvestition fu_r ein Modulares Weiterbildungssystem mit Unterweisungsmo_glichkeit des Blended-Learning,2009,"44,398.00", -   
261,"Virtuelles Gr�nderzentrum Schwalm, Schwalmstadt",Virtuelles Gr�nderzentrum in der Schwalm,2008,"40,641.68", -   
263,"Virtuelles Gr�nderzentrum Schwalm, Schwalmstadt",Virtuelles Gr�nderzentrum in der Schwalm Anschlussf�rderung 2009 - 2010,2009,"82,400.00", -   
264,"Vogelsberg Consult GmbH, Alsfeld",Verpackungscluster Mittelhessen: Initiierungsphase,2008,"31,250.00", -   
265,"Vogelsberg Consult GmbH, Alsfeld",Verpackungscluster Mittelhessen - Aufbauphase,2009,"189,000.00", -   
266,"WEKAL Maschinenbau GmbH, Fritzlar",Diversifizierung der Produktion in 34560 Fritzlar,2009,"346,600.00", -   
267,Wirtschafts- und Infrastrukturbank Hesse,Hessen-Kapital I,2007,"50,000,000.00", -   
268,"Wirtschaftsf�rderung Bergstra�e GmbH, Heppenheim",Gr�ndungsoffensive Bergstra�e-Odenwald,2009,"182,800.00", -   
269,"Wirtschaftsf�rderung Bergstra�e GmbH, Heppenheim",Indo-German Film Agency,2009,"126,200.00", -   
270,"Wirtschaftsf�rderung Korbach Goldrichtig GmbH, 34497",Integrierte Nachfolgestrategien zur nachhaltigen Standort- sicherung im l�ndlichen Raum,2009,"19,700.00", -   
271,"Wirtschaftsf�rderung Region Kassel GmbH, Kassel","Machbarkeitsstudie ""Science Park Kassel""",2008,"164,000.00", -   
272,"Wirtschaftsf�rderung Region Kassel GmbH, Kassel",Ausbau spezifischer Entwicklungspotentiale und Abbau regionaler Disparit�ten,2008,"210,000.00", -   
273,"Wirtschaftsf�rderung Region Kassel GmbH, Kassel",Marken- und Netzwerkbildung,2008,"83,000.00", -   
274,"Wirtschaftsf�rderung Region Kassel GmbH, Kassel",�konomische Relevanz der Kultur- und Kreativwirtschaft in der Region Kassel,2009,"55,000.00", -   
275,"Wirtschaftsf�rderungsgesellschaft Werra-Mei�ner-Kreis mbH,
Eschwege",Marketingprojekt zur Ansiedlung bio-affiner Unternehmen im Werra-Mei�ner-Kreis,2008,"164,500.00", -   
276,"Wirtschaftsf�rderungsgesellschaft Werra-Mei�ner-Kreis mbH,
Eschwege",Leben-Wohnen-Arbeiten im Werra-Mei�ner-Kreis,2009,"376,645.00", -   
277,"Zweckverband Interkommunale Zusammenarbeit Schwalm-
Eder Mitte, Kn�llwald","Erschlie�ung des interkommunalen Gewerbegebietes Schwalm-Eder Mitte in Kn�llwald-
Remsfeld",2009,"4,249,200.00", -   
278,"Zweckverband Raum Kassel, Kassel",Planungsleistungen f�r den Stra�enendausbau des GVZ Kassel,2009,"142,800.00", -   
