"name_des_begunstigten","bezeichnung_des_vorhabens","jahr_bewilligung","gewahrte_betrage","ausgezahlter_betrag_bei_projektabschluss"
"DB Netz AG","Neubau VDE 81 Ebensfeld - Erfurt, Einzelmaßnahmen Projektabschnitt Thüringen","2009",424792899,0
"DB Netz AG","VDE 82 Neubaustrecke (NBS) Erfurt -Leipzig/Halle (Saale), Projektabschnitte Finnetunnel und Feste Fahrbahn im Streckenabschnitt Sachsen-Anhalt","2009",106356378,0
"Ministerium für Wirtschaft, Arbeit und Verkehr des Landes Niedersachsen","Neubau der Bundesautobahn A 26, Projektabschnitt I - südöstl Stade bis Horneburg (K 36n), Projektabschnitt II - Horneburg (K 36n) bis AS Jork (K 26)","2009",85712120,0
"Sächsisches Staatsministerium für Wirtschaft und Arbeit","Neubau der BAB A 72 Chemnitz - Leipzig, Projektabschnitt 3: Rathendorf bis Borna","2009",136387718,0
"Sächsisches Staatsministerium für Wirtschaft und Arbeit","Neubau Bundesstraße B 178n (Grenze D/PL -A4), Modul 1: Bauabschnitt 31","2009",23076923,0
"Ministerium für Verkehr, Bau und Landesentwicklung Mecklenburg-Vorpommern","Neubau der A 14 Magdeburg - Wittenberge -Schwerin - Wismar, Modul 1: 2 BA AS Schwerin Nord bis AS Jesendorf","2009",112536524,0
"Sächsisches Staatsministerium für Wirtschaft und Arbeit","Neubau B 98n, Ortsumgehung Bischofswerda","2009",15384615,0
"Wasserstraßen-Neubauamt Berlin","Neubau Schiffshebewerk Niederfinow","2009",277326260,0
"Wasser- und Schifffahrtsamt Stralsund","Fahrrinnenanpassung Seewasserstraße nördlicher Peenestrom","2009",25071921,0
"Eisenbahn-Bundesamt","Finanzielle Hilfe für Personalmehraufwand beim EBA","2009",2876823,0
"Bundesministerium für Verkehr, Bau und Stadtentwicklung","Kosten-Nutzen-Analyse für Großprojekte der Prioritätsachse 1 - Modul 1","2009",289925,0
"Bundesministerium für Verkehr, Bau und Stadtentwicklung","Finanzielle Hilfe für die Arbeit der EFRE-Bescheinigungsbehörde","2009",526300,0
"Bundesministerium für Verkehr, Bau und Stadtentwicklung","Finanzielle Unterstützung der EFRE-Prüfbehörde","2009",549480,0
"Bundesministerium für Verkehr, Bau und Stadtentwicklung","Finanzielle Hilfe für Personalmehraufwand beim Referat S01 als EFRE Zwischengeschaltete Stelle","2009",481000,0
"Bundesministerium für Verkehr, Bau und Stadtentwicklung","Kosten-Nutzen-Analysen für Großprojekte der Prioritätsachse 2","2009",146459,0
"Bundesministerium für Verkehr, Bau und Stadtentwicklung","EFRE-Verwaltungsbehörde - Personalkosten","2009",1686721,0
"Bundesministerium für Verkehr, Bau und Stadtentwicklung","EFRE-Verwaltungsbehörde - Sachkosten","2009",40000,0
"Bundesministerium für Verkehr, Bau und Stadtentwicklung","EFRE-Verwaltungsbehörde - Begleitung","2009",22120,0
"Sächsisches Staatsministerium für Wirtschaft und Arbeit","Kosten-Nutzen-Analyse für das potenzielle EFRE-Großprojekt City-Tunnel Leipzig","2009",130758,0
