name_des_begunstigten,bezeichnung_des_vorhabens,jahr_bewilligung,jahr_projektende,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage,fund_type,currency,uri
AWO - Kreisverband Bremen e. V.,Bewerbungstraining und Berufsvorbereitung für Jugendliche,2008,2009,"4.525,70",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
AWO Pflegedienste GmbH,Altenplegeausbildung,2008,2011,"961.151,58",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
AWO Sozialdienste GmbH,LOS mobil,2008,2009,"9.475,81",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
AWO Sozialdienste GmbH,QUIS,2008,2010,"2.002.482,38",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
AWO Sozialdienste GmbH,KAJE - Kwallie aktiviert junge Erwerbslose,2008,2010,"1.080.098,26",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
AWO Sozialdienste GmbH,EMMI,2008,2009,"323.305,61",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Barbara Giehler,Medienkompetenz sinnvoll und effektiv nutzen,2008,2009,"9.984,85",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufliche Bildung Bremerhaven,Känguru,2008,2010,"510.647,04",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufliche Bildung Bremerhaven,Ausbildung zum Elektroniker/-in für Betriebstechnik mit Spezifikation für den Bereich Windenergie,2008,2011,"1.290.303,64",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufliche Bildung Bremerhaven,Frau und Schule und Beruf,2008,2010,"392.051,86",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufsfortbildungswerk - Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw),FAMakqua,2008,2009,"127.890,68",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufsfortbildungswerk - Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw),Kunststoffzentrum Bremerhaven,2008,2010,"57.650,06",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufsfortbildungswerk - Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw),TSCHOB II - Training von Schlüsselqualifikationen als EDV- einzelcoaching-on-the-job für Bremer Beschäftigte 48+ in KMU,2008,2010,"259.682,34",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufsfortbildungswerk - Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw),SIBS-NELE,2008,2010,"1.512.308,92",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufsfortbildungswerk - Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw),Prima Klima (BQ),2008,2009,"221.918,26",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Berufsfortbildungswerk - Gemeinnützige Bildungseinrichtung des DGB GmbH (bfw),Prima Klima (BBQ),2008,2010,"313.828,88",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
