name_des_begunstigten,bezeichnung_des_vorhabens,jahr_bewilligung,jahr_projektende,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage,fund_type,currency,uri
Förderwerk Bremen GmbH,Bremen produktiv - integrativ Förderwerk / Treffpunkt Cafe und Nachbarschafts-hilfe im Familien- und Quartierszentrum Neue Vahr-Nord - Maulwürfe und Pausen- / Akti fü di V h,2008,2010,"981.344,09",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Förderwerk Bremen GmbH,Pflegediensthelfer/-in mit Schwerpunkt Behindertenhilfe,2009,2010,"239.640,35",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Förderwerk Bremen GmbH,"CHANCE III, sozial-integratives Modul",2008,2010,"584.933,23",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Förderwerk Bremerhaven GmbH,Bewegung in der Stadt - gegen Arbeitslosigkeit in Bremerhaven,2008,2010,"3.532.701,31",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Frauen und Gesundheit e.V.,Alphabetisierungskurs für Frauen mit Vorkenntnissen,2009,2009,"3.979,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Frauen und Gesundheit e.V.,Alphabetisierungskurs,2008,2008,,"3.839,00",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
"Frauen-, Erwerbs- und Ausbildungsverein Bremen e.V.","Lernen, Integration und Arbeit für Frauen (LIA)",2008,2010,"1.512.817,13",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Fraueninitiative quirl e.V.,Bremen produktiv - integrativ frauenbetriebe quirl / mac quirl 4 kids,2008,2010,"1.561.622,16",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Fraueninitiative quirl e.V.,Bremen produktiv - integrativ frauenbetriebe quirl / Q- NSTSTÜCK,2008,2010,"297.930,16",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Fraueninitiative quirl e.V.,Bremen produktiv - integrativ frauenbetriebe quirl / quirlig im quartier,2008,2010,"707.325,77",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Freundeskeis Haus der Familie e.V.,Aufbau eines Beratungsnetzes,2009,2009,"1.748,35",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Freundeskeis Haus der Familie e.V.,Streitschule,2009,2010,"9.409,82",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Freundeskeis Haus der Familie e.V.,PC-Kurs für Frauen,2009,2010,"2.349,17",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Freundeskeis Haus der Familie e.V.,"Elternbeteiligung in KiTa und Schule, Kurs für Migrantinnen",2009,2010,"6.044,06",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Freundeskeis Haus der Familie e.V.,Frauen finden ihren Weg in den Beruf,2009,2009,"8.562,66",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Freundeskeis Haus der Familie e.V.,Selbstbewusst kommunizieren,2008,2009,,"9.724,78",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Freundeskeis Haus der Familie e.V.,Deutschkurs für Jugendliche,2009,2010,"5.767,23",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Freundeskeis Haus der Familie e.V.,Lebensweltbezogene Sprachvermittlung,2008,2009,"2.868,69",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Friedehorst gGmbh,Schulverbund der Altenpflegeschulen Bremen,2008,2011,"726.457,64",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Gabriele Roffmann,Chance EDV,2009,2010,"10.000,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Gewerbliche Lehranstalten (Geschäftsführender Partner) Schulzentrum Carl-von-Ossietzky,Ausbildungspartnerschaft Kosmetik,2009,2012,"105.250,20",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
GPI Gesellschaft für Projektentwicklung und Innovation GmbH,BRELAG II,2008,2010,"816.626,87",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
GRI - Gröpelinger Recycling Initiative e.V.,Bremen produktiv - integrativ Gröpelinger Recycling Initiative / Kooperationsprojekt Kattenturmer-Mitte,2008,2010,"381.870,44",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
GRI - Gröpelinger Recycling Initiative e.V.,Bremen produktiv - integrativ Gröpelinger Recycling Initiative / Gröpelingen produktiv,2008,2010,"870.423,31",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
GRI - Gröpelinger Recycling Initiative e.V.,Bremen produktiv - integrativ Gröpelinger Recycling Initiative / Hemelingen produktiv,2008,2010,"889.326,20",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
HandWERK gGmbH Das Kompetenzzentrum der Handwerkskammer Bremen,Qualifizierung und Kompetenzentwicklung im Handwerk zum Einsatz innovativer Technologien zur CO2 -Reduktion im Gebäudebereich (KomET),2008,2010,"300.691,08",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
HandWERK gGmbH Das Kompetenzzentrum der Handwerkskammer Bremen,InTAKt - Innovative Techniken und alternative Antriebe in der Kraftfahrzeugtechnik,2008,2010,"368.036,23",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
HandWERK gGmbH Das Kompetenzzentrum der Handwerkskammer Bremen,InTAKt - Innovative Techniken und alternative Antriebe in der Kraftfahrzeugtechnik,2008,2010,"69.631,29",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
HandWERK gGmbH Das Kompetenzzentrum der Handwerkskammer Bremen,Kompetenzerwerb zur Betriebsübernahme/ -übergabe durch Qualifizierung im HandWERK,2008,2009,"51.430,15",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Handwerkskammer Bremen,Unterstützung der technologischen Lehrlingsunterweisung im Handwerk,2009,2012,"1.521.576,10",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Handycap Tenever,Grafische Gestaltung am PC,2008,2009,,"2.337,72",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Helene-Kaisen-Haus,Profil-Pass für türkischsprachige Frauen,2008,2009,"8.928,20",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Hochschule Bremen,Strategien für den technischen Wandel im Kfz-Handwerk,2008,2010,"526.658,06",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Hochschule Bremen,Qualitätssicherung in der Lebensmittelwirtschaft - Schwerpunkt Fischwirtschaft- Kurztitel: QSL,2008,2010,"533.750,71",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Hoppenbank e.V.,Koordination Ehrenamt,2008,2009,"9.540,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Hoppenbank e.V.,HIGELO (Hier geht`s los) Säule I: Der Mensch im Zentrum,2008,2009,"9.300,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Hoppenbank e.V.,"CHANCE III, Berufshilfe",2008,2010,"296.248,89",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Horst Supp,Transfercoaching,2009,2010,"8.804,74",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Human & Environment e. V.,PC-Kurs für afrikanische Frauen,2009,2009,,"2.122,87",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
IfW - Institut für Wissenstransfer an der Uni Bremen GmbH Lernortkooperation zur Integration von Arbeitslosen An- und,Ungelernten in die Metallbranche (AU - Metall),2008,2009,"253.923,55",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
IfW - Institut für Wissenstransfer an der Uni Bremen GmbH,Excellenzinitiative,2008,2011,"2.523.899,73",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
IfW - Institut für Wissenstransfer an der Uni Bremen GmbH,Excellenzinitiative,2008,2011,"1.041.702,40",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Ingrid Otten,Mutmachtraining,2008,2009,,"6.185,45",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Ingrid Otten,Neuorientierung ins Berufsleben,2009,2010,"6.630,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Institut f. Berufs- u. Sozialpädagogik e.V. - ibs,Bremen produktiv - integrativ Institut für Berufs- und Sozialpädagogik / Hemelingen produktiv,2008,2010,"1.302.854,74",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Institut f. Berufs- u. Sozialpädagogik e.V. - ibs,Berufsbegleitende Altenpflegeausbildung,2008,2011,"237.494,16",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Institut f. Berufs- u. Sozialpädagogik e.V. - ibs,Jugendberatung Süd,2008,2010,"161.359,35",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Institut f. Berufs- u. Sozialpädagogik e.V. - ibs,Altenpflegeausbildung,2008,2011,"960.287,19",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Institut für Arbeit e. V.,Förderung der ehrenamtlichen Arbeit,2008,2009,"9.919,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Interkulturelle Werkstatt Tenever e.V.,Job- und Qualifizierungsmarkt Tenever,2009,2010,"6.948,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Interkulturelle Werkstatt Tenever e.V.,Interkulturelles Lernen,2009,2009,"3.700,50",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Interkulturelle Werkstatt Tenever e.V.,Bremen produktiv-integrativ Interkulturelle Werkstatt Tenever / Tenever Sozialräumlich Produktiv,2009,2009,"1.219.477,34",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Johann Gossen,Bewerbungstraining und Sprachförderung für Aussiedler über 50 und jüdische Migranten,2008,2009,,"3.734,05",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Johann Gossen,Bewerbungstraining und Sprachförderung für langzeitarbeitslose Migranten,2009,2010,"3.838,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Junge Stadt gGmbH,Fit für den Schulabschluss - Erfolgreich in die Ausbildung,2009,2010,"6.512,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Junge Stadt gGmbH,Hausaufgaben-Fitness-Center,2008,2009,"6.336,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Justizvollzugsanstalt Bremen,"Chance III ""Einstieg in das Recycling""",2009,2010,"109.569,16",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Kultur- und Integrationszentrum e.V.,Steigerung der Lernmotivation Jugendlicher,2008,2009,"9.988,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Kultur- und Integrationszentrum e.V.,"Training zur persönlichen, kulturellen und beruflichen Orientierung",2009,2010,"8.918,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Kulturamt der Stadt Bremerhaven,MobiBau,2009,2010,"9.960,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Kulturamt der Stadt Bremerhaven,Werkstatt für kulturelle Veranstaltungen,2008,2009,"9.950,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Leben in Grohn e.V.,Alphabetisierungskurs,2008,2009,,"2.592,00",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Leben in Grohn e.V.,Ankommen in Deutschland,2008,2009,"7.558,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Leben in Grohn e.V.,Deutsch im Alltag - Niedrigschwelliger Alpha- und Sprachkurs,2009,2010,"3.860,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Leben in Grohn e.V.,Integrationslotse für Roma-Familien,2008,2009,,"1.560,00",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Leben in Grohn e.V.,Das Wir gewinnt - nachbarschaftliche Vernetzung in der Grohner Dühne,2008,2009,"6.420,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Leben in Grohn e.V.,Alphabetisierungskurs für Frauen,2008,2009,"4.930,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Leben in Grohn e.V.,Alphabetisierungs- und Deutschkurs für Romafrauen,2009,2010,"3.080,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Leben in Grohn e.V.,Café Zwirn - Nähwerkstatt,2009,2010,"3.673,99",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Leben in Grohn e.V.,Nähwerkstatt,2008,2008,,"2.800,65",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Leben in Grohn e.V.,Wie funktioniert Deutschland - Projekt zur Integrationsbegleitung,2009,2010,"6.591,96",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Leben in Grohn e.V.,Alphabetisierungskurs für Roma-Frauen,2009,2010,"3.074,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
ma-co maritimes competenzcentrum e.V.,PortWork - Beschäftigungssicherung in der Hafen- und Logistikwirtschaft,2008,2010,"547.764,35",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
ma-co maritimes competenzcentrum e.V.,PortWork - Beschäftigungssicherung in der Hafen- und Logistikwirtschaft,2008,2010,"981.492,65",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Mädchentreff Huchting e.V.,Juleika - Ausbildung für Mädchen,2009,2010,"3.870,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Mädchentreff Huchting e.V.,Unterstützung bei der Berufs- und Lebensplanung für Mädchen,2008,2009,"7.206,80",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
"Magistrat der Stadt Bremerhaven Amt für Jugend, Familie und Frauen",AvL / Aktivierung von Langzeitarbeitslosen im hauswirtschaftlichen Bereich,2008,2009,"6.969,50",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Mauern Öffnen e.V. c/o Herrn Hoff,"CHANCE III, Aussenwerkstatt",2008,2010,"230.001,09",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Medienwerkstatt Huchting e.V.,Rein in die Zukunft,2008,2009,"9.970,90",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Mütterzentrum Blockdiek e. V.,Computerkurse für Frauen in Blockdiek,2009,2010,"4.597,60",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Mütterzentrum Huchting e.V.,"MOBIL - Motivation, Orientierung, Beratung, Integration, Lebenslanges Lernen",2008,2009,"149.191,59",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Mütterzentrum Osterholz-Tenever e.V.,Vorkurs Altenhilfe für Migrantinnen,2009,2009,"6.000,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Mütterzentrum Osterholz-Tenever e.V.,Neztwerk Bildungszentrum Tenever,2009,2009,"2.800,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Mütterzentrum Osterholz-Tenever e.V.,Bremen produktiv-integrativ Mütterzentrum / Tenever,2008,2010,"1.057.453,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Mütterzentrum Osterholz-Tenever e.V.,Beratungsprojekt zur beruflichen Orientierung für Frauen im Bremer Osten,2008,2009,"192.895,65",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Mütterzentrum Osterholz-Tenever e.V.,Berufspraktikum für Frauen mit Migrationshintergrund,2008,2008,,"7.000,00",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Mütterzentrum Vahr e.V.,Ich möchte arbeiten: Von der Idee zur Umsetzung,2008,2010,"116.823,97",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
ÖkoNet Ökologie und Personalentwicklung gGmbH,"CHANCE III, Computer Recycling",2008,2010,"273.794,36",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
ÖkoNet Ökologie und Personalentwicklung gGmbH,Bremen produktiv - integrativ ÖkoNet und GRI / Verbund,2008,2010,"3.178.582,53",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
ÖkoNet Ökologie und Personalentwicklung gGmbH,Bremen produktiv - integrativ Gröpelinger Recycling Initiative und ÖkoNet / Verbund (integrativ),2008,2010,"337.156,44",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
"Paritätisches Bildungswerk, LV Bremen e.V.",Alles unter einem Dach,2009,2012,"24.005,32",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
"Paritätisches Bildungswerk, LV Bremen e.V.","Vielfalt in Arbeit - VIA, Teilprojekt 1: StellWERK",2008,2010,"3.548.256,19",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
"Paritätisches Bildungswerk, LV Bremen e.V.","Vielfalt in Abeit - VIA, Teilprojekt 2: Bremer Forum Diversity",2008,2010,"335.116,92",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
"Paritätisches Bildungswerk, LV Bremen e.V.",KinderpflegerIn/SozialassistentIn (ehemals proKiTa II),2008,2011,"1.266.284,54",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
"Paritätisches Bildungswerk, LV Bremen e.V.",Berufsbegleitende Ausbildung zur ErzieherIn/zum Erzieher,2008,2011,"868.308,15",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
ProJob Bremen gGmbH,Bremen produktiv-integrativ ProJob / Tagesjobprojekt (integrativ),2008,2010,"159.197,60",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
ProJob Bremen gGmbH,"Bremen produktiv-integrativ ProJob / Allmende, Netzwerk, Kunstbau, Cafeteria AFZ, Second-Hand-Shop (integrativ)",2008,2010,"992.059,64",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Quartier gGmbH,Bremen produktiv-integrativ Quartier / Kattenturm- Mitte/Upsign,2008,2010,"710.869,82",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Quartier gGmbH,Sonderqualifizierung Messeorganisation,2009,2009,"8.500,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Reinhard Büsching,Theorie und Praxis - In filmischer Arbeit Lösungen von Aufgaben finden,2009,2009,"10.000,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Reinhard Büsching,PLANFILM - Filmen und arbeiten nach Plan,2008,2009,,"10.000,00",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
RKW Bremen GmbH,"Gründerfabrik Bremen -Existenzgründungsberatung für Arbeitslose, Frauen und Personen mit Migrationshintergrund",2008,2010,"981.634,72",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Roling Disco GbR,Wohlers Eichen DJ School,2009,2009,"5.500,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Schulverein der Grundschule Andernacher Straße,Sprachkurs für Migrantinnen und Migranten,2009,2010,"2.700,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Schulverein der Schule am Pfälzer Weg,Frühstück in der Schule,2008,2009,"2.048,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Schulverein der Schule am Pfälzer Weg,Frühstück in der Schule II,2009,2009,"2.200,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Schulverein SZF e. V. z. Hd. Kh. Titkemeyer,Tauchprojekt zur Gewaltprävention für Jugendliche,2008,2008,,"7.870,00",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Selbsthilfe Sozialzentrum - SHSZ - e. V.,Bremen produktiv-integrativ Selbsthilfe Sozialzentrum / Integration und Diversität (Sonderfall: ESF-Mittel nur zur Strukturerhaltung),2008,2008,,"58.806,10",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Senator für Bildung und Wissenschaft,Verbesserung der Berufsfähigkeit von Jugendlichen und jungen Erwachsenen SoPu II,2008,2010,"123.763,26",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Senator für Bildung und Wissenschaft,ILA,2009,2012,"1.146.302,74",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Senator für Bildung und Wissenschaft,GIBO,2009,2012,"328.046,82",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Senator für Bildung und Wissenschaft,Entwicklung und Implementation eines Konzepts zur Förderung lernbenachteiligter Jugendlicher durch praxisorientiertes Lernen(FöJu),2009,2012,"1.453.290,62",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Senator für Bildung und Wissenschaft,Steuerungstechnische Basisqualifikation (SBQ),2008,2010,"631.566,21",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Senator für Justiz und Verfassung,"CHANCE III, Gesamtkoordination / DPA",2008,2010,"518.342,56",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Solidarische Hilfe e. V. Sozialberatung,Erwerbslosen- und Sozialberatung,2008,2010,"200.809,53",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Sozialpädagogiche Familien- und Lebenshilfe e.V.,"""FIZ"" - Fit in die Zukunft",2008,2009,"16.511,60",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Sozialpädagogiche Familien- und Lebenshilfe e.V.,LeBe - Lebensplanung und Berufswahl,2009,2010,"16.217,98",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
St. Petri Kinder- und Jugendhilfe,Kompetenztraining mit Pferden,2009,2010,"2.500,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
St. Petri Kinder- und Jugendhilfe,Streetwork,2009,2009,"5.000,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
St. Petri Kinder- und Jugendhilfe,Training zur Konfliktlösung für junge Menschen in Tenever,2009,2009,"2.998,74",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
St. Petri Kinder- und Jugendhilfe,Elterntraining zur Suchtmittelprävention,2009,2010,"4.524,99",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
St. Petri Kinder- und Jugendhilfe,Kreative Bewerbungen,2009,2010,"3.500,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
St. Petri Kinder- und Jugendhilfe,Know How für Azubi`s,2008,2009,"7.220,74",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
St. Petri Kinder- und Jugendhilfe,Elternschule Quintschlag,2008,2009,"9.972,76",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Stiftung Alten Eichen von 1596,Elternbildung Kopernikusquartier,2008,2009,"7.789,06",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
