"Name of Beneficiary","Project Name","Total budget (EUR)","Size of grants given (BGN)"
"""АТМИКС"" ООД","""Подготовка, внедряване и сертифициране на система по качество, съгласно БДС, EN, ISO 9001:2000 и инвистиционна подкрепа.""","90,180.00 ","44,188.20 "
"""БУЛЛИФТ"" ООД","""Покриване на международни стандарти за качество ISO 9001:2000""","88,355.00 ","44,177.50 "
"""ГОРЖО"" ЕООД","""Разработване и внедряване на система за управление на качеството ISO 9001:2000 в „Горжо” ЕООД""","86,954.00 ","43,477.00 "
"""ИНТЕР КОНСУЛТ ГРУП"" ООД","""Повишаване на конкурентните предимства на ""Интер Консулт Груп"" ООД чрез гарантиране на сигурността на информацията в организацията""","86,250.00 ","43,125.00 "
"""ВЕЛУР"" АД","""Повишаване конкурентоспособността на ""ВЕЛУР""-АД, гр. Ловеч чрез внедряване на система за управление на качеството по международния стандарт ISO 9001:2008""","86,650.00 ","42,458.50 "
"""БОЛКАН ФУДС"" ЕООД","""Покриване на стандарти ISO 9001:2008, 22000:2005 и 14001:2004 в “БОЛКАН ФУДС” ЕООД""","85,280.00 ","41,787.20 "
"""БАУМИТ БЪЛГАРИЯ"" ЕООД","""Повишаване на конкурентоспособността на „Баумит България” ЕООД посредством въвеждане на международно признати стандарти""","83,160.00 ","41,580.00 "
"""ЕСРИ БЪЛГАРИЯ"" ООД","""Изграждане на система за управление на информационната сигурност и сертифициране по международно признатия стандарт ISO 27001:2005""","82,384.00 ","41,192.00 "
"""КООПЕРАЦИЯ ""ХРИСТО НИКОВ""","""Въвеждане на система по околна среда по ISO 14001 и доставка на измервателна апаратура, свързана с нея""","81,000.00 ","40,500.00 "
"""ЗАХАРНИ ИЗДЕЛИЯ ВАРНА"" ООД","""Въвеждане на СУБХ, съгласно изискванията на ISO 22000:2005 в „ЗАХАРНИ ИЗДЕЛИЯ-ВАРНА” ООД""","81,100.00 ","40,500.00 "
"""МУР СТИВЪНС БУЛМАР"" ООД","""Управление на качеството на предлаганите услуги и информационна сигурност в Мур Стивънс Булмар ЕООД""","81,250.00 ","40,373.13 "
"""ГЕОПЛАН"" ЕООД","""Внедряване на съвременни практики за добро управление на качеството в ГЕОПЛАН ЕООД""","80,700.00 ","40,325.79 "
"""БЪРГЪР"" ООД","""Внедряване и сертифициране на Система за управление на безопасността на храните в дейността по производство и дистрибуция на готови храни на Бъргър  ООД""","77,130.00 ","38,565.00 "
"""ЕВРО ФЕРТ"" АД","""Изграждане на системи за управление на качеството съгласно ISO 9001:2008 и за управление на околната среда съгласно ISO 14001:2004""","71,400.00 ","35,700.00 "
"""ПОЛИМА ШУУС"" ООД","""Път към доволните клиенти""","68,000.00 ","34,000.00 "
"""КАРМЕЛА-2000"" ООД","""Въвеждане на стандарт за управление безопасността на храните IFS в Кармела 2000 ООД""","67,930.00 ","33,965.00 "
"""ИРИДА  ЕКСПРЕС"" ООД","""Внедряване и сертифициране на международно признат стандарт ISO 9001:2008 в „Ирида Експрес” ООД""","65,000.00 ","32,396.00 "
"""КЕИТ"" ООД","""Повишаване конкурентноспособността чрез въвеждане и сертифициране на система за управление на качеството и информационна сигурност""","65,000.00 ","31,616.00 "
"""ТРАДЕКС"" АД","""Повишаване на конкурентноспособността и качеството на продукта на „ТРАДЕКС” АД чрез внедряване на интегрирана система за управление на качеството и околната среда и подобряване на технологията по качествен контрол на продукта""","59,160.00 ","28,988.40 "
"""ПИМЕКС-96"" ООД","""ПИМЕКС – 96 ООД - достигане на по-високо ниво в производството на мебели, чрез внедряване и сертифициране на СУК""","58,000.00 ","28,634.60 "
