"Name of Beneficiary","Project Name","Total budget (EUR)","Size of grants given (BGN)"
"""НЕТКОМ КОМПЛЕКТ"" 2000 ЕООД","""Повишаване на конкурентноспособността и качеството на продукта на «НЕТКОМ КОМПЛЕКТ 2000» ЕООД""","22,180.00 ","10,868.20 "
"""ХАН КРУМ"" АД","""Повишаване конкурентните предимства на „Хан Крум” АД""","21,000.00 ","10,500.00 "
"""ЛОТ-КОНСУЛТ"" ЕООД","""Повишаване на конкурентноспособността на ""ЛОТ - КОНСУЛТ"" ЕООД чрез въвеждане на Система за управление на качеството, в съответствие с изискванията на Стандарта ISO 9001:2000""","21,000.00 ","10,500.00 "
"""СТРОБЕЛ"" ООД","""Постигане на устойчиво развитие в „СТРОБЕЛ” ООД, в съответствие с изискванията на стандарта ISO 9001:2000 и повишаване на конкурентноспособността на националния и международния пазар""","21,800.00 ","10,378.98 "
"""ЕЙДЖИ ПАКЕДЖИНГ"" ЕООД","""Разработване, внедряване и сертифициране на система за управление на качеството в съответствие с международен стандарт ISO 9001:2008""","20,400.00 ","10,200.00 "
"""ТИХ ТРУД"" ЕООД","""Международни стандарти за нови пазари""","20,350.00 ","10,175.00 "
"""СИНЕМАК"" ООД","""Повишаване конкурентоспособността на СИНЕМАК ООД чрез технологична модернизация и покриване на изискванията на международно признат стандарт ISO 9001:2008""","20,500.00 ","10,045.00 "
"""ГАМА-КОМЕРС"" ООД","""Въвеждане на ISO 9001:2000 в ""Гама Комерс"" ООД""","20,000.00 ","10,000.00 "
"""АКСЕНТ КОНСУЛТИНГ"" ЕООД","""Управление на информационната сигурност в Аксент консултинг ЕООД чрез сертификация  по ISO 27001"""," 61,100.00 "," 30,550.00 "
"""АМАМ БГ"" ООД","""Покриване на международните стандарти за управление ISO 9001 и ISO 27001, стъпка към повишаване конкурентоспособността на ""АМАМ БГ"" ООД"""," 124,280.00 "," 62,140.00 "
"""АРА СБХ ХУДОЖНИК"" ООД","""Повишаване на конкурентоспособността и подобряване на пазарните позиции на фирма АРА СБХ ХУДОЖНИК"" ООД чрез въвеждане на международно признати стандарти за управление БДС EN ISO 9001:2000 и БДС EN ISO 14001:2004 (EMAS)"""," 59,850.00 "," 29,889.09 "
"""БАНДА"" ООД","""Повишаване на конкурентноспособността чрез внедряване на система за управление на качеството и подобряване на технологията по управляване на процесите на „БАНДА” ООД"""," 21,525.00 "," 10,547.25 "
"""БОДРОСТ"" АД","Внедряване и сертификация на Система за управление на качеството, съгласно стандарт ISO 9001:2008 в ""БОДРОСТ"" АД"," 117,850.00 "," 57,746.50 "
"""БУЛТРАНС - 666"" ЕООД","""Повишаване на ефективността и конкурентоспособността на „ Бултранс- 666” чрез въвеждане на стандарт за управление на качеството БДС ЕN ISO9001:2000"""," 26,090.00 "," 13,045.00 "
"""ГЛЕНКОМ"" ЕООД","""Внедряване на СУК, съгласно изискванията на ISO 9001:2008 в ГЛЕНКОМ ЕООД"""," 56,450.00 "," 28,213.71 "
"""ДЕКОТЕКС"" АД","""Управление на информационната сигурност в Декотекс АД"""," 211,669.00 "," 95,653.22 "
"""ЗУУМ"" ООД","""Подобряване качеството на информационните услуги чрез въвеждане на системи за управление на качеството"""," 46,000.00 "," 22,540.00 "
"""ИМЕДЖИН"" ООД","""Повишаване на конкуреноспособността на ""Имеджин"" ООД чрез контрол на цветoвете и качеството"""," 72 100.00 "," 35 329.00 "
"""КАГАМИ"" ООД","""Покриване на международните стандарти за управление ISO 9001 и ISO 27001, стъпка към повишаване конкурентоспособността на ""КАГАМИ"" ООД"""," 110,480.00 "," 55,240.00 "
"""КАРО - 06"" ЕООД","""Въвеждане на система за управление на качеството БДС EN ISO 9001:2008 и на СЕ маркировка във фирма КАРО-06 ЕООД, с. Жълтуша"""," 29,800.00 "," 14,464.92 "
"""МИРАЖ ГРУП"" ООД","""Насърчаване на устойчивото развитие и конкурентните предимства на Мираж Груп ООД"""," 33 600.00 "," 16 800.00 "
"""НЕОСТИЛ БЪЛГАРИЯ"" ЕООД","""Подобрени пазарни позиции чрез управление на качеството"""," 62,400.00 "," 30,576.00 "
"""НОУБЪЛ ГРАФИКС"" ООД","""Сигурност на информацията – ново измерение на качеството в Ноубъл графикс ООД"""," 23,150.00 "," 11,343.50 "
"""РАНИНА"" ООД","""Консултации, оценка и инвестиции за покриване на международно признати стандарти"""," 89,150.00 "," 44,575.00 "
"""СИМЕНС ЕНТЪРПРАЙЗ КОМЮНИКЕЙШЪНС"" ЕООД","""Въвеждане и Сертифициране на Система за управление на информационната сигурност в Сименс Ентърпрайз Комюникейшънс ЕООД, в съответствие с изискванията на Стандарта ISO 27001:2005 и закупуване на необходимото оборудване, свързано с това, с цел повишаване на конкурентноспособността на дружеството"""," 68,400.00 "," 34,200.00 "
"""СИНОВЕЙТ"" ЕООД","""Сертифициране и внедряване на стандарт ISO 20252 в ""Синовейт"" ЕООД"""," 22 900.00 "," 11 450.00 "
"""СОК КАМЧИЯ"" ЕАД","""Устойчиво развитие и инвестиционна политика в хармония с природата"""," 26,350.00 "," 12,911.50 "
"""СТАНДАРД ПРОФИЛ БЪЛГАРИЯ"" АД","""Повишаване на конкурентноспособността на Стандард Профил България АД чрез въвеждане на международно признати стандарти"""," 23,920.00 "," 11,960.00 "
"""СТИЛПЛАСТ 2002"" ООД","""Въвеждане на ISO 9001:2000 за затвърждаване на конкурентните предимства на ""Стилпласт 2002"" ООД"""," 184,000.00 "," 90,160.00 "
"""ТРАНСКОНФЕКСИОН"" ООД","""Въвеждане на система за управление на качеството БДС EN ISO 9001:2008 и на СЕ маркировка"""," 29,400.00 "," 14,406.00 "
"""ФИЛ"" ООД","""Повишаване на конкурентоспособността на ""ФИЛ"" ООД чрез внедряване на интегрирана система за управление на качеството и информационната сигурност"""," 132,500.00 "," 66,250.00 "
"""ФОРТИС"" АД","""Внедряване и сертифициране на Система за управление на безопасността на храните в хотелска верига ФОРТИС (Парк хотел Кайлъка, Хотел Орбита Палас, Хотел Галерия)"""," 20 421.00 "," 10 210.50 "
"ЕТ ""РИТЪМ-ХРАНИМИР ЙОРДАНОВ""","""Насърчаване конкурентноспособността на ЕТ ""Ритъм-Хранимир Йорданов"""," 33,920.00 "," 16,960.00 "
