"NUMBER COM","Name of Beneficiary","Project Name","Total budget","Size of grants provided "
38,"""КОНСОРЦИУМ НАЦИОНАЛНА БАЗА ЗА ИНСТРУМЕНТИ"" ООД","„Инвестиции в разширяване производството на „Консорциум Национална База за Инструменти” ООД”","1,449,244.00","869,546.40"
39,"„КММ” АД","Технологична модернизация на „КММ” АД, чрез въвеждане на нови технологии в производствения процес""","939,553.64","563,732.18"
40,"""ПРУЖИНИ-ПЕНЕВ"" ООД","""Технологичното обновление – начин за завоюване на нови пазари за „Пружини Пенев” ООД""","1,099,634.00","659,780.00"
41,"""ГЕОТОТАЛ"" ООД","""Внедряване на съвременна тридименсионална технология и оборудване за лазерно сканиране с цел повишаване конкурентноспособността на геототал, модернизиране на производствените процеси и диверсификация на продукцията""","350,000.00","122,500.00"
42,"ЕТ ""СИМА-ЯКИМ МИХОВ""","""Разширяване на производството""","349,600.00","227,240.00"
43,"""НЕДЕВ""ООД","""Модернизация и развитие в Недев ООД""","320,800.00","208,520.00"
44,"ЕТ""СОФИ-В-ВАСИЛ ВАЧКОВ-МАРИЯ ВАЧКОВА""","""Усъвършенстване на технологичния процес във фирма “Софи-В”, чрез закупуване на ново оборудване""","214,300.00","139,295.00"
45,"""ИНХОМ – 98"" ООД","""Интензификация на технологични операции при производството на формови комплекти  за стъкларската индустрия""","1,029,011.00","504,215.39"
46,"""КАМ - 919"" ЕООД","""Повишаване на конкуретноспособността, посредством автоматизиране на процеса на производство и повишаване качеството на продукти с нарастващ пазарен потенциал /опаковки от 3 и 5 пластно велпапе/""","212,000.00","127,200.00"
47,"""ЕЛЕКТРОСТОМАНА 2004”  АД","""Технологична модернизация на фирма ЕЛЕКТРОСТОМАНА 2004 АД""","1,591,596.00","954,957.60"
48,"""АГРОМАХ"" ЕООД","""Повишаване на конкурентноспособността на Агромах ЕООД чрез закупуване на технологично оборудване за производство на метални конструкции""","1,924,827.00","962,413.50"
49,"""ТОРГОТЕРМ "" АД","""Повишаване на конкурентоспособността на “Торготерм” чрез въвеждането на „Компютъризиран технологичен комплекс за разкрояване и огъване на детайли от листова стомана""","1,957,930.00","978,965.00"
50,"""ХИГИЕННО-МЕДИЦИНСКА ИНДУСТРИЯ"" ЕООД","""Нови пазари и устойчиво развитие за „ХМИ”""","1,499,694.00","899,816.40"
51,"""ПЛАСТЕК"" ООД","""Стабилност,устойчивост и конкурентоспособност сега и в бъдеще""","1,241,450.00","806,942.50"
52,"“БИТОВА ЕЛЕКТРОНИКА” АД","""Технологична линия за производство на нови изолационни продукти""","2,948,570.00","996,306.81"
53,"""КОНТРАКС"" ЕАД","""Инвестиции за производство на софтуер и предоставяне на сервизни услуги за комплексни ИКТ системи по световни стандарти ""","877,800.00","526,680.00"
54,"""РАЛОМЕКС"" АД","""Технологична модернизация и въвеждане на иновативни процеси в „Раломекс” АД""","540,800.00","324,480.00"
55,"""МУЛТИТЕСТ"" ООД","Модернизация, усъвършенстване и разширяване на обхвата на производствения процес и развойната дейност в Мултитест ООД""","1,687,172.27","843,586.13"
56,"""НИК 47""  ЕООД","""Повишаване конкурентоспособността на НИК 47 ЕООД чрез модернизиране на производствения процес""","829,400.00","489,346.00"
57,"""ХИДРОПЛАСТФОРМ""ООД","""Технологична модернизация в „ХИДРОПЛАСТФОРМ” ООД""","131,930.00","85,754.50"
58,"""ДЕН"" ЕООД","""Инвестиционен проект за закупуване на резачна маса за праволинейно и неправолинейно рязане на стъкло""","123,640.00","61,758.18"
59,"""АРЕА"" ООД","„Въвеждане на високотехнологично оборудване в производствения процес”","647,000.00","420,000.00"
60,"""НИКИКА-90"" ООД","""Повишаване на конкурентоспособността на “НИКИКА-90” ООД""","288,000.00","187,200.00"
61,"""РУБЕЛЛА БЮТИ""АД","""Повишаване на конкурентоспособността на „РУБЕЛЛА БЮТИ""” АД чрез внедряване на модерно технологично оборудване","1,728,043.00","1,000,000.00"
62,"""МЕРИАМ-90"" АД","""Повишаване конкурентноспособността на фирмата чрез автоматизация и модернизация на технологичното оборудване с цел завоюване на стабилни пазарни позиции ""","432,550.00","281,157.50"
63,"""ТРАНЕМО - АМИЦБОЛ КОРПОРЕЙШЪН"" ООД","""Внедряване на ново технологично оборудване в „Транемо-Амицбол Корпорейшън” ООД""","173,476.00","104,085.60"
64,"""РИАЛ БЪЛГАРИЯ""  ООД","Повишаване на конкурентноспособността на Риал България ООД и подобряване на пазарните позиции чрез въвеждане в експлоатация на нови производствени мощности и увеличаване на обема произведена продукция""","251,500.00","163,475.00"
65,"""БРИСТ - ХМ"" АД","""Подкрепа за покупка на машини и строително-монтажни работи за техно логична модернизация н  „Брист-ХМ” АД –грБрезник""а","373,000.00","242,000.00"
66,"""БКК-95""ООД","""Повишаване на конкурентоспособността на “БКК-95” ООД""","1,576,000.00","945,600.00"
67,"""ЕТИКОМ"" ООД","""Повишаване конкурентноспособността на „ЕТИКОМ” ООД, чрез разширяване и разнообразяване на производствената дейност""","1,492,071.00","895,242.60"
68,"""ВАЛИЯН"" ООД","""Автоматизиране и разширяване на производството на бутиково и хотелско обзавеждане""","1,718,250.82","999,850.15"
69,"ЕТ""ИВИЛ-ИВАН КРЪСТЕВ""","""Модернизирани технологии за повече и по-качествени хляб и хлебни изделия""","850,880.00","553,072.00"
70,"""ИНТЕКСТ"" ООД","""Автоматизиране и разширяване на производството на врати и каси ""","1,008,412.97","605,047.78"
71,"""СОКОЛОВ"" ООД","""Технологична модернизация за производство на бетонови изделия""","1,595,660.00","857,078.55"
72,"""ХЕМ"" АД","""Разширяване на дейността на ""ХЕМ""АД чрез технологична модернизация""","1,509,662.40","905,797.44"
73,"„АКУМПЛАСТ” АД","""Повишаване ефективността в производствения процес на „АКУМПЛАСТ” АД""","597,000.00","388,050.00"
74,"""ПРОКС - 2"" ООД","""Разширяване на технологичните възможности, продуктовата гама и капацитета на „Прокс – 2” ООД""","401,900.00","261,235.00"
75,"""СПАРТАК"" АД","""Инсталация за прахово боядисване в Спартак АД""","334,800.00","166,009.96"
76,"""ДОРЕС 2003"" ЕООД","""Повишаване конкурентоспособността на „ДОРЕС 2003” ЕООД чрез технологична модернизация""","650,800.00","423,020.00"
77,"""ТАУРУС-93"" ЕООД","""Закупуване на прецизна машина за лазерно рязане и гравиране""","158,900.00","103,285.00"
78,"""ЕЛИТГРУП 2000"" ЕООД","""Технологична модернизация на дружеството при производството на пелети""","1,430,500.00","714,534.75"
79,"""МАЙКРОМЕТ"" ООД","""Повишаване на конкурентноспособността и ефективността на „Майкромет”ООД чрез модернизиране и обновление на производственото оборудване""","446,407.50","290,164.88"
80,"""БЕЛОПЕЙПЪР"" ЕООД","""Производство на нови продукти и увеличение  на производствения капацитет в Белопейпър ЕООД""","2,021,460.73","999,505.55"
81,"„ДАНИБЕКС” ООД","""Разширяване на продуктовата гама на „Данибекс” ООД чрез закупуване на ново оборудване""","204,808.00","122,884.80"
82,"""АКСИС ХОЛД""  ООД","„Повишаване на конкурентоспособността на Аксис холд” ООД чрез стартиране на производство на фотоволтаични модули”","4,824,440.00","1,000,000.00"
83,"""АЙ БИ ЕС-БЪЛГАРИЯ"" ЕООД","""Увеличение капацитета на центъра за предоставяне на дистанционни ИТ услуги, водещо до петкратно увеличение на приходите от износ""","1,028,037.00","668,224.05"
84,"""МЕХАНИКА-90"" ЕООД","""Технологична модернизация за конкурентно производство на “Механика-90” ЕООД""","164,125.00","82,062.50"
85,"""ИНТЕРГАМА"" ООД","Развитие на “Интергама” ООД чрез технологично обновление за разширяване на дейността","570,710.00","285,355.00"
86,"""ИНТЕХНА"" АД","Технологична модернизация за конкурентно и ефективно производство във фирма “ИНТЕХНА” АД","1,341,200.00","871,780.00"
87,"""САНЕЛ"" АД","""С конкурентни технологии – висок икономически и социален растеж""","994,500.00","596,700.00"
88,"""КАБИЕС-ДЕНТ СМТЛ"" ООД","""Повишаване на конкурентоспособността на ,,Кабиес дент СМТЛ” ООД чрез въвеждане в предприятието на модерна CAD/CAM технология""","170,997.76","111,148.54"
89,"ЕТ „НИК-ПЛАСТИК – ВАЛЯ ПЕТРОВА”","""Инвестиции в нови технологии за биоразградими пластмаси, разширение на производствената дейност и реорганизиране на производственият процес за  ЕТ “Ник пластик – Валя  Петрова""""","387,959.38","252,173.60"
90,"""БАРИ КБК ГРУП"" ООД","""Технологично обновление и модернизация в Обувна Фабрика Бари""","947,650.00","568,590.00"
91,"""ТОКАШ""ООД","""Подобряване на конкурентните предимства на фирмата""","395,501.70","257,076.10"
92,"""СИМЕКС"" ЕООД","""Технологична модернизация  в Симекс ЕООД – Криводол""","640,939.43","416,610.63"
93,"""ПРЕС ПРОДУКТ ЛАЙН"" ООД","""Повишаване на конкурентноспособността на “Прес Продукт Лайн” ООД чрез инвестиция във високотехнологично оборудване""","230,482.91","149,813.89"
94,"""АЛИАНС ПРИНТ"" ЕООД","Технологична модернизация на Алианс Принт ЕООД","2,707,045.00","999,982.00"
95,"""КЕДЪР-ЛЕС"" ЕООД","""Повишаване конкурентоспособността на „КЕДЪР - ЛЕС” ЕООД чрез технологична модернизация""","254,135.00","127,067.50"
96,"""КОЛОР ГЛАЗ"" ООД","""Технологична модернизация в Колор Глаз ООД""","1,386,493.20","693,246.00"
97,"„АКВА МЕТАЛ” ЕООД","""Повишаване на ефективността и разширяване на спектъра от предлагани услуги в съществуваща печатна база чрез въвеждане на нови производствени мощности""","377,461.66","245,350.08"
98,"""ВИТАВЕЛ"" АД","""Модернизация на оборудването и разширяване на продуктовата гама от опаковки на ВИТАВЕЛ АД""","2,299,978.00","999,826.12"
99,"""ХАРПЕЛ"" ООД","""Въвеждане на ново технологично оборудване в производствения процес""","1,116,278.97","725,581.33"
100,"""КОНЕКТА""  ООД",""" Повишаване на конкурентоспособността на „Конекта” ООД  чрез технологична модернизация” ""","388,200.00","232,920.00"
101,"""НОВА ПРИНТ"" АД","""Подобряване на пазарните позиции на “Нова Принт”АД чрез технологично обновление  на производственото оборудване""","1,630,729.00","978,437.40"
102,"СД ""АПКО-КОВАНДЖИЙСКИ И СИ-Е""","""Инвестиционна подкрепа за устойчиво развитие на СД „АПКО”""","1,031,000.00","670,150.00"
103,"""ЕЙДЖИ ПАКЕДЖИНГ"" ЕООД","""ТЕХНОЛОГИЧНА МОДЕРНИЗАЦИЯ НА“ЕЙДЖИ ПАКЕДЖИНГ”ЕООД""","1,275,725.00","829,221.25"
104,"""БЕРКО-90-БЕРКОВСКИ  С-ИЕ""СД","""Конкурентно развитие чрез финансова помощ от ЕС""","1,464,625.00","878,700.00"
