"Name of the Beneficiary","Name of the Operation","Name and Number of the Procedure","Project proposal No","Year of Allocation/ Year of Final Payment","Ammounts Committed (BGN)","Total Ammounts Paid at the End of the Operation (BGN)"
"Regional Inspectorate Environment and Water (RIEW) -Blagoevgrad","Inventarization of forests on the territory of reserves ""Sokolata"", ""Kongura"", ""Alibotush"" and ""Orelyak""","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-43-463",2009,"212 000,00",0
"RIEW - Ruse","Implementation of maintenance and restoration measures in reserve ""Srebarna"" through the removal of part of the reed from the lake","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-18-438",2009,"1 593 806,61",0
"RIEW - Ruse","Limiting the negative influence of invasive species and restoration og the natural habitats, through planting of local species in ""Srebarna""","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-19-439",2009,"1 364 165,50",0
"RIEW - Smolyan","Protection of the wild goat in the area of Gerzovitsa, Smolyan Municipality","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-8-428",2009,"244 833,52",0
"Rila National Park Directorate","Inventarization of forests in the reserve ""Rilomanastirska gora""","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-47-467",2009,"206 500,00",0
"Rila National Park Directorate","Update of Rila National Park Management Plan","BG161PO005/09/3.2/01/09 Update of Rila National Park Management Plan","DIR-59329-1-9",2010,"5 628 467, 56",0
"Rusenski lorn Nature Park Directorate","Lomovete - Center for protection of rocknesting birds","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-16-436",2009,"1135 832,24",0
"Sinite kamani Nature Park Directorate","Restoration of the population of the European ground squirrel (Spermophylus citillus) as a main element for the sustainment of favorable conservation status of priority grass habitats and the populations of predator birds in the Nature Park","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-38-458",2009,"470 400,00",0
"Strandzha Nature Park Directorate","Protection and restoration of rare and protected plant species on the territory of Nature Park Strandzha","BG161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgariaﾔ","58301-71-491",2009,"734 058,00",0
"Vitosha Nature Park Directorate","Implementation of priority activities included in the Nature Park Vitosha management plan","BG161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgariaﾔ","58301-33-453",2009,"1 280 197,55",0
"Vrachanski Balkan Nature Park Directorate","""Forest home"" establishment of a multifunctional center for key conservation activities on the territory of Nature Park Vrachanski Balkan","BG161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgariaﾔ","58301-65-485",2009,"500 179,02",0
"West Aegean Basin Directorate ﾖ Blagoevgrad Partners:Danube Region Basin
Directorate ﾖ Pleven; East Aegean Basin Directorate ﾖ Plovdiv; Black Sea Region Basin Directorate - Varna","Development of River Basin Management Plans","BG161PO005/08/1.20/01/06 Development of River Basin Management Plans","DIR 58126-1- 1",2009,"36 048 000,00",0
"Zlatni pyasatsi Nature Park
Directorate","Varna initiatives for protection, maintenance and restoration of Nature Park Zlatni Pyasatsi","BG161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgariaﾔ","58301-11-431",2009,"889 143,02",0
