"Name of the Beneficiary","Name of the Operation","Name and Number of the Procedure","Project proposal No","Year of Allocation/ Year of Final Payment","Ammounts Committed (BGN)","Total Ammounts Paid at the End of the Operation (BGN)"
"Municipality Kaloyanovo","Technical assistance for preparation of investment project (I) Completion the construction of the main collectors and mixed type of sewerage network for Kaloyanovo and Duvanliy (2) Constrution of WWTP for Kaloyanovo and Duvanliy, (3) Repair works and rehabilitation of water-supply network in Kaloyanovo village","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-102-102",2009,"1 018 500,00",0
"Municipality Karlovo","Preparation of investment project for improvement and development of the waste water infrastructure - Kalofer, Karlovo municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-115-115",2009,"559 300,00",0
"Municipality Karlovo","Preparation of investment project for improvement and development of the waste water infrastructure - Banya, Karlovo municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-116-116",2009,"580 800,00",0
"Municipality Karlovo","Preparation of investment project on constrution of regional construction and demolition waste treatment facilities in Karlovo municipality","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-29-333",2008,"332 500,00",0
"Municipality Kaspichan","Technical activities for integrated water solution for reconstruction and construction of water-supply and swewerage infrastructure and WWTP, Kaspichan, Kaspichan municipality, Shumen region","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-143-143",2009,"430 410,00",0
"Municipality Kaspichan","Elaboration of documentation on closure and recultivation of municipal urban waste landfill in Kaspichan village, Kaspichan municipality","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-54-358",2008,"303 840,00",0
"Municipality Kavarna","Development of wastewater infrastructure in Kavarna - Construction of main collector VI and sewerage network","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-37-228",2008,"11 000 339,78",0
"Municipality Kazanlak","Integrated water project ofKazalak municipality. Stage 1: Construction of sewerage network, reconstruction of water-supply and road network ofHristo Botev quarter and construction of sewage pumping station and pressure collector, Ovoshtnik village","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-68-259",2009,"6 128 896,00",0
"Municipality Kneja","Technical assistance for preparation of project for completion, reconstruction and rehabilitation of water-supply network and sewerage network, and construction of WWTP - Knezha","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-20-20",2009,"1 599 960,00",0
"Municipality Kneja","Preparation of project on waste management in Knezha municipality - Oryahovo region","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-24-328",2008,"599 880,00",0
"Municipality Kocherinovo","Construction of regional waste management center - Kocherinovo","B G161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-51-355",2008,"1 490 160,00",0
"Municipality Koprivshtitsa","Technical assistance for preparation of investment project for water-supply and swewerage network of Koprivshtitsa -update of the existing networks","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-180-180",2009,"903 588,00",0
"Municipality Kostinbrod","Integrated project: WWTP and completion and modernization of the sewarage and water-supply network and facilities -Kostinbrod","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-144-144",2009,"705 307,00",0
"Municipality Kotel","Technical assistance for preparation of investment projects on construction of waste treatment infrastructure in Kotel municipality","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-37-341",2008,"799 920,00",0
"Municipality Kozloduy","Technical assistance for preparation of integrated investment project in water sector - Kozloduy","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-91-91",2009,"1 383 480,00",0
"Municipality Kozloduy","Preparation of project on waste management in Kozloduy municipality - Oryahovo region","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-11-315",2008,"599 880,00",0
"Municipality Krichim","Completion, reconstruction and rehabilitation of water-supply network and sewerage network; Constrution ofWWTP -Krichim","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-83-83",2009,"931 200,00",0
"Municipality Krivodol","Technical assistance for preparation of integrated investment project in water sector in Krivodol","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-50-50",2009,"847 200,00",0
"Municipality Kubrat","Technical assistance for preparation of project for construction and reconstruction of inner water-supply network and waste water network in Kubrat; WWTP extension","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-131-131",2009,"3 684 000,00",0
"Municipality Kula","Development of working design for completion the construction of Kula urban sewerage - main collectors and street sections, reconstruction and rehabilitation of the water-supply network and development of WWTP preliminary design","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-59-59",2009,"552 600,00",0
"Municipality Kyustendil","Technical assistance for preparation of investment project for reconstruction of water -supply and sewerage network in Kyustendil. Construction of sewerage network in Lozno and Zhilentsi villages, Kyustendil municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-94-94",2009,"2 965 260,00",0
"Municipality Laki","Construction and reconstruction of inner water-supply and sewerage network in Laki. Construction of bringing collector and WWTP","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-8-8",2009,"355 920,00",0
"Municipality Laki","Integrated ""solid urban waste "" management of Laki area","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-7-311",2008,"131 850,00",0
"Municipality Lorn","Integrated project for water treatment and water management in Lorn","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-114-114",2009,"927 120,00",0
"Municipality Lorn","Improvement of waste management infrastructure in Lorn municipality","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-18-322",2008,"305 400,00",0
"Municipality Lovech","Technical assistance for preparation of investment project for improvement of water-supply network and sewerage network -Lovech","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-2-2",2008,"635 880,00",0
"Municipality Loznitsa","Construction of new sections to the existing sewerage network, reconstruction of water-supply network at streets intended for sewerage construction and reconstruction of WWTP, Loznitsa","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-22-213",2008,"20 148 589,66",0
"Municipality Lukovit","Technical assistance for preparation of investment project for WWTP and sewerage network in Lukovit","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-112-112",2009,"419 600,00",0
"Municipality Lyubimets","Feasibility study, preliminary and working design of WWTP, Lyubimets","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-45-45",2009,"368 800,00",0
"Municipality Madan","Technical assistance for preparation of investment project for improvement and development of drinking water and waste water infrastructure in Madan","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-4-4",2009,"746 400,00",0
"Municipality Madan","Technical assistance for preparation of investment project: Extension of regional solid urban waste landfill Madan and construction of preliminarily waste treatment sites in municipalities Madan, Zlatograd and Nedelino","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-26-330",2008,"739 070,00",0
"Municipality Maglizh","Development of infrastructure project ""Waste water treatment of Maglizh and Tulovo, Maglizh municipality ""","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-127- 127",2009,"812 720,00",0
"Municipality Malko Tarnovo","Technical assistance for preparation of investment project for constrution ofWWTP, completion of sewerage network and reconstruction of existing water-supply network in Malko Tarnovo","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-52-52",2009,"1179 692,00",0
"Municipality Maritsa","Technical assistance for preparation of integrated investment project for Skutare village","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-183-183",2009,"264 450,00",0
"Municipality Maritsa","Technical assistance for preparation of integrated investment project for Trud village","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-186-186",2009,"292 450,00",0
"Municipality Maritsa","Technical assistance for preparation of integrated investment project for Gr. Ignatievo","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-187-187",2009,"254 500,00",0
"Municipality Maritsa","Technical assistance for preparation of integrated investment project for Tsaratsovo village","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-188-188",2009,"254 500,00",0
"Municipality Maritsa","Restoration of habitats of European conservation importance on the territory ofMartitsa Municipality","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-61-481",2009,"681 647,51",0
"Municipality Medkovets","Technical assistance for preparation of investment project for constrution of sewerage network and WWTP. Completion, reconstruction and rehabilitation of water-supply network - Medkovets village.","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-81-81",2009,"1140 000,00",0
"Municipality Mezdra","Preservation and improvement oflskar river basin at the territory of Mezdra municipality. Subobject: Technical assistance for construction of separate sewerage infrastructure, reconstruction of water-supply network and construction of WWTP, Zverino village","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-98-98",2009,"361 200,00",0
"Municipality Miziya","Technical assistance for development and improvement of effective environmental infrastructure - Miziya","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-80-80",2009,"679 497,00",0
"Municipality Momchilgrad","Development and completion of drinking water and waste water infrastructure in Momchilgrad","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-177- 177",2009,"261 007,00",0
"Municipality Nedelino","Technical assistance for preparation of investment project on water-supply network reconstruction, constrution of sewerage network, bringing collectors and WWTP in Nedelino","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-58-58",2009,"1 043 020,00",0
"Municipality Nesebar","Development of2-phased investment project, preliminary and technical design for WWTP construction, Slanchev bryag-Nesebar","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-110-110",2009,"2 074 106,70",0
"Municipality Nikolaevo","Development of working design for UWWTP and separate drinking water and rain water sewerage, Nikolaevo","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-100-100",2009,"351 500,00",0
"Municipality Nikopol","Technical assistance for preparation of integrated investment project in water sector in Nikopol","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-104-104",2009,"1143 060,00",0
"Municipality Omurtag","Technical assistance for preparation of investment project for improvement and development of the water infrastructure in Omurtag, Targovishte region","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-85-85",2008,"959 520,00",0
"Municipality Omurtag","Technical assistance for preparation of investment project: Improvement of waste treatment infrastructure in Omurtag, Varbitsa and Kotel municipalities","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-36-340",2008,"719 520,00",0
"Municipality Opaka","Sewerage, reconstruction of water-supply, restoration of streets and WWTP, Opaka","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-70-70",2009,"801 655,20",0
"Municipality Oryahovo","Development of working design and documentation: I. Reconstruction of street water-supply AV-S/ network, facilities rehabilitation and construction of new W-S network; construction of sewerage network, bringing collectors and treatment plant in Oryahovo; II. Reconstruction of street WS network, facilities rehabilitation and construction of new W-S network and sewerage network, bringing collectors and treatment facilities in Selanovtsi village, Oryahovo municipality.","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-103-103",2009,"3 524 462,00",0
"Municipality Panagyurishte","Preparation of integrated investment project for water-supply and swearage network sector in Popintsi village, Panagyurishte municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-71-71",2009,"224 800,00",0
"Municipality Panagyurishte","Preparation of integrated investment project for water-supply and swearage sector in Panagyurishte, Panagyurishte municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-72-72",2009,"694 320,00",0
"Municipality Panagyurishte","Preparation of integrated investment project for Improvement and development of the infrastructure for waste treatment and waste management in Panagyurishte and Strelcha municipalities","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-48-352",2008,"1 383 000,00",0
"Municipality Parvomay","Development and improvement of water infrastructure (drinking and waste water) in Parvomay","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-132-132",2009,"882 400,00",0
"Municipality Parvomay","Technical assistance for preparation of investment project for mixed type of sewerage network (household and rain water), WWTP in Gradina village, Parvomay municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-133-133",2009,"735 369,36",0
"Municipality Pazardzhik","Technical assistance for preparation of integrated investment project in water sector in Aleko Konstantinovo village, Glavinitsa village, Pazardzhik municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-47-47",2009,"1125 480,00",0
"Municipality Pazardzhik","Technical assistance for preparation of investment project for completion, reconstruction and rehabilitation of water-supply and sewerage network, and construction of WWTP - Ognyanovo village and Hadzhievo village","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-151-151",2009,"515 800,00",0
"Municipality Pazardzhik","Development of working design for sewerage water-supply network and WWTP in Pishtigovo village and Chernogorovo village, Pazardzhik municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme","58131-160-160",2009,"692 420,00",0
"Municipality Pernik","Preparation of investment project ""Regional non-hazardous waste landfill - Pernik municipality ""","B G161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-31-335",2008,"674 400,00",0
"Municipality Pernik","Pernik sewerage","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-105-296",2008,"33 561 592,58",0
"Municipality Peshtera","Technical assistance for preparation of investment project for modernization of the integrated water cycle in Peshtera. Completion and rehabilitation of the existing water-supply and sewerage network and constrution ofWWTP in Peshtera","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-181-181",2009,"1 476 380,00",0
"Municipality Pirdop","Technical assistance on closure and recultivation of municipal urban landfill and implementation of morphological analysis of the urban waste located at ""Sulyumanitsa "", district of Pirdop","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-17-321",2008,"217 080,00",0
"Municipality Pomorie","Development of investment project for moderzation and design ofWWTP and supporting facilities, Pomorie","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-10-10",2009,"1 469 592,00",0
"Municipality Popovo","Imorovement of water-supply network and sewerage network in Popovo","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-97-97",2008,"215 499,60",0
"Municipality Popovo","Improvement of the water-supply and sewerage network of Popovo","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-40-231",2008,"10 017 512,00",0
"Municipality Primorsko","Sewerage of North, South territory and Uzundzhata, 2 stage - Sewage pumping station 1A, Sewage pumping station 2A, with collectors and pressure collectors to Kiten WWTP, Primorsko","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-86-277",2008,"19 172 935,00",0
"Municipality Provadiya","Waste management in Provadia region","B G161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-5-309",2008,"436 800,00",0
"Municipality Rakitovo","Technical assistance for preparation of investment project for WWTP and sewerage network in Rakitovo municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-75-75",2009,"514 260,00",0
"Municipality Razgrad","Reconstruction and modernization of WWTP in Razgrad, Razgrad municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-86-86",2009,"494 010,00",0
"Municipality Razgrad","Development of project on waste management on the terrirory of Razgrad region","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-30-334",2008,"1 547 880,00",0
"Municipality Razlog","Preparation of investment project on regional landfill and preliminarily waste treatment enterprise - Razlog","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-40-344",2008,"569 300,00",0
"Municipality Rila","Technical activities for reconstruction and completion of the construction of the water-supply and sewerage infrastructure in Rila, Rila municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-109-109",2009,"274 730,00",0
"Municipality Rodopi","Preparation of investment project for improvement and development of the waste water infrastructure in Parvenets village, Rodopi municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-149-149",2009,"339 600,00",0
"Municipality Rodopi","Preparation of investment project for improvement and development of the waste water infrastructure in Tsalapitsa village, Rodopi municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-150-150",2009,"570 000,00",0
"Municipality Rudozem","Technical assistance for integrated project: Bringing collectors of Rudozem WWTP -both directions - on the Chepinska and Elhovska rivers valley and construction of inner sewerage and water-supply network for their settlements","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-44-44",2009,"2 609 840,00",0
"Municipality Ruen","Improvement of Kamchiya river basin through implementation of integrated water project for Lyulyakovo village, Ruen municipality, Burgas region","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-87-278",2008,"40 582 610,00",0
"Municipality Ruse","Development of investment project for sewerage and WWTP construction and reconstruction of the water-supply network in Tetovo village","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-62-62",2009,"801 181",0
"Municipality Ruse","Technical assistance for preparation of investment project for constrution of sewerage network and WWTP in Marten","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-63-63",2009,"656 400,00",0
"Municipality Ruse","Preparation of investment project on closure and recultivation of existing urban waste landfill - Ruse municipality","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-12-316",2009,"1 053 858,40",0
"Municipality Sadovo","Technical assistance for preparation of project on construction of WWTP, engineer waste water infrastructure (household-faecal, rain and industrial) and reconstruction of the inner drinking water-supply network in Sadovo, Bolyartsi village, Cheshnegirovo village and Katunitsa village for financing under OPE","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-142-142",2009,"1 980 000,00",0
"Municipality Saedinenie","WWTP and facilities in Saedinenie, Plovdiv region","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-11-11",2009,"709 966,50",0
"Municipality Saedinenie","Closure and recultivation of municipal landfill and construction of transfer station in Saedinenie, Plovdiv region","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-8-312",2008,"215 064,00",0
"Municipality Sandanski","Technical assistance for preparation of investment project for WWTP in Sandanski","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-96-96",2009,"642 700,00",0
"Municipality Sandanski","Technical assistance for investment project on construction of second cell of the regional solid urban waste landfill -Snadanski, Strumyani and Kresna","B G161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-25-329",2008,"485 600,00",0
"Municipality Silistra","Feasibility study, expert analyses and development of investment project for construction of WWTP and partial construction and reconstruction of sewerage network ofAydemir and Kalipetrovo villages, Silistra municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-29-29",2008,"884 800,00",0
"Municipality Silistra","Feasibility study, expert analyses and development of infrastructure project for construction of WWTP, completion of construction of sewerage network and partial reconstruction of water-supply network, Silistra","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-30-30",2008,"1 028 400,00",0
"Municipality Simitli","Preparation for reconstruction and completion of the construction of water-supply and sewerage network ofKrupnik village and construction of WWTPs","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-168-168",2009,"1 324 795,00",0
"Municipality Simitli","Preparation for reconstruction and completion of the construction of water-supply and sewerage network of Simitli and construction ofWWTPs","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-169-169",2009,"2 268 960,00",0
"Municipality Sliven","Integrated project for Sliven water cycle -phase 2","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-82-273",2008,"44 090 349,05",0
"Municipality Slivo Pole","Preparation of investment project on closure and recultivation of existing municipal urban waste landfill in Slivo pole","B G161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-27-331",2009,"92 000,00",0
"Municipality Smolyan","Update and supplement of project on reconstruction and modernization of regional solid urban waste landfill - Teklen dol - Smolyan and regional waste management system","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-57-361",2009,"1 241 602,00",0
"Municipality Smyadovo","Technical assistance for preparation of investment project on closure, recultivation and monitoring of municipal urban waste landfill - Smyadovo","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-45-349",2008,"188 400,00",0
"Municipality Sofia","Preparation for implementation of investment project ﾗ construction of sewerage for Manastirski livadi - East (Triaditsa region), Krastova vada - East (Lozenets region) and Gardova glava (Vitosha region) in Sofia city","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-90-90",2008,"1 465 400,00",0
"Municipality Sofia","Preparation of investment project on closure and recultivation of urban waste landfill - Dolni Bobgov village","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-16-320",2008,"234 100,00",0
"Municipality Sofia","Construction of 4 main sewerage collectors on the territory ofOvcha Kupel","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-55-246",2008,"10 561 037,00",0
"Municipality Sopot","Sopot integrated water treatment through reconstruction and modernization of the sewerage networks and facilities, rehabilitation of the amortized water-supply network, construction of a new drinking water storage tank and main water-supply pipes, connected to the water-supply network of Sopot, construction of drinking water and waste water treatment plants and bringing collectors - stage 1. Sopot WWTP.","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-74-265",2009,"18 112 200,00",0
"Municipality Sredets","Reconstruction of water-supply network and completion of the construction of the sewerage network, Sredets","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-51-51",2009,"134 225,00",0
"Municipality Straldzha","Preparation of integrated investment project for WWTP construction, separate sewerage and water-supply network, Straldzha","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-27-27",2008,"2 405 300,00",0
"Municipality Straldzha","Preparation of integrated investment project for inquiry and completion of the construction of the sewerage and water-supply network in Zimnitsa, Straldzha municipality","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-28-28",2008,"745 900,00",0
"Municipality Suvorovo","Technical assistance for preparation of project for completion of sewerage network construction and rehabilitation of water-supply network - Suvorovo","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-12-12",2009,"1 064 400,00",0
"Municipality Svilengrad","Technical assistance for preparation of investment project ""To improve the living environment"" /Reconstruction of the water-supply and sewerage network in the city centre, construction of the water-supply and sewerage infrastructure in 307-313 and 39 quarters and WWTP","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-119-119",2009,"725 222,40",0
"Municipality Svilengrad","Restoration and protection of protected place ""Lozenski pat"" - wetland - and habitat of summer snowflake (Leucojum aestivum) and the sustainable use of the biological resources","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-46-466",2009,"527 784,07",0
"Municipality Svoge","Technical assistance for preparation of project for construction of sewerage and water-supply network - Svoge","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-21-21",2008,"916 000,00",0
"Municipality Targovishte","Technical assistance for investment project on integrated waste management and treatment - Targovishte and Popovo municipalities","BG161PO005/08/2.30/01/03 Technical assistance for development of investment projects under priority axis 2 of Operational Programme Environment 2007 - 2013","58231-3-307",2008,"1 079 010,00",0
"Municipality Targovishte","Rehabilitation of water-supply and sewerage networks of Targovishte","BG161PO005/08/1.10/01/02 Improvement and development of water and wastewater infrastructure","58111-18-209",2008,"16 009 043,00",0
"Municipality Teteven","Preparation of integrated investment project for improvement and development of drinking and waste water infrastructure in Teteven","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-60-60",2009,"3 177 000,00",0
