COOPERATION AREA,PRIORITY,ACRONYM,TITLE,Strategic?,BENEFICIARY (INSTITUTION),LP/P*,TOTAL ERDF APPROVED,AGE,XUNTA GALICIA,JUNTA CYL,JUNTA EXTREMADURA,JUNTA ANDALUCÍA,CCDR-NORTE,CCDR-CENTRO,CCDR-ALENTEJO,CCDR-ALGARVE,Fila resumen,Resultado
6 - Plurirregional,1,0001_IBERMOVILITAS_6_E,Cooperación para la eliminación de barreras a la movilidad transfronteriza,No,D.X. FORMACIÓN E COLOCACIÓN (GA),LP,"478,500.00",0,XUNTA GALICIA,JUNTA CYL,JUNTA EXTREMADURA,JUNTA ANDALUCIA,CCDR-NORTE,CCDR-CENTRO,CCDR-ALENTEJO,CCDR-ALGARVE,,SI
6 - Plurirregional,1,0001_IBERMOVILITAS_6_E,Cooperación para la eliminación de barreras a la movilidad transfronteriza,No,IEFP - Instituto do Emprego e Formação Profissional,P,"329,475.00",0,XUNTA GALICIA,JUNTA CYL,JUNTA EXTREMADURA,JUNTA ANDALUCIA,CCDR-NORTE,CCDR-CENTRO,CCDR-ALENTEJO,CCDR-ALGARVE,,SI
6 - Plurirregional,1,0001_IBERMOVILITAS_6_E,Cooperación para la eliminación de barreras a la movilidad transfronteriza,No,Consejeria de Igualdad y Empleo - Junta de Extremadura,P,"309,000.00",0,XUNTA GALICIA,JUNTA CYL,JUNTA EXTREMADURA,JUNTA ANDALUCIA,CCDR-NORTE,CCDR-CENTRO,CCDR-ALENTEJO,CCDR-ALGARVE,,SI
6 - Plurirregional,1,0001_IBERMOVILITAS_6_E,Cooperación para la eliminación de barreras a la movilidad transfronteriza,No,Consejería de Empleo- Servicio Andaluz de Empleo - Junta de Andalucía,P,"299,250.00",0,XUNTA GALICIA,JUNTA CYL,JUNTA EXTREMADURA,JUNTA ANDALUCIA,CCDR-NORTE,CCDR-CENTRO,CCDR-ALENTEJO,CCDR-ALGARVE,,SI
6 - Plurirregional,1,0001_IBERMOVILITAS_6_E,Cooperación para la eliminación de barreras a la movilidad transfronteriza,No,Servicio Público de Empleo de Castilla y León- ECYL-Junta de Castilla y León,P,"294,000.00",0,XUNTA GALICIA,JUNTA CYL,JUNTA EXTREMADURA,JUNTA ANDALUCIA,CCDR-NORTE,CCDR-CENTRO,CCDR-ALENTEJO,CCDR-ALGARVE,,SI
6 - Plurirregional,1,0001_IBERMOVILITAS_6_E,,No,,,"1,710,225.00",0,XUNTA GALICIA,JUNTA CYL,JUNTA EXTREMADURA,JUNTA ANDALUCIA,CCDR-NORTE,CCDR-CENTRO,CCDR-ALENTEJO,CCDR-ALGARVE,si,SI
4 - Centro-Extremadura-Alentejo,1,0002_BIOEXAL_4_E,Banco de tumores y ADN extremeño-alentejano,No,Servicio Extremeño de Salud,LP,"673,575.00",0,0,0,JUNTA EXTREMADURA,0,0,0,CCDR-ALENTEJO,0,,SI
4 - Centro-Extremadura-Alentejo,1,0002_BIOEXAL_4_E,Banco de tumores y ADN extremeño-alentejano,No,Administração Regional de Saúde do Alentejo,P,"221,250.00",0,0,0,JUNTA EXTREMADURA,0,0,0,CCDR-ALENTEJO,0,,SI
4 - Centro-Extremadura-Alentejo,1,0002_BIOEXAL_4_E,,No,,,"894,825.00",0,0,0,JUNTA EXTREMADURA,0,0,0,CCDR-ALENTEJO,0,si,SI
1 - Galicia-Norte de Portugal,1,0005_EIXO_1_E,Consolidación da rede de cidades do Eixo Atlântico,No,Eixo Atlántico do Noroeste Peninsular,LP,"800,000.00",AGE,0,0,0,0,CCDR-NORTE,0,0,0,,SI
