Denominazione del Beneficiario ,Titolo del Progetto,Comune,"Anno di 
assegnazione del 
contributo pubbico","Contributo Pubblico 
Assegnato 
(Fesr+Stato+Regione)"
Comune di Casola in Lunigiana,Adeguamento sismico della palestra comunale,Casola in Lunigiana,2008,299286.0
Comune di Camporgiano,"Adeguamento Sismico della Scuola Materna, 
Elementare e Media- 1° Lotto",Camporgiano,2008,598000.0
Comune di Fosdinovo,"Adeguamento sismico della scuola elementare in loc. 
Caniparola - 2° ed ultimo lotto",Fosdinovo,2008,97789.0
"Comune di Castelnuovo 
Garfagnana","Adeguamento sismico della Scuola Materna di Via 
Fabrizi",Casteluovo Garfagnana,2008,130650.0
Comune di Barberino Mugello,Adeguamento sismico scuola elementare “Galliano”,Barberino di Mugello,2008,234249.0
Comune di Borgo San Lorenzo,"Adeguamento sismico della Scuola Materna “Il 
Magnifico”ed.B loc. Panicaglia",Borgo San Lorenzo,2008,137384.0
Comune di Castel S. Niccolò,"Adeguamento sismico della Scuola Media in loc. 
Strada in Casentino - 2° ed ultimo  lotto",Castel S. Niccolò,2008,159459.0
Comune di Licciana Nardi,"Adeguamento sismico della scuola Materna ed  
Elementare loc. Monti-ultimo lotto",Licciana Nardi,2008,114140.0
Comune di Minucciano,"Adeguamento sismico della Scuola Media e materna 
loc. Gramolazzo, 1° lotto (edificio C e ballatoio)",Minucciano,2008,53878.0
