asse,beneficiario,operazione,anno,totale_importo_pubblico_approvato,erogazioni_al,fund_type,currency,uri
IV,Independent,IntegrAbile - STUDIO DI FATTIBILITÀ E PROGETTO ESECUTIVO DI UN’UNITÀ ABITATIVA DIMOSTRATIVA A CONTROLLO AMBIENTALE SECONDO LA FILOSOFIA DEL DESIGN FOR ALL. APPLICAZIONE DELLA DOMOTICA E DEGLI AUSILI TECNOLOGICI PER PERSONE DISABILI E ANZIANE VOLTI A FAVORIRNE UNA MAGGIORE AUTONOMIA (VITA INDIPENDENTE) E QUALITÀ DELLA VITA; REALIZZAZIONE DI UNA RETE SOCIO- ASSISTENZIALE DI SUPPORTO,2008,"160.004,98","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
IV,Ripartizione 21 Formazione professionale italiana - Abteilung 21 Italienische Berufsbildung,Studio di fattibilità e sperimentazione per la costituzione di un Centro di eccellenza per la gestione e trasformazione creativa dei conflitti,2008,"140.400,00","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
IV,Abteilung 22.0 - Landhaus 6,QM Network. Iniziatve di qualità per lo sviluppo organizzativo nella formazione professionale.,2008,"200.000,00","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
IV,Abteilung 22.0 - Landhaus 6,"OIKOS II Le scuole professionale di economia domestica della Provincia Autonoma di Bolzano Alto Adige come ""centri di competenze"" per la formazione della popolazione adulta e del capitale umana in una logica di life long e life wide learning.",2008,"200.000,00","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
IV,RSO,I.lab – Laboratori per l’innovazione della didattica per gli adulti,2008,"154.080,00","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
IV,Bezirksgemeinschaft Burggrafenamt - Comunità comprensoriale Burggraviato,"Il passagio tra scuola e mondo del lavoro: possibilità, opportunità e rischi",2008,"139.104,00","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
IV,TIS - Techno Innovation Alto Adige,Free Software Laboratories - Creazione di un modello per la fondazione di centri di eccellenza nel campo del Free Software.,2008,"64.680,00","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
IV,"Scuola professionale provinciale per il commercio, turismo e i servizi ""Luigi Einaudi"" di Bolzano - Landesberufsschule für Handel, Tourismus und Dienstleistungen ""L. Einaudi"" Bozen",PROSPETTIVE: ANALISI DEI FABBISOGNI PROFESSIONALI E FORMATIVI,2008,"172.100,00","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
IV,eurac,Green Jobs,2008,"178.800,00","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
IV,"Scuola professionale provinciale per l'artigianato, l'industria e il commercio ""Enrico Mattei"" di Bressanone - Landesberufsschule für Handwerk, Industrie und Handel ""Enrico Mattei"" Brixen",Rilevazione dei fabbisogni formativi individuali dei cittadini di lingua italiana resdidenti nei territori della val Pusteria e della val d'Isarco,2008,"104.500,00","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
IV,Ripartizione 21 Formazione professionale italiana - Abteilung 21 Italienische Berufsbildung,SINCRONO-FORMA 2 (livello applicativo): SINCRONIZZARE IL SISTEMA D’APPRENDIMENTO CON L’EMPOWERMENT DELLA PERSONA,2008,"186.000,00","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
V,Abteilung 22.0 - Landhaus 6,FUTRURE COPERNICUS. Scambio buone pratiche per una cooperazione transnazionle,2008,"200.000,00","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
V,Ripartizione 21 Formazione professionale italiana - Abteilung 21 Italienische Berufsbildung,Rete interregionale/transnazionale tra istituzioni pubbliche di utilizzo delle risorse professionali nella gestione e trasformazione dei conflitti,2008,"199.000,00","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
V,OEW - Organisation für Eine solidarische Welt,"Progetto pilota - Lavoro di integrazione interculturale sostenibile nel comune Iniziatia di collegamento in rete per promuovere l'integrazione interculturale, sociale ed economica e gli effetti sostenibili sull'occopabilità",2008,"106.214,87","0,00",ESF,EUR,http://www.provinz.bz.it/europa/esf/download/Elenco_beneficiari_FSE_20091806.pdf
