Assi,Beneficiario,Titolo Progetto,Localizzazione,Data prev. inizio progetto,Data prev. fine progetto,Importo impegnato,Importo totale erogato,Allegati
VI,CAMPANIA DIGITALE s.c.a.r.l.,Piano di comunicazione POR Campania FSE 2007-2013: avvio azioni per l'attuazione,NAPOLI,10/12/08, 10/12/2009,"625.298,00",,
IV,Scuola Media Statale G. Parini,Scuole Aperte 2008/2009 Laboratori Didattici Sperimentali,"Baiano, Mugnano del Casale, Sirignano (AV)",20/10/2008, 10/06/2009,"50.000,00",,
IV,I° Circolo Didattico di Castelvolturno (CE),"Scuole Aperte ""Il BEN-ESSERE nella scuola…… per la vita”",Castelvolturno (CE),1/10/08, 29/05/2009,"48.669,49",,
IV,"Istituto Tecnico Commerciale ""A. Gallo"" di Aversa (CE)", Scuole Aperte per la cittadinanza attiva e la legalità,"Aversa, Orta di Atella (CE)",1/1/08, 10/06/2009,50,,
IV,Scuola Media Statale, Scuole Aperte “Tutti A Scuola”,Teverola,20/10/2008, 10/06/2009,"50.000,00",,
IV,Scuola Media Statale “Luigi Caterino” di San Cipriano d’ Aversa (CE), “Insieme per crescere “ Scuole Aperte “,Regione Campania,10/10/08, 10/06/2009,"50.000,00",,
IV,Istituto Statale di Istruzione Superiore De Sanctis, SCUOLE APERTE,SANT'ANGELO DEI LOMBARDI - AV,1/4/09,,50,,
IV,Direzione Didattica Montoro Inferiore, SCUOLE APERTE,MONTORO INFERIORE - AV,1/4/09,,50,,
IV,Istituto Statale di Istruzione Superiore Ronca, SCUOLE APERTE,SOLOFRA - AV,1/4/07,,50,,
IV,Istituto Comprensivo Criscuoli, SCUOLE APERTE,SANT'ANGELO DEI LOMBARDI - AV,1/4/09,,50,,
IV,Istituto Comprensivo L.V. Cassitto, SCUOLE APERTE,BONITO - AV,1/4/09,,50,,
IV,Istituto Statale di Istruzione Superiore Pascucci, SCUOLE APERTE,PIETRADEFUSI - AV,1/4/09,,50,,
IV,Liceo Scientifico Mancini, SCUOLE APERTE,AVELLINO,1/4/09,,50,,
IV,II Circolo Didattico Martiri, SCUOLE APERTE,ARIANO IRPINO - AV,1/4/09,,50,,
IV,Istituto Comprensivo Pecorelli, SCUOLE APERTE,PAGO VALLE LAURO - AV,1/4/09,,50,,
IV,Istituto Statale di Istruzione Superiore Vanvitelli, SCUOLE APERTE,LIONI - AV,1/4/09,,45
IV,Istituto Comprensivo Calitri, SCUOLE APERTE,CALITRI - AV,1/4/09,,50
IV,Direzione Didattica Giovanni XXIII, SCUOLE APERTE,BAIANO - AV,1/4/09,,50
IV,Liceo Scientifico Rinaldo D'Aquino, SCUOLE APERTE,MONTELLA - AV,1/4/09,,20.52
IV,Istituto Comprensivo Padre Andrea Martini, SCUOLE APERTE,CASTEL BARONIA - AV,1/4/09,,50
IV,Istituto Comprensivo Aurigemma, SCUOLE APERTE,MONTEFORTE IRPINO - AV,1/4/09,,50
IV,Istituto Comprensivo Roccabascerana, SCUOLE APERTE,ROCCABASCERANA - AV,1/4/09,,49.817
IV,Istituto Comprensivo Pascoli, SCUOLE APERTE,FRIGENTO - AV,1/4/09,,50
IV,Scuola Media Statale Guido Dorso, SCUOLE APERTE,MERCOGLIANO - AV,1/4/09,,49.975
IV,Istituto Tecnico per Geometri D'Agostino, SCUOLE APERTE,AVELLINO,1/4/09,,50
IV,Istituto Professionale di Stato per i Servizi Alberghieri e della Ristorazione Manlio Rossi Doria, SCUOLE APERTE,AVELLINO,1/4/09,,50
IV,II Circolo Didattico Avellino, SCUOLE APERTE,AVELLINO,1/4/09,,50
IV,Scuola Media Statale F.Guarini, SCUOLE APERTE,SOLOFRA - AV,1/4/09,,50
IV,Istituto Comprensivo S. Guidi, SCUOLE APERTE,GUARDIA SANFRAMONDI - BN,1/4/09,,50
IV,Direzione Didattica S.Giorgio del Sannio, SCUOLE APERTE,SAN GIORGIO DEL SANNIO - BN,1/4/09,,50
IV,Istituto Comprensivo Siani, SCUOLE APERTE,SANT'ANGELO A CUPOLO - BN,1/4/09,,50
IV,Istituto Comprensivo Pontelandolfo, SCUOLE APERTE,PONTELANDOLFO - BN,1/4/08,,50
IV,Istituto Comprensivo Bartolomeo in Galdo, SCUOLE APERTE,SAN BARTOLOMEO IN GALDO - BN,1/4/09,,50
IV,Istituto Comprensivo A.Manzoni, SCUOLE APERTE,PADULI - BN,1/4/09,,50
IV,Istituto Tecnico per Geometri M.Carafa, SCUOLE APERTE,CERRETO SANNITA - BN,1/4/09,,50
IV,Istituto Comprensivo E.Falcetti, SCUOLE APERTE,APICE - BN,1/4/09,,50
IV,Scuola Media Statale G.B.Lucarelli, SCUOLE APERTE,BENEVENTO,1/4/09,,50
IV,Istituto Comprensivo P.Giannone, SCUOLE APERTE,BENEVENTO,1/4/09,,50
IV,Istituto Comprensivo E. De Filippo, SCUOLE APERTE,MORCONE - BN,1/4/08,,50
IV,Istituto Comprensivo Foglianise, SCUOLE APERTE,FOGLIANISE - BN,1/4/09,,50
IV,VII Circolo Didattico Benevento, SCUOLE APERTE,BENEVENTO,1/4/09,,50
IV,Istituto Professionale di Stato per l'Agricoltura e l'Ambiente M. Vetrone, SCUOLE APERTE,BENEVENTO,1/4/09,,50
IV,Istituto Comprensivo A.Fusco, SCUOLE APERTE,TORRECUSO - BN,1/4/09,,50
IV,Istituto Comprensivo San Pio da Pietrelcina, SCUOLE APERTE,PIETRELCINA - BN,1/4/09,,50
IV,Istituto Comprensivo Collesannita, SCUOLE APERTE,COLLESANNITA - BN,1/4/09,,50
IV,Istituto Comprensivo S. G. Bosco, SCUOLE APERTE,SAN SALVATORE TELESINO - BN,1/4/09,,50
IV,Direzione Didattica Padre Pio, SCUOLE APERTE,AIROLA - BN,1/4/09,,50
IV,Istituto Tecnico Commerciale G. Alberti, SCUOLE APERTE,BENEVENTO,1/4/09,,50
IV,Istituto Statale d'Istruzione Secondaria Superiore Quercia, SCUOLE APERTE,MARCIANISE - CE,1/4/09,,50
IV,Liceo statale Pizzi, SCUOLE APERTE,CAPUA - CE,1/4/09,,50
IV,Istituto Statale d'Istruzione Secondaria Superiore Piedimonte Matese, SCUOLE APERTE,PIEDIMONTE MATESE - CE,1/4/09,,50
IV,Direzione Didattica Don Milani, SCUOLE APERTE,PARETE - CE,1/4/09,,50
IV,Circolo Didattico San Marcellino, SCUOLE APERTE,SAN MARCELLINO - CE,1/4/09,,50
IV,Istituto Statale d'Istruzione Secondaria Castelvolturno, SCUOLE APERTE,CASTELVOLTURNO - CE,1/4/09,,50
IV,Direzione Didattica Cesa, SCUOLE APERTE,CESA - CE,1/4/09,,50
IV,Istituto Tecnico Commerciale De Franchis, SCUOLE APERTE,PIEDIMONTE MATESE - CE,1/4/09,,50
IV,Istituto Professionale per l'Industria e l'Artigianato Manfredi Bosco, SCUOLE APERTE,ALIFE - CE,1/4/09,,50
IV,Istituto Comprensivo Calderisi, SCUOLE APERTE,VILLA DI BRIANO - CE,1/4/09,,50
IV,Istituto Tecnico Industriale Volta, SCUOLE APERTE,AVERSA - CE,1/4/09,,50
IV,Scuola Media Statale S.G.Bosco, SCUOLE APERTE,TRENTOLA DUCENTA - CE,1/4/09,,50
IV,Istituto Comprensivo Ruggiero, SCUOLE APERTE,Caserta,1/4/09,,50
IV,Scuola Media Statale Mazzini, SCUOLE APERTE,SAN NICOLA LA STRADA - CE,1/4/09,,50
IV,Istituto Comprensivo Solimene, SCUOLE APERTE,SPARANISE - CE,1/4/09,,50
IV,Liceo Classico G. Bruno, SCUOLE APERTE,MADDALONI - CE,1/4/09,,50
IV,Istituto Tecnico Commerciale G. Carli, SCUOLE APERTE,CASAL DI PRINCIPE - CE,1/4/09,,50
IV,Istituto Statale d'Istruzione Secondaria Superiore Marconi, SCUOLE APERTE,VAIRANO SCALO,1/4/09,,50
IV,Direzione Didattica di Cellole, SCUOLE APERTE,CELLOLE - CE,1/4/09,,50
IV,Istituto Tecnico Commerciale Federico II, SCUOLE APERTE,CAPUA - CE,1/4/09,,50
IV,Istituto Comprensivo Rocco, SCUOLE APERTE,SANT'ARPINO - CE,1/4/09,,50
IV,Istituto Comprensivo Galileo Galilei, SCUOLE APERTE,ARIENZO - CE,1/4/09,,50
IV,Istituto Tecnico Industriale Ferraris, SCUOLE APERTE,MARCIANISE - CE,1/4/09,,50
IV,Scuola Media Statale Giovanni XXIII, SCUOLE APERTE,PIETRAMELARA - CE,1/4/09,,50
IV,Direzione Didattica 1°C, SCUOLE APERTE,MARCIANISE - CE,1/4/09,,50
IV,Direzione Didattica 3° C, SCUOLE APERTE,MONDRAGONE - CE,1/4/09,,50
IV,Istituto Statale d'Istruzione Secondaria Superiore Foscolo, SCUOLE APERTE,TEANO - CE,1/4/09,,50
IV,Istituto Tecnico Commerciale C. Pavese, SCUOLE APERTE,CASERTA,1/4/09,,50
IV,Istituto Professionale per l'Industria e l'Artigianato Righi, SCUOLE APERTE,SANTA MARIA CAPUA VETERE - CE,1/4/09,,50
