nome_beneficiari,denominazione_operazione,codice_operazione,tipo_operazione,anno,importo_impegnato,importo_pagato,fund_type,currency,uri
9000 UNO,Sicurezza (R.L.S.),102944,Progetto formativo,2008,"6.089,85","2.882,08",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,Imprenditrici in formazione,103496,Progetto formativo,2008,"12.382,51","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,MICROIMPRESE in formazione,104146,Progetto formativo,2008,"13.262,72","579,60",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,CONCETTI E UTILIZZO DI RDBMS per gli operatori di 9000UNO,111682,Progetto formativo,2008,"3.166,64","3.166,64",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,LA QUALITÀ AMBIENTALE NELLE STRUTTURE TURISTICO-RICETTIVE,111746,Progetto formativo,2008,"9.042,37","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,EFFICIENZA ENERGETICA IN EDILIZIA,111769,Progetto formativo,2008,"7.396,80","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,Tecnico dei servizi alle imprese: amministrazione e controllo di gestione,114718,Progetto formativo,2009,"64.132,80","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,MARKETING TURISTICO,116257,Progetto formativo,2009,"40.500,00","1.306,20",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,OPERATORE di AMMINISTRAZIONE,116260,Progetto formativo,2009,"50.629,20","1.180,80",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,Operatore portatori handicap (Assistente alla COMUNICAZIONE),118428,Progetto formativo,2009,"50.629,20","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,PARRUCCHIERI/ESTETISTE - I° Annulaità - secondo Livello,121500,Progetto formativo,2008,"13.762,00","1.809,54",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,LEGNO E ARREDAMENTO,122688,Progetto formativo,2008,"12.762,00","677,64",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
A.C.S.I.M.,Lingua italiana per cittadini stranieri,102881,Progetto formativo,2008,"22.680,00","11.675,87",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
A.L.P.HA. Associazione Libera Portatori Handicap,CORSO DI AGGIORNAMENTO PER EDUCATORI PSICHIATRICI,102918,Progetto formativo,2008,"6.518,00","113,75",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
A.P.I. Associazione Piccole e Medie Industrie della Provincia di Pesaro- Urbino,TECNICO SUPERIORE PER IL DISEGNO E LA PROGETTAZIONE INDUSTRIALE,101920,Progetto formativo,2008,"96.000,85","20.310,47",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
A.P.I. Associazione Piccole e Medie Industrie della Provincia di Pesaro- Urbino,PROGETTO QUADRO: PROGETTAZIONE CAD 3D PER I SISTEMI E L’EFFICIENZA ENERGETICA,102985,Progetto formativo,2008,"35.640,00","12.073,84",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
A.P.I. Associazione Piccole e Medie Industrie della Provincia di Pesaro- Urbino,PROGETTO QUADRO PER IL COMMERCIO ESTERO,102992,Progetto formativo,2008,"34.109,00","5.129,53",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Accademia Belle Arti,Web Designer,114575,Progetto formativo,2009,"64.128,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ACEM SRL,INNOVAZIONE DI PROCESSO E DI PRODOTTO,111640,Progetto formativo,2008,"7.570,00","130,72",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agenzia per l'innovazione nell'amministrazione e nei servizi pubblici locali,Addetto alla lavorazione e restauro (Oggettistica e lavorazione artistica del legno),102831,Progetto formativo,2008,"32.061,93","30.305,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agorà s.c.a.r.l.,Management nell'artigianato in rosa,104778,Progetto formativo,2008,"14.136,70","3.143,77",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agorà s.c.a.r.l.,Le energie alternative: Formazione per esperti in progettazione e istallazione di impianti fotovoltaici,109179,Progetto formativo,2008,"6.650,29","2.078,32",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agorà s.c.a.r.l.,English for European project assistants,109757,Progetto formativo,2008,"7.479,48","5.979,15",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agorà s.c.a.r.l.,Esperto in bioturismo e sistemi turistici locali,113547,Progetto formativo,2009,"72.540,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agorà s.c.a.r.l.,Apprendistato settore tessile - calzature,113875,Progetto formativo,2008,"15.307,20","8.191,70",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agorà s.c.a.r.l.,Apprendistato settore Tessile/Abbigliamento - Cazaturiero II° Livello,121077,Progetto formativo,2008,"15.307,80","2.729,59",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
AGROALIMENTARE F.LLI MONALDI S.P.A.,"TECNICHE DI ORGANIZZAZIONE, GESTIONE, DIREZIONE AZIENDALE, COMMERCIALE (SVILUPPO PROFESSIONALE/MANAGERIALE DELLE RISORSE UMANE INTERNE)",114914,Progetto formativo,2009,"8.222,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Anek Lines Italia s.r.l.,RELAZIONI CON L'ESTERNO (L’IMMAGINE AZIENDALE E LA RELAZIONE CON IL CLIENTE ),114871,Progetto formativo,2009,"13.490,00","3.167,45",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,Lingua estera (Business English),108328,Progetto formativo,2008,"9.447,52","2.152,25",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,Marketing e Distribuzione Commerciale (anche per l'Export),110751,Progetto formativo,2008,"5.399,39","1.454,75",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,Lingua estera (Business English),110987,Progetto formativo,2008,"9.449,56","1.928,78",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,LINGUA ESTERA (INGLESE COMMERCIALE),111605,Progetto formativo,2008,"2.696,36","629,40",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,Lingua estera (inglese),114574,Progetto formativo,2009,"9.449,69","1.535,25",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,Lingua estera (spagnolo),114582,Progetto formativo,2009,"9.449,69","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,TECNICHE DI ORGANIZZAZIONE/GESTIONE/DIRE ZIONE AZIENDALE/COMMERCIALE,114583,Progetto formativo,2009,"5.669,23","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,TECNICHE DI ORGANIZZAZIONE/GESTIONE/DIRE ZIONE AZIENDALE/COMMERCIALE (internazionalizzazione per PMI),114837,Progetto formativo,2009,"7.829,72","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,CONTROLLO QUALITA',115292,Progetto formativo,2008,"5.013,94","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
AR.CO. snc,Working In English - AR.CO.,112121,Progetto formativo,2008,"4.725,99","3.605,16",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ARCHE' SOCIETÀ COOPERATIVA SOCIALE ONLUS,Imprenditori sociali: costruire una squadra per il miglioramento continuo,111523,Progetto formativo,2008,"9.281,25","8.391,71",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Archimede srl,INTERIOR NAVAL DESIGNER (YACHT MIND),116479,Progetto formativo,2009,"60.750,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ASET S.p.A.,CORSO DI AGGIORNAMENTO PER ADDETTI AL FRONT - OFFICE,102500,Progetto formativo,2008,"4.950,00","4.950,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ASS. COOP. Società Cooperativa Sociale Onlus,"""PIANO FORMATIVO AZIENDALE ASS.COOP.SOC.COOP.ONLUS"" PRIMA EDIZIONE",111721,Progetto formativo,2008,"7.925,00","2.035,58",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ASS. COOP. Società Cooperativa Sociale Onlus,"""PIANO FORMATIVO AZIENDALE ASS.COOP.SOC.COOP.ONLUS"" SECONDA EDIZIONE",111817,Progetto formativo,2008,"7.925,00","1.955,32",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Assindustria Consulting Srl,Corso di lingua spagnola,102977,Progetto formativo,2008,"14.250,00","2.135,45",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Assindustria Consulting Srl,La gestione del gruppo di lavoro: dalla comunicazione all'efficacia del team,103042,Progetto formativo,2008,"14.250,00","2.460,75",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Assindustria Consulting Srl,Tecnico in amministrazione e controllo di gestione,103160,Progetto formativo,2008,"55.970,00","12.175,23",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ASSISTEDIL SCUOLA EDILE,Corso apprendistato EDILI Jesi I anno I tranche,111766,Progetto formativo,2008,"17.782,40","17.782,40",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ASSISTEDIL SCUOLA EDILE,Corso apprendistato EDILI Ancona I anno I tranche,112780,Progetto formativo,2008,"18.532,40","18.532,40",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ASSISTEDIL SCUOLA EDILE,OPERAIO EDILE,116320,Progetto formativo,2009,"40.500,00","6.335,75",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ASSISTEDIL SCUOLA EDILE,OPERAIO EDILE,118416,Progetto formativo,2009,"40.500,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ASSISTEDIL SCUOLA EDILE,Corso apprendistato EDILI Ancona I anno II tranche,119544,Progetto formativo,2008,"17.024,24","15.817,81",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ASSISTEDIL SCUOLA EDILE,Corso apprendistato EDILI Jesi I anno II tranche,120362,Progetto formativo,2008,"17.791,28","16.573,04",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ASSISTEDIL SCUOLA EDILE,Corso apprendistato EDILI Jesi I anno III tranche,122788,Progetto formativo,2008,"16.802,72","754,44",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ASSISTEDIL SCUOLA EDILE,Corso apprendistato EDILI Ancona I anno III tranche,122791,Progetto formativo,2008,"17.055,68","753,95",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
"Associazione Culturale ""Centro Culturale Europeo""",English 4U- 2009,120203,Progetto formativo,2009,"53.366,60","878,47",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione Culturale Hamlet,OPERATORE DEL TURISMO E DELLO SPETTACOLO (ANIMATORE TURISTICO),102632,Progetto formativo,2008,"84.169,80","59.635,76",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione dei produttori piccola pesca - Organizzazione dei produttori Ancona - Società cooperativa,IL PESCATORE COME IMPRENDITORE TURISTICO,115156,Progetto formativo,2009,"8.985,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione FCS,Tecniche e Strumenti per il Lavoro della Segretaria e dell'Assistente di Direzione,103203,Progetto formativo,2008,"13.984,24","4.202,07",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione FCS,Tecniche di promozione e valorizzazione del prodotto biologico e tipico marchigiano,103226,Progetto formativo,2008,"13.373,10","12.014,55",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione FCS,Organizzazione e Comunicazione per il terzo settore,103250,Progetto formativo,2008,"9.627,93","379,99",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione FCS,"Sicurezza sui luoghi di Lavoro base, industria e settore edile",103265,Progetto formativo,2008,"11.381,52","222,36",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione FCS,Inglese Elementare livello A1 Breakthrough,109974,Progetto formativo,2008,"7.303,58","4.480,85",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione Terre dell'Adriatico,Tutela ambientale,109537,Progetto formativo,2008,"10.944,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione Terre dell'Adriatico,GESTIONE ENERGIE - AGROENERGIE,110140,Progetto formativo,2008,"9.120,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione Terre dell'Adriatico,OPERATORE PRODOTTI TIPICI E TRADIZIONI RURALI,116350,Progetto formativo,2009,"32.500,00","530,05",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione Terre dell'Adriatico,Operatore della salute e del benessere,116516,Progetto formativo,2009,"32.494,08","537,88",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione Terre dell'Adriatico,PROGETTISTA IMPIANTI IDRAULICI/ TERMOIDRAULICI,116520,Progetto formativo,2009,"32.494,08","562,55",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Associazione Terre dell'Adriatico,OPERATORE AGRITURISMO,116525,Progetto formativo,2009,"48.716,00","614,45",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Automa Srl,INFORMATICA GESTIONALE (Teconologie di comunicazione radio per l'interconnessione di dispositivi di controllo ambientale e domestico),109730,Progetto formativo,2008,"6.299,13","5.112,26",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Automa Srl,INFORMATICA GESTIONALE (Interazioni elettromagnetiche e problematiche compatibilistiche in sistemi wireless per comunicazioni indoor),111668,Progetto formativo,2008,"3.779,48","3.090,51",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Autoservizi Portesi Srl,TF1.1.1.1 TECNICHE GESTIONE TRASPORTO,115059,Progetto formativo,2009,"4.503,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
B.I.C. Omega srl,TECNICO SUPERIORE DI VEICOLI PER LA MOBILITA' SOSTENIBILE,101503,Progetto formativo,2008,"102.450,38","63.139,73",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
B.I.C. Omega srl,TECNICO SUPERIORE PER IL DISEGNO E LA PROGETTAZIONE INDUSTRIALE SETTORE NAVALE,101683,Progetto formativo,2008,"102.630,73","56.602,03",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
B.I.C. Omega srl,PROGETTISTA DELLA PRODUZIONE,115127,Progetto formativo,2009,"71.474,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
B.I.C. Omega srl,OPERATORE MACCHINE UTENSILI (Operatore Conduzione macchine a Controllo Numerico),116581,Progetto formativo,2009,"49.857,65","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BAIONI CRUSHING PLANTS S.P.A. UNIPERSONALE,La conoscenza della Lingua Inglese come elemento competitivo per fronteggiare la crisi,121526,Progetto formativo,2008,"6.064,25","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Baldi Carni srl,TECNICHE DI ORGANIZZAZIONE GESTIONE DIREZIONE AZIENDALE COMMERCIALE,111018,Progetto formativo,2008,"6.555,20","6.555,20",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Barberini Allestimenti s.r.l.,TECNICHE DI VENDITA/DISTRIBUZIONE,103151,Progetto formativo,2008,"13.573,25","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BC DATA SERVICE di Barbara Collina,La managerialità basata sulla comunicazione,105135,Progetto formativo,2008,"13.860,00","575,77",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BERLONI SPA,Progetto Quadro Aziendale per l’aggiornamento delle competenze commerciali e l’integrazione dei processi aziendali (Interventi per l’adattabilità dei lavoratori ai nuovi assetti organizzativi dei processi),103107,Progetto formativo,2008,"38.592,00","109,40",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BFTM,INNOVAZIONE DI PROCESSO E DI PRODOTTO,109394,Progetto formativo,2008,"5.039,00","1.886,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BIESSE S.p.A.,Riqualificazione per occupati: organizzazione aziendale,115387,Progetto formativo,2008,"29.611,88","18.079,27",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BIESSE S.p.A.,Riqualificazione per occupati: lavorare per processi,117611,Progetto formativo,2008,"28.800,00","22.521,37",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BIESSE S.p.A.,I processi aziendali,120873,Progetto formativo,2008,"98.001,70","19.517,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BIT s.r.l.,TECNICO SUPERIORE PER I SISTEMI E LE TECNOLOGIE INFORMATICHE,101904,Progetto formativo,2008,"99.701,58","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BIT s.r.l.,"Imprenditoria (agricola, artigiana, commerciale, servizi, turistica) - Programmare e gestire la crescita d'impresa",104056,Progetto formativo,2008,"12.902,70","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BIT s.r.l.,TECNICO COMUNICAZIONE E PROMOZIONE DEL PATRIMONIO CULTURALE (attraverso tecnologie innovative),114744,Progetto formativo,2009,"64.160,40","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BIT s.r.l.,OPERATORE CAD/CAM E AUTOMAZIONE INDUSTRIALE,116535,Progetto formativo,2009,"40.683,36","3.918,30",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BIT s.r.l.,OPERATORE WEB MARKETING,116590,Progetto formativo,2009,"50.770,18","416,64",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BIT s.r.l.,TECNICO PROGETTAZIONE SITI WEB,116683,Progetto formativo,2009,"30.452,40","1.136,64",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BIT s.r.l.,COLLABORATORE AMMINISTRATIVO,118451,Progetto formativo,2009,"50.834,40","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BOX MARCHE S.P.A.,L'INGLESE ARMA VINCENTE NEL MERCATO INTERNAZIONALE DEL,112101,Progetto formativo,2008,"8.025,00","7.799,72",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
BRUNO BUCCIARELLI,PACKAGING “TECNICHE DI GESTIONE AZIENDALE TE 5.2.1.1. (B/AI),114872,Progetto formativo,2009,"4.300,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C. F. P. Istituto Canossiane,Italiano per stranieri,102994,Progetto formativo,2008,"23.000,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C.A.T. s.r.l.,COMUNICAZIONE D'IMPRESA: SELF EMPOWERMENT,104187,Progetto formativo,2008,"12.060,00","436,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C.A.T. s.r.l.,Manager Turistico(Aggiornamento sulla valorizzazione e promozione del territorio),115066,Progetto formativo,2009,"13.364,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C.F.M. Centro Formazione Marche s.c. a. r.l.,IMPRENDITORIA (SVILUPPO DELLE COMPETENZE IMPRENDITORIALI FEMMINILI NEL SETTORE DEL TURISMO),103456,Progetto formativo,2008,"14.243,20","1.564,68",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C.F.M. Centro Formazione Marche s.c. a. r.l.,"IL VALORE DONNA NELLA CULTURA D’IMPRESA: LEADERSHIP FEMMINILE, CHANGE MANAGEMENT E INNOVAZIONE",104267,Progetto formativo,2008,"13.996,00","491,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C.F.M. Centro Formazione Marche s.c. a. r.l.,LA CERTIFICAZIONE AMBIENTALE NELLE STRUTTURE TURISTICO- RICETTIVE (LEGISLAZIONE AMBIENTALE),108334,Progetto formativo,2008,"14.204,88","300,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C.F.M. Centro Formazione Marche s.c. a. r.l.,Esperto nei processi di sviluppo della competitività delle PMI sui mercati internazionali (SETTORE SERVIZI ALLE IMPRESE),113035,Progetto formativo,2009,"64.004,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C.F.M. Centro Formazione Marche s.c. a. r.l.,"""TECNICO PROBLEMATICHE ENERGETICO-AMBIENTALI NELLA PROGETTAZIONE EDILIZIA (ESPERTO IN BIOEDILIZIA)""",114169,Progetto formativo,2009,"134.269,20","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C.F.M. Centro Formazione Marche s.c. a. r.l.,"""TECNICO DEL RISPARMIO ENERGETICO""",114275,Progetto formativo,2009,"31.510,00","2.145,93",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C.S.C. CENTRO SERVIZI ALLE COOPERATIVE,Propedeutico Polivalente Socio Educativo sede di Montefelcino,102446,Progetto formativo,2008,"45.000,00","39.444,93",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C.S.C. CENTRO SERVIZI ALLE COOPERATIVE,Propedeutico Polivalente Socio Educativo sede Pesaro,102456,Progetto formativo,2008,"45.000,00","45.000,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C.S.C. CENTRO SERVIZI ALLE COOPERATIVE,Propedeutico Polivalente Socio- educativo sede di Urbino,102657,Progetto formativo,2008,"45.000,00","44.879,75",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
C.S.C. CENTRO SERVIZI ALLE COOPERATIVE,propedeutico polivalente socio- educativo sede di Casinina,102816,Progetto formativo,2008,"45.000,00","45.000,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CALL WORLD S.R.L.,GEOGRAFIA TURISTICA PER OPERATORI BOOKING(OPERATORE TURISTICO),108150,Progetto formativo,2008,"13.256,00","6.867,68",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
CALL WORLD S.R.L.,MARKETING TURISTICO,109319,Progetto formativo,2008,"13.294,00","6.423,26",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Calzaturificio ZEIS EXCELSA S.P.A.,"TECNICHE DI ORGANIZZAZIONE, GESTIONE, DIREZIONE AZIENDALE, COMMERCIALE",114949,Progetto formativo,2009,"7.118,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
