"BENEFICIARIO","SEDE INTERVENTO","ASSE ATTIVITA","OGGETTO AGEVOLAZIONE","ANNO ASSEGNAZIONE"," AGEVOLAZIONE CONCESSA "," IMPORTO EFFET. PAGATO "
"ANSELMO","FOSSANO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"22,500.00 €","  "
"APAVADIS BIOTECHNOLOGIES","COLLERETTO GIACOSA","I-1-1","BIOTECNOLOGIE",2009,"123,801.30 €","  "
"A.P.E.RESEARCH SRL","TRIESTE","I-1-1","BIOTECNOLOGIE",2009,"161,218.65 €","  "
"A.PNE.S SRL","CASTELLAMONTE","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"18,550.00 €","  "
"APR","PINEROLO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"236,623.79 €","  "
"APR","PINEROLO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"21,725.00 €","  "
"APR","PINEROLO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"70,000.00 €","21,000.00 €"
"APR","PINEROLO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"332,350.00 €","99,705.00 €"
"APR","PINEROLO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"94,695.08 €","  "
"APS SOC. UNIPERSONALE","TAGLIOLO MONFERRATO","I-3-2","ADOZIONE TIC",2010,"29,800.00 €","  "
"APW ELECTRONICS","SAN MAURO TORINESE","I-Ri3-a","LR34-04 -INNOVAZIONI",2008,"39,700.00 €","19,850.00 €"
"ARCE","DRONERO","II-1-2","ENERGIA - SOSTENIBILITA",2009,"949,387.83 €","896,250.00 €"
"ARDEA ENERGIA SRL","ALBA","II-1-1","ENERGIA - DISCARICHE",2009,"5,000,000.00 €","  "
"ARETA INTERNATIONAL SRL","MILANO","I-1-1","BIOTECNOLOGIE",2009,"235,625.14 €","  "
"A.R.I.S.","LOMBARDORE","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"406,262.64 €","  "
"ARREDAMENTI RUSTICI VALLE VARAITA DI DEGIOVANNI ALFREDO & C. S.N.C.","BROSSASCO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"798,300.00 €","  "
"ART&MUSICA DI SISMONDA MATTIA E COMETTO CRISTIANO","BROSSASCO","I-3-2"," ADOZIONE TIC",2010,"37,284.00 €","  "
"A.S. IMPIANTI DI PAUTASSO ROBERTO & C","BEINASCO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"47,349.90 €","41,850.75 €"
"ASCOM SERVIZI -CAF IMPRESE","BRA","I-3-2"," ADOZIONE TIC",2010,"46,361.50 €","  "
"ASPATURA MANNA DI MANNA EZIA & C.","LENTA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"88,342.03 €","85,380.00 €"
"ASSIOMA.NET","TORINO","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"20,217.11 €","  "
"AT CONSULTING","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"20,000.00 €","10,000.00 €"
"A.T.MECCANICA DI ATTISANI FABIO","SANFRE'","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"258,346.83 €","  "
"AUCONEL","TORINO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"276,000.00 €","  "
"AUCONEL","TORINO","I-Ri7-a","LR34-04 -AEREOSPAZIO",2008,"240,000.00 €","  "
"AUCONEL","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"24,548.00 €","  "
"AUDAGNA CAV. LUIGI DI AUDAGNA TULLIO","LEINI'","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"654,191.46 €","611,292.75 €"
"AUDIT & POWER SOLUTIONS SRL","BEINASCO","II-1-2","ENERGIA - SOSTENIBILITA",2009,"1,000,000.00 €","  "
"AUTOTECNICA DI LOVATO PASSARELLA E RIVARDO SNC","PONDERANO","I-3-2","ADOZIONE TIC",2010,"77,367.50 €","  "
"AVIO SPA","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"1,923,809.50 €","  "
"AVIO SPA","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"68,750.00 €","  "
"AVIOSPACE","ASTI","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"207,724.16 €","  "
"AXIS","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"99,000.00 €","14,275.80 €"
"BAIRO BETON","CUORGNE'","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"86,861.26 €","43,430.63 €"
"BALLARIO & FORESTELLO","MANTA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"1,058,131.37 €","1,037,755.09 €"
"BALMAN","CASALINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"773,409.43 €","675,000.00 €"
"BANNA DI ENRICO GIACHINO & C.","TORINO","I-3-2"," ADOZIONE TIC",2010,"31,075.00 €","  "
"BARAZZONI SPA","INVORIO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"23,550.00 €","  "
"BARBERO SRL","ALBA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"21,968.75 €","  "
"BARRAC S.R.L.","CARESANABLOT","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"25,000.00 €","  "
"BATTAGLINO RETTIFICHE","DIANO D'ALBA","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"68,453.32 €","34,226.66 €"
"BAUSANO & FIGLI","TORINO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"79,634.43 €","39,817.21 €"
"BB AUTOENGINEEERING","GRUGLIASCO","I-Ri1-a","MANUNET 2008",2008,"200,000.00 €","  "
"BECCHIS OSIRIDE","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"203,250.00 €","  "
"BELBO SUGHERI","MILANO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"193,426.91 €","190,746.13 €"
"BELLINI DI BELLINI MASSIMO","VALENZA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"20,000.00 €","  "
