"BENEFICIARIO","SEDE INTERVENTO","ASSE ATTIVITA","OGGETTO AGEVOLAZIONE","ANNO ASSEGNAZIONE"," AGEVOLAZIONE CONCESSA "," IMPORTO EFFET. PAGATO "
"C.L.L. COMMERCIO LEGHE LEGGERE","BOSCO MARENGO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"605,930.89 €","514,875.00 €"
"C.L.L. COMMERCIO LEGHE LEGGERE","BOSCO MARENGO","I-Ri3-a","LR34-04 INNOVAZIONI",2008,"15,000.00 €","15,000.00 €"
"CNR - IEIIT - IST. ELETTRONICA E INGEGNERIA DELL'INFORMAZIONE E DELLE TELECOMUNICAZIONI","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"122,227.41 €","61,113.70 €"
"CNR ISTEC","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"92,950.00 €","  "
"CNR ISTEC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"153,799.80 €","76,899.90 €"
"COBRAPLAST","VILLANOVA CANAVESE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"61,532.09 €","30,766.05 €"
"CODE' - CRAI OVEST COOPERATIVA","LEINI'","I-3-2"," ADOZIONE TIC",2010,"125,000.00 €","  "
"COFIPLAST","LESSOLO","I-Ri1-a","MANUNET 2008",2008,"450,000.00 €","  "
"COILS","LEINI'","I-3-2"," ADOZIONE TIC",2010,"21,939.75 €","  "
"COLLIGO","COLLEGNO","I-3-2"," ADOZIONE TIC",2010,"80,000.00 €","  "
"COLUMBIAN CARBON EUROPA","TRECATE","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"1,000,000.00 €","  "
"COMAI  TORINO","TORINO","I-3-1"," ICT",2009,"77,965.10 €","  "
"COMAU","GRUGLIASCO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"397,521.88 €","198,760.94 €"
"CO.ME.A. S.N.C. DI NICOLINI MASSIMO & C.","ALPIGNANO","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"15,755.19 €","  "
"CO.MEC.","ALPIGNANO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"150,000.00 €","150,000.00 €"
"COMEG DI PORTIGLIATTI  BARBOS ALBERTO & C.","TORINO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"93,521.87 €","82,500.00 €"
"CO.ME.GA.","GRUGLIASCO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"98,747.19 €","98,747.19 €"
"COMERLEGNO","TORINO","I-3-2","ADOZIONE TIC",2010,"28,013.00 €","  "
"COMETAL","QUARONA","I-Ri3-a","LR34-04 -INNOVAZIONI",2008,"28,386.34 €","14,193.17 €"
"Compact Compositi","COLLEGNO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"161,278.82 €","  "
"COMPUTERSERVICE DI CAGNESCHI MAURIZIO MARIO","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"13,333.33 €","13,333.33 €"
"COMTEC","TORINO","I-3-1"," ICT",2009,"163,271.40 €","  "
"COMUNE DI PIOZZO","PIOZZO","II-1-3","ENERGIA-RAZIONALIZZ.CONSUMI ENERGETICI",2009,"74,906.30 €",
"COMUNICAZIONE","SALUZZO","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"23,115.00 €","23,115.00 €"
"CONFORTI MAURIZIO","AVIGLIANA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"2,500.00 €","  "
"CONSOFT SISTEMI","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"181,475.00 €","90,737.50 €"
"CONSORZIO BIELLA THE WOOL COMPANY","BIELLA","I-3-2","ADOZIONE TIC",2010,"56,200.00 €","  "
"CONSORZIO STUPINO CAVALLO & C.","GUARENE","I-Ri3-a","LR34-04 INNOVAZIONI",2008,"120,931.90 €","120,931.90 €"
"CONSULTING BOX","GIAVENO","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"20,000.00 €","10,000.00 €"
"CONTI RUBINETTERIE DI CONTI GIORGIO & C.","VALDUGGIA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"18,500.00 €","  "
"COOPERATIVA CULTURA E COMUNICAZIONI SOCIALI","PINEROLO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"25,159.50 €","  "
"COPERNICO PAGHE","VENARIA","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"10,000.00 €","  "
"CORDAR BIELLA SERVIZI","BIELLA","I-3-2","ADOZIONE TIC",2010,"20,000.00 €","  "
"CORE INFORMATICA","AOSTA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"44,213.88 €","39,615.00 €"
"CORE INFORMATICA","AOSTA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"25,750.00 €","12,875.00 €"
"COS.PEL","VILLANOVA MONDOVI'","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"829,771.38 €","719,637.00 €"
"COSTRUZIONI STAMPI TORINO","TORINO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"56,906.86 €","28,453.43 €"
"CPS S.P.A.","TORTONA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"21,342.35 €","  "
"CRAI SOCIETA' COOPERATIVA","SEGRATE","I-3-2"," ADOZIONE TIC",2010,"192,189.00 €","  "
"CRAVANZOLA ROBERTO & VEGLIO BRUNO","CASTIGLIONE FALLETTO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"29,136.80 €","14,568.40 €"
"C.R.C. MODEL SNC DI CHIARA RENATO E CHIARA CLAUDIO","TORINO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"60,448.36 €","30,224.18 €"
"CREABILIS THERAPEUTICS","COLLERETTO GIACOSA","I-1-1","BIOTECNOLOGIE",2009,"178,504.20 €","  "
"CRESPI 1797","MILANO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"471,962.27 €","471,962.27 €"
"C.R.F. Societ€ Consortile per Azioni","ORBASSANO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"127,653.12 €","  "
"CRIOTEC IMPIANTI SRL","CHIVASSO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"49,000.00 €","  "
"CRITICAL CASE","RIVOLI","I-3-1"," ICT",2009,"187,345.93 €","  "
"CRITICAL PATH","TORINO","I-3-1"," ICT",2009,"200,000.00 €","  "
"CRS","CERNUSCO SUL NAVIGLIO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"47,121.30 €","23,560.65 €"
"CS","COLLEGNO","I-3-1","ICT",2009,"129,175.00 €","  "
"C.S.D. S.R.L.","TORINO","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"20,940.00 €","  "
"C.S.I. CENTRO SERVIZI PER L'INDUSTRIA","CUNEO","I-3-2","ADOZIONE TIC",2010,"34,563.90 €","  "
"C.T.L. S.R.L.","RIVOLI","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"18,630.00 €","  "
"DALLA STESSA PARTE SOCIET€ COOPERATIVA SOCIALE","CIRIE'","I-3-2"," ADOZIONE TIC",2010,"25,700.00 €","  "
"DASSAULT SYSTEMES ITALIA","ORBASSANO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"50,985.00 €","  "
"DAVIDE","LA LOGGIA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"222,063.05 €","  "
"DAVIFIL","BENNA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"131,609.45 €","128,021.26 €"
"DELEN","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"239,848.82 €","  "
"DELTATRONIC INTERNATIONAL","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"390,014.10 €","  "
"DENER","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"184,392.72 €","92,196.36 €"
"DIASP","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"142,619.95 €","71,309.97 €"
"DIGISKY","TORINO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"54,000.00 €","  "
"DIGITAL DOMUS","VERCELLI","I-3-1","ICT",2009,"102,025.00 €","  "
"DIMEC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"54,682.43 €","27,341.21 €"
"DIMEC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"179,218.07 €","89,609.03 €"
"DIMEC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"122,719.84 €","61,359.92 €"
"DIMEC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"180,696.45 €","90,348.23 €"
"DIMEC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"323,811.70 €","161,905.85 €"
"DIMEC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"149,577.58 €","74,788.79 €"
"DIMEC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"120,685.59 €","  "
"DIMEC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"192,666.07 €","96,333.04 €"
"DIMEC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"119,000.00 €","59,500.00 €"
"DIMENSIONE","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"157,806.08 €","  "
"DIMENSIONE SPORT SRL","GABIANO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,000.00 €","  "
"DINET","MONCALIERI","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"12,250.00 €","  "
"DIP. DI ANATOMIA FARM E MED LEGALE UNIV TORINO","TORINO","I-1-1","BIOTECNOLOGIE",2009,"294,308.00 €","  "
"DIP MEDICINA E ONCOLOGIA SPERIMENTALE","TORINO","I-1-1","BIOTECNOLOGIE",2009,"327,900.70 €","  "
"DIPARTIMENTO DI MEDICINA ED ONCOLOGIA SPERIMENTALE","TORINO","I-1-1","BIOTECNOLOGIE",2009,"290,603.88 €","  "
"DIPARTIMENTO SCIENZE CLINICHE E BIOLOGICHE, UNIVERSITA' TO","TORINO","I-1-1","BIOTECNOLOGIE",2009,"415,870.00 €","  "
"DI.PRO DI BUEMI ENRICO E C.","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"115,886.14 €","98,708.40 €"
"DI.PRO DI BUEMI ENRICO E C.","TORINO","I-Ri1-a","MANUNET 2008",2008,"170,000.00 €","136,000.00 €"
"DIREZIONE AMBIENTE","TORINO","IV-1-1","ASS. TEC. - ASSISTENZA (DIREZIONE AMBIENTE)",2007,"30,000.00 €","  "
"DIREZIONE AMBIENTE","TORINO","IV-1-1","ASS. TEC. - ASSISTENZA (DIREZIONE AMBIENTE)",2008,"1,000,000.00 €","  "
"DIREZIONE AMBIENTE","TORINO","IV-1-1","ASS. TEC. - ASSISTENZA (DIREZIONE AMBIENTE)",2009,"90,000.00 €","  "
"DIREZIONE AMBIENTE","TORINO","IV-2-1","ASS. TEC. - VALUTAZIONE (DIREZIONE ATTIVITA' PRODUTTIVE)",2007,"30,000.00 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-1-1","ASS. TEC. -- ASSISTENZA (DIREZIONE ATTIVITA' PRODUTTIVE)",2008,"1,345,871.00 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-1-1","ASS. TEC. -  ASSISTENZA (DIREZIONE ATTIVITA' PRODUTTIVE)",2007,"5,574.00 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-1-1","ASS. TEC. -ASSISTENZA (DIREZIONE ATTIVITA' PRODUTTIVE)",2008,"4,557,600.00 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-1-1","ASS. TEC. -  ASSISTENZA (DIREZIONE ATTIVITA' PRODUTTIVE)",2003,"211,375.00 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-1-1","ASS. TEC. -  ASSISTENZA (DIREZIONE ATTIVITA' PRODUTTIVE)",2008,"2,244.00 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-1-1","ASS. TEC. - ASSISTENZA (DIREZIONE ATTIVITA' PRODUTTIVE)",2008,"4,674.50 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-1-2","ASS. TEC. -  MONITORAGGIO (DIREZIONE ATTIVITA' PRODUTTIVE)",2008,"5,000,000.00 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-1-2","ASS. TEC. -MONITORAGGIO (DIREZIONE ATTIVITA' PRODUTTIVE)",2008,"1,193,520.00 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-1-3","ASS. TEC. - CONTROLLI E PROCESSI DI AUDIT (DIREZIONE ATTIVITA' PRODUTTIVE)",2005,"35,700.00 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-1-3","ASS. TEC. - CONTROLLI E PROCESSI DI AUDIT (DIREZIONE ATTIVITA' PRODUTTIVE)",2008,"14,133.60 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-1-3","ASS. TEC. -  CONTROLLI E PROCESSI DI AUDIT (DIREZIONE ATTIVITA' PRODUTTIVE)",2009,"35,000.00 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-2-1","ASS. TEC. - VALUTAZIONE (DIREZIONE ATTIVITA' PRODUTTIVE)",2009,"1,800,000.00 €","  "
"DIREZIONE ATTIVITA' PRODUTTIVE","TORINO","IV-3-1","ASS. TEC. -  INFORMAZIONE E PUBBLICITA' (DIREZIONE ATTIVITA' PRODUTTIVE)",2007,"52,668.00 €","  "
"DIREZIONE COMUNICAZIONE ISTITUZIONALE DELLA GIUNTA","TORINO","IV-3-1","ASS. TEC. -  INFORMAZIONE E PUBBLICITA' (DIREZIONE COMUNICAZIONE ISTITUZIONALE DELLA GIUNTA REGIONALE)",2008,"1,179,943.58 €","  "
"DIREZIONE INNOVAZIONE RICERCA E UNIVERSITA'","TORINO","IV-1-1","ASS. TEC. -  ASSISTENZA (DIREZIONE INNOVAZIONE RICERCA E UNIVERSITA' )",2009,"360,000.00 €","  "
"DIREZIONE INNOVAZIONE RICERCA E UNIVERSITA'","TORINO","IV-1-1","ASS. TEC. - ASSISTENZA (DIREZIONE INNOVAZIONE RICERCA E UNIVERSITA' )",2008,"150,000.00 €","  "
"DIREZIONE RISORSE FINANZIARIE","TORINO","IV-1-1","ASS. TEC. -  ASSISTENZA (DIREZIONE RISORSE FINANZIARIE)",2008,"20,000.00 €","  "
"DISAV","VERCELLI","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"53,648.00 €","  "
"DISMIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"178,856.30 €","89,428.15 €"
"DISMIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"358,610.00 €","179,305.00 €"
"DISMIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"154,614.92 €","  "
"DISMIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"176,575.53 €","88,287.77 €"
"DISMIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"257,597.59 €","  "
"DISMIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"34,627.00 €","123,503.50 €"
"DISMIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"189,559.65 €","  "
"DISMIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"120,261.63 €","  "
"DISMIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"206,864.83 €","  "
"DISMIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"107,913.75 €","53,956.87 €"
"DISMIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"57,925.00 €","28,962.50 €"
"DISMIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"87,500.00 €","43,750.00 €"
"DISPEA","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"212,380.00 €","106,190.00 €"
"DISPEA","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"60,655.00 €","30,327.50 €"
"DISPEA","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"171,761.10 €","  "
"DISPEA","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"68,565.00 €","34,282.50 €"
"DITIC","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"132,513.39 €","66,256.69 €"
"D.M. PROGETTI S.R.L.","GRUGLIASCO","I-3-2"," ADOZIONE TIC",2010,"41,895.00 €","  "
"DMG MECCANICA","COLLEGNO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"32,188.73 €","32,188.73 €"
"DOKITALIA SRL","VOLPIANO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"11,000.00 €","  "
"DOLMEN","TORINO","I-3-2"," ADOZIONE TIC",2010,"69,573.00 €","  "
"DOMUS AUGUSTEA DI CORDIERO AGNESE E C.","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"16,780.00 €","  "
"DORMER ITALIA SPA","TRES","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"43,875.00 €","  "
"DOTT. GALLINA","TORINO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"109,596.23 €","54,798.11 €"
"D.P.A.","SOMMARIVA DEL BOSCO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"23,113.25 €","  "
"DRAGONE SRL","CASTAGNOLE DELLE LANZE","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"48,805.59 €","24,402.79 €"
"D.T. & B. DI TARASCO","CASTELLINALDO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"13,246.61 €","13,246.61 €"
"E++","CUNEO","II-1-2"," ENERGIA - SOSTENIBILITA",2009,"568,007.64 €","501,066.00 €"
"E. SASSONE","MONALE","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"47,139.98 €","23,569.99 €"
"EAGLES ENGINEERING","CIRIE'","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"15,351.99 €","7,675.99 €"
"EASY DATA","BIELLA","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"11,740.45 €","  "
"ECOBIOQUAL","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"153,643.20 €","76,000.00 €"
"ECOSISTEMI 2 S.R.L.","TORINO","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"18,307.50 €","  "
"EDILCAVE","TRONZANO VERCELLESE","I-Ri3-b","LR34-04 -  TUTELA AMBIENTALE",2008,"61,147.47 €","30,573.73 €"
"EDILGROS","TORINO","I-3-2","ADOZIONE TIC",2010,"66,050.00 €","  "
"EDILKAP-PREFABBRICATI S.P.A.","BARGE","I-Ri3-a","LR34-04 - ASSE I MIS. RI3 LINEA A - INNOVAZIONI",2008,"85,515.79 €","42,757.89 €"
"EDIZIONI AMRITA","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"8,450.00 €","8,450.00 €"
"EDIZIONI ESAV","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"38,464.00 €","19,232.00 €"
"EDM INFORMATICA","RIVOLI","I-3-1","ICT",2009,"197,750.00 €","  "
"EGEA ENTE GESTIONE ENERGIA E AMBIENTE S.P.A.","ALBA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"512,777.50 €","  "
"EGERIA","TORINO","I-3-1"," ICT",2010,"187,200.00 €","  "
"EGLUE TECHNOLOGIES","TORINO","I-3-1","ICT",2010,"90,000.00 €","  "
"EL.EA","MILANO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"2,500,000.00 €","  "
"ELECTRO POWER SYSTEMS","TORINO","I-Ri1-a","MANUNET 2007",2007,"215,000.00 €","172,000.00 €"
"ELECTRO-PARTS SPA","BOSSOLASCO","I-Ri3-a","LR34-04 -INNOVAZIONI",2008,"61,197.04 €","30,598.52 €"
"ELERON SRL","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"3,675.00 €","  "
"ELETTRIC SOLUTIONS S.A.S. DI ANTONIETTI ELENA","ROMANO CANAVESE","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"18,112.80 €","  "
"ELETTROMECCANICA MAGISTRO DI MAGISTRO NUNZIATO & C.","SAN MAURIZIO D'OPAGLIO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"209,656.32 €","205,225.05 €"
"ELETTRONICA CONDUTTORI","TORINO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"37,429.37 €","18,714.68 €"
"E.L.G.","OGLIANICO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"99,734.54 €","99,734.54 €"
"ELLENA","SALUZZO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"97,500.00 €","  "
"ELLE-TI LAVORAZIONI TESSILI DI ZANONE GUIDO & C. SNC","SANDIGLIANO","I-Ri3-c","LR34-04 - ECNOLOGIE",2008,"9,700.00 €","  "
"EL.SA. DI SAGLIETTI V. & C.","SAVIGLIANO","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"75,651.89 €","65,855.83 €"
"EL-TRA","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"16,561.25 €","  "
"EMMEGI","TORINO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"97,802.51 €","  "
"E.N.E.A.","ROMA","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"215,630.11 €","107,815.00 €"
"ENECOM ITALIA","TORINO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"18,792.54 €","9,396.27 €"
"ENERGIA NOVA","TORINO","II-1-2","ENERGIA - SOSTENIBILITA",2008,"334,909.43 €","272,817.50 €"
"ENERGIA SOSTENIBILE SAS DI A. CAMPOLATTARO","TORINO","I-3-2"," ADOZIONE TIC",2010,"30,221.37 €","  "
"ENERGIA SOSTENIBILE SAS DI A. CAMPOLATTARO","TORINO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"9,093.00 €","  "
"ENERGICA","SAN SECONDO DI PINEROLO","II-1-2"," ENERGIA - SOSTENIBILITA",2009,"873,050.00 €","859,017.80 €"
"ENERGY DUEGI","VINOVO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"57,509.86 €","52,875.00 €"
"ENNEGI RINNOWAUTO SERVICE DI CIDDA ANNA MARIA & C","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"20,750.00 €","10,375.00 €"
"ENTER","MILANO","I-3-1","ICT",2009,"200,000.00 €","  "
"ENVIRONMENT PARK","TORINO","I-1-2","GESTORI DEI POLI D'INNOVAZIONE",2009,"150,000.00 €","  "
"ENVISENS TECHNOLOGIES","TORINO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"64,500.00 €","  "
"ERAHORA DI MONICA MOHOVICH","TORINO","I-Ri3-c","LR34-04 -TECNOLOGIE",2008,"8,425.00 €","  "
"ERPLAN","TORINO","I-1-1","BIOTECNOLOGIE",2009,"199,009.00 €","  "
"ERPLAN","TORINO","I-Ri1-a","SISTEMI AVANZATI DI PRODUZIONE",2008,"118,750.00 €","59,375.00 €"
"ERRE & BI PIETRE -MARMI-GRANITI S.N.C. DI RAIMO ANDREA E BO MAURO","FOSSANO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"175,672.36 €","  "
"ERREBI PAPER INDUSTRIA CARTARIA","CUNEO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"38,047.64 €","38,047.64 €"
"E.R.WEB","VERCELLI","I-3-1"," ICT",2009,"102,025.00 €","  "
"ERXA","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"681.60 €","  "
"ERXA","TORINO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"160,060.00 €","18,310.86 €"
"E.S.CO. TORINO S.R.L.","COGGIOLA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"1,587,312.75 €","1,587,312.75 €"
"ESEDRA","CONDOVE","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"21,420.00 €","  "
"ESSEBIEFFE - NPE","VOLPIANO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"6,600.00 €","  "
"ETON ENERGIA","TORINO","I-3-2","ADOZIONE TIC",2010,"25,466.50 €","  "
"EUREN S.R.L.","BRUINO","I-Ri3-a","LR34-04 -  INNOVAZIONI",2008,"88,638.62 €","44,319.31 €"
"EURO MASTER 2","SOMMARIVA DEL BOSCO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2008,"390,127.42 €","382,725.00 €"
"EUROADHESIV SRL","OMEGNA","I-3-2"," ADOZIONE TIC",2010,"150,005.53 €","  "
"EUROCLONE","MILANO","I-1-1","BIOTECNOLOGIE",2009,"498,005.00 €","  "
"EUROCOLOR TORINO S.R.L.","TORINO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"35,064.33 €","17,532.16 €"
"EUROGATEWAY","NOVARA","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"9,459.26 €","4,729.63 €"
"EUROGRANITI DI POLI DOMENICO & SOMMACAL FABRIZIO","VILLADOSSOLA","II-1-1-3","ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"97,820.80 €","97,820.80 €"
"EUROLITES SPA","TORINO","I-Ri3-c","LR34-04 -  TECNOLOGIE",2008,"22,983.05 €","  "
"EUROPA  DI D'ANNA BRUNO & C.","BARDONECCHIA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"112,026.31 €","97,273.05 €"
"EUROPEAN MARKET DEVELOPMENT","TORINO","I-3-2","ADOZIONE TIC",2010,"44,205.00 €","  "
"EUROPLAST DI BERTONE EMANUELA E FULVIO & C.","BORGO SAN DALMAZZO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"259,877.71 €","  "
"EUROPLAST S.R.L.","CHERASCO","I-Ri3-c","LR34-04 - TECNOLOGIE",2008,"5,185.54 €","2,592.77 €"
"EUROPROGETTI","NOVARA","I-3-2"," ADOZIONE TIC",2010,"48,131.89 €","  "
"EUROPROJECT","ASTI","I-3-1","ICT",2009,"143,137.35 €","  "
