NOME DEL BENEFICIARIO / NAME DES BEGÜNSTIGTEN,Asse e linea di intervento / Achse und Interventions- linie,DESCRIZIONE DEL PROGETTO / BESCHREIBUNG DES VORHABENS,"Anno di 
approvazione / 
Jahr der 
Genehmigung","contributo pubblico concesso 
/ gewährter öffentlicher 
Beitrag",importo effettivamente pagato a chiusura del progetto / bei Abschluss des Vorhabens tatsa_chlich gezahlter Gesamtbetrag
SEARCH Italien GmbH,1 b,"Model-based Innovation Management and Technology Diffusion - 
MIT",2009,"53.865,00",
"Ripartizione Informatica della Provincia autonoma di Bolzano / 
Abteilung Informationstechnik der Autonomen Provinz Bozen",1 c,Telefonia mobile e traffico dati,2009,"4.136.880,00",
"Ripartizione Informatica della Provincia autonoma di Bolzano / 
Abteilung Informationstechnik der Autonomen Provinz Bozen",1 c,"Messa a disposizione di connessione a banda larga in Alto 
Adige – manutenzione e assistenza",2009,"6.087.086,67",
Famas System S.p.A.,1 d,Count on me,2009,"75.635,00",
Ing. Dipl. Zimmerhofer Harald ,1 d,"ProfIT - Machbarkeitsstudie für einen IT-Hilfe-Service 
(Professionelle IT)",2009,"33.100,00",
Institut für innovative Technologien Bozen Konsotrial - GmbH,2 a,Wasserstoff Technologie Südtirol,2009,"quota di cofinanziamento 
ancora da definire",
"Comunità comprensoriale Burgraviato / Bezirksgemeinschaft 
Burggrafenamt",2 b,"Photovoltaikanlage Falschauer- Errichtung einer 
Photovoltaikanlage an der sanierten Restmülldeponie 
Falschauer in Sinich",2009,"271.854,40",
"Comunità comprensoriale Val Pusteria / Bezirksgemeinschaft 
Pustertal",2 b,Photovoltaikanlage Bioabfallkompostwerk Bruneck,2009,"72.800,00",
EGL Energie Genossenschaft,2 b,Fernheizwerk Latsch - Errichtung einer Photovoltaikanlage,2009,"144.162,41",
Alpenverein Südtirol,2 b,Fotovoltaikanlage für die Meraner Hütte,2009,"19.965,13",
Hochbau Pichler GmbH,2 b,"Impianto fotovoltaico sulla superficie della Hochbau Pichler 
GmbH",2009,"76.360,83",
Stahlbau Pichler GmbH,2 b,"Impianto fotovoltaico sulla superficie della Stahlbau Pichler 
GmbH",2009,"126.752,43",
L.E.E.G. - Cooperativa energetica Lasa / Laaser Eyrser,2 b,"Errichtung einer Photovoltaikanlkage aud dem Dach des 
Fernheizwerkes in Laas, B.p. 899 Kg. Laas",2009,"168.520,08",
Leitner Solar AG,2 b,"Installation einer Photovoltaik-Anlage zu 175,44 kWp aud dem 
Dach des Eisstadions von Bruneck",2009,"132.995,42","progetto ritirato / 
zurückgezogenes Projekt"
Comune di Renon / Gemeinde Ritten,2 b,"Entwicklung einer nachhaltigen Energieerzeugung und -
versorgung mittels Einbau einer Photovoltaikanlage auf dem 
Dach des Altersheimes, G.p. 47/5 KG Ritten I",2009,"67.003,00",
Comune di Glorenza / Stadtgemeinde Glurns,2 b,"Forcierung der Photovoltaiknutzung durch öffentliche 
Körperschaft in der Gemeinde Glurns",2009,"100.659,00",
"Comunità comprensoriale Burgraviato / Bezirksgemeinschaft 
Burggrafenamt",2 e,"NaMoBu - Plan für die nachhaltige Mobilitätsentwicklung im 
Burgrafenamt - Wissenschaftliche Bearbeitung eines 
übergemeindlichen Mobilitätsplanes im Raum Burggrafenamt",2009,"386.331,00",
"Ufficio idrografico della Provincia autonoma di Bolzano / 
Hydrographisches Amt der Autonomen Provinz Bozen",3 a,Stazione idrometrica Passirio a Merano,2009,"321.780,00",
"Ufficio idrografico della Provincia autonoma di Bolzano / 
Hydrographisches Amt der Autonomen Provinz Bozen",3 a,Stazione idrometrica Talvera a Bolzano,2009,"382.800,00",
"Ripartizione Opere idrauliche della Provincia autonoma di 
Bolzano / Abteilung Wasserschutzbauten der Autonomen Provinz 
Bozen",3 b,Flussraummanagement Brixen,2009,"600.000,00","importo effettivamente 
pagato a chiusura del 
progetto / bei Abschluss des 
Vorhabens tatsächlich 
gezahlter Gesamtbetrag"
"Ripartizione Opere idrauliche della Provincia autonoma di 
Bolzano / Abteilung Wasserschutzbauten der Autonomen Provinz 
Bozen",3 b,Einzugsgebietsplan Drau,2009,"400.000,00",
"Ripartizione Opere idrauliche della Provincia autonoma di 
Bolzano / Abteilung Wasserschutzbauten der Autonomen Provinz 
Bozen",3 c,"Projektierung und Realisierung eines Rückhaltebauwerkes für 
Wildholz und Geschiebe oberhalb von Bruneck",2009,"1.500.000,00",
"Ripartizione Opere idrauliche della Provincia autonoma di 
Bolzano / Abteilung Wasserschutzbauten der Autonomen Provinz 
Bozen",3 c,Projektierung Hochwasserschutz - Unterer Mareiterbach,2009,"500.000,00",
"Ripartizione Opere idrauliche della Provincia autonoma di 
Bolzano / Abteilung Wasserschutzbauten der Autonomen Provinz 
Bozen",3 c,"Realisierung von Hochwasserschutzmaßnahmen - Oberer 
Mareiterbach",2009,"1.000.000,00",
