descrizione_bt,obiettivo_operativo,titolo,costo_totale_intervento,anno_di_assegnazione_dei_fondi,fund_type,currency,uri
Ente Provinciale per il Turismo di Salerno,1.9,Maremito Paestum,"200.000,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Ente Provinciale per il Turismo di Salerno,1.9,Premio Charlot,"150.000,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Fondazione Campania dei Festival,1.10,Teatro Festival Italia,"15.000.000,00",2008,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Fondazione Campania dei Festival,1.10,Arrevuoto Scampia - Napoli Punta Corsara,"3.000.000,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Fondazione Donnaregina per le Arti Contempora,1.10,TRE ANNI AL MADRE,"10.000.000,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Provincia di Benevento,1.9,Recupero e valorizzazione delle preesistenze del Regio Tratturo,"1.412.065,42",2006,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,1.10,"Progetto start up delle attivita' dell'Auditorium ""Oscar Niemeyer"" di Ravello","600.000,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,1.12,Co-marketing 2009 - Coop.Se- Tours,"1.848.000,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,1.12,"Campagna di comunicazione, servizi di direct e trade marketing","15.120.000,00",2008,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
Regione Campania,1.12,Servizio di call center e servizio di stoccaggio materiale edit. e inform,"23.925,00",2009,EDRF,EUR,http://porfesr.regione.campania.it/opencms/opencms/FESR/download/beneficiari.pdf
