RAGIONE SOCIALE,DENOMINAZIONE,"ANNO FINANZIAMENTO 
PAGAMENTO",PROV,€,amount
Molinari srl,"STUDIO, PROGETTAZIONE E SVILUPPO DI INNOVATIVI ORTESI 
PLANTARI E RELATIVI PROCESSI DI PRODUZIONE, PER 
L’OTTIMIZZAZIONE DEL BENESSERE E DELLA SALUTE DELLE PERSONE.",2009,PC,€,"160.750,00"
MORTARA RANGONI EUROPE SRL,WII ECG (Web Innovative Interface ECG),2009,BO,€,"212.300,00"
MOTORSCAN s.p.a.,"STUDIO, PROGETTAZIONE E PROTOTIPAZIONE DI UN NUOVO 
STRUMENTO DI MISURA DEL PARTICOLATO PER VEICOLI AD EURO 5 E 
SUPERIORI UTILE A RILEVARE ANCHE L’INQUINAMENTO AMBIENTALE A 
LIVELLO INDUSTRIALE E DOMESTICO",2009,PR,€,"156.500,00"
NIAL NIZZOLI S.R.L.,"ECO-CITY: REALIZZAZIONE DI ELEMENTI DI ARREDO URBANO 
PARTENDO DALLA VALORIZZAZIONE DEI RIFIUTI E ALTRI RIFIUTI 
RECUPERABILI",2009,RE,€,"136.900,00"
NIER Ingegneria,"Realizzazione di un sistema di supporto innovativo per il miglioramento delle 
caratteristiche di affidabilità, disponibilità, manutenibilità e sicurezza di sistemi 
complessi [Acronimo: SSAAPP: Sistema di Supporto alla Analisi di Affidabilità 
di Processi e",2009,BO,€,"182.750,00"
Nitty-Gritty srl,"Sistema di decapaggio-passivazione saldature su acciaio inox per carpenteria 
pesante mediante trattamento elettrolitico ecologico e sicuro per l’operatore",2009,MO,€,"96.050,00"
Novalux S.r.l,"Sviluppo di un sistema di illuminazione per aree verdi altamente efficiente, 
polifunzionale ed ecologico",2009,BO,€,"98.380,00"
NSI - NIER Soluzioni Informatiche srl,"MedLav in Process: processi e soluzioni informatiche a supporto 
dell’erogazione di servizi di medicina del lavoro così come regolamentati dal 
nuovo Testo unico sulla salute e la sicurezza nei luoghi di lavoro (D.Lgs. 81/08)",2009,BO,€,"91.900,00"
O.C.E.M SPA,"Innovativi segnali aeroportuali che utilizzano LED ad altissima efficienza, 
alimentati ad energia solare",2009,BO,€,"149.600,00"
OF.RA. S.r.l. OFFICINE RAVENNA,"LAMI-COMPACT: Sistema automatizzato, flessibile e compatto per la 
produzione di vetro stratificato",2009,RA,€,"107.100,00"
OFFICINA MECCANICA ART DI ARTIOLI GIULIO E C. S.N.C.,"Reti di sensori wireless per il monitoraggio, ottimizzazione e analisi dei processi 
produttivi",2009,MO,€,"143.000,00"
OFFICINA MECCANICA DOZZESE SRL,Sviluppo della Tecnologia eolica ad asse verticale di tipo micro e mini.,2009,BO,€,"216.400,00"
Organic Spintronics s.r.l,"SVILUPPO DI EQUIPMENT INNOVATIVO PER LA DEPOSIZIONE DI CELLE 
FOTOVOLTAICHE A FILM SOTTILE",2009,BO,€,"127.000,00"
Paioli S.p.A.,Ammortizzatore fluido magnetoreologico a gestione elettronica,2009,BO,€,"113.900,00"
PARMAFLUID S.r.l.,"“Electronic Level System”. Studio, progettazione e sperimentazione di un 
sistema di sollevamento idraulico innovativo a controllo elettronico, ridotto 
impatto ambientale e garanzia di sicurezza.",2009,PR,€,"165.500,00"
PARTENA S.P.A.,"MACCHINA BLISTERATRICE COMPATTA AD ELEVATA AUTOMAZIONE ED 
ELEVATA FLESSIBILITÀ",2009,BO,€,"120.500,00"
PER. ED. FERRUCCIO FRASCARI SRL,"Sistemi integrati di involucro ed impianto per la massima efficienza energetica 
di differenti tipologie edilizie e costruttive",2009,BO,€,"170.650,00"
PIACENTINI COSTRUZIONI SPA,"Ottimizzazione tecnico-economica di strutture di sostegno flessibili di grandi 
dimensioni",2009,MO,€,"117.800,00"
PLASTOD S.P.A.,"Sviluppo di una nuova famiglia di medicazioni a base di argento per la cura di 
ferite, piaghe ed ulcere anche infette in pazienti ustionati, diabetici o 
lungodegenti.",2009,BO,€,"185.600,00"
Poliweb Graphics s.r.l.,"RICERCA E SVILUPPO DI UNA MANIGLIA COSTITUITA DA UN’ETICHETTA 
AUTOADESIVA INNOVATIVA, DA APPLICARE A SACCHETTI E A 
CONTENITORI DI VARIO MATERIALE, IN GRADO DI SOSTENERE E 
TRASPORTARE DAI 5 AI 18 KG DI PESO",2009,PC,€,"97.500,00"
Pollution spa,"R1D1 - Sistema gascromatografico portatile per analisi ambientali basato su 
componentistica micro lavorata",2009,BO,€,"203.400,00"
PREFABBRICATI PARMA S.P.A.,"LESP (Low Exergy Structured Panel) Pannelli strutturati a basso livello 
exergetico",2009,PR,€,"65.500,00"
PROMEC S.R.L.,"Nuova sterilizzatrice: ottimizzazione strutturale e metodologia innovativa di 
sterilizzazione dei contenitori.",2009,PR,€,"101.000,00"
PULSAR INDUSTRY SRL,Impianto automatico per gestione stagionatura per salumifici,2009,MO,€,"126.600,00"
Quix Srl,Generatore di web form dinamici,2009,MO,€,"156.922,70"
RE:LAB Srl,"PRIUS  tool e metodologie per la Produzione Rapida di Interfacce Utente di 
Sistemi embedded e Industriali",2009,RE,€,"78.475,00"
Regulus,EQUAL,2009,BO,€,"106.500,00"
RI.MOS. S.R.L.,"Nuovo materiale biomimetico nanostrutturato da elettrofilatura per riparazione 
tessutale cutanea e altri impieghi di medicazione avanzata, col relativo 
processo produttivo.",2009,MO,€,"148.750,00"
RINIERI SRL,"Studio e prototipazione di Macchina Prepotatrice Portata Da Secco Per Vigneto 
Con Recupero Del Materiale Potato",2009,FC,€,"65.585,00"
RUGGERINI PIETRO SRL,Processo di standardizzazione della progettualità di edifici industriali in acciaio,2009,MO,€,"73.866,80"
S.A.M.O S. p.A,Sviluppo di una nuova tecnologia per la produzione di manufatti protesici.,2009,BO,€,"225.250,00"
S.A.T.A. Applicazione Tecnologie Avanzate srl,KET – Knowledge Extractor & Translator,2009,MO,€,"68.050,00"
S.I.A.S. S.p.A.,"Nuova tecnologia per iniezione di CO2 come mezzo di contrasto per 
angiografia vascolare periferica e relativo imaging dedicato.",2009,BO,€,"100.700,00"
S.I.M.E.L. S.P.A.,"PROGETTAZIONE E REALIZZAZIONE DI UNA SERIE DI MOTORI LINEARI 
TUBOLARI A MAGNETI PERMANENTI PER APPLICAZIONI INDUSTRIALI 
CON SISTEMA INTEGRATO DI MISURA DI POSIZIONE",2009,FE,€,"124.200,00"
S.P.M. DRINK SYSTEMS S.R.L.,Nuovo granitore ad alta produttività e velocità per uso professionale,2009,MO,€,"109.200,00"
SEI SISTEMI S.R.L.,"Studio e realizzazione di un sistema di Conversione Statica e di Controllo 
(CSC) per il collegamento di sistemi di produzione di energia elettrica alla rete 
elettrica nazionale.",2009,BO,€,"173.200,00"
SICER S.R.L.,"MICRONIZZATI PIGMENTANTI E TECNOLOGIE DIGITALI PER LA 
DECORAZIONE DI SUPERFICI CERAMICHE STRUTTURATE",2009,MO,€,"161.000,00"
Sideros S.p.A.,"NUOVO RADIATORE A BIOMASSE ULTRACOMPATTO E ULTRALEGGERO, 
CON SISTEMA CATALITICO PER L’ABBATTIMENTO DELLE EMISSIONI 
NOCIVE E CONTROLLO AUTOMATICO DELLA COMBUSTIONE",2009,MO,€,"130.500,00"
SILEA S.P.A.,SNODO CON UN UNICO CIRCOLO DI SFERE,2009,BO,€,"106.095,60"
SIMONINI RACING S.R.L.,"SVILUPPO DI MOTORE AERONAUTICO ENDOTERMICO ALTERNATIVO 4 
TEMPI AD ACCENSIONE COMANDATA, 180°-V, PER CATEGORIA “GA“",2009,MO,€,"82.700,00"
SIMULEARN SRL,"Articolazioni per simulatore medico-chirurgico: protesizzazione articolare e 
indagini ecografiche muscolo-scheletriche",2009,BO,€,"142.300,00"
SITECO Informatica s.r.l.,Laboratorio mobile multifunzionale per il rilievo del territorio e dell’ambiente,2009,BO,€,"177.000,00"
SLY YACHT SRL,"Impiego Di Propulsione Ibrida A Basso Impatto Ambientale Per Imbarcazioni A 
Vela",2009,FC,€,"110.000,00"
Smaltiflex S.p.A.,"NUOVA SMALTATURA PORCELLANATA ANTIADERENTE, ASETTICA E AD 
ELEVATE PRESTAZIONI MECCANICHE PER APPLICAZIONI NEL SETTORE 
ALIMENTARE",2009,MO,€,"204.800,00"
Smarten s.r.l.,"RICERCA E SPERIMENTAZIONE DI STANDARD IN SISTEMI DI 
WORKFLOW MANAGEMENT",2009,MO,€,"107.100,00"
Società editrice il Mulino s.p.a.,Pequod - Publishing environment for quality university objects delivery,2009,BO,€,"86.910,00"
SOLVEKO S.P.A.,"RICERCA E SVILUPPO DI UN PROCESSO INNOVATIVO CON NUOVE 
SOLUZIONI E METODICHE FINALIZZATE AL RECUPERO E ALLA 
VALORIZZAZIONE DI SOLVENTI INDUSTRIALI ESAUSTI. _
STUDIO DEL PRODOTTO RECUPERATO SVILUPPANDO NUOVE  
FORMULAZIONI FISICO-CHIMICHE PER OTTIMIZZARE LA",2009,PR,€,"181.400,00"
Studio Pedrini srl,"COMPOBIKE, DALLA PROGETTAZIONE ALLA PRODUZIONE, 
OTTIMIZZAZIONE E MESSA IN SERVIZIO DI PARTI IN MATERIALE 
COMPOSITO PER L’INDUSTRIA MOTOCICLISTICA",2009,BO,€,"111.900,00"
Techimp Systems Srl,"Sistema di monitoraggio e sensoristica per la diagnostica globale nei sistemi 
elettrici",2009,BO,€,"186.550,00"
TECHNO PLASTIC S.R.L.,"Controllo del processo di estrusione e di stiramento di setole plastiche che 
inglobano materiale abrasivo al proprio interno",2009,MO,€,"115.050,00"
Technosilos snc,"RIDUZIONE DELL’IMPATTO AMBIENTALE E SVILUPPO TECNOLOGICO 
NELL’INDUSTRIA CERAMICA",2009,FC,€,"204.000,00"
Tecnoform spa,"Studio e ingegnerizzazione di nuovi materiali ad alte prestazioni e dei relativi 
processi produttivi per componenti di arredo di Veicoli Ricreazionali ed 
imbarcazioni",2009,BO,€,"181.700,00"
TECNO-PLAST SRL,"Riduttore a vite senza fine realizzato con struttura portante in materiale plastico 
per “salpa ancora” da installare su barche da diporto",2009,BO,€,"69.900,00"
TIGIEFFE SRL,"Nuova famiglia di Piattaforme di Lavoro Elevabili a braccio articolato ad alta 
efficienza energetica e basso impatto ambientale  con trazione elettrica o 
elettrica di tipo ibrido, in corrente alternata, destinata al settore della 
manutenzione/installazion",2009,RE,€,"121.750,00"
TISSUE MACHINERY COMPANY S.P.A.,"RICERCA E SVILUPPO DI NUOVI SISTEMI LOGICI PER L'AUTODIAGNOSI 
DI MACCHINE AUTOMATICHE COMPLESSE",2009,BO,€,"164.800,00"
Tomato Colors soc. coop.,"TOMATORED. Selezione, con l'ausilio di metodiche innovative, di nuove 
varietà di pomodoro da industria ad alta pigmentazione, idonee alla produzione 
di specialità alimentari, per l'Emilia Romagna",2009,BO,€,"74.800,00"
Turbocoating SpA,"LONGLIFE (Sviluppo di rivestimenti metallici e compositi per incrementare la 
vita delle parti calde delle turbine a gas industriali)",2009,PR,€,"178.500,00"
TURCHI CESARE SRL,MISCELE FREDDE E SEMIFREDDE PER ASFALTI FIBRORINFORZATI,2009,RE,€,"169.000,00"
UNITEC S.P.A.,"Sistema intelligente in linea per la valutazione e quantificazione dei difetti 
esterni ed interni in actinidia (Actinidia deliziosa e Actinidia Chinensis Planch 
Var chinensis’Hort 16A’)",2009,RA,€,"145.700,00"
UNITEC S.R.L.,"LA QUALITÀ DELL’ARIA IN AMBIENTI CONFINATI E SEMICONFINATI AD 
ALTA CONCENTRAZIONE DI INQUINANTI (HARMON)",2009,FE,€,"134.500,00"
U-Series SRL,Metodi isotopici per la rintracciabilità agroalimentare,2009,BO,€,"110.000,00"
Varvel SpA,Motoriduttori di nuova generazione eco-compatibili funzionanti a secco,2009,BO,€,"174.200,00"
VEICOLI S.R.L.,"Ricerca per sistemi di controllo e gestione dell’energia, per l’ottimizzazione 
dell’utilizzo di batterie di accumulatori evolute, destinate alla trazione elettrica 
stradale.",2009,MO,€,"182.800,00"
VERCOS FRIGO SRL,"Studio di ricerca e sviluppo di un cogeneratore termo-fotovoltaico a 
concentrazione solare",2009,RE,€,"156.900,00"
Worgas Bruciatori S.r.l.,NUOVO METODO DI REGOLAZIONE PER BRUCIATORI A GAS,2009,MO,€,"209.200,00"
ZANASI SRL,"STUDIO E SVILUPPO DI DISPOSITIVI DROP ON DEMAND AD ALTA 
RISOLUZIONE PER INKJET INDUSTRIALE",2009,MO,€,"204.000,00"
ZANICHELLI MECCANICA S.p.A.,"NUOVO SISTEMA DI CONTROLLO CONTINUO IN LINEA 
DELL’AGGRAFFATURA DEL COPERCHIO SU UN CONTENITORE 
ALIMENTARE",2009,PR,€,"154.500,00"
