Appaltatore, Operazione,"Importo impegnato IVA 
esclusa"
"ATI Les Jeunes Relieurs, Les 
relieurs, l'Eubage, Più Press, 
Ombre con l'Accaw, 
Tipografia Valdostana","Servizio editoriale Obiettivo 
lavoro news periodo 2008-
2011","640.800,00 "
2 Progetto Formazione,"Formazione Operatore Socio 
Sanitario","238.200,00 "
3 Enaip Valle d'Aosta,Percorso Tate Familiari,"109.170,00 "
