Nome del Beneficiario,Nome dell’operazione,Importo impegnato,Importi totali pagati alla fine del progetto
SIO PERUGIA S.R.L.,Attività b3 – Sostegno all’introduzione di misure e investi- menti volti all’efficienza energetica,"3.607,20","3.607,20"
LA MASTRO GIORGIO DI BIAGIOLI VALENTINO,Attività b3 – Sostegno all’introduzione di misure e investi- menti volti all’efficienza energetica,"5.130,00","5.130,00"
COLUSSI SPA,Attività b3 – Sostegno all’introduzione di misure e investi- menti volti all’efficienza energetica,"11.277,30","11.277,30"
