BENEFICIARIO,DENOMINAZIONE INTERVENTO,DATA CONCESSIONE CONTRIBUTO,PROV. DI REALIZZAZIONE INTERVENTO,CONTRIBUTO CONCESSO,QUOTA FESR DEL CONTRIBUTO,QUOTA NAZIONALE DEL CONTRIBUTO,QUOTA DI CONTRIBUTO LIQUIDATA
FERRO PIU' DI TAVARINI GIAN MARCO & ORLANDI V. SNC,produzione di energia da fonti rinnovabili/efficienza energetica,30/03/2010,SP,"60.000,00","19.030,02","40.969,98",0
Hotel Clelia di Marani Franco e C. Snc,produzione di energia da fonti rinnovabili/efficienza energetica,30/03/2010,SP,"20.035,00","6.354,44","13.680,56",0
Opere Sociali Servizi S.p.A.,produzione di energia da fonti rinnovabili/efficienza energetica,29/04/2010,SV,"23.300,00","7.389,99","15.910,01",0
CARFIN S.P.A.,produzione di energia da fonti rinnovabili/efficienza energetica,30/03/2010,GE,"43.560,00","13.815,79","29.744,21",0
MUSICALOCA DI ELMI PAOLO E C. SAS,produzione di energia da fonti rinnovabili/efficienza energetica,30/03/2010,SP,"14.280,00","4.529,14","9.750,86",0
S.V. Port Service Srl,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,SV,"118.000,00","37.425,71","80.574,29","41.300,00"
Se.GE.SA. Srl,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,GE,"88.921,28","28.202,90","60.718,38","31.122,44"
FERRANIA TECHNOLOGIES S.P.A.,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,SV,"200.000,00","63.433,40","136.566,60","70.000,00"
ITALGI Srl,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,GE,"38.325,00","12.155,43","26.169,57","19.162,50"
Istituto Italiano della Saldatura - Ente Morale,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,GE,"30.000,00","9.515,01","20.484,99","29.800,00"
Tonitto 1939 S.p.A.,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,GE,"110.474,00","35.038,71","75.435,29","106.055,45"
LE RIUNITE - SOCIETA' COOPERATIVA AGRICOLA,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,SV,"12.800,00","4.059,74","8.740,26","12.800,00"
DEMONT SRL,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,SV,"165.885,41","52.613,38","113.272,03","165.885,41"
SCRIVIA ASFALTI Srl,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,GE,"15.656,80","4.965,82","10.690,98","15.656,80"
