Nome del Beneficiario,Nome dell’operazione,Importo impegnato,Importi totali pagati alla fine del progetto
IL QUADRIFOGLIO DI CURTI DINO & C. SNC,POR FESR 2007-2013 - Bando PIA 2007," 78.300,00"
A DOLCE RICHIESTA,POR FESR 2007-2013 - Bando PIA 2007," 102.870,00"
VETRERIA ANGELANA SAS DI IACONI M. E C.,POR FESR 2007-2013 - Bando PIA 2007," 180.110,00"
AMCO**,POR FESR 2007-2013 - Bando PIA 2007," 114.650,00"
DE SILVA SRL,POR FESR 2007-2013 - Bando PIA 2007," 52.700,00"
B.S.P. SRL**,POR FESR 2007-2013 - Bando PIA 2007," 224.600,00"
PIERINI ALESSANDRO,POR FESR 2007-2013 - Bando PIA 2007," 179.640,00"
IMBOTTITI & CO. DI GIANNI RENGHI,POR FESR 2007-2013 - Bando PIA 2007," 58.425,00"
GRAPHIC PRESS CENTRO ITALIA SRL,POR FESR 2007-2013 - Bando PIA 2007," 210.150,00"
BIZZIRRI SRL,POR FESR 2007-2013 - Bando PIA 2007," 122.215,00"
LA PERFETTA SRL,POR FESR 2007-2013 - Bando PIA 2007," 214.750,00"
NUOVA VERNIFER SRL,POR FESR 2007-2013 - Bando PIA 2007," 86.525,00"
BORGIONI PREFABBRICATI SRL,POR FESR 2007-2013 - Bando PIA 2007," 222.600,00"
CITERNESI SECONDO CALCESTRUZZI SRL,POR FESR 2007-2013 - Bando PIA 2007," 164.819,00"
F.LLI TROVATI SNC DI TROVATI L. & V.,POR FESR 2007-2013 - Bando PIA 2007," 65.380,00"
UMBRANIA SAS DI BOLDRINI A e C,POR FESR 2007-2013 - Bando PIA 2007," 123.560,00"
C.S.F. SNC DI FRONDUTI L.& C.,POR FESR 2007-2013 - Bando PIA 2007," 79.525,00"
LEGNO ART SAS DI Cupello R. e Ercolini A.,POR FESR 2007-2013 - Bando PIA 2007," 45.103,00"
SUNERG SOLAR SRL,POR FESR 2007-2013 - Bando PIA 2007," 231.477,00"
TECNOKAR TRAILERS SRL,POR FESR 2007-2013 - Bando PIA 2007," 197.616,00"
L.I.T. SERVICE SRL,POR FESR 2007-2013 - Bando PIA 2007," 213.070,00"
LAVANDERIA STIRERIA ADRIA DI CASTELLANI A.,POR FESR 2007-2013 - Bando PIA 2007," 57.825,00"
STILE PAVIMENTI LEGNO SPA,POR FESR 2007-2013 - Bando PIA 2007," 128.385,00"
PERUGIA CONGLOMERATI SRL,POR FESR 2007-2013 - Bando PIA 2007," 210.512,00"
RDA CARPENTERIA METALLICA SRL,POR FESR 2007-2013 - Bando PIA 2007," 177.700,00"
S.A.L.P.A. SAS DI CHERUBINI D&C.,POR FESR 2007-2013 - Bando PIA 2007," 229.425,00"
REALCARTA SNC DI RUBBIONI SIMONE E C.,POR FESR 2007-2013 - Bando PIA 2007," 133.029,00"
